Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 11:30:00-04:00,-6,-12,18,-2,0,1,-1,-1,-3,0.0,-1,-1.0,AAPL,166.48
2022-04-20 12:30:00-04:00,-10,-12,22,-2,0,1,-1,-1,-3,0.0,-1,0.0,AAPL,167.43
2022-04-20 13:30:00-04:00,-16,-12,12,-2,0,1,1,-1,-1,44.62809917355372,1,2.0,AAPL,167.13
2022-04-20 14:30:00-04:00,-14,-16,10,-2,0,1,0,-1,-2,37.08791208791209,0,-1.0,AAPL,167.35
2022-04-20 15:30:00-04:00,-10,-20,8,-2,0,1,0,-1,-2,34.58371454711803,0,0.0,AAPL,167.23
2022-04-21 09:30:00-04:00,-10,-20,4,2,0,1,0,-1,2,78.20121951219512,1,1.0,AAPL,170.7
2022-04-21 10:30:00-04:00,-6,-12,-8,2,0,-1,1,1,3,92.73447820343462,1,0.0,AAPL,171.19
2022-04-21 11:30:00-04:00,-4,-14,-10,2,0,0,1,0,3,97.57824143070044,1,0.0,AAPL,169.74
2022-04-21 12:30:00-04:00,-4,-6,-6,2,0,0,1,0,3,99.19275625755029,1,0.0,AAPL,168.97
2022-04-21 13:30:00-04:00,-4,-2,2,-2,0,0,-1,1,-2,44.17525967183502,-1,-2.0,AAPL,167.4
2022-04-21 14:30:00-04:00,0,2,6,-2,0,0,0,1,-1,36.947304245942796,0,1.0,AAPL,166.72
2022-04-21 15:30:00-04:00,-8,4,14,-2,0,0,0,1,-1,34.53798980047536,0,0.0,AAPL,166.43
2022-04-22 09:30:00-04:00,-8,12,-4,-2,0,0,0,1,-1,33.73488543307762,0,0.0,AAPL,165.48
2022-04-22 10:30:00-04:00,-8,12,-16,-2,0,0,1,1,0,44.57829539625783,0,0.0,AAPL,165.93
2022-04-22 11:30:00-04:00,-4,20,-16,-2,0,0,1,1,0,48.19276516007468,0,0.0,AAPL,164.63
2022-04-22 12:30:00-04:00,0,24,-20,-2,0,-1,1,1,-1,38.286477250010584,0,0.0,AAPL,164.07
2022-04-22 13:30:00-04:00,0,24,-20,-2,0,-1,1,1,-1,34.984381302717985,0,0.0,AAPL,163.48
2022-04-22 14:30:00-04:00,8,28,-20,-2,0,-1,1,1,-1,33.88368265614587,0,0.0,AAPL,163.15
2022-04-22 15:30:00-04:00,-8,28,-16,-2,0,1,1,1,1,55.739005331915756,0,0.0,AAPL,161.83
2022-04-25 09:30:00-04:00,-20,36,-32,-2,0,1,1,1,1,63.02411288864851,0,0.0,AAPL,160.9
2022-04-25 10:30:00-04:00,-12,40,-20,-2,0,1,1,1,1,65.45248207401974,0,0.0,AAPL,159.62
2022-04-25 11:30:00-04:00,-4,40,0,-2,0,-1,-1,1,-3,21.817494024518748,-1,-1.0,AAPL,159.71
2022-04-25 12:30:00-04:00,16,40,12,-2,0,-1,-1,1,-3,7.27249800815575,-1,0.0,AAPL,160.12
2022-04-25 13:30:00-04:00,-28,44,16,-2,0,1,-1,1,-1,24.64638822494764,-1,0.0,AAPL,161.01
2022-04-25 14:30:00-04:00,-8,44,12,-2,0,0,-1,1,-2,19.326573852759626,-1,0.0,AAPL,162.21
2022-04-25 15:30:00-04:00,24,44,0,2,0,-1,-1,1,1,50.886635728699034,1,2.0,AAPL,162.85
2022-04-26 09:30:00-04:00,16,44,24,-2,0,-1,-1,1,-3,16.962211909565852,-1,-2.0,AAPL,159.58
2022-04-26 10:30:00-04:00,12,40,28,-2,0,-1,-1,1,-3,5.654070636521896,-1,0.0,AAPL,159.03
2022-04-26 11:30:00-04:00,12,40,24,-2,0,-1,-1,1,-3,1.884690212173959,-1,0.0,AAPL,159.45
2022-04-26 12:30:00-04:00,8,40,20,-2,0,1,-1,1,-1,22.850452292946883,-1,0.0,AAPL,158.46
2022-04-26 13:30:00-04:00,12,40,20,-2,0,-1,-1,1,-3,7.616817430982294,-1,0.0,AAPL,158.74
