Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,0,-6,-12,2,0,0,0,0,2,100.0,1,1.0,AMD,96.72
2022-04-19 15:30:00-04:00,0,-2,-12,2,0,0,0,0,2,100.0,1,0.0,AMD,96.93
2022-04-20 09:30:00-04:00,-4,0,-12,2,0,0,1,1,4,100.0,1,0.0,AMD,95.77
2022-04-20 10:30:00-04:00,-16,0,-2,-2,0,0,-1,1,-2,33.24175824175825,-1,-2.0,AMD,94.69
2022-04-20 11:30:00-04:00,-16,-4,10,-2,0,1,-1,-1,-3,11.070448307410798,-1,0.0,AMD,93.9
2022-04-20 12:30:00-04:00,-18,-6,16,-2,0,1,-1,-1,-3,3.6890243902439033,-1,0.0,AMD,94.22
2022-04-20 13:30:00-04:00,-18,-8,12,-2,0,1,-1,-1,-3,1.2295498424956817,-1,0.0,AMD,93.56
2022-04-20 14:30:00-04:00,-18,-8,12,-2,0,1,-1,-1,-3,0.40983606557377067,-1,0.0,AMD,93.84
2022-04-20 15:30:00-04:00,-10,-20,4,-2,0,-1,1,-1,-3,0.136610479491493,-1,0.0,AMD,94.02
2022-04-21 09:30:00-04:00,-6,-26,0,-2,0,0,0,-1,-3,0.045536655125696254,-1,0.0,AMD,93.7
2022-04-21 10:30:00-04:00,-10,-26,0,-2,0,0,0,-1,-3,0.015178866000720069,-1,0.0,AMD,92.82
2022-04-21 11:30:00-04:00,-8,-26,-6,-2,0,0,0,-1,-3,0.005059619884557042,-1,0.0,AMD,91.22
2022-04-21 12:30:00-04:00,0,-22,-6,-2,0,-1,1,-1,-3,0.0016865397264432585,-1,0.0,AMD,91.67
2022-04-21 13:30:00-04:00,-8,-16,-6,-2,0,1,1,1,1,38.09580116009503,1,2.0,AMD,90.16
2022-04-21 14:30:00-04:00,-8,-12,0,-2,0,0,-1,0,-3,12.698600190034501,-1,-2.0,AMD,89.95
2022-04-21 15:30:00-04:00,8,-4,4,-2,0,-1,0,0,-3,4.232866708159962,-1,0.0,AMD,89.84
2022-04-22 09:30:00-04:00,12,0,16,-2,0,-1,-1,1,-3,1.4109555669587055,-1,0.0,AMD,89.34
2022-04-22 10:30:00-04:00,-8,8,12,-2,0,1,-1,1,-1,19.517937575131647,-1,0.0,AMD,90.16
2022-04-22 11:30:00-04:00,-8,24,20,-2,0,0,-1,1,-2,16.029788715186612,-1,0.0,AMD,89.27
2022-04-22 12:30:00-04:00,16,28,20,-2,0,-1,-1,1,-3,5.343262904721664,-1,0.0,AMD,88.81
2022-04-22 13:30:00-04:00,8,32,20,-2,0,-1,-1,1,-3,1.7810876348693834,-1,0.0,AMD,88.63
2022-04-22 14:30:00-04:00,4,32,20,-2,0,1,-1,1,-1,19.64131492597208,-1,0.0,AMD,88.41
2022-04-22 15:30:00-04:00,4,32,28,-2,0,0,-1,1,-2,16.070914499129337,-1,0.0,AMD,88.13
2022-04-25 09:30:00-04:00,0,36,-4,2,0,0,1,1,4,72.02363816639844,1,2.0,AMD,90.61
2022-04-25 10:30:00-04:00,0,44,-24,2,0,0,1,1,4,90.6745460554686,1,0.0,AMD,89.94
2022-04-25 11:30:00-04:00,0,40,-28,-2,0,0,1,1,0,58.79627725658337,-1,-2.0,AMD,89.27
2022-04-25 12:30:00-04:00,0,40,-28,-2,0,0,1,1,0,48.1701876569562,0,1.0,AMD,89.43
2022-04-25 13:30:00-04:00,-4,40,-28,2,0,1,1,1,5,82.72339588565222,1,1.0,AMD,89.8
2022-04-25 14:30:00-04:00,-4,40,-12,2,0,1,1,1,5,94.24113196188408,1,0.0,AMD,89.87
