Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,20,-12,-12,-2,0,0,0,0,-2,0.0,-1,-1.0,GDX,39.48
2022-04-19 15:30:00-04:00,30,-14,-18,-2,0,0,0,0,-2,0.0,-1,0.0,GDX,39.69
2022-04-20 09:30:00-04:00,34,-12,-30,-2,0,-1,1,-1,-3,0.0,-1,0.0,GDX,39.55
2022-04-20 10:30:00-04:00,40,-20,-28,-2,0,-1,1,-1,-3,0.0,-1,0.0,GDX,39.8
2022-04-20 11:30:00-04:00,44,-26,-38,-2,0,-1,1,-1,-3,0.0,-1,0.0,GDX,39.89
2022-04-20 12:30:00-04:00,32,-24,-40,-2,0,-1,1,-1,-3,0.0,-1,0.0,GDX,40.04
2022-04-20 13:30:00-04:00,28,-26,-36,-2,0,1,1,-1,-1,44.446702570876944,1,2.0,GDX,40.06
2022-04-20 14:30:00-04:00,28,-26,-36,-2,0,0,1,-1,-2,37.03766427313372,0,-1.0,GDX,40.03
2022-04-20 15:30:00-04:00,20,-26,-36,-2,0,0,1,-1,-2,34.568096372483716,0,0.0,GDX,40.12
2022-04-21 09:30:00-04:00,36,-24,-36,-2,0,0,1,-1,-2,33.74491946409755,0,0.0,GDX,38.81
2022-04-21 10:30:00-04:00,-26,-20,-34,-2,0,1,1,-1,-1,55.6927646987246,0,0.0,GDX,38.51
2022-04-21 11:30:00-04:00,-46,-24,-34,-2,0,1,1,-1,-1,63.00870087359983,0,0.0,GDX,38.08
2022-04-21 12:30:00-04:00,-42,-28,-34,-2,0,1,1,-1,-1,65.44734490559769,0,0.0,GDX,38.01
2022-04-21 13:30:00-04:00,-42,-24,-30,-2,0,1,-1,-1,-3,21.815780621612987,-1,-1.0,GDX,38.02
2022-04-21 14:30:00-04:00,-30,-20,-30,-2,0,1,0,1,0,73.93859394415195,1,2.0,GDX,38.21
2022-04-21 15:30:00-04:00,-26,-12,-22,-2,0,1,-1,1,-1,69.09064241331502,0,-1.0,GDX,38.1
2022-04-22 09:30:00-04:00,-34,4,-2,-2,0,1,-1,1,-1,67.47465858082573,0,0.0,GDX,37.49
2022-04-22 10:30:00-04:00,-6,4,18,-2,0,-1,-1,1,-3,22.49155284737422,-1,-1.0,GDX,37.03
2022-04-22 11:30:00-04:00,-2,8,38,-2,0,0,-1,1,-2,29.71940650537128,1,2.0,GDX,36.97
2022-04-22 12:30:00-04:00,6,16,34,-2,0,0,-1,1,-2,32.128691057422756,0,-1.0,GDX,36.93
2022-04-22 13:30:00-04:00,-2,16,34,-2,0,0,-1,1,-2,32.931785908038336,0,0.0,GDX,37.04
2022-04-22 14:30:00-04:00,34,24,34,-2,0,-1,-1,1,-3,10.977261969268378,-1,-1.0,GDX,36.97
2022-04-22 15:30:00-04:00,34,28,34,-2,0,-1,-1,1,-3,3.6590873230808225,-1,0.0,GDX,36.94
2022-04-25 09:30:00-04:00,-6,40,34,-2,0,1,-1,1,-1,45.664140218821245,1,2.0,GDX,35.72
2022-04-25 10:30:00-04:00,10,36,34,-2,0,0,-1,1,-2,37.44360229516157,0,-1.0,GDX,35.19
2022-04-25 11:30:00-04:00,14,40,34,-2,0,0,-1,1,-2,34.703422987275964,0,0.0,GDX,34.9
2022-04-25 12:30:00-04:00,18,40,38,-2,0,-1,-1,1,-3,11.567807662424984,-1,-1.0,GDX,35.16
2022-04-25 13:30:00-04:00,18,40,38,-2,0,-1,-1,1,-3,3.855935887474957,-1,0.0,GDX,35.64
2022-04-25 14:30:00-04:00,26,40,38,-2,0,-1,-1,1,-3,1.2853119624916485,-1,0.0,GDX,35.76
2022-04-25 15:30:00-04:00,22,40,42,-2,0,-1,-1,1,-3,0.4284373208305491,-1,0.0,GDX,35.66
2022-04-26 09:30:00-04:00,30,40,42,-2,0,-1,-1,1,-3,0.14281244027684967,-1,0.0,GDX,35.25
2022-04-26 10:30:00-04:00,22,40,34,-2,0,-1,1,1,-1,44.4920485912034,1,2.0,GDX,35.43
2022-04-26 11:30:00-04:00,18,40,30,-2,0,1,1,1,1,81.49734953040114,1,0.0,GDX,35.4
2022-04-26 12:30:00-04:00,26,40,26,-2,0,-1,1,1,-1,60.49911651013372,-1,-2.0,GDX,35.13
2022-04-26 13:30:00-04:00,22,40,26,-2,0,1,1,1,1,86.83303883671124,1,2.0,GDX,35.03
2022-04-26 14:30:00-04:00,22,40,26,-2,0,0,1,1,0,78.94434627890375,1,0.0,GDX,35.01
2022-04-26 15:30:00-04:00,26,40,26,-2,0,-1,1,1,-1,59.64811542630125,-1,-2.0,GDX,34.91
2022-04-27 09:30:00-04:00,30,40,6,-2,0,-1,1,1,-1,53.21603847543375,0,1.0,GDX,34.82
2022-04-27 10:30:00-04:00,30,40,6,-2,0,-1,1,1,-1,51.07201282514458,0,0.0,GDX,34.89
2022-04-27 11:30:00-04:00,22,40,2,-2,0,1,1,1,1,83.69067094171486,1,1.0,GDX,35.07
