Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-22,-4,-8,2,0,0,0,0,2,100.0,1,1.0,GOOG,130.53
2022-04-19 15:30:00-04:00,-22,-4,-12,2,0,0,0,0,2,100.0,1,0.0,GOOG,130.53
2022-04-20 09:30:00-04:00,16,2,-4,2,0,0,0,0,2,100.0,1,0.0,GOOG,129.83
2022-04-20 10:30:00-04:00,16,4,10,-2,0,-1,-1,1,-3,33.24175824175825,-1,-2.0,GOOG,128.75
2022-04-20 11:30:00-04:00,4,12,16,-2,0,-1,-1,1,-3,11.070448307410798,-1,0.0,GOOG,128.15
2022-04-20 12:30:00-04:00,4,8,22,-2,0,1,-1,1,-1,30.35975609756098,1,2.0,GOOG,128.95
2022-04-20 13:30:00-04:00,0,4,18,-2,0,0,-1,-1,-4,10.118890356671072,-1,-2.0,GOOG,128.67
2022-04-20 14:30:00-04:00,-8,4,28,-2,0,0,-1,0,-3,14.484148489364586,-1,0.0,GOOG,128.4
2022-04-20 15:30:00-04:00,-8,6,16,-2,0,0,-1,0,-3,15.939168821198335,-1,0.0,GOOG,128.35
2022-04-21 09:30:00-04:00,-8,10,26,-2,0,0,-1,1,-2,27.535300316122235,1,2.0,GOOG,129.36
2022-04-21 10:30:00-04:00,-12,6,26,-2,0,0,-1,-1,-4,9.178421924805656,-1,-2.0,GOOG,128.26
2022-04-21 11:30:00-04:00,-40,4,30,-2,0,1,-1,0,-2,25.28169956395276,1,2.0,GOOG,126.82
2022-04-21 12:30:00-04:00,-36,0,30,-2,0,1,-1,0,-2,30.649455784294638,0,-1.0,GOOG,126.66
2022-04-21 13:30:00-04:00,-28,-8,20,-2,0,1,-1,-1,-3,21.327596155990516,-1,-1.0,GOOG,125.56
2022-04-21 14:30:00-04:00,12,-4,20,-2,0,-1,-1,-1,-5,7.109198608562999,-1,0.0,GOOG,125.39
2022-04-21 15:30:00-04:00,12,6,12,-2,0,-1,1,1,-1,40.46497105085617,1,2.0,GOOG,124.93
2022-04-22 09:30:00-04:00,16,6,16,-2,0,-1,0,0,-3,32.535942724415705,0,-1.0,GOOG,122.24
2022-04-22 10:30:00-04:00,12,26,18,-2,0,-1,0,1,-2,39.416742814873864,0,0.0,GOOG,122.45
2022-04-22 11:30:00-04:00,16,24,22,-2,0,-1,0,1,-2,41.71034284327246,0,0.0,GOOG,120.74
2022-04-22 12:30:00-04:00,28,20,36,-2,0,-1,-1,1,-3,32.95106666176408,0,0.0,GOOG,120.16
2022-04-22 13:30:00-04:00,28,28,36,-2,0,-1,-1,1,-3,30.031307934842726,0,0.0,GOOG,120.24
2022-04-22 14:30:00-04:00,28,30,36,-2,0,-1,-1,1,-3,29.058055025896508,0,0.0,GOOG,119.94
2022-04-22 15:30:00-04:00,28,30,36,-2,0,-1,-1,1,-3,28.733637389584167,0,0.0,GOOG,119.54
2022-04-25 09:30:00-04:00,28,32,-20,2,0,-1,1,1,3,76.24454579654675,1,1.0,GOOG,122.36
2022-04-25 10:30:00-04:00,20,36,-24,2,0,-1,1,1,3,92.08151526551767,1,0.0,GOOG,120.86
2022-04-25 11:30:00-04:00,24,36,-28,2,0,-1,1,1,3,97.36050508850612,1,0.0,GOOG,121.44
2022-04-25 12:30:00-04:00,24,36,-24,2,0,-1,1,1,3,99.1201683628354,1,0.0,GOOG,122.03
2022-04-25 13:30:00-04:00,12,36,-24,2,0,1,1,1,5,99.7067227876118,1,0.0,GOOG,122.14
2022-04-25 14:30:00-04:00,4,36,-24,2,0,1,1,1,5,99.90224092920393,1,0.0,GOOG,122.31
2022-04-25 15:30:00-04:00,4,36,-24,2,0,1,1,1,5,99.96741364306797,1,0.0,GOOG,123.25
2022-04-26 09:30:00-04:00,0,36,4,-2,0,1,-1,1,-1,59.98913788102266,-1,-2.0,GOOG,120.05
2022-04-26 10:30:00-04:00,12,40,16,-2,0,-1,0,1,-2,39.99637929367422,0,1.0,GOOG,119.62
2022-04-26 11:30:00-04:00,16,40,8,-2,0,0,0,1,-1,39.9987930978914,0,0.0,GOOG,120.55
2022-04-26 12:30:00-04:00,12,40,4,-2,0,0,0,1,-1,39.999597699297134,0,0.0,GOOG,119.6
2022-04-26 13:30:00-04:00,8,44,-4,-2,0,0,0,1,-1,39.999865899765716,0,0.0,GOOG,120.86
2022-04-26 14:30:00-04:00,12,44,-4,-2,0,0,0,1,-1,39.99995529992191,0,0.0,GOOG,120.06
2022-04-26 15:30:00-04:00,12,44,-8,-2,0,0,0,1,-1,39.99998509997397,0,0.0,GOOG,119.51
2022-04-27 09:30:00-04:00,-16,44,44,-2,0,1,-1,1,-1,39.99999503332466,0,0.0,GOOG,114.07
2022-04-27 10:30:00-04:00,-40,44,44,-2,1,1,-1,1,0,46.66666501110822,0,0.0,GOOG,115.26
2022-04-27 11:30:00-04:00,-32,44,44,-2,1,1,-1,1,0,48.88888833703607,0,0.0,GOOG,116.78
2022-04-27 12:30:00-04:00,-24,44,44,-2,1,1,-1,1,0,49.62962944567869,0,0.0,GOOG,116.33
2022-04-27 13:30:00-04:00,-28,40,48,-2,1,1,-1,-1,-2,36.54320981522623,0,0.0,GOOG,115.31
