Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,4,14,-2,2,0,0,0,0,2,100.0,1,1.0,ITB,59.38
2022-04-19 15:30:00-04:00,0,10,4,2,0,0,0,0,2,100.0,1,0.0,ITB,59.24
2022-04-20 09:30:00-04:00,4,10,8,2,0,-1,-1,0,0,33.057851239669425,-1,-2.0,ITB,59.56
2022-04-20 10:30:00-04:00,4,6,0,2,0,-1,1,0,2,77.74725274725274,1,2.0,ITB,60.04
2022-04-20 11:30:00-04:00,0,12,-10,2,0,1,1,0,4,92.58920402561758,1,0.0,ITB,60.16
2022-04-20 12:30:00-04:00,-10,14,-8,2,0,1,1,1,5,97.53048780487806,1,0.0,ITB,60.18
2022-04-20 13:30:00-04:00,-2,14,-2,2,0,-1,-1,1,1,45.840869830301806,-1,-2.0,ITB,59.91
2022-04-20 14:30:00-04:00,-2,16,-2,2,0,0,0,1,3,55.28044980354966,0,1.0,ITB,60.08
2022-04-20 15:30:00-04:00,-2,18,-4,2,0,0,0,1,3,58.42683436261615,0,0.0,ITB,59.79
2022-04-21 09:30:00-04:00,-6,22,4,2,0,0,0,1,3,59.47561342766822,0,0.0,ITB,60.25
2022-04-21 10:30:00-04:00,-16,22,4,2,0,1,0,1,4,73.15854639150686,0,0.0,ITB,59.82
2022-04-21 11:30:00-04:00,-8,18,10,2,0,-1,-1,1,1,37.71950805441308,0,0.0,ITB,59.5
2022-04-21 12:30:00-04:00,-8,18,14,-2,0,0,-1,1,-2,12.573167598979328,-1,-1.0,ITB,59.3
2022-04-21 13:30:00-04:00,-2,12,18,-2,0,0,-1,-1,-4,4.191055671605179,-1,0.0,ITB,59.02
2022-04-21 14:30:00-04:00,8,12,18,-2,0,-1,-1,0,-4,1.3970185355660318,-1,0.0,ITB,59.09
2022-04-21 15:30:00-04:00,16,8,8,-2,0,-1,-1,-1,-5,0.46567284278471127,-1,0.0,ITB,59.01
2022-04-22 09:30:00-04:00,20,8,0,-2,0,-1,1,-1,-3,13.488557625466349,-1,0.0,ITB,58.15
2022-04-22 10:30:00-04:00,20,8,-2,-2,0,-1,0,-1,-4,11.162852541155111,-1,0.0,ITB,58.19
2022-04-22 11:30:00-04:00,20,4,2,-2,0,-1,0,-1,-4,10.38761751364426,-1,0.0,ITB,57.9
2022-04-22 12:30:00-04:00,24,0,2,-2,0,-1,0,-1,-4,10.129205837873187,-1,0.0,ITB,57.72
2022-04-22 13:30:00-04:00,28,4,-10,-2,0,-1,1,-1,-3,16.70973527936096,-1,0.0,ITB,57.53
2022-04-22 14:30:00-04:00,38,10,-10,-2,0,-1,1,1,-1,32.23657842650862,1,2.0,ITB,57.57
2022-04-22 15:30:00-04:00,38,14,-10,-2,0,-1,1,0,-2,30.74552614216778,0,-1.0,ITB,57.39
2022-04-25 09:30:00-04:00,44,22,0,-2,0,-1,1,1,-1,36.91517538072502,0,0.0,ITB,56.74
2022-04-25 10:30:00-04:00,44,30,-20,-2,0,-1,1,1,-1,38.971725126908616,0,0.0,ITB,57.24
2022-04-25 11:30:00-04:00,44,30,-40,2,0,-1,1,1,3,66.32390837563739,0,0.0,ITB,57.97
2022-04-25 12:30:00-04:00,28,34,-44,2,0,-1,1,1,3,75.44130279187927,1,1.0,ITB,58.36
2022-04-25 13:30:00-04:00,4,34,-40,2,0,1,1,1,5,91.81376759729316,1,0.0,ITB,58.75
2022-04-25 14:30:00-04:00,4,32,-44,2,0,1,1,1,5,97.27125586576439,1,0.0,ITB,59.1
2022-04-25 15:30:00-04:00,0,16,-44,2,0,1,1,-1,3,85.75708528858813,1,0.0,ITB,59.25
2022-04-26 09:30:00-04:00,0,12,-42,2,0,1,1,0,4,88.58569509619605,1,0.0,ITB,59.67
2022-04-26 10:30:00-04:00,0,4,-46,2,0,1,1,-1,3,82.86189836539869,1,0.0,ITB,58.69
2022-04-26 11:30:00-04:00,0,-16,-46,2,0,1,1,-1,3,80.95396612179957,1,0.0,ITB,59.06
2022-04-26 12:30:00-04:00,0,-16,-38,2,0,1,1,-1,3,80.31798870726652,1,0.0,ITB,58.66
2022-04-26 13:30:00-04:00,0,-12,-42,2,0,1,1,-1,3,80.10599623575551,1,0.0,ITB,59.03
2022-04-26 14:30:00-04:00,4,-12,-50,2,0,1,1,-1,3,80.03533207858517,1,0.0,ITB,58.59
2022-04-26 15:30:00-04:00,4,-16,-42,2,0,1,1,-1,3,80.01177735952838,1,0.0,ITB,58.24
2022-04-27 09:30:00-04:00,2,-16,-6,2,0,1,-1,-1,1,66.67059245317613,-1,-2.0,ITB,57.41
2022-04-27 10:30:00-04:00,-2,-12,14,2,1,1,-1,-1,2,68.89019748439205,0,1.0,ITB,57.77
2022-04-27 11:30:00-04:00,-18,-12,10,2,1,1,-1,-1,2,69.63006582813068,0,0.0,ITB,58.42
2022-04-27 12:30:00-04:00,-18,-12,18,2,1,1,-1,-1,2,69.8766886093769,0,0.0,ITB,58.05
2022-04-27 13:30:00-04:00,-22,-8,26,2,1,1,-1,-1,2,69.95889620312563,0,0.0,ITB,58.13
2022-04-27 14:30:00-04:00,-26,-4,22,2,-1,1,-1,1,2,69.98629873437521,0,0.0,ITB,57.64
2022-04-27 15:30:00-04:00,-26,-4,22,-2,-1,1,-1,0,-3,36.66209957812507,0,0.0,ITB,57.57
2022-04-28 09:30:00-04:00,-22,0,18,-2,-1,1,-1,0,-3,25.554033192708356,0,0.0,ITB,57.41
2022-04-28 10:30:00-04:00,-18,4,10,2,-1,1,-1,1,2,55.184677730902784,0,0.0,ITB,58.23
2022-04-28 11:30:00-04:00,-2,-8,6,2,-1,-1,-1,-1,-2,38.3948925769676,0,0.0,ITB,58.64
2022-04-28 12:30:00-04:00,2,-8,6,2,1,-1,1,0,3,66.1316308589892,0,0.0,ITB,59.39
2022-04-28 13:30:00-04:00,2,-16,2,2,-1,-1,0,-1,-1,48.71054361966306,0,0.0,ITB,59.69
2022-04-28 14:30:00-04:00,-6,-20,10,2,-1,1,0,-1,1,56.23684787322102,0,0.0,ITB,60.01
2022-04-28 15:30:00-04:00,-6,-32,14,2,-1,0,0,-1,0,52.07894929107368,0,0.0,ITB,59.67
2022-04-29 09:30:00-04:00,-10,-32,18,2,1,0,0,-1,2,64.0263164303579,0,0.0,ITB,59.04
2022-04-29 10:30:00-04:00,-18,-36,26,2,1,0,-1,-1,1,61.34210547678597,0,0.0,ITB,59.29
2022-04-29 11:30:00-04:00,-26,-36,38,-2,1,1,-1,-1,-2,40.447368492261994,0,0.0,ITB,58.76
2022-04-29 12:30:00-04:00,-30,-36,38,-2,1,1,-1,-1,-2,33.48245616408733,0,0.0,ITB,58.84
2022-04-29 13:30:00-04:00,-30,-36,34,-2,1,1,-1,-1,-2,25.97563353617726,0,0.0,ITB,58.5
2022-04-29 14:30:00-04:00,-30,-36,38,-2,1,1,-1,-1,-2,23.4733593268739,-1,-1.0,ITB,58.17
2022-04-29 15:30:00-04:00,-34,-36,38,-2,1,1,-1,-1,-2,22.63926792377278,-1,0.0,ITB,57.82
2022-05-02 09:30:00-04:00,-30,-32,38,-2,1,1,-1,-1,-2,22.361237456072406,-1,0.0,ITB,58.49
2022-05-02 10:30:00-04:00,-30,-36,34,-2,1,1,-1,-1,-2,15.787079152024134,-1,0.0,ITB,57.85
2022-05-02 11:30:00-04:00,-18,-32,34,-2,-1,-1,-1,-1,-6,5.262359717341378,-1,0.0,ITB,58.03
2022-05-02 12:30:00-04:00,-10,24,34,-2,1,0,-1,1,-1,32.05715020881076,1,2.0,ITB,57.66
2022-05-02 13:30:00-04:00,18,32,18,-2,1,-1,1,1,0,47.04935309990662,0,-1.0,ITB,57.17
2022-05-02 14:30:00-04:00,26,32,14,2,-1,-1,1,1,2,64.16796618481736,0,0.0,ITB,58.23
2022-05-02 15:30:00-04:00,26,40,-6,2,-1,-1,1,1,2,69.87417054645427,0,0.0,ITB,58.77
2022-05-03 09:30:00-04:00,14,40,-2,2,-1,-1,1,1,2,71.77623866699992,0,0.0,ITB,58.9
2022-05-03 10:30:00-04:00,10,36,-2,2,-1,-1,1,1,2,72.41026137384846,0,0.0,ITB,59.25
2022-05-03 11:30:00-04:00,6,36,-2,2,-1,1,1,1,4,84.74281439734342,1,1.0,ITB,59.35
2022-05-03 12:30:00-04:00,6,32,-6,2,-1,0,1,1,3,88.24760479911447,1,0.0,ITB,59.46
2022-05-03 13:30:00-04:00,6,28,-2,2,1,0,1,1,5,96.08253493303816,1,0.0,ITB,59.08
2022-05-03 14:30:00-04:00,10,24,2,2,1,0,1,1,5,98.69417831101272,1,0.0,ITB,59.55
2022-05-03 15:30:00-04:00,10,20,-2,2,1,0,1,1,5,99.5647261036709,1,0.0,ITB,59.56
2022-05-04 09:30:00-04:00,14,12,-14,2,1,-1,1,-1,2,81.67309051940545,1,0.0,ITB,59.51
2022-05-04 10:30:00-04:00,18,4,-10,2,1,-1,1,0,3,81.76981805192302,1,0.0,ITB,59.31
2022-05-04 11:30:00-04:00,6,-4,-14,2,1,1,1,-1,4,87.86266662336828,1,0.0,ITB,59.56
2022-05-04 12:30:00-04:00,-2,0,2,-2,1,1,-1,-1,-2,53.52997978354701,-1,-2.0,ITB,59.19
2022-05-04 13:30:00-04:00,-6,-4,-2,2,1,1,0,-1,3,72.38878113997022,0,1.0,ITB,59.55
2022-05-04 14:30:00-04:00,-2,-4,-10,2,1,1,0,-1,3,78.67504825877795,1,1.0,ITB,61.94
2022-05-04 15:30:00-04:00,-2,0,-30,2,1,1,1,-1,4,86.83107669231993,1,0.0,ITB,62.44
2022-05-05 09:30:00-04:00,14,16,-22,-2,1,-1,1,1,0,65.30732859440967,-1,-2.0,ITB,60.25
2022-05-05 10:30:00-04:00,10,20,-18,-2,1,0,-1,0,-2,46.011533773894136,0,1.0,ITB,59.56
2022-05-05 11:30:00-04:00,14,28,-6,-2,-1,-1,0,1,-3,33.518996106449556,0,0.0,ITB,59.44
2022-05-05 12:30:00-04:00,14,28,-6,-2,1,-1,0,1,-1,41.47602900518015,0,0.0,ITB,59.79
2022-05-05 13:30:00-04:00,14,28,2,-2,-1,-1,-1,1,-4,25.946555122938843,0,0.0,ITB,58.91
2022-05-05 14:30:00-04:00,14,28,2,-2,-1,-1,-1,1,-4,20.7700638288584,-1,-1.0,ITB,58.8
