Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-14,10,14,2,0,0,0,0,2,100.0,1,1.0,IWM,201.81
2022-04-19 15:30:00-04:00,-18,6,24,2,0,0,0,0,2,100.0,1,0.0,IWM,201.64
2022-04-20 09:30:00-04:00,-14,10,24,2,0,1,-1,1,3,100.0,1,0.0,IWM,202.41
2022-04-20 10:30:00-04:00,-10,14,18,2,0,-1,-1,1,1,55.494505494505496,-1,-2.0,IWM,203.01
2022-04-20 11:30:00-04:00,-12,8,12,2,0,0,1,-1,2,62.94602012808784,0,1.0,IWM,202.85
2022-04-20 12:30:00-04:00,-16,10,10,2,0,1,0,0,3,87.65243902439026,1,1.0,IWM,203.34
2022-04-20 13:30:00-04:00,-12,12,22,2,0,-1,-1,1,1,51.43786200589372,-1,-2.0,IWM,202.81
2022-04-20 14:30:00-04:00,-14,12,26,2,0,1,-1,1,3,83.81316894729711,1,2.0,IWM,203.05
2022-04-20 15:30:00-04:00,-14,12,26,2,0,1,-1,1,3,94.60445056619963,1,0.0,IWM,202.33
2022-04-21 09:30:00-04:00,-10,12,26,2,0,-1,-1,1,1,53.75696221586633,-1,-2.0,IWM,203.18
2022-04-21 10:30:00-04:00,-16,12,26,-2,0,1,-1,1,-1,17.91896492678393,-1,0.0,IWM,201.73
2022-04-21 11:30:00-04:00,-28,12,38,-2,0,1,-1,1,-1,5.9729858113205045,-1,0.0,IWM,200.14
2022-04-21 12:30:00-04:00,-28,12,34,-2,0,1,-1,1,-1,1.990994992928382,-1,0.0,IWM,200.09
2022-04-21 13:30:00-04:00,-24,6,22,-2,0,1,1,-1,-1,0.6636649668081567,-1,0.0,IWM,198.51
2022-04-21 14:30:00-04:00,-20,2,18,-2,0,-1,0,-1,-4,0.22122165217664833,-1,0.0,IWM,198.11
2022-04-21 15:30:00-04:00,-8,2,2,-2,0,-1,1,-1,-3,9.597550098737015,-1,0.0,IWM,197.63
2022-04-22 09:30:00-04:00,-10,20,-6,-2,0,-1,1,1,-1,31.77061195675175,1,2.0,IWM,195.53
