Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-18,10,-2,2,0,0,0,0,2,100.0,1,1.0,IYT,62.82
2022-04-19 15:30:00-04:00,-20,14,-4,2,0,0,0,0,2,100.0,1,0.0,IYT,62.81
2022-04-20 09:30:00-04:00,-16,16,-4,2,0,1,1,1,5,100.0,1,0.0,IYT,63.4
2022-04-20 10:30:00-04:00,0,16,-10,2,0,-1,1,1,3,73.2967032967033,-1,-2.0,IYT,63.52
2022-04-20 11:30:00-04:00,-4,16,-8,2,0,-1,1,1,3,64.42817932296433,0,1.0,IYT,63.43
2022-04-20 12:30:00-04:00,-6,14,-6,2,0,1,-1,1,3,61.47560975609757,0,0.0,IYT,63.5
2022-04-20 13:30:00-04:00,-4,10,-10,2,0,-1,1,-1,1,33.823798394472114,0,0.0,IYT,63.21
2022-04-20 14:30:00-04:00,-10,20,-10,2,0,1,1,1,5,77.94201327733369,1,1.0,IYT,63.28
2022-04-20 15:30:00-04:00,-14,20,-10,2,0,0,1,1,4,79.31401217075182,1,0.0,IYT,63.12
2022-04-21 09:30:00-04:00,-10,18,-10,2,0,0,1,1,4,79.77133825079032,1,0.0,IYT,64.13
2022-04-21 10:30:00-04:00,-6,18,-16,2,0,0,1,1,4,79.92377951254515,1,0.0,IYT,64.02
2022-04-21 11:30:00-04:00,2,18,-16,2,0,-1,1,1,3,66.64125706046957,-1,-2.0,IYT,63.33
2022-04-21 12:30:00-04:00,2,18,-10,-2,0,-1,-1,1,-3,22.213749257260456,-1,0.0,IYT,63.37
2022-04-21 13:30:00-04:00,12,14,-16,-2,0,-1,1,-1,-3,7.40458274172806,-1,0.0,IYT,63.22
2022-04-21 14:30:00-04:00,16,10,-8,-2,0,-1,-1,-1,-5,2.4681942090176423,-1,0.0,IYT,63.22
2022-04-21 15:30:00-04:00,18,10,-12,-2,0,-1,0,-1,-4,7.489398082633151,-1,0.0,IYT,63.06
2022-04-22 09:30:00-04:00,18,6,-10,-2,0,-1,0,-1,-4,9.163132695651116,-1,0.0,IYT,62.45
2022-04-22 10:30:00-04:00,18,2,-8,-2,0,-1,0,-1,-4,9.721044232043713,-1,0.0,IYT,62.53
2022-04-22 11:30:00-04:00,14,2,-8,-2,0,-1,-1,-1,-5,3.240348076728356,-1,0.0,IYT,62.43
2022-04-22 12:30:00-04:00,14,2,-16,-2,0,-1,1,-1,-3,14.413449359265499,-1,0.0,IYT,62.19
2022-04-22 13:30:00-04:00,22,6,-24,-2,0,-1,1,-1,-3,18.13781645312806,-1,0.0,IYT,61.99
2022-04-22 14:30:00-04:00,30,10,-24,-2,0,-1,1,1,-1,32.71260548442762,1,2.0,IYT,61.9
2022-04-22 15:30:00-04:00,34,8,-24,-2,0,-1,1,0,-2,30.904201828140405,0,-1.0,IYT,61.54
2022-04-25 09:30:00-04:00,32,12,-24,-2,0,-1,1,0,-2,30.301400609379897,0,0.0,IYT,60.98
2022-04-25 10:30:00-04:00,30,24,-24,-2,0,-1,1,1,-1,36.76713353646082,0,0.0,IYT,61.1
2022-04-25 11:30:00-04:00,34,32,-28,-2,0,-1,1,1,-1,38.922377845487034,0,0.0,IYT,61.31
2022-04-25 12:30:00-04:00,26,40,-30,-2,0,1,1,1,1,52.97412594849589,0,0.0,IYT,61.49
2022-04-25 13:30:00-04:00,-10,44,-30,-2,0,1,1,1,1,57.65804198283198,0,0.0,IYT,61.81
2022-04-25 14:30:00-04:00,-14,44,-26,2,0,1,1,1,5,85.88601399427736,1,1.0,IYT,62.08
2022-04-25 15:30:00-04:00,-18,40,-26,2,0,1,1,1,5,95.29533799809246,1,0.0,IYT,62.22
2022-04-26 09:30:00-04:00,-18,40,-18,-2,0,1,-1,1,-1,58.43177933269749,-1,-2.0,IYT,61.25
2022-04-26 10:30:00-04:00,-10,40,-10,-2,0,1,0,1,0,52.81059311089916,0,1.0,IYT,60.7
2022-04-26 11:30:00-04:00,-22,36,-6,-2,0,1,-1,1,-1,44.27019770363305,0,0.0,IYT,61.08
2022-04-26 12:30:00-04:00,-34,40,2,-2,0,1,-1,1,-1,41.42339923454435,0,0.0,IYT,60.69
2022-04-26 13:30:00-04:00,-26,32,-6,-2,0,1,-1,-1,-3,27.14113307818145,0,0.0,IYT,61.14
2022-04-26 14:30:00-04:00,-22,32,-10,-2,0,1,1,0,0,42.38037769272715,0,0.0,IYT,60.81
2022-04-26 15:30:00-04:00,-30,36,-6,-2,0,1,0,0,-1,40.79345923090905,0,0.0,IYT,60.46
2022-04-27 09:30:00-04:00,-18,36,-2,-2,0,1,-1,0,-2,33.59781974363635,0,0.0,IYT,60.37
