Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-8,0,4,2,0,0,0,0,2,100.0,1,1.0,KBE,51.03
2022-04-19 15:30:00-04:00,-8,-4,4,2,0,0,0,0,2,100.0,1,0.0,KBE,51.07
2022-04-20 09:30:00-04:00,-12,0,-4,2,0,1,0,0,3,100.0,1,0.0,KBE,51.77
2022-04-20 10:30:00-04:00,-8,10,-18,2,0,1,1,1,5,100.0,1,0.0,KBE,51.85
2022-04-20 11:30:00-04:00,-6,12,-18,2,0,-1,1,1,3,73.32113449222325,-1,-2.0,KBE,51.85
2022-04-20 12:30:00-04:00,-10,14,-18,2,0,1,1,1,5,91.10975609756099,1,2.0,KBE,51.63
2022-04-20 13:30:00-04:00,-8,16,-10,2,0,-1,1,1,3,70.36886495274871,-1,-2.0,KBE,51.64
2022-04-20 14:30:00-04:00,-8,18,-12,2,0,0,-1,1,2,50.12261211217993,0,1.0,KBE,51.69
2022-04-20 15:30:00-04:00,-6,18,-12,2,0,0,0,1,3,56.70757454303231,0,0.0,KBE,51.46
2022-04-21 09:30:00-04:00,-18,18,-12,2,0,1,0,1,4,72.23588740027095,0,0.0,KBE,51.94
2022-04-21 10:30:00-04:00,-18,18,4,2,0,1,-1,1,3,64.07862401698026,0,0.0,KBE,51.48
2022-04-21 11:30:00-04:00,-16,18,4,-2,0,1,-1,1,-1,21.359532407492587,-1,-1.0,KBE,51.09
2022-04-21 12:30:00-04:00,-16,18,18,-2,0,1,-1,1,-1,7.119843143442435,-1,0.0,KBE,51.08
2022-04-21 13:30:00-04:00,0,18,22,-2,0,-1,-1,1,-3,2.3732809375487847,-1,0.0,KBE,50.79
2022-04-21 14:30:00-04:00,6,14,18,-2,0,-1,-1,1,-3,0.7910936335978891,-1,0.0,KBE,50.65
2022-04-21 15:30:00-04:00,8,10,30,-2,0,-1,-1,-1,-5,0.2636978765046624,-1,0.0,KBE,50.55
2022-04-22 09:30:00-04:00,8,6,22,-2,0,-1,-1,-1,-5,0.08789929201696518,-1,0.0,KBE,50.23
2022-04-22 10:30:00-04:00,8,10,22,-2,0,-1,-1,1,-3,13.362633101146145,-1,0.0,KBE,50.04
2022-04-22 11:30:00-04:00,4,10,10,-2,0,-1,1,0,-2,24.454211034775724,-1,0.0,KBE,49.88
2022-04-22 12:30:00-04:00,8,14,10,-2,0,-1,0,0,-3,21.48473701149728,-1,0.0,KBE,49.86
2022-04-22 13:30:00-04:00,28,18,6,-2,0,-1,0,1,-2,27.161579003892722,1,2.0,KBE,49.67
2022-04-22 14:30:00-04:00,32,22,10,-2,0,-1,0,1,-2,29.05385966797094,0,-1.0,KBE,49.62
2022-04-22 15:30:00-04:00,30,28,14,-2,0,-1,0,1,-2,29.684619889324388,0,0.0,KBE,49.33
2022-04-25 09:30:00-04:00,22,36,10,-2,0,-1,0,1,-2,29.894873296441546,0,0.0,KBE,48.35
2022-04-25 10:30:00-04:00,22,36,14,-2,0,-1,0,1,-2,29.964957765480527,0,0.0,KBE,48.32
2022-04-25 11:30:00-04:00,6,40,6,-2,0,1,1,1,1,49.98831925516105,0,0.0,KBE,48.78
2022-04-25 12:30:00-04:00,-2,40,-2,-2,0,1,1,1,1,56.66277308505378,0,0.0,KBE,48.99
2022-04-25 13:30:00-04:00,-2,40,-6,-2,0,1,1,1,1,58.88759102835126,0,0.0,KBE,49.22
2022-04-25 14:30:00-04:00,-6,44,-2,-2,0,1,1,1,1,59.629197009450415,0,0.0,KBE,49.35
2022-04-25 15:30:00-04:00,-6,44,6,2,0,1,-1,1,3,73.20973233648348,0,0.0,KBE,49.4
2022-04-26 09:30:00-04:00,6,44,6,-2,0,1,0,1,0,57.7365774454945,0,0.0,KBE,48.95
2022-04-26 10:30:00-04:00,-6,36,10,-2,0,1,0,1,0,52.57885914849817,0,0.0,KBE,48.42
2022-04-26 11:30:00-04:00,-26,32,14,-2,0,1,-1,-1,-3,30.859619716166055,0,0.0,KBE,48.5
2022-04-26 12:30:00-04:00,-30,32,18,-2,0,1,-1,0,-2,30.286539905388683,0,0.0,KBE,48.08
2022-04-26 13:30:00-04:00,-30,32,18,-2,0,1,-1,0,-2,30.095513301796228,0,0.0,KBE,48.4
2022-04-26 14:30:00-04:00,-30,36,18,-2,0,1,-1,0,-2,30.03183776726541,0,0.0,KBE,48.1
2022-04-26 15:30:00-04:00,-22,36,18,-2,0,1,-1,0,-2,30.01061258908847,0,0.0,KBE,47.89
2022-04-27 09:30:00-04:00,-22,36,22,-2,0,1,-1,0,-2,30.003537529696157,0,0.0,KBE,47.7
2022-04-27 10:30:00-04:00,-6,36,14,-2,-1,-1,-1,0,-5,10.001179176565385,-1,-1.0,KBE,48.1
2022-04-27 11:30:00-04:00,-2,40,10,-2,-1,0,1,0,-2,23.333726392188463,-1,0.0,KBE,48.27
2022-04-27 12:30:00-04:00,-10,40,10,-2,-1,0,0,0,-3,21.11124213072949,-1,0.0,KBE,48.06
2022-04-27 13:30:00-04:00,-10,36,14,-2,-1,0,0,0,-3,20.3704140435765,-1,0.0,KBE,48.18
2022-04-27 14:30:00-04:00,-10,36,14,-2,-1,0,0,0,-3,20.123471347858835,-1,0.0,KBE,47.91
2022-04-27 15:30:00-04:00,-14,36,10,-2,-1,0,0,0,-3,20.041157115952945,-1,0.0,KBE,47.87
2022-04-28 09:30:00-04:00,-10,36,10,-2,-1,0,1,0,-2,26.680385705317647,1,2.0,KBE,47.76
2022-04-28 10:30:00-04:00,-18,36,10,-2,-1,0,1,0,-2,31.11568412399477,0,-1.0,KBE,47.83
2022-04-28 11:30:00-04:00,-10,36,14,-2,-1,0,1,0,-2,32.59411693022048,0,0.0,KBE,48.08
2022-04-28 12:30:00-04:00,-6,32,26,-2,-1,-1,-1,-1,-6,10.864705643406827,-1,-1.0,KBE,48.54
2022-04-28 13:30:00-04:00,-10,28,22,-2,-1,1,0,-1,-3,23.621568547802273,-1,0.0,KBE,48.43
2022-04-28 14:30:00-04:00,-6,20,18,2,1,-1,0,-1,1,59.7257080344526,1,2.0,KBE,48.65
2022-04-28 15:30:00-04:00,-2,20,10,2,1,-1,1,-1,2,79.16782860407679,1,0.0,KBE,48.58
2022-04-29 09:30:00-04:00,-14,12,6,2,-1,1,1,-1,2,85.64853546061818,1,0.0,KBE,48.11
2022-04-29 10:30:00-04:00,-14,4,-10,2,-1,0,1,-1,1,80.40136367205791,1,0.0,KBE,48.32
2022-04-29 11:30:00-04:00,-14,8,-14,2,-1,0,1,-1,1,78.65230640920448,1,0.0,KBE,48.03
2022-04-29 12:30:00-04:00,-10,0,-14,2,-1,0,1,-1,1,78.06928732158667,1,0.0,KBE,47.99
2022-04-29 13:30:00-04:00,-6,-4,-14,-2,-1,0,1,-1,-3,48.24531799608445,-1,-2.0,KBE,47.6
2022-04-29 14:30:00-04:00,-14,-4,-22,-2,-1,0,1,-1,-3,38.303994887583706,0,1.0,KBE,47.29
2022-04-29 15:30:00-04:00,-6,-8,-18,-2,-1,0,1,-1,-3,34.990220518083454,0,0.0,KBE,47.07
2022-05-02 09:30:00-04:00,10,-8,-18,2,-1,-1,1,-1,0,56.107851283805594,0,0.0,KBE,47.59
2022-05-02 10:30:00-04:00,26,-4,-18,2,-1,-1,1,-1,0,63.14706153904631,0,0.0,KBE,47.48
2022-05-02 11:30:00-04:00,26,-4,-22,2,-1,-1,1,-1,0,65.49346495745989,0,0.0,KBE,47.54
2022-05-02 12:30:00-04:00,22,-4,-30,2,-1,-1,1,-1,0,66.27559943026442,0,0.0,KBE,47.03
2022-05-02 13:30:00-04:00,22,-8,-22,-2,-1,-1,1,-1,-4,36.90668129156962,0,0.0,KBE,46.87
2022-05-02 14:30:00-04:00,-6,-8,-26,2,-1,1,1,-1,2,71.56148635644912,0,0.0,KBE,47.48
2022-05-02 15:30:00-04:00,-6,-4,-18,2,-1,0,-1,-1,-1,60.890865822520084,0,0.0,KBE,47.72
2022-05-03 09:30:00-04:00,-2,-12,-22,2,-1,0,0,-1,0,64.74139971861781,0,0.0,KBE,48.1
2022-05-03 10:30:00-04:00,-2,-16,-30,2,-1,0,1,-1,1,73.43231842472444,0,0.0,KBE,48.51
2022-05-03 11:30:00-04:00,2,-20,-34,2,-1,0,1,-1,1,76.32929132675999,1,1.0,KBE,48.49
2022-05-03 12:30:00-04:00,2,-28,-34,2,-1,0,1,-1,1,77.29494896077183,1,0.0,KBE,48.62
2022-05-03 13:30:00-04:00,2,-20,-34,2,-1,0,1,-1,1,84.09831632025727,1,0.0,KBE,48.29
2022-05-03 14:30:00-04:00,2,-20,-34,2,-1,0,1,1,3,94.69943877341909,1,0.0,KBE,48.59
2022-05-03 15:30:00-04:00,2,-16,-30,2,-1,0,1,0,2,90.82573885039896,1,0.0,KBE,48.47
2022-05-04 09:30:00-04:00,-2,-16,-26,2,-1,1,-1,0,1,82.12709813531818,1,0.0,KBE,48.61
2022-05-04 10:30:00-04:00,-2,-16,-18,2,-1,1,-1,0,1,79.22755123029124,1,0.0,KBE,48.39
2022-05-04 11:30:00-04:00,-2,-16,-14,2,-1,1,-1,0,1,78.26103559528225,1,0.0,KBE,48.67
2022-05-04 12:30:00-04:00,-2,-16,-2,2,-1,1,-1,0,1,77.93886371694593,1,0.0,KBE,48.49
2022-05-04 13:30:00-04:00,-6,-16,-2,2,-1,1,-1,0,1,77.83147309083382,1,0.0,KBE,48.6
2022-05-04 14:30:00-04:00,-10,-24,14,2,-1,1,-1,0,1,77.79567621546312,1,0.0,KBE,49.69
2022-05-04 15:30:00-04:00,-10,-20,26,2,-1,1,-1,0,1,77.78374392367289,1,0.0,KBE,49.81
