Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,0,-4,-10,2,0,0,0,0,2,100.0,1,1.0,MSFT,285.25
2022-04-19 15:30:00-04:00,0,2,-10,2,0,0,0,0,2,100.0,1,0.0,MSFT,285.38
2022-04-20 09:30:00-04:00,2,2,-6,2,0,0,0,1,3,100.0,1,0.0,MSFT,288.1
2022-04-20 10:30:00-04:00,8,2,-8,2,0,0,1,1,4,100.0,1,0.0,MSFT,286.51
2022-04-20 11:30:00-04:00,10,10,-8,2,0,-1,1,1,3,83.32570905763953,1,0.0,MSFT,285.75
2022-04-20 12:30:00-04:00,-6,22,-6,2,0,1,-1,1,3,77.77439024390245,1,0.0,MSFT,286.93
2022-04-20 13:30:00-04:00,-18,22,-10,2,0,1,1,1,5,92.59221623818718,1,0.0,MSFT,286.95
2022-04-20 14:30:00-04:00,-14,20,-6,2,0,1,-1,1,3,70.8637041051348,-1,-2.0,MSFT,287.03
2022-04-20 15:30:00-04:00,-14,30,6,2,0,1,-1,1,3,63.62119381752905,0,1.0,MSFT,286.31
2022-04-21 09:30:00-04:00,-14,30,-2,2,0,1,1,1,5,87.87377690802347,1,1.0,MSFT,291.49
2022-04-21 10:30:00-04:00,-10,18,-2,2,0,1,0,1,4,82.62458901025012,1,0.0,MSFT,289.08
2022-04-21 11:30:00-04:00,-10,18,-4,-2,0,-1,0,-1,-4,27.541518153581627,-1,-2.0,MSFT,286.65
2022-04-21 12:30:00-04:00,-10,18,2,-2,0,0,0,0,-2,23.995320618868085,-1,0.0,MSFT,286.24
2022-04-21 13:30:00-04:00,-10,18,10,-2,0,0,-1,0,-3,15.405847414158384,-1,0.0,MSFT,283.4
2022-04-21 14:30:00-04:00,-32,18,10,-2,0,1,-1,0,-2,19.950097321389453,-1,0.0,MSFT,282.34
2022-04-21 15:30:00-04:00,-24,22,16,-2,0,1,-1,0,-2,21.4648472591878,-1,0.0,MSFT,280.93
2022-04-22 09:30:00-04:00,-12,26,12,-2,0,-1,-1,1,-3,14.562356487864493,-1,0.0,MSFT,279.6
2022-04-22 10:30:00-04:00,-4,30,-4,-2,0,0,1,1,0,34.48374846463119,1,2.0,MSFT,279.23
2022-04-22 11:30:00-04:00,2,36,-8,-2,0,-1,1,1,-1,33.71680504369264,0,-1.0,MSFT,277.62
2022-04-22 12:30:00-04:00,6,36,-12,-2,0,-1,1,1,-1,33.46115723677829,0,0.0,MSFT,277.27
2022-04-22 13:30:00-04:00,2,36,-12,-2,0,-1,1,1,-1,33.375941301147414,0,0.0,MSFT,276.08
2022-04-22 14:30:00-04:00,4,40,-20,-2,0,-1,1,1,-1,33.34753598927126,0,0.0,MSFT,276.34
2022-04-22 15:30:00-04:00,0,44,-12,-2,0,-1,1,1,-1,33.3380675519793,0,0.0,MSFT,274.03
2022-04-25 09:30:00-04:00,8,44,-32,-2,0,-1,1,1,-1,33.334911406215326,0,0.0,MSFT,276.9
2022-04-25 10:30:00-04:00,4,44,-32,-2,0,-1,1,1,-1,33.33385935762733,0,0.0,MSFT,274.8
2022-04-25 11:30:00-04:00,0,40,-40,-2,0,-1,1,1,-1,33.333508674764666,0,0.0,MSFT,275.66
2022-04-25 12:30:00-04:00,0,36,-48,2,0,-1,1,1,3,62.96302141010717,0,0.0,MSFT,277.36
2022-04-25 13:30:00-04:00,-4,36,-48,2,0,1,1,-1,3,72.83952565522094,0,0.0,MSFT,278.01
2022-04-25 14:30:00-04:00,-4,36,-44,2,0,0,1,0,3,76.1316937369255,1,1.0,MSFT,279.36
2022-04-25 15:30:00-04:00,-8,36,-40,2,0,0,1,0,3,77.22908309749369,1,0.0,MSFT,280.76
2022-04-26 09:30:00-04:00,-12,36,-36,2,0,1,1,0,4,85.00228695842382,1,0.0,MSFT,274.76
2022-04-26 10:30:00-04:00,-16,36,-12,-2,0,1,-1,-1,-3,35.741503060215344,-1,-2.0,MSFT,272.81
2022-04-26 11:30:00-04:00,-16,36,-12,-2,0,1,-1,-1,-3,19.321241760812523,-1,0.0,MSFT,274.87
2022-04-26 12:30:00-04:00,-16,40,-12,-2,0,1,-1,1,-1,28.662636142493067,1,2.0,MSFT,272.71
2022-04-26 13:30:00-04:00,-16,44,-12,-2,0,1,-1,1,-1,31.776434269719914,0,-1.0,MSFT,273.34
2022-04-26 14:30:00-04:00,-24,44,-4,-2,0,1,-1,1,-1,32.814366978795526,0,0.0,MSFT,271.34
2022-04-26 15:30:00-04:00,-24,44,8,-2,0,1,-1,1,-1,33.160344548487394,0,0.0,MSFT,270.22
2022-04-27 09:30:00-04:00,-4,40,-48,2,0,-1,1,-1,1,48.09048521986617,0,0.0,MSFT,282.0
2022-04-27 10:30:00-04:00,0,32,-40,2,-1,-1,1,-1,0,45.659791369585015,0,0.0,MSFT,288.27
2022-04-27 11:30:00-04:00,4,16,-44,2,1,-1,1,-1,2,59.66437490097278,0,0.0,MSFT,289.84
2022-04-27 12:30:00-04:00,4,-8,-44,2,1,-1,1,-1,2,64.33256941143537,0,0.0,MSFT,288.8
2022-04-27 13:30:00-04:00,0,-20,-44,2,1,-1,1,-1,2,65.88863424825624,0,0.0,MSFT,287.52
2022-04-27 14:30:00-04:00,-4,-20,-36,2,-1,-1,1,-1,0,51.59250771238171,0,0.0,MSFT,284.47
2022-04-27 15:30:00-04:00,-4,-24,24,-2,-1,1,-1,-1,-4,17.197502570793905,-1,-1.0,MSFT,283.08
2022-04-28 09:30:00-04:00,-4,-36,44,-2,-1,0,-1,-1,-5,5.732500856931302,-1,0.0,MSFT,283.36
2022-04-28 10:30:00-04:00,-8,-40,48,-2,-1,0,-1,-1,-5,1.9108336189771007,-1,0.0,MSFT,284.29
2022-04-28 11:30:00-04:00,-8,-40,52,-2,-1,0,-1,-1,-5,0.6369445396590335,-1,0.0,MSFT,285.98
2022-04-28 12:30:00-04:00,-8,-44,52,2,-1,0,-1,-1,-1,26.878981513219674,1,2.0,MSFT,289.08
2022-04-28 13:30:00-04:00,-12,-44,52,2,-1,0,-1,-1,-1,35.62632717107322,0,-1.0,MSFT,289.35
2022-04-28 14:30:00-04:00,-12,-44,52,2,-1,0,-1,-1,-1,41.505072019987374,0,0.0,MSFT,290.21
2022-04-28 15:30:00-04:00,-12,-44,56,2,-1,1,-1,-1,0,50.872061043699496,0,0.0,MSFT,289.72
2022-04-29 09:30:00-04:00,-12,-44,56,2,-1,1,-1,-1,0,53.9943907182702,0,0.0,MSFT,285.07
2022-04-29 10:30:00-04:00,-12,-44,56,2,-1,1,-1,-1,0,55.03516727646044,0,0.0,MSFT,284.81
2022-04-29 11:30:00-04:00,-12,-44,56,-2,-1,1,-1,-1,-4,25.752463166227557,0,0.0,MSFT,283.71
2022-04-29 12:30:00-04:00,-12,-44,52,-2,-1,1,-1,-1,-4,15.991561796149925,-1,-1.0,MSFT,283.71
2022-04-29 13:30:00-04:00,-12,-44,52,-2,-1,1,-1,-1,-4,12.737928006124049,-1,0.0,MSFT,281.58
2022-04-29 14:30:00-04:00,-16,-44,48,-2,-1,1,-1,-1,-4,11.653383409448757,-1,0.0,MSFT,280.03
2022-04-29 15:30:00-04:00,-16,-40,48,-2,-1,1,1,1,0,40.92149817351996,1,2.0,MSFT,277.53
2022-05-02 09:30:00-04:00,-16,-40,48,-2,-1,1,1,1,0,50.67753642821035,0,-1.0,MSFT,281.0
2022-05-02 10:30:00-04:00,-12,-40,48,-2,-1,-1,1,1,-2,39.11473436495901,0,0.0,MSFT,278.55
2022-05-02 11:30:00-04:00,-12,-28,52,-2,-1,0,-1,1,-3,27.853059603134483,0,0.0,MSFT,281.43
