Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-22,18,24,2,0,0,0,0,2,100.0,1,1.0,RWR,119.45
2022-04-19 15:30:00-04:00,-26,14,24,2,0,0,0,0,2,100.0,1,0.0,RWR,119.52
2022-04-20 09:30:00-04:00,-20,8,10,2,0,1,0,0,3,100.0,1,0.0,RWR,120.61
2022-04-20 10:30:00-04:00,18,8,-6,2,0,-1,1,0,2,77.74725274725274,1,0.0,RWR,121.07
2022-04-20 11:30:00-04:00,14,12,-14,2,0,-1,1,0,2,70.35681610247028,-1,-2.0,RWR,121.25
2022-04-20 12:30:00-04:00,14,16,-14,2,0,-1,1,1,3,90.1219512195122,1,2.0,RWR,121.47
2022-04-20 13:30:00-04:00,10,18,-22,2,0,-1,1,1,3,96.70765166141652,1,0.0,RWR,121.68
2022-04-20 14:30:00-04:00,6,22,-18,2,0,-1,1,1,3,98.90258772524048,1,0.0,RWR,121.58
2022-04-20 15:30:00-04:00,2,14,-20,2,0,1,1,-1,3,99.63420003838642,1,0.0,RWR,121.29
2022-04-21 09:30:00-04:00,-6,14,-16,2,0,0,1,0,3,99.87806713834111,1,0.0,RWR,121.7
2022-04-21 10:30:00-04:00,-2,10,-12,2,0,0,1,0,3,99.95935576376667,1,0.0,RWR,121.8
2022-04-21 11:30:00-04:00,6,10,-18,2,0,0,1,0,3,99.9864519269207,1,0.0,RWR,121.73
2022-04-21 12:30:00-04:00,12,10,-18,2,0,-1,1,0,2,77.7732602053425,1,0.0,RWR,121.52
2022-04-21 13:30:00-04:00,14,2,-18,2,0,-1,1,-1,1,48.14664160242639,-1,-2.0,RWR,121.35
2022-04-21 14:30:00-04:00,14,-2,-18,2,0,-1,1,-1,1,38.27110267989288,0,1.0,RWR,121.25
2022-04-21 15:30:00-04:00,14,-10,-14,2,0,-1,1,-1,1,34.979256440356345,0,0.0,RWR,120.53
2022-04-22 09:30:00-04:00,18,-6,-14,-2,0,-1,-1,-1,-5,11.659752126721543,-1,-1.0,RWR,119.62
2022-04-22 10:30:00-04:00,14,-10,-14,-2,0,-1,0,-1,-4,12.219917375734502,-1,0.0,RWR,119.72
2022-04-22 11:30:00-04:00,14,-14,-14,-2,0,-1,-1,-1,-5,4.073305791132693,-1,0.0,RWR,119.78
2022-04-22 12:30:00-04:00,14,-18,-10,-2,0,-1,-1,-1,-5,1.357768596957697,-1,0.0,RWR,119.62
2022-04-22 13:30:00-04:00,14,-22,-10,-2,0,-1,-1,-1,-5,0.4525895323096174,-1,0.0,RWR,119.4
2022-04-22 14:30:00-04:00,14,-22,-2,-2,0,-1,-1,-1,-5,0.1508631774354708,-1,0.0,RWR,119.18
2022-04-22 15:30:00-04:00,18,-26,-10,-2,0,-1,1,-1,-3,16.71695439249804,-1,0.0,RWR,118.43
2022-04-25 09:30:00-04:00,30,-14,-10,-2,0,-1,0,-1,-4,13.905651464164908,-1,0.0,RWR,116.61
2022-04-25 10:30:00-04:00,30,-2,-2,-2,0,-1,-1,1,-3,21.301883821389275,-1,0.0,RWR,116.55
2022-04-25 11:30:00-04:00,30,18,-2,-2,0,-1,-1,1,-3,23.767294607129866,-1,0.0,RWR,116.58
2022-04-25 12:30:00-04:00,26,26,-6,-2,0,-1,-1,1,-3,24.589098202376633,-1,0.0,RWR,116.77
2022-04-25 13:30:00-04:00,-2,26,2,-2,0,1,-1,1,-1,41.52969940079229,1,2.0,RWR,117.58
2022-04-25 14:30:00-04:00,-14,38,6,-2,0,1,-1,1,-1,47.176566466930765,0,-1.0,RWR,117.77
2022-04-25 15:30:00-04:00,-18,38,10,2,0,1,-1,1,3,82.39218882231027,1,1.0,RWR,118.02
2022-04-26 09:30:00-04:00,2,38,-2,-2,0,-1,1,1,-1,60.79739627410342,-1,-2.0,RWR,117.48
2022-04-26 10:30:00-04:00,6,38,-18,2,0,0,1,1,4,86.93246542470115,1,2.0,RWR,118.02
2022-04-26 11:30:00-04:00,18,38,-30,2,0,0,1,1,4,95.64415514156705,1,0.0,RWR,117.91
