Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-6,8,-4,2,0,0,0,0,2,100.0,1,1.0,SOXX,144.1
2022-04-19 15:30:00-04:00,-10,10,-4,2,0,0,0,0,2,100.0,1,0.0,SOXX,144.22
2022-04-20 09:30:00-04:00,-6,14,-4,2,0,0,1,1,4,100.0,1,0.0,SOXX,145.89
2022-04-20 10:30:00-04:00,-10,12,0,-2,0,1,-1,1,-1,33.24175824175825,-1,-2.0,SOXX,144.3
2022-04-20 11:30:00-04:00,-14,8,12,-2,0,1,-1,-1,-3,11.070448307410798,-1,0.0,SOXX,143.74
2022-04-20 12:30:00-04:00,-20,12,16,-2,0,1,-1,1,-1,22.73954703832753,-1,0.0,SOXX,144.64
2022-04-20 13:30:00-04:00,-20,16,16,-2,0,1,-1,1,-1,26.62766559728251,1,2.0,SOXX,143.95
2022-04-20 14:30:00-04:00,-20,18,16,-2,0,1,-1,1,-1,27.923529525615965,0,-1.0,SOXX,144.01
2022-04-20 15:30:00-04:00,-24,18,16,-2,0,1,-1,1,-1,28.355464661110855,0,0.0,SOXX,143.69
2022-04-21 09:30:00-04:00,-24,18,16,-2,0,1,-1,1,-1,28.499440872239308,0,0.0,SOXX,145.51
2022-04-21 10:30:00-04:00,-24,18,12,-2,0,1,-1,1,-1,28.547432701800517,0,0.0,SOXX,144.4
2022-04-21 11:30:00-04:00,-28,18,34,-2,0,1,-1,1,-1,28.563429951563847,0,0.0,SOXX,142.04
2022-04-21 12:30:00-04:00,-28,22,30,-2,0,1,-1,1,-1,28.568762365178625,0,0.0,SOXX,142.31
2022-04-21 13:30:00-04:00,-36,22,40,-2,0,1,-1,1,-1,28.57053983605321,0,0.0,SOXX,140.66
2022-04-21 14:30:00-04:00,-34,20,36,-2,0,1,-1,1,-1,28.571132326308042,0,0.0,SOXX,140.17
2022-04-21 15:30:00-04:00,-34,24,28,-2,0,1,-1,1,-1,28.57132982305557,0,0.0,SOXX,139.91
2022-04-22 09:30:00-04:00,-14,20,24,-2,0,-1,1,1,-1,28.571395655304297,0,0.0,SOXX,138.56
