Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,8,-2,28,2,0,0,0,0,2,100.0,1,1.0,SPY,445.11
2022-04-19 15:30:00-04:00,10,2,22,2,0,0,0,0,2,100.0,1,0.0,SPY,445.01
2022-04-20 09:30:00-04:00,12,4,24,2,0,-1,-1,1,1,66.52892561983471,-1,-2.0,SPY,445.81
2022-04-20 10:30:00-04:00,12,8,32,2,0,-1,-1,1,1,55.49450549450549,0,1.0,SPY,445.58
2022-04-20 11:30:00-04:00,12,14,38,2,0,-1,-1,1,1,51.82982616651418,0,0.0,SPY,445.06
2022-04-20 12:30:00-04:00,12,18,40,2,0,-1,-1,1,1,50.609756097560975,0,0.0,SPY,446.15
2022-04-20 13:30:00-04:00,12,18,36,2,0,-1,-1,1,1,50.20323137892491,0,0.0,SPY,445.39
2022-04-20 14:30:00-04:00,18,16,36,2,0,-1,-1,1,1,50.06774149844195,0,0.0,SPY,445.38
2022-04-20 15:30:00-04:00,14,16,36,2,0,-1,-1,1,1,50.02258024454405,0,0.0,SPY,444.66
2022-04-21 09:30:00-04:00,18,16,26,2,0,-1,1,1,3,83.34092277585428,1,1.0,SPY,448.69
2022-04-21 10:30:00-04:00,14,20,22,2,0,-1,0,1,2,72.22474506404605,-1,-2.0,SPY,446.69
2022-04-21 11:30:00-04:00,14,20,14,-2,0,-1,0,1,-2,24.07490495441325,-1,0.0,SPY,443.63
2022-04-21 12:30:00-04:00,12,22,18,-2,0,1,0,1,0,34.69163572470264,1,2.0,SPY,443.27
2022-04-21 13:30:00-04:00,-14,22,14,-2,0,1,1,1,1,51.563878966852755,0,-1.0,SPY,440.71
2022-04-21 14:30:00-04:00,-28,10,6,-2,0,1,1,-1,-1,30.52129282600714,0,0.0,SPY,439.49
2022-04-21 15:30:00-04:00,-32,14,14,-2,0,1,1,0,0,36.84043095831318,0,0.0,SPY,438.16
2022-04-22 09:30:00-04:00,-24,26,-6,-2,0,1,1,1,1,52.28014366605525,0,0.0,SPY,432.94
2022-04-22 10:30:00-04:00,8,14,-6,-2,0,-1,1,-1,-3,17.42671454535589,-1,-1.0,SPY,432.71
2022-04-22 11:30:00-04:00,24,32,-10,-2,0,-1,1,1,-1,28.031127071687962,1,2.0,SPY,430.9
2022-04-22 12:30:00-04:00,12,32,-14,-2,0,-1,1,1,-1,31.56593124623085,0,-1.0,SPY,430.07
2022-04-22 13:30:00-04:00,-12,36,-22,-2,0,1,1,1,1,54.966421526769956,0,0.0,SPY,428.9
2022-04-22 14:30:00-04:00,-10,36,-26,-2,0,0,1,1,0,51.65547384224492,0,0.0,SPY,428.56
2022-04-22 15:30:00-04:00,-6,36,-30,-2,0,0,1,1,0,50.55182461408033,0,0.0,SPY,426.07
2022-04-25 09:30:00-04:00,-6,36,-22,-2,0,0,1,1,0,50.18394153802664,0,0.0,SPY,422.66
2022-04-25 10:30:00-04:00,-6,36,-22,-2,0,0,1,1,0,50.061313846008865,0,0.0,SPY,420.74
2022-04-25 11:30:00-04:00,-10,36,-14,-2,0,0,-1,1,-2,27.798215726446426,0,0.0,SPY,421.68
