Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 09:30:00-04:00,0,-20,-6,2,0,1,0,-1,2,92.3076923076923,1,1.0,TLT,120.39
2022-04-20 10:30:00-04:00,0,-24,-4,2,0,1,1,-1,3,97.5,1,0.0,TLT,120.24
2022-04-20 11:30:00-04:00,-4,-24,-12,2,0,1,1,-1,3,99.17355371900827,1,0.0,TLT,120.7
2022-04-20 12:30:00-04:00,-4,-26,-6,2,0,1,-1,-1,1,73.02197802197803,-1,-2.0,TLT,121.66
2022-04-20 13:30:00-04:00,-4,-26,-2,2,0,1,0,-1,2,77.676120768527,1,2.0,TLT,121.34
2022-04-20 14:30:00-04:00,-4,-26,2,2,0,1,-1,-1,1,65.89024390243904,-1,-2.0,TLT,121.44
2022-04-20 15:30:00-04:00,-4,-22,2,2,0,1,-1,-1,1,61.9632151204146,0,1.0,TLT,121.69
2022-04-21 09:30:00-04:00,-4,-22,2,-2,0,1,-1,-1,-3,20.65370545996478,-1,-1.0,TLT,120.35
2022-04-21 10:30:00-04:00,-4,-22,2,-2,0,1,-1,-1,-3,6.884490759034923,-1,0.0,TLT,120.04
2022-04-21 11:30:00-04:00,-4,-18,6,-2,0,1,-1,1,-1,24.51708565407196,-1,0.0,TLT,119.42
2022-04-21 12:30:00-04:00,-4,-18,4,-2,0,1,-1,0,-2,19.283469713144527,-1,0.0,TLT,120.14
2022-04-21 13:30:00-04:00,-4,-10,6,-2,0,1,-1,1,-1,28.65004741825578,1,2.0,TLT,119.92
2022-04-21 14:30:00-04:00,-4,-10,6,-2,0,1,-1,1,-1,31.772238245898333,0,-1.0,TLT,120.44
2022-04-21 15:30:00-04:00,-4,-6,10,-2,0,1,-1,1,-1,32.81296832836509,0,0.0,TLT,120.65
2022-04-22 09:30:00-04:00,-4,-2,6,2,0,1,-1,1,3,77.60432312296464,1,1.0,TLT,120.98
2022-04-22 10:30:00-04:00,-4,6,10,-2,0,1,-1,1,-1,48.090329853696325,-1,-2.0,TLT,120.54
2022-04-22 11:30:00-04:00,-4,10,14,-2,0,1,-1,1,-1,38.2523321649898,0,1.0,TLT,120.09
2022-04-22 12:30:00-04:00,-4,14,14,-2,0,1,-1,1,-1,34.972999609611655,0,0.0,TLT,120.1
2022-04-22 13:30:00-04:00,-4,14,14,-2,0,1,-1,1,-1,33.87988875865495,0,0.0,TLT,119.89
2022-04-22 14:30:00-04:00,-4,20,22,-2,0,1,-1,1,-1,33.5155184750956,0,0.0,TLT,120.11
2022-04-22 15:30:00-04:00,-4,12,22,2,0,1,-1,1,3,77.838506158836,1,1.0,TLT,120.04
2022-04-25 09:30:00-04:00,-4,12,26,2,0,1,-1,1,3,92.61283538633096,1,0.0,TLT,121.63
2022-04-25 10:30:00-04:00,-8,-4,38,2,0,1,-1,-1,1,75.31538957320102,1,0.0,TLT,121.87
2022-04-25 11:30:00-04:00,-8,-28,46,2,0,1,-1,-1,1,69.54957430217584,-1,-2.0,TLT,121.96
2022-04-25 12:30:00-04:00,-18,-32,46,2,0,1,-1,-1,1,67.62763587850282,0,1.0,TLT,121.39
2022-04-25 13:30:00-04:00,-12,-30,46,2,0,-1,-1,-1,-1,44.764767515055496,0,0.0,TLT,121.23
2022-04-25 14:30:00-04:00,-12,-32,42,2,0,0,-1,-1,0,48.254922505018556,0,0.0,TLT,121.68
2022-04-25 15:30:00-04:00,-10,-36,42,2,0,0,-1,-1,0,49.41830750167286,0,0.0,TLT,121.2
2022-04-26 09:30:00-04:00,-8,-40,42,2,0,0,-1,-1,0,49.80610250055762,0,0.0,TLT,122.31
2022-04-26 10:30:00-04:00,-8,-44,42,2,0,0,-1,-1,0,49.935367500185876,0,0.0,TLT,122.69
2022-04-26 11:30:00-04:00,-8,-44,42,2,0,0,-1,-1,0,49.978455833395294,0,0.0,TLT,122.09
2022-04-26 12:30:00-04:00,-8,-44,50,2,0,0,-1,-1,0,49.99281861113176,0,0.0,TLT,122.39
