Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 11:30:00-04:00,16,-22,14,0,0,-1,-1,-1,-3,0.0,-1,-1.0,USO,76.22
2022-04-20 12:30:00-04:00,20,-22,14,0,0,-1,-1,-1,-3,0.0,-1,0.0,USO,77.51
2022-04-20 13:30:00-04:00,36,-26,2,-2,0,-1,1,-1,-3,0.0,-1,0.0,USO,76.97
2022-04-20 14:30:00-04:00,40,-30,-2,-2,0,-1,1,-1,-3,0.0,-1,0.0,USO,77.5
2022-04-20 15:30:00-04:00,40,-22,-4,-2,0,-1,1,-1,-3,0.0,-1,0.0,USO,77.25
2022-04-21 09:30:00-04:00,20,-22,0,2,0,-1,1,-1,1,66.67682926829269,1,2.0,USO,79.21
2022-04-21 10:30:00-04:00,6,-24,0,-2,0,1,1,-1,-1,55.558378213596185,0,-1.0,USO,78.17
2022-04-21 11:30:00-04:00,4,-32,0,-2,0,0,1,-1,-2,35.18578105947704,0,0.0,USO,78.26
2022-04-21 12:30:00-04:00,-4,-28,-16,-2,0,0,1,-1,-2,28.395222020254483,0,0.0,USO,77.79
2022-04-21 13:30:00-04:00,-2,-28,-20,-2,0,1,1,-1,-1,42.79843444227006,0,0.0,USO,78.3
2022-04-21 14:30:00-04:00,-6,-28,-14,-2,0,1,1,1,1,80.93283539962442,1,1.0,USO,77.96
2022-04-21 15:30:00-04:00,-22,-32,-12,-2,0,1,1,-1,-1,60.310940821682266,-1,-2.0,USO,78.14
2022-04-22 09:30:00-04:00,-26,-32,-10,-2,0,1,1,-1,-1,53.43697979483593,0,1.0,USO,77.13
2022-04-22 10:30:00-04:00,-14,-24,-12,-2,0,1,1,1,1,84.47899398606909,1,1.0,USO,76.97
2022-04-22 11:30:00-04:00,-14,-20,-20,-2,0,1,1,1,1,94.82633140881455,1,0.0,USO,76.9
2022-04-22 12:30:00-04:00,-2,-8,-20,-2,0,-1,1,1,-1,64.94211039246845,-1,-2.0,USO,76.61
2022-04-22 13:30:00-04:00,-2,4,-16,-2,0,0,1,1,0,71.64737013659196,0,1.0,USO,76.58
2022-04-22 14:30:00-04:00,6,8,-12,-2,0,0,-1,1,-2,40.5491233699451,0,0.0,USO,76.3
2022-04-22 15:30:00-04:00,10,8,-12,-2,0,0,0,1,-1,46.849707790584034,0,0.0,USO,76.3
2022-04-25 09:30:00-04:00,-18,24,-22,-2,0,0,1,1,0,65.61656926412604,0,0.0,USO,72.85
2022-04-25 10:30:00-04:00,14,32,-14,-2,0,-1,-1,1,-3,21.872189754244022,-1,-1.0,USO,72.1
2022-04-25 11:30:00-04:00,34,36,2,-2,0,-1,-1,1,-3,7.2907299180297125,-1,0.0,USO,72.72
2022-04-25 12:30:00-04:00,34,40,22,-2,0,-1,-1,1,-3,2.4302433060041677,-1,0.0,USO,73.01
2022-04-25 13:30:00-04:00,10,40,30,-2,0,1,-1,1,-1,34.143414435347196,1,2.0,USO,74.14
2022-04-25 14:30:00-04:00,10,40,30,2,0,0,-1,1,2,78.04780481178815,1,0.0,USO,74.8
2022-04-25 15:30:00-04:00,10,40,26,2,0,0,-1,1,2,92.68260160393002,1,0.0,USO,74.68
2022-04-26 09:30:00-04:00,10,40,14,2,0,0,-1,1,2,97.56086720131009,1,0.0,USO,74.71
2022-04-26 10:30:00-04:00,30,36,-18,2,0,-1,1,1,3,99.18695573377002,1,0.0,USO,75.48
2022-04-26 11:30:00-04:00,42,36,-26,2,0,-1,1,1,3,99.72898524458999,1,0.0,USO,75.61
2022-04-26 12:30:00-04:00,42,36,-34,2,0,-1,1,1,3,99.90966174819667,1,0.0,USO,76.84
2022-04-26 13:30:00-04:00,42,36,-42,2,0,-1,1,1,3,99.9698872493989,1,0.0,USO,76.14
2022-04-26 14:30:00-04:00,42,32,-38,2,0,-1,1,1,3,99.9899624164663,1,0.0,USO,76.24
2022-04-26 15:30:00-04:00,46,32,-38,2,0,-1,1,-1,1,77.77443191659988,1,0.0,USO,76.39
2022-04-27 09:30:00-04:00,46,32,-42,2,0,-1,1,-1,1,70.36925508331107,-1,-2.0,USO,75.11
2022-04-27 10:30:00-04:00,42,32,-34,2,0,-1,1,-1,1,67.90086280554813,0,1.0,USO,75.5
2022-04-27 11:30:00-04:00,38,36,18,2,0,-1,-1,1,1,67.07806537962716,0,0.0,USO,75.37
2022-04-27 12:30:00-04:00,34,36,30,2,0,1,-1,0,2,77.91491068209794,1,1.0,USO,75.62
