Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,46,-16,-46,-2,0,0,0,0,-2,0.0,-1,-1.0,VXX,98.04
2022-04-19 15:30:00-04:00,46,-18,-46,-2,0,0,0,0,-2,0.0,-1,0.0,VXX,99.0
2022-04-20 09:30:00-04:00,42,-18,-48,-2,0,-1,1,-1,-3,0.0,-1,0.0,VXX,98.0
2022-04-20 10:30:00-04:00,36,-16,-44,-2,0,-1,1,-1,-3,0.0,-1,0.0,VXX,98.84
2022-04-20 11:30:00-04:00,-28,-20,-44,-2,0,1,1,-1,-1,44.46477584629461,1,2.0,VXX,99.6
2022-04-20 12:30:00-04:00,-28,-20,-44,-2,0,1,1,-1,-1,59.26829268292684,0,-1.0,VXX,98.8
2022-04-20 13:30:00-04:00,-28,-20,-32,-2,0,1,1,-1,-1,64.20079260237782,0,0.0,VXX,100.04
2022-04-20 14:30:00-04:00,-20,-20,-36,-2,0,1,1,-1,-1,65.84473648557106,0,0.0,VXX,97.36
2022-04-20 15:30:00-04:00,-8,-26,-36,-2,0,1,1,-1,-1,66.39269303286555,0,0.0,VXX,97.64
2022-04-21 09:30:00-04:00,32,-24,-36,-2,0,-1,1,-1,-3,22.130814391088368,-1,-1.0,VXX,96.73
2022-04-21 10:30:00-04:00,34,-24,-38,-2,0,-1,1,-1,-3,7.376928876349949,-1,0.0,VXX,97.2
2022-04-21 11:30:00-04:00,-30,-24,-42,-2,0,1,1,-1,-1,46.90342900057036,1,2.0,VXX,98.2
2022-04-21 12:30:00-04:00,-34,-18,-14,2,0,1,-1,-1,1,82.30114546711785,1,0.0,VXX,98.83
2022-04-21 13:30:00-04:00,-34,-10,18,2,0,1,-1,1,3,94.10038209647564,1,0.0,VXX,99.4
2022-04-21 14:30:00-04:00,-34,-2,22,2,0,1,-1,1,3,98.03346072928112,1,0.0,VXX,99.84
2022-04-21 15:30:00-04:00,-34,-6,26,2,0,1,-1,1,3,99.34448691314435,1,0.0,VXX,99.44
2022-04-22 09:30:00-04:00,-34,-10,26,2,0,1,-1,-1,1,77.55927339674875,1,0.0,VXX,100.72
2022-04-22 10:30:00-04:00,-34,-10,26,2,0,1,-1,0,2,81.40864668890913,1,0.0,VXX,100.32
2022-04-22 11:30:00-04:00,-34,-40,34,2,0,1,-1,-1,1,71.58066000647462,-1,-2.0,VXX,102.71
2022-04-22 12:30:00-04:00,-46,-40,34,2,0,1,-1,-1,1,68.30466444649826,0,1.0,VXX,102.92
2022-04-22 13:30:00-04:00,-50,-44,42,2,0,1,-1,-1,1,67.21266592659893,0,0.0,VXX,104.52
