Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-20,0,20,2,0,0,0,0,2,100.0,1,1.0,XLB,89.99
2022-04-19 15:30:00-04:00,-16,8,20,2,0,0,0,0,2,100.0,1,0.0,XLB,89.98
2022-04-20 09:30:00-04:00,-16,6,16,2,0,1,-1,0,2,100.0,1,0.0,XLB,90.3
2022-04-20 10:30:00-04:00,-12,6,14,2,0,-1,-1,1,1,66.62087912087912,-1,-2.0,XLB,90.69
2022-04-20 11:30:00-04:00,-16,10,10,2,0,1,1,1,5,88.88380603842636,1,2.0,XLB,90.54
2022-04-20 12:30:00-04:00,-12,12,6,2,0,-1,0,1,2,56.28963414634147,-1,-2.0,XLB,90.66
2022-04-20 13:30:00-04:00,0,14,6,2,0,-1,0,1,2,45.42932628797887,0,1.0,XLB,90.66
2022-04-20 14:30:00-04:00,-4,10,6,2,0,-1,0,1,2,41.80971413087658,0,0.0,XLB,90.66
2022-04-20 15:30:00-04:00,2,14,10,2,0,-1,0,1,2,40.603231232994254,0,0.0,XLB,90.57
2022-04-21 09:30:00-04:00,8,14,6,2,0,-1,0,1,2,40.201076320939336,0,0.0,XLB,91.25
2022-04-21 10:30:00-04:00,-4,14,4,-2,0,1,1,1,1,26.73368365988803,0,0.0,XLB,90.62
2022-04-21 11:30:00-04:00,-10,18,12,-2,0,0,-1,1,-2,8.911224160395806,-1,-1.0,XLB,89.82
2022-04-21 12:30:00-04:00,-24,18,10,-2,0,1,0,1,0,22.018028014520016,-1,0.0,XLB,89.8
2022-04-21 13:30:00-04:00,-24,18,6,-2,0,1,1,1,1,35.91077156567163,1,2.0,XLB,89.34
2022-04-21 14:30:00-04:00,-20,14,6,-2,0,1,1,1,1,40.541685795845375,0,-1.0,XLB,89.33
2022-04-21 15:30:00-04:00,-8,14,-2,-2,0,-1,1,-1,-3,13.513895195518339,-1,-1.0,XLB,89.05
2022-04-22 09:30:00-04:00,-18,22,-14,-2,0,1,1,1,1,37.837965086101,1,2.0,XLB,87.69
2022-04-22 10:30:00-04:00,22,22,-6,-2,0,-1,1,1,-1,29.279321692912408,0,-1.0,XLB,86.95
2022-04-22 11:30:00-04:00,26,22,2,-2,0,-1,-1,1,-3,9.75977389577142,-1,-1.0,XLB,86.7
2022-04-22 12:30:00-04:00,26,16,6,-2,0,-1,0,-1,-4,3.2532579650498015,-1,0.0,XLB,86.22
2022-04-22 13:30:00-04:00,30,16,14,-2,0,-1,-1,0,-4,1.0844193216602296,-1,0.0,XLB,86.1
2022-04-22 14:30:00-04:00,38,16,10,-2,0,-1,-1,0,-4,0.36147310721751685,-1,0.0,XLB,85.99
2022-04-22 15:30:00-04:00,34,16,6,-2,0,-1,-1,0,-4,0.12049103573888788,-1,0.0,XLB,85.75
2022-04-25 09:30:00-04:00,30,20,10,-2,0,-1,-1,0,-4,0.0401636785795977,-1,0.0,XLB,84.14
2022-04-25 10:30:00-04:00,26,20,18,-2,0,-1,-1,0,-4,0.013387892859862392,-1,0.0,XLB,83.77
2022-04-25 11:30:00-04:00,30,28,26,-2,0,-1,-1,1,-3,7.411870038361018,-1,0.0,XLB,83.75
2022-04-25 12:30:00-04:00,30,36,26,-2,0,-1,-1,1,-3,9.878030753527783,-1,0.0,XLB,84.27
2022-04-25 13:30:00-04:00,-30,36,26,-2,0,1,-1,1,-1,25.51489914006489,1,2.0,XLB,85.04
2022-04-25 14:30:00-04:00,-26,36,26,-2,0,1,-1,1,-1,30.72718860224386,0,-1.0,XLB,85.48
2022-04-25 15:30:00-04:00,22,36,22,2,0,-1,-1,1,1,47.279433237785,0,0.0,XLB,85.51
2022-04-26 09:30:00-04:00,30,36,-26,2,0,-1,1,1,3,67.61166293111351,0,0.0,XLB,85.52
2022-04-26 10:30:00-04:00,30,36,-18,-2,0,-1,1,1,-1,44.75944319926006,0,0.0,XLB,85.03
2022-04-26 11:30:00-04:00,30,36,-18,2,0,-1,1,1,3,66.7716662516052,0,0.0,XLB,85.38
2022-04-26 12:30:00-04:00,26,40,-18,-2,0,-1,1,1,-1,44.47944430609062,0,0.0,XLB,84.57
2022-04-26 13:30:00-04:00,26,40,-22,-2,0,-1,1,1,-1,37.04870365758577,0,0.0,XLB,84.78
2022-04-26 14:30:00-04:00,26,40,-22,-2,0,-1,1,1,-1,34.571790108084144,0,0.0,XLB,84.45
2022-04-26 15:30:00-04:00,26,40,-26,-2,0,-1,1,1,-1,33.74615225825027,0,0.0,XLB,84.14
2022-04-27 09:30:00-04:00,26,40,-38,-2,0,-1,1,1,-1,33.47093964163898,0,0.0,XLB,84.91
2022-04-27 10:30:00-04:00,30,40,-46,2,-1,-1,1,1,2,55.601424324990774,0,0.0,XLB,85.66
2022-04-27 11:30:00-04:00,30,40,-42,2,-1,-1,1,1,2,62.978252552774705,0,0.0,XLB,86.17
