Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,-14,0,6,2,0,0,0,0,2,100.0,1,1.0,XLC,67.67
2022-04-19 15:30:00-04:00,-14,4,8,2,0,0,0,0,2,100.0,1,0.0,XLC,67.57
2022-04-20 09:30:00-04:00,-16,-14,32,-2,0,1,-1,0,-2,33.057851239669425,-1,-2.0,XLC,65.02
2022-04-20 10:30:00-04:00,-16,-18,16,-2,0,1,1,-1,-1,27.67857142857143,0,1.0,XLC,64.89
2022-04-20 11:30:00-04:00,20,-28,8,-2,0,-1,0,-1,-4,9.21774931381519,-1,-1.0,XLC,64.69
2022-04-20 12:30:00-04:00,22,-32,-12,-2,0,-1,1,-1,-3,14.184451219512198,-1,0.0,XLC,64.95
2022-04-20 13:30:00-04:00,22,-32,-24,-2,0,-1,1,-1,-3,15.839345594959866,-1,0.0,XLC,64.7
2022-04-20 14:30:00-04:00,18,-28,-28,-2,0,-1,1,-1,-3,16.39090231675925,-1,0.0,XLC,64.65
2022-04-20 15:30:00-04:00,14,-28,-28,-2,0,-1,1,-1,-3,16.57474625450194,-1,0.0,XLC,64.61
2022-04-21 09:30:00-04:00,42,-28,-28,-2,0,-1,1,-1,-3,16.63602664458829,-1,0.0,XLC,64.57
2022-04-21 10:30:00-04:00,2,-28,-28,-2,0,1,1,-1,-1,38.87868949936085,1,2.0,XLC,63.93
2022-04-21 11:30:00-04:00,-2,-28,-24,-2,0,0,1,-1,-2,35.18178461574487,0,-1.0,XLC,63.42
2022-04-21 12:30:00-04:00,-2,-28,-24,-2,0,0,1,-1,-2,33.949483674922675,0,0.0,XLC,63.42
2022-04-21 13:30:00-04:00,-2,-24,-20,-2,0,0,1,-1,-2,33.53871677098743,0,0.0,XLC,62.93
2022-04-21 14:30:00-04:00,-2,-24,-18,-2,0,1,1,-1,-1,44.51290567530804,0,0.0,XLC,63.0
2022-04-21 15:30:00-04:00,-2,-24,-10,-2,0,1,1,1,1,70.39319084745976,0,0.0,XLC,62.84
2022-04-22 09:30:00-04:00,-2,-8,10,-2,0,1,-1,1,-1,56.79773027078916,0,0.0,XLC,62.17
2022-04-22 10:30:00-04:00,2,-8,22,-2,0,1,-1,1,-1,52.26591008896334,0,0.0,XLC,61.92
2022-04-22 11:30:00-04:00,2,12,18,-2,0,1,-1,1,-1,50.75530336284337,0,0.0,XLC,61.48
2022-04-22 12:30:00-04:00,2,20,14,-2,0,1,-1,1,-1,50.25176778759841,0,0.0,XLC,61.39
2022-04-22 13:30:00-04:00,2,24,22,-2,0,1,-1,1,-1,50.083922595864344,0,0.0,XLC,61.46
2022-04-22 14:30:00-04:00,2,28,30,-2,0,1,-1,1,-1,50.027974198621244,0,0.0,XLC,61.53
2022-04-22 15:30:00-04:00,2,28,34,-2,0,1,-1,1,-1,50.00932473287372,0,0.0,XLC,61.33
2022-04-25 09:30:00-04:00,2,32,30,-2,0,-1,-1,1,-3,27.780886022060276,0,0.0,XLC,61.51
2022-04-25 10:30:00-04:00,2,36,26,-2,0,-1,-1,1,-3,20.3714064517969,-1,-1.0,XLC,61.05
2022-04-25 11:30:00-04:00,2,40,18,-2,0,-1,-1,1,-3,17.901579928376638,-1,0.0,XLC,61.22
2022-04-25 12:30:00-04:00,2,40,14,-2,0,-1,1,1,-1,39.300526642792526,1,2.0,XLC,61.44
2022-04-25 13:30:00-04:00,2,40,10,-2,0,-1,0,1,-2,35.32239776981971,0,-1.0,XLC,61.83
2022-04-25 14:30:00-04:00,2,40,14,-2,0,-1,0,1,-2,33.996354812162124,0,0.0,XLC,61.99
2022-04-25 15:30:00-04:00,2,40,14,-2,0,-1,0,1,-2,33.554340492942934,0,0.0,XLC,62.17
2022-04-26 09:30:00-04:00,2,40,22,-2,0,-1,0,1,-2,33.40700238653654,0,0.0,XLC,60.74
2022-04-26 10:30:00-04:00,-10,40,22,-2,0,1,0,1,0,55.580111906623294,0,0.0,XLC,60.57
2022-04-26 11:30:00-04:00,-14,40,22,-2,0,1,0,1,0,62.97114841331888,0,0.0,XLC,60.93
2022-04-26 12:30:00-04:00,-14,40,14,-2,0,1,0,1,0,65.43482724888408,0,0.0,XLC,60.48
2022-04-26 13:30:00-04:00,-14,40,10,-2,0,1,1,1,1,77.36716463851691,1,1.0,XLC,60.84
2022-04-26 14:30:00-04:00,-14,40,6,-2,0,1,1,1,1,81.3446104350612,1,0.0,XLC,60.44
2022-04-26 15:30:00-04:00,-14,40,6,-2,0,1,1,1,1,82.67042570057595,1,0.0,XLC,60.09
2022-04-27 09:30:00-04:00,-14,40,26,-2,0,1,-1,1,-1,60.890141900191985,-1,-2.0,XLC,58.59
2022-04-27 10:30:00-04:00,-14,40,30,-2,1,1,-1,1,0,64.7411584111751,0,1.0,XLC,58.96
2022-04-27 11:30:00-04:00,-14,40,30,-2,1,1,-1,1,0,66.02483058150283,0,0.0,XLC,59.65
2022-04-27 12:30:00-04:00,-14,40,38,-2,1,1,-1,1,0,66.45272130494538,0,0.0,XLC,59.28
2022-04-27 13:30:00-04:00,-14,40,42,-2,-1,1,-1,1,-2,48.81757376831513,0,0.0,XLC,58.88
2022-04-27 14:30:00-04:00,-14,40,42,2,-1,1,-1,1,2,82.93919125610505,1,1.0,XLC,58.79
2022-04-27 15:30:00-04:00,-26,44,34,2,-1,1,-1,1,2,94.31306375203502,1,0.0,XLC,58.77
2022-04-28 09:30:00-04:00,-30,44,18,2,-1,1,1,1,4,98.10435458401167,1,0.0,XLC,59.66
2022-04-28 10:30:00-04:00,-30,44,-18,2,-1,1,1,1,4,99.36811819467056,1,0.0,XLC,60.08
2022-04-28 11:30:00-04:00,-34,44,-34,2,-1,1,1,1,4,99.78937273155685,1,0.0,XLC,60.6
2022-04-28 12:30:00-04:00,-34,44,-38,2,-1,1,1,1,4,99.92979091051895,1,0.0,XLC,61.24
2022-04-28 13:30:00-04:00,-34,44,-38,2,-1,1,1,1,4,99.97659697017298,1,0.0,XLC,61.42
2022-04-28 14:30:00-04:00,18,36,-38,2,-1,-1,1,-1,0,61.896960894819564,-1,-2.0,XLC,61.34
2022-04-28 15:30:00-04:00,18,32,-38,2,-1,-1,1,-1,0,49.20374886970176,0,1.0,XLC,61.14
2022-04-29 09:30:00-04:00,18,36,-30,2,-1,-1,1,1,2,64.02029724228154,0,0.0,XLC,60.48
2022-04-29 10:30:00-04:00,18,20,-30,2,-1,-1,1,-1,0,49.91152765218908,0,0.0,XLC,60.54
2022-04-29 11:30:00-04:00,18,16,-26,2,-1,-1,1,-1,0,45.2086044554916,0,0.0,XLC,60.1
2022-04-29 12:30:00-04:00,18,8,-26,2,-1,-1,1,-1,0,43.640963389925766,0,0.0,XLC,60.24
2022-04-29 13:30:00-04:00,6,4,-26,-2,-1,-1,1,-1,-4,14.546987796641922,-1,-1.0,XLC,59.89
2022-04-29 14:30:00-04:00,2,4,-26,-2,-1,1,1,-1,-2,21.515662598880642,-1,0.0,XLC,59.55
2022-04-29 15:30:00-04:00,2,0,-26,-2,-1,0,1,-1,-3,15.505220866293547,-1,0.0,XLC,59.08
2022-05-02 09:30:00-04:00,2,4,-30,2,-1,0,-1,-1,-1,30.16840695543118,1,2.0,XLC,60.49
2022-05-02 10:30:00-04:00,2,-8,-34,2,-1,0,0,-1,0,43.38946898514373,0,-1.0,XLC,59.98
2022-05-02 11:30:00-04:00,2,-28,-38,2,-1,0,1,-1,1,56.12982299504791,0,0.0,XLC,60.1
2022-05-02 12:30:00-04:00,10,-32,-34,-2,-1,-1,-1,-1,-6,18.709940998349303,-1,-1.0,XLC,59.54
2022-05-02 13:30:00-04:00,14,-32,-34,-2,-1,-1,0,-1,-5,12.903313666116434,-1,0.0,XLC,59.4
2022-05-02 14:30:00-04:00,14,-36,-34,2,-1,-1,0,-1,-1,37.63443788870548,1,2.0,XLC,60.31
2022-05-02 15:30:00-04:00,18,-36,-30,2,-1,-1,0,-1,-1,45.87814596290182,0,-1.0,XLC,60.67
2022-05-03 09:30:00-04:00,18,-36,-26,2,-1,-1,-1,-1,-2,41.95938198763394,0,0.0,XLC,60.52
2022-05-03 10:30:00-04:00,10,-36,-14,2,-1,1,-1,-1,0,53.98646066254465,0,0.0,XLC,60.81
2022-05-03 11:30:00-04:00,6,-28,-14,2,-1,0,-1,-1,-1,51.32882022084822,0,0.0,XLC,60.59
2022-05-03 12:30:00-04:00,2,-24,-6,2,-1,1,-1,-1,0,57.10960674028274,0,0.0,XLC,61.11
2022-05-03 13:30:00-04:00,2,-20,-6,2,-1,1,-1,1,2,72.36986891342758,0,0.0,XLC,60.75
2022-05-03 14:30:00-04:00,2,-28,-10,2,-1,1,-1,-1,0,64.1232896378092,0,0.0,XLC,60.99
2022-05-03 15:30:00-04:00,-2,-28,-10,2,-1,1,-1,-1,0,61.374429879269734,0,0.0,XLC,60.84
2022-05-04 09:30:00-04:00,-2,-28,10,2,-1,1,-1,1,2,73.79147662642325,0,0.0,XLC,60.24
2022-05-04 10:30:00-04:00,-6,-16,18,-2,-1,1,-1,1,-2,51.263825542141085,0,0.0,XLC,60.14
2022-05-04 11:30:00-04:00,-2,-16,18,2,-1,1,-1,1,2,70.42127518071369,0,0.0,XLC,60.84
2022-05-04 12:30:00-04:00,2,-16,14,2,-1,-1,-1,1,0,63.473758393571224,0,0.0,XLC,61.07
2022-05-04 13:30:00-04:00,2,-16,6,2,-1,0,-1,1,1,67.8245861311904,0,0.0,XLC,61.35
2022-05-04 14:30:00-04:00,-2,-16,10,2,-1,1,-1,1,2,75.94152871039681,1,1.0,XLC,62.74
2022-05-04 15:30:00-04:00,-2,-20,10,2,-1,1,-1,1,2,78.64717623679894,1,0.0,XLC,62.95
2022-05-05 09:30:00-04:00,2,4,10,-2,-1,-1,-1,1,-4,39.549058745599645,-1,-2.0,XLC,61.04
2022-05-05 10:30:00-04:00,2,4,6,-2,-1,0,1,1,-1,46.51635291519988,0,1.0,XLC,60.73
2022-05-05 11:30:00-04:00,2,8,-2,-2,-1,-1,0,1,-3,35.505450971733296,0,0.0,XLC,60.65
2022-05-05 12:30:00-04:00,-2,20,-2,-2,-1,1,0,1,-1,45.16848365724443,0,0.0,XLC,60.83
2022-05-05 13:30:00-04:00,-22,28,2,-2,-1,1,0,1,-1,48.38949455241481,0,0.0,XLC,60.3
2022-05-05 14:30:00-04:00,-14,24,-2,-2,-1,-1,0,1,-3,36.12983151747161,0,0.0,XLC,60.08
2022-05-05 15:30:00-04:00,-22,28,10,-2,1,1,0,1,1,58.709943839157205,0,0.0,XLC,60.64
2022-05-06 09:30:00-04:00,-18,28,2,-2,1,1,0,1,1,66.23664794638573,0,0.0,XLC,59.7
2022-05-06 10:30:00-04:00,-26,32,14,-2,1,1,0,1,1,68.74554931546191,0,0.0,XLC,60.17
2022-05-06 11:30:00-04:00,-30,32,26,-2,1,1,-1,1,0,72.91518310515397,0,0.0,XLC,59.94
2022-05-06 12:30:00-04:00,-30,36,22,-2,1,1,-1,1,0,74.30506103505132,0,0.0,XLC,59.88
2022-05-06 13:30:00-04:00,-26,36,22,-2,1,1,-1,1,0,74.76835367835044,0,0.0,XLC,59.39
2022-05-06 14:30:00-04:00,-26,32,18,-2,1,1,-1,1,0,74.92278455945014,0,0.0,XLC,59.12
2022-05-06 15:30:00-04:00,-22,32,22,-2,1,1,-1,1,0,74.97426151981671,0,0.0,XLC,59.37
2022-05-09 09:30:00-04:00,2,32,18,-2,-1,-1,-1,1,-4,41.658087173272236,0,0.0,XLC,58.31
2022-05-09 10:30:00-04:00,-2,28,22,-2,-1,-1,-1,1,-4,30.55269572442408,0,0.0,XLC,57.97
2022-05-09 11:30:00-04:00,10,28,18,-2,1,-1,-1,-1,-4,26.850898574808028,0,0.0,XLC,58.59
2022-05-09 12:30:00-04:00,26,36,14,-2,1,-1,1,1,0,58.95029952493601,0,0.0,XLC,58.4
2022-05-09 13:30:00-04:00,6,32,10,-2,1,-1,0,-1,-3,44.650099841645336,0,0.0,XLC,58.08
2022-05-09 14:30:00-04:00,6,32,10,-2,1,1,0,0,0,64.88336661388178,0,0.0,XLC,58.05
2022-05-09 15:30:00-04:00,-2,32,10,-2,1,0,0,0,-1,63.294455537960594,0,0.0,XLC,57.84
2022-05-10 09:30:00-04:00,-6,32,-14,-2,1,0,1,0,0,71.09815184598686,0,0.0,XLC,58.73
2022-05-10 10:30:00-04:00,-6,36,-26,-2,1,0,1,1,1,80.84224109151943,1,1.0,XLC,57.82
2022-05-10 11:30:00-04:00,-6,36,-30,-2,1,0,1,1,1,82.50296925272869,1,0.0,XLC,57.79
2022-05-10 12:30:00-04:00,-6,36,-22,-2,1,0,1,1,1,83.05654530646511,1,0.0,XLC,58.15
2022-05-10 13:30:00-04:00,-14,36,-22,-2,1,0,1,1,1,83.24107065771058,1,0.0,XLC,58.47
2022-05-10 14:30:00-04:00,-18,36,-22,-2,1,1,1,1,2,94.41369021923686,1,0.0,XLC,58.24
2022-05-10 15:30:00-04:00,-22,36,-26,-2,1,1,1,1,2,98.13789673974561,1,0.0,XLC,58.07
2022-05-11 09:30:00-04:00,-22,40,-10,-2,1,1,-1,1,0,77.15707669102632,1,0.0,XLC,58.76
2022-05-11 10:30:00-04:00,-22,40,6,-2,1,1,0,1,1,81.274581119231,1,0.0,XLC,58.43
2022-05-11 11:30:00-04:00,-26,40,18,-2,1,1,-1,1,0,71.53597148418811,-1,-2.0,XLC,57.8
2022-05-11 12:30:00-04:00,-34,44,14,-2,1,1,-1,1,0,68.28976827250715,0,1.0,XLC,57.4
2022-05-11 13:30:00-04:00,-30,40,14,-2,1,1,-1,1,0,67.20770053528015,0,0.0,XLC,57.7
2022-05-11 14:30:00-04:00,-30,40,6,-2,1,1,-1,-1,-2,44.62478906731561,0,0.0,XLC,57.41
2022-05-11 15:30:00-04:00,-30,36,10,-2,1,1,-1,0,-1,48.20826302243854,0,0.0,XLC,57.06
2022-05-12 09:30:00-04:00,-18,36,-2,-2,1,-1,1,-1,-2,38.29164322970174,0,0.0,XLC,57.63
2022-05-12 10:30:00-04:00,-14,40,-18,-2,1,0,0,1,0,57.208325521011695,0,0.0,XLC,57.92
2022-05-12 11:30:00-04:00,-14,40,-18,-2,1,0,0,0,-1,52.40277517367056,0,0.0,XLC,57.52
2022-05-12 12:30:00-04:00,-14,36,-14,-2,1,-1,0,-1,-3,28.57870283566797,0,0.0,XLC,57.2
2022-05-12 13:30:00-04:00,-18,36,-18,-2,1,-1,1,-1,-2,31.748456500778214,0,0.0,XLC,56.78
2022-05-12 14:30:00-04:00,-18,36,-18,2,1,-1,1,-1,2,77.24948550025941,1,1.0,XLC,57.12
2022-05-12 15:30:00-04:00,-14,32,-10,2,1,-1,1,-1,2,92.41649516675314,1,0.0,XLC,57.68
2022-05-13 09:30:00-04:00,-10,36,-2,2,1,-1,-1,-1,0,75.24994283336217,1,0.0,XLC,58.78
2022-05-13 10:30:00-04:00,-10,28,6,2,1,-1,0,-1,1,80.63886983334294,1,0.0,XLC,58.93
2022-05-13 11:30:00-04:00,-10,20,6,2,1,-1,0,-1,1,82.43517883333654,1,0.0,XLC,59.19
2022-05-13 12:30:00-04:00,-10,20,6,2,1,-1,0,-1,1,83.03394850000107,1,0.0,XLC,59.06
2022-05-13 13:30:00-04:00,-14,0,6,2,1,-1,-1,-1,0,72.12242727777813,-1,-2.0,XLC,58.53
2022-05-13 14:30:00-04:00,-10,-4,10,2,1,-1,-1,-1,0,68.48525353703717,0,1.0,XLC,59.1
2022-05-13 15:30:00-04:00,-10,-8,10,2,1,-1,-1,-1,0,67.2728622901235,0,0.0,XLC,59.03
2022-05-16 09:30:00-04:00,-10,-12,18,2,1,-1,-1,-1,0,66.86873187448562,0,0.0,XLC,59.23
