Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 11:30:00-04:00,-4,0,10,0,0,0,-1,1,0,53.84615384615385,0,0.0,XLE,80.38
2022-04-20 12:30:00-04:00,-8,8,10,0,0,0,-1,1,0,62.50000000000001,0,0.0,XLE,80.66
2022-04-20 13:30:00-04:00,-8,4,6,0,0,0,1,1,2,87.60330578512398,1,1.0,XLE,80.76
2022-04-20 14:30:00-04:00,-12,8,6,0,0,1,0,1,2,95.87912087912089,1,0.0,XLE,80.78
2022-04-20 15:30:00-04:00,0,8,8,0,0,-1,0,1,0,65.27904849039342,-1,-2.0,XLE,80.65
2022-04-21 09:30:00-04:00,12,8,12,0,0,-1,-1,1,-1,38.42225609756098,0,1.0,XLE,81.31
2022-04-21 10:30:00-04:00,2,12,12,0,0,1,-1,1,1,62.8086576567422,0,0.0,XLE,80.57
2022-04-21 11:30:00-04:00,-10,16,18,-2,0,0,-1,1,-2,20.93551009348327,-1,-1.0,XLE,80.07
2022-04-21 12:30:00-04:00,-32,8,18,-2,0,1,-1,1,-1,23.645185327357098,-1,0.0,XLE,79.32
2022-04-21 13:30:00-04:00,-20,0,10,-2,0,1,1,-1,-1,24.54839680867078,-1,0.0,XLE,78.74
2022-04-21 14:30:00-04:00,10,0,6,-2,0,-1,0,0,-3,8.182788671297267,-1,0.0,XLE,78.09
2022-04-21 15:30:00-04:00,22,0,-6,-2,0,-1,1,-1,-3,2.727595083220294,-1,0.0,XLE,78.11
2022-04-22 09:30:00-04:00,-10,8,-6,-2,0,1,1,1,1,54.24253528457152,1,2.0,XLE,78.32
2022-04-22 10:30:00-04:00,-6,8,-6,-2,0,0,1,0,-1,44.747511540949,0,-1.0,XLE,77.53
2022-04-22 11:30:00-04:00,-6,4,-2,-2,0,0,1,0,-1,41.582503822474685,0,0.0,XLE,77.23
2022-04-22 12:30:00-04:00,-6,12,-2,-2,0,0,1,0,-1,40.52750127143508,0,0.0,XLE,76.93
2022-04-22 13:30:00-04:00,-6,24,-2,-2,0,0,1,1,0,53.50916710164767,0,0.0,XLE,76.73
2022-04-22 14:30:00-04:00,-6,28,2,-2,0,0,-1,1,-2,31.169722360809004,0,0.0,XLE,76.72
2022-04-22 15:30:00-04:00,-6,28,6,-2,0,0,0,1,-1,37.05657412083245,0,0.0,XLE,76.25
2022-04-25 09:30:00-04:00,-6,32,32,-2,0,0,-1,1,-2,25.6855247065818,0,0.0,XLE,72.96
2022-04-25 10:30:00-04:00,-6,40,42,-2,0,0,-1,1,-2,21.89517490215367,-1,-1.0,XLE,71.82
2022-04-25 11:30:00-04:00,-10,40,42,-2,0,0,-1,1,-2,20.631724967380084,-1,0.0,XLE,71.86
2022-04-25 12:30:00-04:00,-10,40,42,-2,0,0,-1,1,-2,20.210574989126197,-1,0.0,XLE,72.17
2022-04-25 13:30:00-04:00,-6,40,42,-2,0,1,-1,1,-1,33.40352499638059,1,2.0,XLE,73.22
2022-04-25 14:30:00-04:00,42,40,46,-2,0,-1,-1,1,-3,11.134508332123945,-1,-2.0,XLE,73.85
2022-04-25 15:30:00-04:00,-42,40,46,-2,0,1,-1,1,-1,30.378169444042157,1,2.0,XLE,73.72
2022-04-26 09:30:00-04:00,-42,40,10,2,0,1,1,1,5,76.79272314801473,1,0.0,XLE,74.09
2022-04-26 10:30:00-04:00,-42,40,-26,2,0,1,1,1,5,92.26424104933831,1,0.0,XLE,75.31
2022-04-26 11:30:00-04:00,-42,40,-26,2,0,1,1,1,5,97.42141368311277,1,0.0,XLE,75.28
2022-04-26 12:30:00-04:00,-42,40,-34,2,0,1,1,1,5,99.14047122770425,1,0.0,XLE,75.01
2022-04-26 13:30:00-04:00,-42,40,-26,2,0,1,1,1,5,99.71349040923475,1,0.0,XLE,74.63
2022-04-26 14:30:00-04:00,-42,40,-22,2,0,1,1,1,5,99.90449680307825,1,0.0,XLE,74.03
2022-04-26 15:30:00-04:00,-42,40,-22,2,0,1,1,1,5,99.96816560102609,1,0.0,XLE,73.76
2022-04-27 09:30:00-04:00,-42,40,-26,2,0,1,1,1,5,99.98938853367537,1,0.0,XLE,73.52
2022-04-27 10:30:00-04:00,-42,40,-34,2,-1,1,1,1,4,91.66312951122512,1,0.0,XLE,74.71
2022-04-27 11:30:00-04:00,-42,40,-34,2,-1,1,1,1,4,88.88770983707504,1,0.0,XLE,75.0
2022-04-27 12:30:00-04:00,-42,44,-34,2,-1,1,1,1,4,87.96256994569167,1,0.0,XLE,75.12
2022-04-27 13:30:00-04:00,-42,44,-38,2,1,1,1,1,6,95.98752331523055,1,0.0,XLE,75.34
2022-04-27 14:30:00-04:00,-42,44,-38,2,1,1,1,1,6,98.6625077717435,1,0.0,XLE,75.06
2022-04-27 15:30:00-04:00,-42,44,-42,2,-1,1,1,1,4,84.73935444243301,1,0.0,XLE,74.84
2022-04-28 09:30:00-04:00,-42,44,-42,2,-1,1,1,1,4,80.09830333266285,1,0.0,XLE,74.5
2022-04-28 10:30:00-04:00,-42,44,-42,2,-1,1,1,1,4,78.5512862960728,1,0.0,XLE,75.28
2022-04-28 11:30:00-04:00,-42,44,-42,2,1,1,1,1,6,92.8504287653576,1,0.0,XLE,76.15
2022-04-28 12:30:00-04:00,-42,44,-38,2,1,1,1,1,6,97.61680958845254,1,0.0,XLE,76.63
2022-04-28 13:30:00-04:00,-42,40,-38,2,1,1,1,-1,4,84.39078838133604,1,0.0,XLE,76.95
2022-04-28 14:30:00-04:00,-42,32,-34,2,1,1,-1,-1,2,65.16729983081571,-1,-2.0,XLE,77.59
