Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 09:30:00-04:00,4,-4,26,2,0,-1,-1,0,0,30.76923076923077,0,0.0,XLF,37.94
2022-04-20 10:30:00-04:00,2,12,16,2,0,1,1,1,5,77.5,1,1.0,XLF,38.05
2022-04-20 11:30:00-04:00,-2,10,18,2,0,1,0,1,4,79.17355371900827,1,0.0,XLF,38.04
2022-04-20 12:30:00-04:00,2,14,26,2,0,-1,-1,1,1,39.67032967032967,-1,-2.0,XLF,37.95
2022-04-20 13:30:00-04:00,4,14,18,2,0,-1,-1,1,1,26.55077767612077,0,1.0,XLF,37.94
2022-04-20 14:30:00-04:00,6,18,14,2,0,-1,1,1,3,48.853658536585364,0,0.0,XLF,37.96
2022-04-20 15:30:00-04:00,4,18,16,2,0,-1,0,1,2,42.95091962198964,0,0.0,XLF,37.87
2022-04-21 09:30:00-04:00,0,18,16,2,0,1,0,1,4,67.65072483403333,0,0.0,XLF,38.18
2022-04-21 10:30:00-04:00,-2,20,24,2,0,1,-1,1,3,62.55021281880484,0,0.0,XLF,37.92
2022-04-21 11:30:00-04:00,-2,24,16,-2,0,1,1,1,1,34.183350895679666,0,0.0,XLF,37.71
2022-04-21 12:30:00-04:00,-2,24,10,-2,0,1,0,1,0,11.394436004771936,-1,-1.0,XLF,37.68
2022-04-21 13:30:00-04:00,6,20,2,-2,0,-1,1,1,-1,3.7981437467279737,-1,0.0,XLF,37.52
2022-04-21 14:30:00-04:00,6,20,6,-2,0,-1,1,1,-1,1.266047739109867,-1,0.0,XLF,37.36
2022-04-21 15:30:00-04:00,2,20,6,-2,0,1,1,1,1,22.644238631886473,-1,0.0,XLF,37.28
2022-04-22 09:30:00-04:00,0,24,-6,-2,0,0,1,1,0,18.659190624214954,-1,0.0,XLF,36.9
2022-04-22 10:30:00-04:00,-8,24,-18,-2,0,1,1,1,1,28.44195245554489,1,2.0,XLF,36.74
2022-04-22 11:30:00-04:00,-4,40,-14,-2,0,1,1,1,1,31.702873043542855,0,-1.0,XLF,36.65
2022-04-22 12:30:00-04:00,0,44,-14,-2,0,-1,1,1,-1,10.56762434178609,-1,-1.0,XLF,36.62
2022-04-22 13:30:00-04:00,2,40,-10,-2,0,0,1,1,0,14.633652558761852,-1,0.0,XLF,36.49
2022-04-22 14:30:00-04:00,6,44,-6,-2,0,-1,1,1,-1,4.877884185943071,-1,0.0,XLF,36.44
2022-04-22 15:30:00-04:00,-2,40,2,-2,0,1,-1,1,-1,1.6259613952798144,-1,0.0,XLF,36.17
2022-04-25 09:30:00-04:00,-2,40,6,-2,0,0,0,1,-1,0.5419871317561001,-1,0.0,XLF,35.61
