Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-19 14:30:00-04:00,10,4,0,2,0,0,0,0,2,100.0,1,1.0,XLK,149.88
2022-04-19 15:30:00-04:00,8,6,-4,2,0,0,0,0,2,100.0,1,0.0,XLK,149.86
2022-04-20 09:30:00-04:00,2,6,-6,2,0,0,0,1,3,100.0,1,0.0,XLK,150.96
2022-04-20 10:30:00-04:00,-10,2,-6,2,0,1,1,-1,3,100.0,1,0.0,XLK,150.15
2022-04-20 11:30:00-04:00,-14,6,14,2,0,1,-1,1,3,100.0,1,0.0,XLK,149.75
2022-04-20 12:30:00-04:00,-14,14,14,2,0,1,-1,1,3,100.0,1,0.0,XLK,150.37
2022-04-20 13:30:00-04:00,-18,16,6,2,0,1,1,1,5,100.0,1,0.0,XLK,149.97
2022-04-20 14:30:00-04:00,-12,16,14,2,0,1,-1,1,3,73.33288172334372,-1,-2.0,XLK,150.03
2022-04-20 15:30:00-04:00,-12,14,14,2,0,1,-1,1,3,64.44424373115962,0,1.0,XLK,149.77
2022-04-21 09:30:00-04:00,-8,18,14,2,0,-1,-1,1,1,34.814692157157914,0,0.0,XLK,151.93
2022-04-21 10:30:00-04:00,-8,22,12,2,0,0,-1,1,2,38.271566220625445,0,0.0,XLK,151.26
2022-04-21 11:30:00-04:00,-8,16,12,-2,0,0,-1,1,-2,12.757183405784861,-1,-1.0,XLK,149.68
2022-04-21 12:30:00-04:00,-8,16,8,-2,0,0,-1,1,-2,4.252393875881549,-1,0.0,XLK,149.54
2022-04-21 13:30:00-04:00,-18,20,4,-2,0,1,1,1,1,29.98889379459606,1,2.0,XLK,148.19
2022-04-21 14:30:00-04:00,-22,16,24,-2,0,1,-1,1,-1,19.520107374276243,-1,-2.0,XLK,147.66
2022-04-21 15:30:00-04:00,-26,12,20,-2,0,1,-1,-1,-3,6.506702424502208,-1,0.0,XLK,147.29
2022-04-22 09:30:00-04:00,-18,20,8,-2,0,-1,1,1,-1,18.835567485441718,-1,0.0,XLK,145.75
2022-04-22 10:30:00-04:00,-14,24,-8,-2,0,0,1,1,0,31.27852249871584,1,2.0,XLK,146.08
2022-04-22 11:30:00-04:00,-2,32,-18,-2,0,-1,1,1,-1,27.092840832505136,0,-1.0,XLK,145.14
2022-04-22 12:30:00-04:00,-2,32,-22,-2,0,-1,1,1,-1,25.697613610790587,0,0.0,XLK,144.84
2022-04-22 13:30:00-04:00,-6,40,-18,-2,0,-1,1,1,-1,25.232537870258586,0,0.0,XLK,144.32
