Datetime,multiplier_div,multiplier_cor,multiplier_ds,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,IMO_Signal,Signal,Mult_change,symbol,Price
2022-04-20 10:30:00-04:00,-12,6,22,2,0,1,-1,0,2,100.0,1,1.0,XLU,76.7
2022-04-20 11:30:00-04:00,-18,14,30,2,0,1,-1,0,2,100.0,1,0.0,XLU,76.84
2022-04-20 12:30:00-04:00,-8,22,40,2,0,-1,-1,1,1,66.52892561983471,-1,-2.0,XLU,76.93
2022-04-20 13:30:00-04:00,-6,22,50,2,0,0,-1,1,2,88.87362637362637,1,2.0,XLU,77.02
2022-04-20 14:30:00-04:00,-6,16,52,2,0,0,-1,1,2,96.29460201280878,1,0.0,XLU,76.82
2022-04-20 15:30:00-04:00,-10,18,52,2,0,0,-1,1,2,98.76524390243902,1,0.0,XLU,76.76
2022-04-21 09:30:00-04:00,-20,18,54,-2,0,1,-1,1,-1,32.918402601361656,-1,-2.0,XLU,76.48
2022-04-21 10:30:00-04:00,-32,18,54,-2,0,1,-1,1,-1,10.97242921013413,-1,0.0,XLU,76.31
2022-04-21 11:30:00-04:00,-34,18,46,-2,0,1,-1,1,-1,3.657435110022243,-1,0.0,XLU,76.15
2022-04-21 12:30:00-04:00,-38,18,42,-2,0,1,-1,1,-1,1.219140448592504,-1,0.0,XLU,76.07
2022-04-21 13:30:00-04:00,-26,20,18,-2,0,1,1,1,1,44.85085196089623,1,2.0,XLU,76.17
2022-04-21 14:30:00-04:00,-24,24,-2,-2,0,-1,1,1,-1,14.950277735498126,-1,-2.0,XLU,75.99
2022-04-21 15:30:00-04:00,-26,24,-2,-2,0,0,1,1,0,27.20564898815283,1,2.0,XLU,75.49
2022-04-22 09:30:00-04:00,-22,32,-30,-2,0,0,1,1,0,31.29077197983958,0,-1.0,XLU,75.17
2022-04-22 10:30:00-04:00,16,36,-38,-2,0,-1,1,1,-1,10.43025716507929,-1,-1.0,XLU,74.98
2022-04-22 11:30:00-04:00,2,36,-38,-2,0,-1,1,1,-1,3.4767523704115524,-1,0.0,XLU,75.05
2022-04-22 12:30:00-04:00,2,40,-46,-2,0,1,1,1,1,45.603361937493666,1,2.0,XLU,75.07
2022-04-22 13:30:00-04:00,6,40,-46,-2,0,-1,1,1,-1,15.201120637111947,-1,-2.0,XLU,74.99
2022-04-22 14:30:00-04:00,6,40,-46,-2,0,-1,1,1,-1,5.067040211401841,-1,0.0,XLU,74.85
2022-04-22 15:30:00-04:00,-2,40,-46,-2,0,1,1,1,1,46.1334578495537,1,2.0,XLU,74.28
2022-04-25 09:30:00-04:00,-2,40,-22,-2,0,0,1,1,0,37.60004150531615,0,-1.0,XLU,73.07
2022-04-25 10:30:00-04:00,2,36,-10,-2,0,0,-1,1,-2,12.533347168349962,-1,-1.0,XLU,72.94
2022-04-25 11:30:00-04:00,2,36,-6,-2,0,0,0,1,-1,20.84444905612646,-1,0.0,XLU,72.88
2022-04-25 12:30:00-04:00,2,36,6,-2,0,0,0,1,-1,23.614816352043242,-1,0.0,XLU,72.69
2022-04-25 13:30:00-04:00,14,36,10,-2,0,-1,-1,1,-3,7.871605450679017,-1,0.0,XLU,73.35
2022-04-25 14:30:00-04:00,-30,40,14,-2,0,1,-1,1,-1,29.290535150227274,1,2.0,XLU,73.69
2022-04-25 15:30:00-04:00,2,40,14,2,0,0,-1,1,2,76.43017838340977,1,0.0,XLU,73.76
2022-04-26 09:30:00-04:00,18,40,-34,2,0,-1,1,1,3,92.14339279446999,1,0.0,XLU,73.73
2022-04-26 10:30:00-04:00,26,40,-38,2,0,-1,1,1,3,97.38113093148999,1,0.0,XLU,74.19
2022-04-26 11:30:00-04:00,22,40,-34,2,0,-1,1,1,3,99.12704364382999,1,0.0,XLU,74.02
2022-04-26 12:30:00-04:00,26,40,-38,2,0,-1,1,1,3,99.70901454794333,1,0.0,XLU,73.6
2022-04-26 13:30:00-04:00,26,40,-34,2,0,-1,1,1,3,99.90300484931443,1,0.0,XLU,73.56
2022-04-26 14:30:00-04:00,26,40,-42,-2,0,-1,1,1,-1,55.523223838660364,-1,-2.0,XLU,73.14
2022-04-26 15:30:00-04:00,26,40,-34,-2,0,-1,1,1,-1,40.72996350177568,0,1.0,XLU,72.97
2022-04-27 09:30:00-04:00,30,44,-38,-2,0,-1,1,1,-1,35.79887672281412,0,0.0,XLU,73.15
2022-04-27 10:30:00-04:00,26,44,-38,-2,1,-1,1,1,0,45.26629224093804,0,0.0,XLU,73.4
2022-04-27 11:30:00-04:00,26,44,-30,-2,-1,-1,1,1,-2,26.199875191423796,0,0.0,XLU,73.5
2022-04-27 12:30:00-04:00,22,44,-18,-2,-1,-1,-1,1,-4,8.7332917304746,-1,-1.0,XLU,73.56
2022-04-27 13:30:00-04:00,22,44,-10,-2,-1,-1,0,1,-3,12.434906767301058,-1,0.0,XLU,73.24
2022-04-27 14:30:00-04:00,22,40,-2,-2,-1,-1,0,-1,-5,4.144968922433686,-1,0.0,XLU,72.96
2022-04-27 15:30:00-04:00,22,40,14,-2,-1,1,-1,-1,-4,9.714989640811229,-1,0.0,XLU,72.64
2022-04-28 09:30:00-04:00,22,40,-2,-2,-1,1,-1,-1,-4,11.571663213603742,-1,0.0,XLU,73.2
2022-04-28 10:30:00-04:00,22,40,-6,-2,-1,1,1,-1,-2,28.85722107120125,1,2.0,XLU,73.16
2022-04-28 11:30:00-04:00,22,36,-2,2,1,1,0,-1,3,76.28574035706708,1,0.0,XLU,73.69
2022-04-28 12:30:00-04:00,22,36,30,2,1,1,-1,-1,2,83.7619134523557,1,0.0,XLU,73.45
2022-04-28 13:30:00-04:00,22,32,38,2,1,1,-1,-1,2,86.25397115078523,1,0.0,XLU,73.25
2022-04-28 14:30:00-04:00,22,28,46,2,1,1,-1,-1,2,87.08465705026174,1,0.0,XLU,73.5
2022-04-28 15:30:00-04:00,22,16,46,2,1,1,-1,-1,2,87.36155235008725,1,0.0,XLU,73.49
2022-04-29 09:30:00-04:00,18,16,54,-2,1,1,-1,-1,-2,54.12051745002909,-1,-2.0,XLU,72.38
2022-04-29 10:30:00-04:00,14,8,46,-2,1,1,-1,-1,-2,43.040172483343035,0,1.0,XLU,72.4
2022-04-29 11:30:00-04:00,14,-4,42,-2,1,1,-1,-1,-2,39.346724161114345,0,0.0,XLU,72.14
2022-04-29 12:30:00-04:00,2,-12,30,-2,1,1,1,-1,0,54.78224138703811,0,0.0,XLU,72.08
2022-04-29 13:30:00-04:00,6,-16,26,-2,1,1,0,-1,-1,51.594080462346035,0,0.0,XLU,72.02
2022-04-29 14:30:00-04:00,2,-24,18,-2,1,1,0,-1,-1,50.53136015411534,0,0.0,XLU,71.65
2022-04-29 15:30:00-04:00,26,-32,18,-2,1,-1,0,-1,-3,33.51045338470511,0,0.0,XLU,71.28
2022-05-02 09:30:00-04:00,30,-32,2,2,1,-1,1,-1,2,69.50348446156836,0,0.0,XLU,71.53
2022-05-02 10:30:00-04:00,-18,-32,2,-2,1,1,1,-1,0,64.83449482052278,0,0.0,XLU,70.86
2022-05-02 11:30:00-04:00,-18,-28,6,-2,1,1,1,-1,0,63.27816494017426,0,0.0,XLU,70.47
2022-05-02 12:30:00-04:00,-18,-24,10,-2,1,1,1,-1,0,62.75938831339142,0,0.0,XLU,70.26
2022-05-02 13:30:00-04:00,-22,-28,14,-2,1,1,1,-1,0,62.58646277113047,0,0.0,XLU,70.01
2022-05-02 14:30:00-04:00,-26,-24,14,2,1,1,1,-1,4,87.52882092371016,1,1.0,XLU,70.38
2022-05-02 15:30:00-04:00,-14,-20,18,2,1,1,-1,-1,2,81.02812549308857,1,0.0,XLU,70.54
2022-05-03 09:30:00-04:00,-30,-4,18,2,1,1,0,1,5,93.67604183102952,1,0.0,XLU,71.15
2022-05-03 10:30:00-04:00,-30,-8,14,2,1,1,0,1,5,97.8920139436765,1,0.0,XLU,71.75
2022-05-03 11:30:00-04:00,-26,0,10,2,1,1,0,1,5,99.2973379812255,1,0.0,XLU,71.55
2022-05-03 12:30:00-04:00,-22,-4,14,2,1,1,0,1,5,99.76577932707517,1,0.0,XLU,71.33
2022-05-03 13:30:00-04:00,-26,-4,14,-2,1,1,0,1,1,73.25525977569173,-1,-2.0,XLU,70.76
2022-05-03 14:30:00-04:00,-26,-4,22,-2,1,1,-1,1,0,57.751753258563916,0,1.0,XLU,70.87
2022-05-03 15:30:00-04:00,-26,-8,22,-2,1,1,-1,1,0,52.58391775285464,0,0.0,XLU,70.79
2022-05-04 09:30:00-04:00,-22,-8,10,2,1,-1,1,1,4,77.52797258428488,1,1.0,XLU,71.36
2022-05-04 10:30:00-04:00,-22,-4,-10,2,1,0,1,1,5,92.50932419476163,1,0.0,XLU,71.52
2022-05-04 11:30:00-04:00,-22,-4,-18,2,1,0,1,1,5,97.50310806492054,1,0.0,XLU,71.58
2022-05-04 12:30:00-04:00,-22,-8,-30,2,1,0,1,1,5,99.16770268830685,1,0.0,XLU,71.45
2022-05-04 13:30:00-04:00,-26,-8,-30,2,1,0,1,-1,3,86.38923422943562,1,0.0,XLU,71.75
2022-05-04 14:30:00-04:00,-26,-8,-10,2,1,0,-1,0,2,75.46307807647854,1,0.0,XLU,72.22
2022-05-04 15:30:00-04:00,-26,-8,-2,2,1,0,0,-1,2,71.82102602549286,-1,-2.0,XLU,72.37
2022-05-05 09:30:00-04:00,-26,0,-22,2,1,0,0,1,4,83.94034200849762,1,2.0,XLU,72.07
2022-05-05 10:30:00-04:00,-26,0,-30,2,1,1,1,1,6,94.64678066949921,1,0.0,XLU,71.63
2022-05-05 11:30:00-04:00,-26,-4,-30,-2,1,1,1,-1,0,61.851957192863374,-1,-2.0,XLU,71.62
2022-05-05 12:30:00-04:00,-26,8,-30,2,1,1,1,1,6,87.28398573095446,1,2.0,XLU,71.96
2022-05-05 13:30:00-04:00,-26,12,-30,-2,1,1,1,1,2,69.09466191031815,-1,-2.0,XLU,71.4
2022-05-05 14:30:00-04:00,-22,12,-34,-2,1,-1,1,1,0,45.253776192328274,0,1.0,XLU,71.11
2022-05-05 15:30:00-04:00,-22,8,-34,-2,-1,-1,1,1,-2,22.491999471516834,-1,-1.0,XLU,71.67
2022-05-06 09:30:00-04:00,-14,12,-38,-2,-1,-1,1,1,-2,14.904740564579685,-1,0.0,XLU,71.66
2022-05-06 10:30:00-04:00,-14,12,-38,2,-1,-1,1,1,2,42.00528389189693,1,2.0,XLU,71.98
2022-05-06 11:30:00-04:00,-14,4,-38,2,-1,-1,1,-1,0,36.2239835195212,0,-1.0,XLU,71.86
2022-05-06 12:30:00-04:00,-14,-4,-38,2,-1,-1,1,0,1,41.704290802803364,0,0.0,XLU,71.89
2022-05-06 13:30:00-04:00,-14,-12,-30,2,-1,-1,1,-1,0,36.12365248982334,0,0.0,XLU,71.43
2022-05-06 14:30:00-04:00,-14,-20,-30,2,-1,-1,1,-1,0,34.26343971883001,0,0.0,XLU,71.71
2022-05-06 15:30:00-04:00,-14,-24,-30,2,-1,-1,-1,-1,-2,18.828553980350744,-1,-1.0,XLU,72.21
2022-05-09 09:30:00-04:00,-18,-28,-22,2,-1,-1,-1,-1,-2,13.683592067524321,-1,0.0,XLU,71.51
2022-05-09 10:30:00-04:00,-18,-28,-26,2,-1,1,-1,-1,0,26.78341957806366,1,2.0,XLU,71.57
2022-05-09 11:30:00-04:00,-18,-32,-18,2,-1,0,-1,-1,-1,23.742621340836035,-1,-2.0,XLU,71.77
2022-05-09 12:30:00-04:00,-30,-28,-14,2,-1,1,-1,-1,0,30.136429335834237,1,2.0,XLU,71.66
2022-05-09 13:30:00-04:00,-30,-24,-10,2,-1,1,-1,-1,0,26.712143111944744,0,-1.0,XLU,71.8
2022-05-09 14:30:00-04:00,-22,-36,-2,2,-1,-1,-1,-1,-2,8.90404770398158,-1,-1.0,XLU,71.97
2022-05-09 15:30:00-04:00,-18,-32,2,2,-1,0,-1,-1,-1,11.301349234660528,-1,0.0,XLU,71.67
2022-05-10 09:30:00-04:00,-18,-32,22,2,-1,0,-1,-1,-1,12.100449744886843,-1,0.0,XLU,71.98
2022-05-10 10:30:00-04:00,-14,-32,22,-2,-1,-1,-1,-1,-6,4.033483248295615,-1,0.0,XLU,71.09
2022-05-10 11:30:00-04:00,-14,-36,18,-2,-1,-1,-1,-1,-6,1.3444944160985381,-1,0.0,XLU,70.33
2022-05-10 12:30:00-04:00,-18,-36,10,-2,1,-1,-1,-1,-4,11.559275916477292,-1,0.0,XLU,70.49
2022-05-10 13:30:00-04:00,34,-8,-10,-2,1,-1,1,1,0,37.18642530549243,1,2.0,XLU,70.68
2022-05-10 14:30:00-04:00,-10,36,-10,-2,1,1,0,1,1,51.2843639907197,0,-1.0,XLU,70.52
2022-05-10 15:30:00-04:00,38,40,-14,-2,1,-1,0,1,-1,44.87256577468435,0,0.0,XLU,70.78
2022-05-11 09:30:00-04:00,34,40,-22,2,1,-1,1,1,4,70.51307748045033,0,0.0,XLU,71.68
2022-05-11 10:30:00-04:00,30,40,-26,2,-1,-1,1,1,2,67.94880360459456,0,0.0,XLU,72.26
2022-05-11 11:30:00-04:00,30,40,-34,-2,-1,-1,1,1,-2,44.871823423753746,0,0.0,XLU,71.89
2022-05-11 12:30:00-04:00,30,44,-34,-2,-1,-1,1,1,-2,37.17949669680681,0,0.0,XLU,71.86
2022-05-11 13:30:00-04:00,30,40,-38,2,-1,-1,1,1,2,56.83761001004672,0,0.0,XLU,72.07
2022-05-11 14:30:00-04:00,30,40,-38,-2,1,-1,1,1,0,52.27920333668224,0,0.0,XLU,71.62
2022-05-11 15:30:00-04:00,26,40,-42,-2,1,-1,1,1,0,50.759734445560746,0,0.0,XLU,71.33
2022-05-12 09:30:00-04:00,22,36,-38,-2,1,1,1,1,2,61.36435592629803,0,0.0,XLU,70.79
2022-05-12 10:30:00-04:00,-6,36,-18,-2,1,0,-1,1,-1,48.23256308654379,0,0.0,XLU,70.51
2022-05-12 11:30:00-04:00,-42,36,-6,-2,1,1,0,1,1,54.966409917736826,0,0.0,XLU,70.16
2022-05-12 12:30:00-04:00,-34,40,-6,-2,1,1,-1,1,0,51.65546997257894,0,0.0,XLU,70.32
2022-05-12 13:30:00-04:00,42,40,-22,-2,1,-1,1,-1,-2,39.44071221308187,0,0.0,XLU,70.44
2022-05-12 14:30:00-04:00,-14,36,-2,-2,1,0,-1,-1,-3,29.813570737693954,0,0.0,XLU,70.06
2022-05-12 15:30:00-04:00,38,36,6,-2,1,-1,-1,-1,-4,21.048968023675766,-1,-1.0,XLU,70.6
2022-05-13 09:30:00-04:00,38,36,30,2,-1,-1,-1,-1,-2,29.238544896780812,1,2.0,XLU,71.19
2022-05-13 10:30:00-04:00,34,36,38,2,-1,-1,-1,-1,-2,36.41284829892694,0,-1.0,XLU,71.23
2022-05-13 11:30:00-04:00,34,32,42,2,-1,-1,-1,-1,-2,38.80428276630898,0,0.0,XLU,71.39
2022-05-13 12:30:00-04:00,26,32,42,2,-1,-1,-1,-1,-2,39.60142758876966,0,0.0,XLU,70.89
2022-05-13 13:30:00-04:00,18,28,42,2,-1,-1,-1,-1,-2,39.86714252958989,0,0.0,XLU,70.84
2022-05-13 14:30:00-04:00,30,28,46,2,-1,-1,-1,-1,-2,39.955714176529966,0,0.0,XLU,71.35
2022-05-13 15:30:00-04:00,34,24,46,2,-1,-1,-1,-1,-2,39.98523805884332,0,0.0,XLU,71.42
2022-05-16 09:30:00-04:00,34,20,46,2,-1,-1,-1,-1,-2,39.995079352947776,0,0.0,XLU,71.43
2022-05-16 10:30:00-04:00,34,20,30,2,-1,-1,-1,-1,-2,39.99835978431593,0,0.0,XLU,71.76
2022-05-16 11:30:00-04:00,34,20,26,2,-1,-1,-1,-1,-2,39.999453261438646,0,0.0,XLU,71.65
2022-05-16 12:30:00-04:00,34,24,26,2,1,-1,1,-1,2,66.66648442047955,0,0.0,XLU,71.85
2022-05-16 13:30:00-04:00,34,24,30,2,-1,-1,0,-1,-1,55.555494806826516,0,0.0,XLU,71.93
2022-05-16 14:30:00-04:00,34,20,30,2,1,-1,0,-1,1,65.18516493560884,0,0.0,XLU,71.71
2022-05-16 15:30:00-04:00,34,12,26,2,1,-1,1,-1,2,75.06172164520295,1,1.0,XLU,71.67
2022-05-17 09:30:00-04:00,34,16,46,2,1,-1,-1,-1,0,65.02057388173432,-1,-2.0,XLU,71.79
2022-05-17 10:30:00-04:00,30,16,46,2,1,-1,-1,-1,0,61.673524627244774,0,1.0,XLU,72.04
2022-05-17 11:30:00-04:00,30,20,46,2,1,-1,-1,1,2,73.89117487574826,0,0.0,XLU,71.97
2022-05-17 12:30:00-04:00,26,20,46,2,1,1,-1,0,3,84.63039162524943,1,1.0,XLU,72.1
2022-05-17 13:30:00-04:00,26,24,46,2,1,1,-1,0,3,88.21013054174982,1,0.0,XLU,71.85
2022-05-17 14:30:00-04:00,22,24,46,2,-1,1,-1,1,2,82.73671018058327,1,0.0,XLU,72.26
2022-05-17 15:30:00-04:00,22,24,50,2,-1,1,-1,1,2,80.91223672686108,1,0.0,XLU,72.4
2022-05-18 09:30:00-04:00,22,16,26,2,-1,1,1,-1,2,76.97074557562036,1,0.0,XLU,72.42
2022-05-18 10:30:00-04:00,30,16,-14,2,-1,-1,1,0,1,67.32358185854012,-1,-2.0,XLU,72.26
2022-05-18 11:30:00-04:00,30,12,-38,2,-1,0,1,-1,1,64.10786061951337,0,1.0,XLU,72.55
2022-05-18 12:30:00-04:00,30,12,-30,2,-1,0,1,-1,1,63.035953539837784,0,0.0,XLU,71.98
2022-05-18 13:30:00-04:00,30,12,-34,2,1,0,1,-1,3,79.34531784661259,1,1.0,XLU,72.05
2022-05-18 14:30:00-04:00,34,8,-30,-2,1,-1,1,-1,-2,45.49605832982325,-1,-2.0,XLU,71.61
2022-05-18 15:30:00-04:00,34,0,-30,-2,1,-1,1,-1,-2,34.2129718242268,0,1.0,XLU,71.73
2022-05-19 09:30:00-04:00,30,-4,-30,-2,1,-1,1,-1,-2,30.45194298902798,0,0.0,XLU,71.31
2022-05-19 10:30:00-04:00,26,-4,-26,-2,1,1,1,-1,0,48.245885758247425,0,0.0,XLU,70.66
2022-05-19 11:30:00-04:00,26,4,-18,-2,1,0,1,-1,-1,44.65339049084438,0,0.0,XLU,71.02
2022-05-19 12:30:00-04:00,26,8,-22,-2,1,0,1,1,1,62.50351111599574,0,0.0,XLU,70.95
2022-05-19 13:30:00-04:00,30,8,-22,-2,1,0,1,0,0,58.929741800570014,0,0.0,XLU,71.15
2022-05-19 14:30:00-04:00,30,12,-26,-2,-1,0,1,0,-2,38.69086631447572,0,0.0,XLU,71.39
2022-05-19 15:30:00-04:00,38,8,-38,-2,-1,-1,1,0,-3,22.4207649619681,-1,-1.0,XLU,71.53
2022-05-20 09:30:00-04:00,38,4,-22,-2,-1,-1,-1,0,-5,7.473588320656034,-1,0.0,XLU,71.47
2022-05-20 10:30:00-04:00,38,-4,-30,-2,-1,-1,0,-1,-5,2.4911961068853445,-1,0.0,XLU,71.14
2022-05-20 11:30:00-04:00,38,-8,-42,-2,-1,-1,1,-1,-4,9.163732035628447,-1,0.0,XLU,71.15
2022-05-20 12:30:00-04:00,50,-12,-50,-2,-1,-1,1,-1,-4,11.387910678542816,-1,0.0,XLU,70.97
2022-05-20 13:30:00-04:00,46,-20,-50,-2,-1,-1,1,-1,-4,12.129303559514272,-1,0.0,XLU,71.09
2022-05-20 14:30:00-04:00,42,-24,-46,-2,-1,1,1,-1,-2,29.043101186504757,1,2.0,XLU,71.31
2022-05-20 15:30:00-04:00,10,-24,-42,2,-1,1,1,-1,2,68.01436706216826,0,-1.0,XLU,71.74
2022-05-23 09:30:00-04:00,-6,-24,-26,2,1,1,-1,-1,2,81.00478902072275,1,1.0,XLU,72.75
2022-05-23 10:30:00-04:00,-10,-20,-22,2,-1,1,-1,-1,0,68.66826300690758,-1,-2.0,XLU,72.84
2022-05-23 11:30:00-04:00,-14,-16,2,2,-1,1,-1,-1,0,64.5560876689692,0,1.0,XLU,72.39
2022-05-23 12:30:00-04:00,-22,-4,14,-2,-1,1,-1,1,-2,46.51869588965641,0,0.0,XLU,72.36
2022-05-23 13:30:00-04:00,-30,-4,34,2,-1,1,-1,0,1,65.50623196321881,0,0.0,XLU,72.56
2022-05-23 14:30:00-04:00,-34,-4,30,2,-1,1,-1,0,1,71.83541065440626,0,0.0,XLU,72.5
2022-05-23 15:30:00-04:00,-34,-4,30,2,-1,1,-1,0,1,73.94513688480208,0,0.0,XLU,72.6
2022-05-24 09:30:00-04:00,-30,-12,10,-2,-1,1,-1,0,-3,41.31504562826736,0,0.0,XLU,72.34
2022-05-24 10:30:00-04:00,-22,-20,-2,-2,-1,1,1,0,-1,47.105015209422454,0,0.0,XLU,72.61
2022-05-24 11:30:00-04:00,-18,-16,-10,2,-1,1,0,0,2,74.03500506980748,0,0.0,XLU,73.02
2022-05-24 12:30:00-04:00,-18,-28,-6,2,-1,1,0,-1,1,74.67833502326916,0,0.0,XLU,73.15
2022-05-24 13:30:00-04:00,-14,-28,6,2,-1,1,0,-1,1,74.89277834108971,0,0.0,XLU,73.61
2022-05-24 14:30:00-04:00,-14,-24,2,2,-1,-1,0,-1,-1,58.29759278036323,0,0.0,XLU,73.98
2022-05-24 15:30:00-04:00,-22,-24,14,2,-1,0,0,-1,0,61.09919759345441,0,0.0,XLU,74.07
2022-05-25 09:30:00-04:00,-30,-20,22,2,-1,1,0,1,3,87.0330658644848,1,1.0,XLU,73.97
