Datetime,MultiplierSum,SignalSum
2022-05-02 14:30:00-04:00,28.0,3.0
2022-05-02 15:30:00-04:00,34.0,17.0
2022-05-03 09:30:00-04:00,25.0,3.0
2022-05-03 10:30:00-04:00,40.0,11.0
2022-05-03 11:30:00-04:00,55.0,12.0
2022-05-03 12:30:00-04:00,50.0,7.0
2022-05-03 13:30:00-04:00,31.0,4.0
2022-05-03 14:30:00-04:00,25.0,2.0
2022-05-03 15:30:00-04:00,56.0,11.0
2022-05-04 09:30:00-04:00,22.0,0.0
2022-05-04 10:30:00-04:00,3.0,-6.0
2022-05-04 11:30:00-04:00,18.0,-1.0
2022-05-04 12:30:00-04:00,18.0,0.0
2022-05-04 13:30:00-04:00,47.0,13.0
2022-05-04 14:30:00-04:00,71.0,20.0
2022-05-04 15:30:00-04:00,82.0,14.0
2022-05-05 09:30:00-04:00,-7.0,-12.0
2022-05-05 10:30:00-04:00,-30.0,-14.0
2022-05-05 11:30:00-04:00,-36.0,-19.0
2022-05-05 12:30:00-04:00,-24.0,-10.0
2022-05-05 13:30:00-04:00,-37.0,-16.0
2022-05-05 14:30:00-04:00,-37.0,-15.0
2022-05-05 15:30:00-04:00,-28.0,-12.0
2022-05-06 09:30:00-04:00,-19.0,-2.0
2022-05-06 10:30:00-04:00,22.0,7.0
2022-05-06 11:30:00-04:00,22.0,-3.0
2022-05-06 12:30:00-04:00,8.0,-2.0
2022-05-06 13:30:00-04:00,-17.0,-7.0
2022-05-06 14:30:00-04:00,-24.0,-10.0
2022-05-06 15:30:00-04:00,-37.0,-10.0
2022-05-09 09:30:00-04:00,-71.0,-20.0
2022-05-09 10:30:00-04:00,-69.0,-20.0
2022-05-09 11:30:00-04:00,-58.0,-10.0
2022-05-09 12:30:00-04:00,-50.0,-12.0
2022-05-09 13:30:00-04:00,-44.0,-15.0
2022-05-09 14:30:00-04:00,-48.0,-14.0
2022-05-09 15:30:00-04:00,-44.0,-8.0
2022-05-10 09:30:00-04:00,-31.0,-1.0
2022-05-10 10:30:00-04:00,-37.0,-4.0
2022-05-10 11:30:00-04:00,-48.0,-11.0
2022-05-10 12:30:00-04:00,-36.0,-6.0
2022-05-10 13:30:00-04:00,2.0,1.0
2022-05-10 14:30:00-04:00,10.0,0.0
2022-05-10 15:30:00-04:00,-17.0,-9.0
2022-05-11 09:30:00-04:00,16.0,8.0
2022-05-11 10:30:00-04:00,30.0,6.0
2022-05-11 11:30:00-04:00,2.0,0.0
2022-05-11 12:30:00-04:00,-10.0,-1.0
2022-05-11 13:30:00-04:00,-20.0,-3.0
2022-05-11 14:30:00-04:00,-36.0,-7.0
2022-05-11 15:30:00-04:00,-28.0,-1.0
2022-05-12 09:30:00-04:00,-37.0,-18.0
2022-05-12 10:30:00-04:00,-34.0,-7.0
2022-05-12 11:30:00-04:00,-28.0,-13.0
2022-05-12 12:30:00-04:00,-51.0,-14.0
2022-05-12 13:30:00-04:00,-30.0,0.0
2022-05-12 14:30:00-04:00,-39.0,-7.0
2022-05-12 15:30:00-04:00,8.0,10.0
2022-05-13 09:30:00-04:00,29.0,12.0
2022-05-13 10:30:00-04:00,26.0,8.0
2022-05-13 11:30:00-04:00,19.0,5.0
2022-05-13 12:30:00-04:00,27.0,7.0
2022-05-13 13:30:00-04:00,22.0,6.0
2022-05-13 14:30:00-04:00,26.0,5.0
2022-05-13 15:30:00-04:00,25.0,6.0
2022-05-16 09:30:00-04:00,24.0,7.0
2022-05-16 10:30:00-04:00,5.0,3.0
2022-05-16 11:30:00-04:00,10.0,6.0
2022-05-16 12:30:00-04:00,34.0,8.0
2022-05-16 13:30:00-04:00,22.0,6.0
2022-05-16 14:30:00-04:00,19.0,4.0
2022-05-16 15:30:00-04:00,16.0,6.0
2022-05-17 09:30:00-04:00,20.0,5.0
2022-05-17 10:30:00-04:00,20.0,5.0
2022-05-17 11:30:00-04:00,40.0,11.0
2022-05-17 12:30:00-04:00,51.0,9.0
2022-05-17 13:30:00-04:00,59.0,13.0
2022-05-17 14:30:00-04:00,57.0,12.0
2022-05-17 15:30:00-04:00,69.0,15.0
2022-05-18 09:30:00-04:00,25.0,1.0
2022-05-18 10:30:00-04:00,-22.0,-9.0
2022-05-18 11:30:00-04:00,-32.0,-7.0
2022-05-18 12:30:00-04:00,-41.0,-8.0
2022-05-18 13:30:00-04:00,-30.0,-7.0
2022-05-18 14:30:00-04:00,-32.0,-3.0
2022-05-18 15:30:00-04:00,-32.0,-3.0
2022-05-19 09:30:00-04:00,-33.0,-5.0
2022-05-19 10:30:00-04:00,-36.0,-3.0
2022-05-19 11:30:00-04:00,-49.0,-6.0
2022-05-19 12:30:00-04:00,-46.0,-7.0
2022-05-19 13:30:00-04:00,-35.0,-4.0
2022-05-19 14:30:00-04:00,-52.0,-7.0
2022-05-19 15:30:00-04:00,-40.0,-9.0
2022-05-20 09:30:00-04:00,-34.0,-6.0
2022-05-20 10:30:00-04:00,-46.0,-12.0
2022-05-20 11:30:00-04:00,-64.0,-16.0
2022-05-20 12:30:00-04:00,-56.0,-9.0
2022-05-20 13:30:00-04:00,-28.0,-4.0
2022-05-20 14:30:00-04:00,-14.0,4.0
2022-05-20 15:30:00-04:00,61.0,12.0
2022-05-23 09:30:00-04:00,93.0,23.0
2022-05-23 10:30:00-04:00,71.0,16.0
2022-05-23 11:30:00-04:00,75.0,11.0
2022-05-23 12:30:00-04:00,63.0,8.0
2022-05-23 13:30:00-04:00,60.0,10.0
2022-05-23 14:30:00-04:00,61.0,13.0
2022-05-23 15:30:00-04:00,53.0,11.0
2022-05-24 09:30:00-04:00,20.0,-4.0
2022-05-24 10:30:00-04:00,-7.0,-4.0
2022-05-24 11:30:00-04:00,-23.0,-7.0
2022-05-24 12:30:00-04:00,-35.0,-10.0
2022-05-24 13:30:00-04:00,-19.0,-7.0
2022-05-24 14:30:00-04:00,-20.0,-4.0
2022-05-24 15:30:00-04:00,-14.0,-2.0
2022-05-25 09:30:00-04:00,5.0,7.0
2022-05-25 10:30:00-04:00,3.0,-4.0
2022-05-25 11:30:00-04:00,-5.0,-6.0
2022-05-25 12:30:00-04:00,7.0,1.0
2022-05-25 13:30:00-04:00,15.0,1.0
2022-05-25 14:30:00-04:00,39.0,4.0
2022-05-25 15:30:00-04:00,42.0,5.0
2022-05-26 09:30:00-04:00,45.0,10.0
2022-05-26 10:30:00-04:00,52.0,8.0
2022-05-26 11:30:00-04:00,58.0,6.0
2022-05-26 12:30:00-04:00,73.0,14.0
2022-05-26 13:30:00-04:00,70.0,10.0
2022-05-26 14:30:00-04:00,75.0,12.0
2022-05-26 15:30:00-04:00,65.0,6.0
2022-05-27 09:30:00-04:00,78.0,12.0
2022-05-27 10:30:00-04:00,77.0,13.0
2022-05-27 11:30:00-04:00,72.0,9.0
2022-05-27 12:30:00-04:00,75.0,9.0
2022-05-27 13:30:00-04:00,75.0,10.0
2022-05-27 14:30:00-04:00,84.0,12.0
2022-05-27 15:30:00-04:00,89.0,13.0
2022-05-31 09:30:00-04:00,65.0,10.0
2022-05-31 10:30:00-04:00,43.0,-5.0
2022-05-31 11:30:00-04:00,24.0,-5.0
2022-05-31 12:30:00-04:00,19.0,1.0
2022-05-31 13:30:00-04:00,20.0,1.0
2022-05-31 14:30:00-04:00,7.0,-8.0
2022-05-31 15:30:00-04:00,19.0,-2.0
2022-06-01 09:30:00-04:00,-10.0,-4.0
2022-06-01 10:30:00-04:00,-21.0,-13.0
2022-06-01 11:30:00-04:00,-55.0,-17.0
2022-06-01 12:30:00-04:00,-56.0,-14.0
2022-06-01 13:30:00-04:00,-10.0,-4.0
2022-06-01 14:30:00-04:00,17.0,5.0
2022-06-01 15:30:00-04:00,-59.0,-17.0
2022-06-02 09:30:00-04:00,-39.0,-4.0
2022-06-02 10:30:00-04:00,-6.0,-2.0
2022-06-02 11:30:00-04:00,41.0,11.0
2022-06-02 12:30:00-04:00,24.0,1.0
2022-06-02 13:30:00-04:00,43.0,5.0
2022-06-02 14:30:00-04:00,38.0,6.0
2022-06-02 15:30:00-04:00,28.0,-3.0
2022-06-03 09:30:00-04:00,13.0,-1.0
2022-06-03 10:30:00-04:00,-52.0,-11.0
2022-06-03 11:30:00-04:00,-66.0,-17.0
2022-06-03 12:30:00-04:00,-66.0,-14.0
2022-06-03 13:30:00-04:00,-72.0,-19.0
2022-06-03 14:30:00-04:00,-77.0,-24.0
2022-06-03 15:30:00-04:00,-78.0,-18.0
2022-06-06 09:30:00-04:00,-21.0,7.0
2022-06-06 10:30:00-04:00,-53.0,-10.0
2022-06-06 11:30:00-04:00,-62.0,-15.0
2022-06-06 12:30:00-04:00,-74.0,-17.0
2022-06-06 13:30:00-04:00,-80.0,-19.0
2022-06-06 14:30:00-04:00,-84.0,-15.0
2022-06-06 15:30:00-04:00,-70.0,-22.0
2022-06-07 09:30:00-04:00,-71.0,-6.0
2022-06-07 10:30:00-04:00,-49.0,-11.0
2022-06-07 11:30:00-04:00,-56.0,-6.0
2022-06-07 12:30:00-04:00,-16.0,6.0
2022-06-07 13:30:00-04:00,19.0,11.0
2022-06-07 14:30:00-04:00,53.0,15.0
2022-06-07 15:30:00-04:00,63.0,17.0
2022-06-08 09:30:00-04:00,22.0,-3.0
2022-06-08 10:30:00-04:00,34.0,13.0
2022-06-08 11:30:00-04:00,23.0,9.0
2022-06-08 12:30:00-04:00,-7.0,0.0
2022-06-08 13:30:00-04:00,-12.0,1.0
2022-06-08 14:30:00-04:00,-3.0,2.0
2022-06-08 15:30:00-04:00,-13.0,0.0
2022-06-09 09:30:00-04:00,-14.0,-1.0
2022-06-09 10:30:00-04:00,-34.0,-5.0
2022-06-09 11:30:00-04:00,-43.0,-4.0
2022-06-09 12:30:00-04:00,-33.0,-3.0
2022-06-09 13:30:00-04:00,-42.0,-5.0
2022-06-09 14:30:00-04:00,-60.0,-14.0
2022-06-09 15:30:00-04:00,-54.0,-7.0
2022-06-10 09:30:00-04:00,-51.0,-11.0
2022-06-10 10:30:00-04:00,-38.0,-5.0
2022-06-10 11:30:00-04:00,-31.0,-3.0
2022-06-10 12:30:00-04:00,-7.0,2.0
2022-06-10 13:30:00-04:00,-14.0,-2.0
2022-06-10 14:30:00-04:00,-17.0,-4.0
2022-06-10 15:30:00-04:00,-22.0,-7.0
2022-06-13 09:30:00-04:00,-21.0,-1.0
2022-06-13 10:30:00-04:00,-20.0,-4.0
2022-06-13 11:30:00-04:00,-19.0,-3.0
2022-06-13 12:30:00-04:00,-15.0,-6.0
2022-06-13 13:30:00-04:00,-31.0,-4.0
2022-06-13 14:30:00-04:00,-37.0,-4.0
2022-06-13 15:30:00-04:00,-44.0,-5.0
2022-06-14 09:30:00-04:00,-30.0,-4.0
2022-06-14 10:30:00-04:00,-34.0,-8.0
2022-06-14 11:30:00-04:00,-33.0,-3.0
2022-06-14 12:30:00-04:00,-31.0,-9.0
2022-06-14 13:30:00-04:00,-31.0,-5.0
2022-06-14 14:30:00-04:00,-25.0,1.0
2022-06-14 15:30:00-04:00,-14.0,0.0
2022-06-15 09:30:00-04:00,-29.0,-5.0
2022-06-15 10:30:00-04:00,-23.0,-1.0
2022-06-15 11:30:00-04:00,3.0,3.0
2022-06-15 12:30:00-04:00,4.0,1.0
2022-06-15 13:30:00-04:00,-4.0,-1.0
2022-06-15 14:30:00-04:00,51.0,15.0
2022-06-15 15:30:00-04:00,42.0,9.0
2022-06-16 09:30:00-04:00,-21.0,-14.0
2022-06-16 10:30:00-04:00,-46.0,-9.0
2022-06-16 11:30:00-04:00,-51.0,-8.0
2022-06-16 12:30:00-04:00,-40.0,-13.0
2022-06-16 13:30:00-04:00,-36.0,-6.0
2022-06-16 14:30:00-04:00,-52.0,-13.0
2022-06-16 15:30:00-04:00,-38.0,-7.0
2022-06-17 09:30:00-04:00,-43.0,-8.0
2022-06-17 10:30:00-04:00,10.0,7.0
2022-06-17 11:30:00-04:00,24.0,3.0
2022-06-17 12:30:00-04:00,25.0,7.0
2022-06-17 13:30:00-04:00,15.0,8.0
2022-06-17 14:30:00-04:00,16.0,3.0
2022-06-17 15:30:00-04:00,-8.0,0.0
2022-06-21 09:30:00-04:00,6.0,3.0
2022-06-21 10:30:00-04:00,7.0,4.0
2022-06-21 11:30:00-04:00,6.0,3.0
2022-06-21 12:30:00-04:00,0.0,3.0
2022-06-21 13:30:00-04:00,0.0,3.0
2022-06-21 14:30:00-04:00,1.0,5.0
2022-06-21 15:30:00-04:00,4.0,5.0
2022-06-22 09:30:00-04:00,-11.0,0.0
2022-06-22 10:30:00-04:00,3.0,2.0
2022-06-22 11:30:00-04:00,-12.0,5.0
2022-06-22 12:30:00-04:00,6.0,3.0
2022-06-22 13:30:00-04:00,12.0,2.0
2022-06-22 14:30:00-04:00,17.0,3.0
2022-06-22 15:30:00-04:00,10.0,4.0
2022-06-23 09:30:00-04:00,4.0,-1.0
2022-06-23 10:30:00-04:00,18.0,10.0
2022-06-23 11:30:00-04:00,18.0,8.0
2022-06-23 12:30:00-04:00,5.0,4.0
2022-06-23 13:30:00-04:00,24.0,5.0
2022-06-23 14:30:00-04:00,33.0,8.0
2022-06-23 15:30:00-04:00,36.0,11.0
2022-06-24 09:30:00-04:00,54.0,16.0
2022-06-24 10:30:00-04:00,49.0,10.0
2022-06-24 11:30:00-04:00,53.0,13.0
2022-06-24 12:30:00-04:00,59.0,18.0
2022-06-24 13:30:00-04:00,56.0,15.0
2022-06-24 14:30:00-04:00,57.0,19.0
2022-06-24 15:30:00-04:00,64.0,15.0
2022-06-27 09:30:00-04:00,61.0,17.0
2022-06-27 10:30:00-04:00,60.0,17.0
2022-06-27 11:30:00-04:00,56.0,14.0
2022-06-27 12:30:00-04:00,45.0,13.0
2022-06-27 13:30:00-04:00,46.0,9.0
2022-06-27 14:30:00-04:00,47.0,7.0
2022-06-27 15:30:00-04:00,40.0,8.0
2022-06-28 09:30:00-04:00,18.0,2.0
2022-06-28 10:30:00-04:00,-18.0,-10.0
2022-06-28 11:30:00-04:00,-5.0,-1.0
2022-06-28 12:30:00-04:00,-19.0,-3.0
2022-06-28 13:30:00-04:00,-44.0,-14.0
2022-06-28 14:30:00-04:00,-54.0,-13.0
2022-06-28 15:30:00-04:00,-52.0,-18.0
2022-06-29 09:30:00-04:00,-45.0,-7.0
2022-06-29 10:30:00-04:00,-55.0,-15.0
2022-06-29 11:30:00-04:00,-45.0,-14.0
2022-06-29 12:30:00-04:00,-32.0,-8.0
2022-06-29 13:30:00-04:00,-53.0,-14.0
2022-06-29 14:30:00-04:00,-54.0,-13.0
2022-06-29 15:30:00-04:00,-64.0,-16.0
2022-06-30 09:30:00-04:00,-59.0,-14.0
2022-06-30 10:30:00-04:00,-58.0,-8.0
2022-06-30 11:30:00-04:00,3.0,9.0
2022-06-30 12:30:00-04:00,3.0,-1.0
2022-06-30 13:30:00-04:00,-1.0,2.0
2022-06-30 14:30:00-04:00,-64.0,-14.0
2022-06-30 15:30:00-04:00,-70.0,-15.0
2022-07-01 09:30:00-04:00,-55.0,-9.0
2022-07-01 10:30:00-04:00,-37.0,-10.0
2022-07-01 11:30:00-04:00,-44.0,-8.0
2022-07-01 12:30:00-04:00,-54.0,-13.0
2022-07-01 13:30:00-04:00,-7.0,6.0
2022-07-01 14:30:00-04:00,-18.0,-5.0
2022-07-01 15:30:00-04:00,-11.0,6.0
2022-07-05 09:30:00-04:00,-55.0,-6.0
2022-07-05 10:30:00-04:00,-62.0,-15.0
2022-07-05 11:30:00-04:00,-49.0,-11.0
2022-07-05 12:30:00-04:00,-34.0,-4.0
2022-07-05 13:30:00-04:00,-21.0,4.0
2022-07-05 14:30:00-04:00,7.0,4.0
2022-07-05 15:30:00-04:00,26.0,9.0
2022-07-06 09:30:00-04:00,0.0,1.0
2022-07-06 10:30:00-04:00,0.0,4.0
2022-07-06 11:30:00-04:00,-12.0,6.0
2022-07-06 12:30:00-04:00,-14.0,2.0
2022-07-06 13:30:00-04:00,24.0,16.0
2022-07-06 14:30:00-04:00,25.0,13.0
2022-07-06 15:30:00-04:00,24.0,10.0
2022-07-07 09:30:00-04:00,37.0,14.0
2022-07-07 10:30:00-04:00,55.0,21.0
2022-07-07 11:30:00-04:00,61.0,22.0
2022-07-07 12:30:00-04:00,67.0,23.0
2022-07-07 13:30:00-04:00,61.0,25.0
2022-07-07 14:30:00-04:00,66.0,17.0
2022-07-07 15:30:00-04:00,81.0,21.0
2022-07-08 09:30:00-04:00,75.0,20.0
2022-07-08 10:30:00-04:00,88.0,20.0
2022-07-08 11:30:00-04:00,64.0,16.0
2022-07-08 12:30:00-04:00,74.0,17.0
2022-07-08 13:30:00-04:00,80.0,21.0
2022-07-08 14:30:00-04:00,73.0,16.0
2022-07-08 15:30:00-04:00,71.0,20.0
2022-07-11 09:30:00-04:00,-1.0,-10.0
2022-07-11 10:30:00-04:00,-14.0,-3.0
2022-07-11 11:30:00-04:00,-17.0,-4.0
2022-07-11 12:30:00-04:00,-5.0,0.0
2022-07-11 13:30:00-04:00,6.0,2.0
2022-07-11 14:30:00-04:00,-31.0,-8.0
2022-07-11 15:30:00-04:00,-42.0,-8.0
2022-07-12 09:30:00-04:00,-46.0,-12.0
2022-07-12 10:30:00-04:00,-22.0,-7.0
2022-07-12 11:30:00-04:00,-27.0,-4.0
2022-07-12 12:30:00-04:00,-24.0,-6.0
2022-07-12 13:30:00-04:00,-21.0,-8.0
2022-07-12 14:30:00-04:00,-74.0,-19.0
2022-07-12 15:30:00-04:00,-72.0,-14.0
2022-07-13 09:30:00-04:00,-57.0,-11.0
2022-07-13 10:30:00-04:00,-69.0,-13.0
2022-07-13 11:30:00-04:00,-40.0,-12.0
2022-07-13 12:30:00-04:00,-3.0,2.0
2022-07-13 13:30:00-04:00,18.0,6.0
2022-07-13 14:30:00-04:00,19.0,5.0
2022-07-13 15:30:00-04:00,-15.0,-8.0
2022-07-14 09:30:00-04:00,-64.0,-12.0
2022-07-14 10:30:00-04:00,-40.0,-6.0
