Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-22 14:30:00-04:00,AMD,-2,0,0,0,0,-2,-1,88.41
2022-04-22 15:30:00-04:00,AMD,-2,0,0,0,0,-2,-1,88.13
2022-04-25 09:30:00-04:00,AMD,2,0,0,0,1,3,1,90.61
2022-04-25 10:30:00-04:00,AMD,2,0,1,1,1,5,1,89.94
2022-04-25 11:30:00-04:00,AMD,-2,0,1,1,1,1,-1,89.27
2022-04-25 12:30:00-04:00,AMD,-2,0,1,1,1,1,0,89.43
2022-04-25 13:30:00-04:00,AMD,2,0,1,1,1,5,1,89.8
2022-04-25 14:30:00-04:00,AMD,2,0,1,-1,1,3,1,89.87
2022-04-25 15:30:00-04:00,AMD,2,0,1,1,1,5,1,90.71
2022-04-26 09:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,86.73
2022-04-26 10:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,86.23
2022-04-26 11:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,86.89
2022-04-26 12:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,86.21
2022-04-26 13:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,86.51
2022-04-26 14:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,85.49
2022-04-26 15:30:00-04:00,AMD,-2,0,1,-1,1,-1,-1,85.08
2022-04-27 09:30:00-04:00,AMD,-2,0,-1,-1,1,-3,-1,84.9
2022-04-27 10:30:00-04:00,AMD,-2,0,0,-1,1,-2,-1,85.27
2022-04-27 11:30:00-04:00,AMD,-2,0,-1,-1,1,-3,-1,86.47
2022-04-27 12:30:00-04:00,AMD,-2,0,-1,-1,1,-3,-1,85.87
2022-04-27 13:30:00-04:00,AMD,2,0,-1,1,1,3,1,86.07
2022-04-27 14:30:00-04:00,AMD,2,0,-1,0,1,2,0,85.19
2022-04-27 15:30:00-04:00,AMD,-2,0,-1,1,1,-1,0,84.9
2022-04-28 09:30:00-04:00,AMD,2,0,-1,1,1,3,0,85.25
2022-04-28 10:30:00-04:00,AMD,2,0,-1,1,1,3,0,86.44
2022-04-28 11:30:00-04:00,AMD,2,0,-1,1,1,3,0,86.69
2022-04-28 12:30:00-04:00,AMD,2,0,-1,1,1,3,0,88.56
2022-04-28 13:30:00-04:00,AMD,2,0,-1,1,1,3,0,89.47
