Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 09:30:00-04:00,GDX,2,0,0,1,-1,2,1,35.17
2022-05-03 10:30:00-04:00,GDX,2,0,1,1,-1,3,1,35.27
2022-05-03 11:30:00-04:00,GDX,2,0,1,1,-1,3,1,35.36
2022-05-03 12:30:00-04:00,GDX,2,0,1,1,-1,3,1,35.22
2022-05-03 13:30:00-04:00,GDX,2,0,1,1,-1,3,1,35.04
2022-05-03 14:30:00-04:00,GDX,2,0,1,-1,-1,1,-1,35.15
2022-05-03 15:30:00-04:00,GDX,2,0,1,0,-1,2,0,35.12
2022-05-04 09:30:00-04:00,GDX,-2,0,1,0,-1,-2,-1,34.77
2022-05-04 10:30:00-04:00,GDX,-2,0,1,0,-1,-2,-1,34.88
2022-05-04 11:30:00-04:00,GDX,-2,0,1,0,-1,-2,-1,34.74
2022-05-04 12:30:00-04:00,GDX,-2,0,1,-1,-1,-3,-1,34.96
2022-05-04 13:30:00-04:00,GDX,2,0,-1,-1,-1,-1,-1,35.38
2022-05-04 14:30:00-04:00,GDX,2,0,0,-1,-1,0,1,35.56
2022-05-04 15:30:00-04:00,GDX,2,0,0,-1,1,2,0,35.8
2022-05-05 09:30:00-04:00,GDX,-2,0,0,-1,-1,-4,-1,35.03
2022-05-05 10:30:00-04:00,GDX,-2,0,0,-1,1,-2,1,34.55
2022-05-05 11:30:00-04:00,GDX,-2,0,0,-1,1,-2,0,34.44
2022-05-05 12:30:00-04:00,GDX,-2,0,1,-1,1,-1,0,34.49
2022-05-05 13:30:00-04:00,GDX,-2,0,1,-1,1,-1,0,34.35
2022-05-05 14:30:00-04:00,GDX,-2,0,-1,1,1,-1,0,34.3
2022-05-05 15:30:00-04:00,GDX,-2,0,0,0,1,-1,0,34.64
2022-05-06 09:30:00-04:00,GDX,-2,0,-1,0,1,-2,0,34.49
2022-05-06 10:30:00-04:00,GDX,-2,0,-1,1,1,-1,0,34.67
2022-05-06 11:30:00-04:00,GDX,-2,0,-1,1,1,-1,0,34.47
2022-05-06 12:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,34.37
2022-05-06 13:30:00-04:00,GDX,-2,0,-1,0,1,-2,1,34.19
2022-05-06 14:30:00-04:00,GDX,-2,0,-1,0,1,-2,0,34.07
2022-05-06 15:30:00-04:00,GDX,-2,0,-1,0,1,-2,0,34.24
2022-05-09 09:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,33.2
2022-05-09 10:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,32.65
2022-05-09 11:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,33.02
2022-05-09 12:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,32.76
2022-05-09 13:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,32.45
2022-05-09 14:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,32.35
2022-05-09 15:30:00-04:00,GDX,-2,0,1,-1,1,-1,1,32.22
2022-05-10 09:30:00-04:00,GDX,-2,0,-1,-1,1,-3,-1,32.5
2022-05-10 10:30:00-04:00,GDX,-2,1,-1,-1,1,-2,1,31.92
2022-05-10 11:30:00-04:00,GDX,-2,-1,1,-1,1,-2,0,31.64
2022-05-10 12:30:00-04:00,GDX,-2,-1,0,-1,1,-3,-1,31.51
2022-05-10 13:30:00-04:00,GDX,-2,1,-1,-1,1,-2,1,31.77
2022-05-10 14:30:00-04:00,GDX,-2,1,1,-1,1,0,0,31.71
2022-05-10 15:30:00-04:00,GDX,-2,1,1,-1,1,0,0,31.7
2022-05-11 09:30:00-04:00,GDX,-2,1,-1,-1,1,-2,0,32.41
2022-05-11 10:30:00-04:00,GDX,-2,1,0,1,1,1,0,32.4
2022-05-11 11:30:00-04:00,GDX,-2,1,0,1,1,1,1,31.9
2022-05-11 12:30:00-04:00,GDX,-2,1,0,1,1,1,1,31.81
2022-05-11 13:30:00-04:00,GDX,-2,1,0,1,1,1,1,31.84
2022-05-11 14:30:00-04:00,GDX,-2,1,0,1,1,1,1,31.88
2022-05-11 15:30:00-04:00,GDX,-2,1,0,1,1,1,1,31.65
2022-05-12 09:30:00-04:00,GDX,-2,1,0,-1,1,-1,-1,30.76
2022-05-12 10:30:00-04:00,GDX,-2,1,0,0,1,0,0,30.79
2022-05-12 11:30:00-04:00,GDX,-2,1,0,-1,1,-1,0,30.48
2022-05-12 12:30:00-04:00,GDX,-2,1,0,-1,1,-1,0,30.21
2022-05-12 13:30:00-04:00,GDX,-2,-1,0,-1,1,-3,0,29.78
2022-05-12 14:30:00-04:00,GDX,-2,1,0,-1,1,-1,0,29.96
2022-05-12 15:30:00-04:00,GDX,-2,1,0,-1,-1,-3,-1,30.17
2022-05-13 09:30:00-04:00,GDX,2,1,0,-1,-1,1,1,30.91
2022-05-13 10:30:00-04:00,GDX,2,1,0,-1,-1,1,1,31.07
2022-05-13 11:30:00-04:00,GDX,2,1,0,-1,-1,1,1,31.03
2022-05-13 12:30:00-04:00,GDX,2,1,0,1,-1,3,1,30.86
2022-05-13 13:30:00-04:00,GDX,2,1,-1,0,-1,1,1,30.67
2022-05-13 14:30:00-04:00,GDX,2,1,-1,0,-1,1,-1,30.81
2022-05-13 15:30:00-04:00,GDX,2,1,-1,1,-1,2,1,30.88
2022-05-16 09:30:00-04:00,GDX,2,1,-1,1,-1,2,1,31.09
2022-05-16 10:30:00-04:00,GDX,2,1,-1,1,-1,2,1,30.94
2022-05-16 11:30:00-04:00,GDX,2,1,-1,1,-1,2,1,30.89
2022-05-16 12:30:00-04:00,GDX,2,1,-1,1,-1,2,1,31.19
2022-05-16 13:30:00-04:00,GDX,2,1,-1,1,-1,2,1,31.07
2022-05-16 14:30:00-04:00,GDX,2,1,-1,1,-1,2,1,31.21
