Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,GLD,-2,0,0,0,0,-2,-1,182.32
2022-04-20 15:30:00-04:00,GLD,-2,0,0,0,0,-2,-1,182.68
2022-04-21 09:30:00-04:00,GLD,-2,0,-1,1,-1,-3,-1,181.33
2022-04-21 10:30:00-04:00,GLD,-2,0,-1,1,-1,-3,-1,181.29
2022-04-21 11:30:00-04:00,GLD,-2,0,-1,1,-1,-3,-1,181.06
2022-04-21 12:30:00-04:00,GLD,-2,0,1,1,-1,-1,1,181.58
2022-04-21 13:30:00-04:00,GLD,-2,0,1,-1,-1,-3,-1,181.57
2022-04-21 14:30:00-04:00,GLD,-2,0,1,0,-1,-2,1,182.17
2022-04-21 15:30:00-04:00,GLD,-2,0,1,-1,-1,-3,-1,182.05
2022-04-22 09:30:00-04:00,GLD,-2,0,1,-1,1,-1,1,181.16
2022-04-22 10:30:00-04:00,GLD,-2,0,1,-1,0,-2,0,180.24
2022-04-22 11:30:00-04:00,GLD,-2,0,1,-1,1,-1,0,180.71
2022-04-22 12:30:00-04:00,GLD,-2,0,1,-1,1,-1,0,180.3
2022-04-22 13:30:00-04:00,GLD,-2,0,1,-1,1,-1,0,180.43
2022-04-22 14:30:00-04:00,GLD,-2,0,1,-1,1,-1,0,180.41
2022-04-22 15:30:00-04:00,GLD,-2,0,1,-1,1,-1,0,180.28
2022-04-25 09:30:00-04:00,GLD,-2,0,1,1,1,1,1,176.9
2022-04-25 10:30:00-04:00,GLD,-2,0,1,0,1,0,1,176.81
2022-04-25 11:30:00-04:00,GLD,-2,0,1,0,1,0,1,176.77
2022-04-25 12:30:00-04:00,GLD,-2,0,-1,0,1,-2,-1,176.83
2022-04-25 13:30:00-04:00,GLD,-2,0,-1,0,1,-2,0,177.22
2022-04-25 14:30:00-04:00,GLD,-2,0,1,0,1,0,0,177.32
2022-04-25 15:30:00-04:00,GLD,-2,0,0,-1,1,-2,0,177.07
2022-04-26 09:30:00-04:00,GLD,-2,0,-1,-1,1,-3,-1,177.49
2022-04-26 10:30:00-04:00,GLD,-2,0,-1,1,1,-1,1,177.54
2022-04-26 11:30:00-04:00,GLD,-2,0,-1,1,1,-1,0,177.42
2022-04-26 12:30:00-04:00,GLD,-2,0,-1,1,1,-1,0,177.62
2022-04-26 13:30:00-04:00,GLD,-2,0,-1,1,1,-1,0,177.08
2022-04-26 14:30:00-04:00,GLD,2,0,-1,1,-1,1,1,177.19
2022-04-26 15:30:00-04:00,GLD,2,0,-1,1,0,2,1,177.33
2022-04-27 09:30:00-04:00,GLD,2,0,-1,1,0,2,1,176.13
2022-04-27 10:30:00-04:00,GLD,-2,0,-1,-1,-1,-5,-1,175.78
2022-04-27 11:30:00-04:00,GLD,-2,0,1,0,-1,-2,0,176.16
2022-04-27 12:30:00-04:00,GLD,-2,0,0,-1,1,-2,0,176.09
2022-04-27 13:30:00-04:00,GLD,-2,0,0,-1,0,-3,0,176.05
2022-04-27 14:30:00-04:00,GLD,-2,0,0,-1,0,-3,0,176.13
2022-04-27 15:30:00-04:00,GLD,-2,0,0,-1,-1,-4,-1,175.99
2022-04-28 09:30:00-04:00,GLD,-2,0,0,1,-1,-2,1,176.08
2022-04-28 10:30:00-04:00,GLD,2,-1,0,0,-1,0,0,176.25
2022-04-28 11:30:00-04:00,GLD,-2,-1,0,-1,-1,-5,-1,175.96
2022-04-28 12:30:00-04:00,GLD,2,-1,0,-1,-1,-1,1,176.36
2022-04-28 13:30:00-04:00,GLD,2,-1,0,-1,-1,-1,0,176.48
2022-04-28 14:30:00-04:00,GLD,2,-1,0,-1,-1,-1,0,176.89
2022-04-28 15:30:00-04:00,GLD,2,-1,0,-1,1,1,1,176.9
2022-04-29 09:30:00-04:00,GLD,2,-1,-1,1,-1,0,-1,178.27
2022-04-29 10:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,177.77
2022-04-29 11:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,178.08
2022-04-29 12:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,178.2
2022-04-29 13:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,178.28
2022-04-29 14:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,177.31
2022-04-29 15:30:00-04:00,GLD,-2,-1,-1,1,-1,-4,0,176.93
2022-05-02 09:30:00-04:00,GLD,-2,-1,-1,1,-1,-4,-1,173.83
2022-05-02 10:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,173.86
2022-05-02 11:30:00-04:00,GLD,2,-1,0,0,-1,0,1,174.32
2022-05-02 12:30:00-04:00,GLD,-2,-1,1,0,-1,-3,0,173.83
2022-05-02 13:30:00-04:00,GLD,2,-1,1,0,-1,1,0,173.94
2022-05-02 14:30:00-04:00,GLD,2,-1,-1,0,-1,-1,0,173.72
2022-05-02 15:30:00-04:00,GLD,-2,-1,-1,0,-1,-5,-1,173.64
2022-05-03 09:30:00-04:00,GLD,2,-1,1,-1,-1,0,1,174.82
2022-05-03 10:30:00-04:00,GLD,2,-1,1,-1,1,2,1,174.73
2022-05-03 11:30:00-04:00,GLD,2,-1,1,-1,0,1,1,174.62
2022-05-03 12:30:00-04:00,GLD,2,-1,1,-1,0,1,1,174.46
2022-05-03 13:30:00-04:00,GLD,2,-1,1,-1,0,1,1,174.24
2022-05-03 14:30:00-04:00,GLD,2,-1,1,-1,0,1,1,174.17
2022-05-03 15:30:00-04:00,GLD,2,-1,1,-1,0,1,1,174.09
2022-05-04 09:30:00-04:00,GLD,2,-1,1,-1,1,2,1,173.9
2022-05-04 10:30:00-04:00,GLD,2,-1,1,1,1,4,1,174.17
2022-05-04 11:30:00-04:00,GLD,2,-1,1,0,1,3,1,174.28
2022-05-04 12:30:00-04:00,GLD,2,-1,-1,0,1,1,1,174.34
2022-05-04 13:30:00-04:00,GLD,2,-1,0,0,1,2,1,174.97
2022-05-04 14:30:00-04:00,GLD,2,-1,0,0,1,2,1,175.72
2022-05-04 15:30:00-04:00,GLD,2,-1,0,1,-1,1,-1,175.81
2022-05-05 09:30:00-04:00,GLD,2,-1,-1,-1,0,-1,0,176.22
2022-05-05 10:30:00-04:00,GLD,2,-1,-1,1,0,1,0,175.38
2022-05-05 11:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,175.06
2022-05-05 12:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,174.95
2022-05-05 13:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,174.87
2022-05-05 14:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,175.29
2022-05-05 15:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,175.19
2022-05-06 09:30:00-04:00,GLD,2,-1,-1,1,1,2,0,175.86
2022-05-06 10:30:00-04:00,GLD,2,-1,1,1,1,4,1,176.46
2022-05-06 11:30:00-04:00,GLD,2,-1,0,1,1,3,1,176.16
2022-05-06 12:30:00-04:00,GLD,2,-1,0,1,-1,1,-1,175.66
2022-05-06 13:30:00-04:00,GLD,-2,-1,0,1,0,-2,0,175.66
2022-05-06 14:30:00-04:00,GLD,-2,1,0,-1,0,-2,0,175.51
2022-05-06 15:30:00-04:00,GLD,-2,1,1,0,-1,-1,0,175.45
2022-05-09 09:30:00-04:00,GLD,-2,1,-1,-1,-1,-4,-1,173.38
2022-05-09 10:30:00-04:00,GLD,-2,1,-1,1,-1,-2,1,173.31
2022-05-09 11:30:00-04:00,GLD,-2,1,-1,0,1,-1,0,173.95
2022-05-09 12:30:00-04:00,GLD,-2,1,-1,0,0,-2,0,173.41
2022-05-09 13:30:00-04:00,GLD,-2,1,1,1,1,2,0,173.17
2022-05-09 14:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,172.87
2022-05-09 15:30:00-04:00,GLD,-2,-1,-1,1,1,-2,0,172.92
2022-05-10 09:30:00-04:00,GLD,-2,-1,1,1,1,0,0,173.34
2022-05-10 10:30:00-04:00,GLD,-2,-1,1,1,1,0,0,172.35
2022-05-10 11:30:00-04:00,GLD,-2,1,-1,1,1,0,0,171.93
2022-05-10 12:30:00-04:00,GLD,-2,1,-1,1,1,0,0,171.81
2022-05-10 13:30:00-04:00,GLD,-2,1,-1,1,1,0,0,172.01
2022-05-10 14:30:00-04:00,GLD,-2,1,-1,1,1,0,0,171.78
2022-05-10 15:30:00-04:00,GLD,-2,1,1,-1,1,0,0,171.3
2022-05-11 09:30:00-04:00,GLD,-2,-1,1,-1,1,-2,0,172.46
2022-05-11 10:30:00-04:00,GLD,2,-1,1,-1,1,2,0,172.88
2022-05-11 11:30:00-04:00,GLD,2,-1,1,1,1,4,1,172.68
2022-05-11 12:30:00-04:00,GLD,2,-1,1,0,1,3,1,172.94
2022-05-11 13:30:00-04:00,GLD,2,-1,1,0,1,3,1,172.75
2022-05-11 14:30:00-04:00,GLD,2,-1,1,0,1,3,1,172.92
2022-05-11 15:30:00-04:00,GLD,2,-1,1,1,1,4,1,172.84
2022-05-12 09:30:00-04:00,GLD,-2,-1,1,1,1,0,-1,171.58
2022-05-12 10:30:00-04:00,GLD,-2,1,1,-1,1,0,0,171.37
2022-05-12 11:30:00-04:00,GLD,-2,1,1,0,1,1,0,171.31
2022-05-12 12:30:00-04:00,GLD,-2,1,1,0,1,1,0,170.27
2022-05-12 13:30:00-04:00,GLD,-2,1,1,0,1,1,0,170.0
2022-05-12 14:30:00-04:00,GLD,-2,-1,1,0,1,-1,0,170.08
2022-05-12 15:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,170.14
2022-05-13 09:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,169.4
2022-05-13 10:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,169.0
2022-05-13 11:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,169.07
2022-05-13 12:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,168.76
2022-05-13 13:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,168.79
2022-05-13 14:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,168.54
2022-05-13 15:30:00-04:00,GLD,-2,-1,1,-1,-1,-4,-1,168.79
2022-05-16 09:30:00-04:00,GLD,-2,-1,1,1,-1,-2,-1,169.13
2022-05-16 10:30:00-04:00,GLD,-2,-1,1,0,-1,-3,-1,168.94
2022-05-16 11:30:00-04:00,GLD,-2,-1,1,1,-1,-2,-1,169.0
2022-05-16 12:30:00-04:00,GLD,2,-1,1,1,-1,2,1,169.27
2022-05-16 13:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,169.27
2022-05-16 14:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,170.25
2022-05-16 15:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,170.34
2022-05-17 09:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,170.11
2022-05-17 10:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,169.84
2022-05-17 11:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,169.84
2022-05-17 12:30:00-04:00,GLD,2,-1,-1,1,-1,0,0,169.78
2022-05-17 13:30:00-04:00,GLD,-2,-1,-1,1,-1,-4,-1,169.39
2022-05-17 14:30:00-04:00,GLD,-2,-1,-1,1,1,-2,-1,169.3
2022-05-17 15:30:00-04:00,GLD,-2,-1,-1,1,0,-3,-1,169.38
2022-05-18 09:30:00-04:00,GLD,-2,-1,-1,-1,0,-5,-1,169.05
2022-05-18 10:30:00-04:00,GLD,-2,-1,-1,0,1,-3,-1,169.54
2022-05-18 11:30:00-04:00,GLD,2,-1,-1,-1,1,0,1,169.85
2022-05-18 12:30:00-04:00,GLD,2,-1,-1,-1,-1,-2,0,169.56
2022-05-18 13:30:00-04:00,GLD,2,-1,-1,-1,1,0,0,169.65
2022-05-18 14:30:00-04:00,GLD,2,-1,-1,-1,-1,-2,0,169.66
2022-05-18 15:30:00-04:00,GLD,-2,-1,-1,-1,1,-4,-1,169.43
2022-05-19 09:30:00-04:00,GLD,2,-1,-1,-1,1,0,1,171.84
2022-05-19 10:30:00-04:00,GLD,2,-1,-1,-1,1,0,0,172.48
2022-05-19 11:30:00-04:00,GLD,2,-1,-1,-1,-1,-2,0,171.9
2022-05-19 12:30:00-04:00,GLD,2,-1,-1,-1,0,-1,0,171.85
