Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-05 15:30:00-04:00,GOOG,-2,0,0,0,0,-2,-1,116.79
2022-05-06 09:30:00-04:00,GOOG,-2,0,1,0,1,0,1,115.5
2022-05-06 10:30:00-04:00,GOOG,2,0,-1,1,1,3,1,117.36
2022-05-06 11:30:00-04:00,GOOG,2,0,-1,1,1,3,1,117.01
2022-05-06 12:30:00-04:00,GOOG,-2,0,-1,1,-1,-3,-1,116.7
2022-05-06 13:30:00-04:00,GOOG,-2,0,-1,1,0,-2,-1,115.52
2022-05-06 14:30:00-04:00,GOOG,-2,0,-1,-1,0,-4,-1,115.08
2022-05-06 15:30:00-04:00,GOOG,-2,0,1,-1,0,-2,-1,115.58
2022-05-09 09:30:00-04:00,GOOG,-2,0,0,-1,1,-2,1,113.74
2022-05-09 10:30:00-04:00,GOOG,-2,0,-1,-1,1,-3,-1,113.89
2022-05-09 11:30:00-04:00,GOOG,-2,0,-1,1,1,-1,1,115.05
2022-05-09 12:30:00-04:00,GOOG,-2,0,1,1,1,1,0,114.5
2022-05-09 13:30:00-04:00,GOOG,-2,0,0,-1,1,-2,0,113.7
2022-05-09 14:30:00-04:00,GOOG,-2,0,0,0,1,-1,0,113.58
2022-05-09 15:30:00-04:00,GOOG,-2,0,0,0,1,-1,0,113.08
2022-05-10 09:30:00-04:00,GOOG,-2,0,1,1,1,1,0,115.53
2022-05-10 10:30:00-04:00,GOOG,-2,0,1,1,1,1,0,114.15
2022-05-10 11:30:00-04:00,GOOG,-2,0,-1,1,1,-1,0,114.7
2022-05-10 12:30:00-04:00,GOOG,-2,0,0,1,1,0,0,115.18
2022-05-10 13:30:00-04:00,GOOG,2,0,0,1,1,4,1,115.85
2022-05-10 14:30:00-04:00,GOOG,-2,0,1,1,1,1,-1,115.39
2022-05-10 15:30:00-04:00,GOOG,-2,0,1,-1,-1,-3,0,114.55
2022-05-11 09:30:00-04:00,GOOG,-2,0,1,0,0,-1,0,115.84
2022-05-11 10:30:00-04:00,GOOG,2,0,1,-1,-1,1,0,115.62
2022-05-11 11:30:00-04:00,GOOG,-2,0,1,-1,-1,-3,0,114.66
2022-05-11 12:30:00-04:00,GOOG,-2,0,1,-1,-1,-3,-1,114.77
2022-05-11 13:30:00-04:00,GOOG,-2,0,-1,1,-1,-3,-1,115.39
2022-05-11 14:30:00-04:00,GOOG,-2,0,0,0,-1,-3,-1,114.77
2022-05-11 15:30:00-04:00,GOOG,-2,0,0,0,-1,-3,-1,113.96
2022-05-12 09:30:00-04:00,GOOG,-2,0,0,0,-1,-3,-1,113.34
2022-05-12 10:30:00-04:00,GOOG,-2,0,0,-1,-1,-4,-1,114.08
2022-05-12 11:30:00-04:00,GOOG,-2,0,0,-1,-1,-4,-1,112.74
2022-05-12 12:30:00-04:00,GOOG,-2,0,0,-1,-1,-4,-1,111.36
2022-05-12 13:30:00-04:00,GOOG,-2,0,-1,-1,-1,-5,-1,111.41
2022-05-12 14:30:00-04:00,GOOG,2,0,1,-1,-1,1,1,111.96
2022-05-12 15:30:00-04:00,GOOG,2,0,0,-1,-1,0,0,113.19
2022-05-13 09:30:00-04:00,GOOG,2,0,-1,-1,-1,-1,0,116.24
2022-05-13 10:30:00-04:00,GOOG,2,-1,-1,1,-1,0,0,116.87
2022-05-13 11:30:00-04:00,GOOG,2,-1,-1,0,-1,-1,0,117.67
2022-05-13 12:30:00-04:00,GOOG,2,-1,-1,0,-1,-1,0,117.31
2022-05-13 13:30:00-04:00,GOOG,2,-1,-1,0,-1,-1,0,115.49
2022-05-13 14:30:00-04:00,GOOG,2,-1,-1,0,-1,-1,0,116.93
2022-05-13 15:30:00-04:00,GOOG,2,-1,-1,0,-1,-1,0,116.6
2022-05-16 09:30:00-04:00,GOOG,2,-1,-1,-1,-1,-2,0,115.63
2022-05-16 10:30:00-04:00,GOOG,-2,-1,-1,-1,-1,-6,-1,114.68
2022-05-16 11:30:00-04:00,GOOG,-2,-1,-1,-1,-1,-6,-1,115.12
2022-05-16 12:30:00-04:00,GOOG,-2,-1,-1,-1,-1,-6,-1,115.19
2022-05-16 13:30:00-04:00,GOOG,-2,-1,-1,-1,-1,-6,-1,115.72
2022-05-16 14:30:00-04:00,GOOG,-2,-1,1,-1,-1,-4,-1,114.95
2022-05-16 15:30:00-04:00,GOOG,-2,-1,1,-1,1,-2,1,114.87
2022-05-17 09:30:00-04:00,GOOG,2,-1,1,-1,1,2,0,116.25
2022-05-17 10:30:00-04:00,GOOG,2,-1,1,-1,1,2,0,115.96
2022-05-17 11:30:00-04:00,GOOG,2,-1,1,-1,1,2,1,116.34
