Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-10 14:30:00-04:00,ITB,-2,0,0,0,0,-2,-1,57.43
2022-05-10 15:30:00-04:00,ITB,-2,0,0,0,0,-2,-1,57.32
2022-05-11 09:30:00-04:00,ITB,-2,0,1,-1,1,-1,1,57.35
2022-05-11 10:30:00-04:00,ITB,-2,0,1,-1,1,-1,0,57.04
2022-05-11 11:30:00-04:00,ITB,-2,0,1,-1,1,-1,0,56.21
2022-05-11 12:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,55.44
2022-05-11 13:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,55.66
2022-05-11 14:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,55.57
2022-05-11 15:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,55.02
2022-05-12 09:30:00-04:00,ITB,-2,0,1,1,-1,-1,1,56.75
2022-05-12 10:30:00-04:00,ITB,2,0,1,1,0,4,1,57.19
2022-05-12 11:30:00-04:00,ITB,2,0,1,1,0,4,1,56.78
2022-05-12 12:30:00-04:00,ITB,2,0,1,1,0,4,1,56.7
2022-05-12 13:30:00-04:00,ITB,2,0,1,1,0,4,1,56.03
2022-05-12 14:30:00-04:00,ITB,2,0,1,1,-1,3,1,56.71
2022-05-12 15:30:00-04:00,ITB,2,0,1,1,-1,3,1,57.21
2022-05-13 09:30:00-04:00,ITB,2,0,1,1,-1,3,1,58.4
2022-05-13 10:30:00-04:00,ITB,2,0,1,1,-1,3,1,58.54
2022-05-13 11:30:00-04:00,ITB,2,0,1,-1,-1,1,-1,58.63
2022-05-13 12:30:00-04:00,ITB,2,0,1,0,-1,2,0,58.22
2022-05-13 13:30:00-04:00,ITB,2,0,1,0,-1,2,0,57.72
2022-05-13 14:30:00-04:00,ITB,2,0,1,0,-1,2,0,58.53
2022-05-13 15:30:00-04:00,ITB,2,0,1,-1,-1,1,0,58.33
2022-05-16 09:30:00-04:00,ITB,2,0,1,-1,-1,1,0,57.69
2022-05-16 10:30:00-04:00,ITB,-2,0,1,-1,-1,-3,-1,57.43
2022-05-16 11:30:00-04:00,ITB,2,0,1,-1,-1,1,1,57.73
2022-05-16 12:30:00-04:00,ITB,2,0,1,-1,-1,1,0,58.37
2022-05-16 13:30:00-04:00,ITB,2,0,1,-1,-1,1,0,58.28
2022-05-16 14:30:00-04:00,ITB,2,0,1,-1,-1,1,0,57.87
2022-05-16 15:30:00-04:00,ITB,2,0,1,-1,-1,1,0,57.89
2022-05-17 09:30:00-04:00,ITB,2,0,1,-1,-1,1,0,57.99
2022-05-17 10:30:00-04:00,ITB,2,0,1,-1,-1,1,0,58.45
2022-05-17 11:30:00-04:00,ITB,2,0,1,1,1,5,1,59.21
2022-05-17 12:30:00-04:00,ITB,2,0,1,1,1,5,1,59.26
2022-05-17 13:30:00-04:00,ITB,2,0,1,1,1,5,1,58.99
2022-05-17 14:30:00-04:00,ITB,2,0,1,1,1,5,1,59.47
2022-05-17 15:30:00-04:00,ITB,2,0,1,1,1,5,1,59.44
2022-05-18 09:30:00-04:00,ITB,-2,0,1,1,1,1,-1,57.42
2022-05-18 10:30:00-04:00,ITB,-2,0,1,-1,1,-1,0,56.82
2022-05-18 11:30:00-04:00,ITB,-2,0,1,0,1,0,0,56.48
2022-05-18 12:30:00-04:00,ITB,-2,0,1,-1,1,-1,0,56.54
2022-05-18 13:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,56.29
2022-05-18 14:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,56.11
2022-05-18 15:30:00-04:00,ITB,-2,0,-1,1,1,-1,-1,56.27
2022-05-19 09:30:00-04:00,ITB,-2,0,1,1,1,1,1,57.04
2022-05-19 10:30:00-04:00,ITB,-2,0,1,1,1,1,0,56.85
2022-05-19 11:30:00-04:00,ITB,-2,0,1,1,1,1,0,56.99
2022-05-19 12:30:00-04:00,ITB,-2,0,-1,1,1,-1,0,57.04
2022-05-19 13:30:00-04:00,ITB,-2,0,-1,1,1,-1,0,57.35
2022-05-19 14:30:00-04:00,ITB,-2,0,-1,-1,1,-3,-1,56.82
2022-05-19 15:30:00-04:00,ITB,-2,0,-1,0,1,-2,-1,56.58
2022-05-20 09:30:00-04:00,ITB,-2,0,1,0,-1,-2,-1,56.35
2022-05-20 10:30:00-04:00,ITB,-2,0,0,-1,1,-2,-1,55.79
2022-05-20 11:30:00-04:00,ITB,-2,0,0,1,1,0,1,55.62
2022-05-20 12:30:00-04:00,ITB,-2,1,-1,0,1,-1,0,55.29
2022-05-20 13:30:00-04:00,ITB,-2,1,-1,0,1,-1,0,55.79
2022-05-20 14:30:00-04:00,ITB,-2,1,1,1,1,2,0,56.42
2022-05-20 15:30:00-04:00,ITB,2,1,0,1,1,5,1,57.08
2022-05-23 09:30:00-04:00,ITB,2,1,0,-1,1,3,1,56.55
2022-05-23 10:30:00-04:00,ITB,2,1,0,-1,1,3,1,57.0
2022-05-23 11:30:00-04:00,ITB,2,-1,1,-1,1,2,-1,56.83
2022-05-23 12:30:00-04:00,ITB,2,1,1,-1,-1,2,0,56.61
2022-05-23 13:30:00-04:00,ITB,2,-1,1,-1,0,1,0,56.95
2022-05-23 14:30:00-04:00,ITB,2,-1,1,-1,0,1,0,56.58
2022-05-23 15:30:00-04:00,ITB,2,-1,1,-1,0,1,0,56.74
2022-05-24 09:30:00-04:00,ITB,-2,1,1,-1,-1,-2,0,54.64
2022-05-24 10:30:00-04:00,ITB,-2,1,1,-1,-1,-2,-1,54.61
2022-05-24 11:30:00-04:00,ITB,-2,1,1,-1,-1,-2,-1,55.0
2022-05-24 12:30:00-04:00,ITB,-2,1,1,-1,-1,-2,-1,54.84
2022-05-24 13:30:00-04:00,ITB,-2,1,-1,-1,-1,-4,-1,55.03
2022-05-24 14:30:00-04:00,ITB,-2,1,-1,-1,-1,-4,-1,55.19
2022-05-24 15:30:00-04:00,ITB,-2,1,-1,1,-1,-2,-1,55.12
2022-05-25 09:30:00-04:00,ITB,2,-1,-1,1,-1,0,1,57.13
2022-05-25 10:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,57.09
2022-05-25 11:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,56.66
2022-05-25 12:30:00-04:00,ITB,2,1,-1,1,-1,2,0,56.82
2022-05-25 13:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,57.06
2022-05-25 14:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,57.45
2022-05-25 15:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,57.46
2022-05-26 09:30:00-04:00,ITB,2,1,-1,1,-1,2,0,59.29
2022-05-26 10:30:00-04:00,ITB,2,1,-1,1,1,4,1,59.37
2022-05-26 11:30:00-04:00,ITB,2,-1,-1,1,1,2,-1,59.72
2022-05-26 12:30:00-04:00,ITB,2,-1,-1,1,1,2,0,59.71
2022-05-26 13:30:00-04:00,ITB,2,-1,-1,1,1,2,0,59.77
2022-05-26 14:30:00-04:00,ITB,2,-1,1,1,1,4,1,59.61
2022-05-26 15:30:00-04:00,ITB,2,-1,1,-1,1,2,-1,59.72
2022-05-27 09:30:00-04:00,ITB,2,-1,1,-1,1,2,0,60.11
2022-05-27 10:30:00-04:00,ITB,2,-1,1,-1,1,2,0,60.25
2022-05-27 11:30:00-04:00,ITB,2,-1,1,-1,1,2,0,60.5
2022-05-27 12:30:00-04:00,ITB,2,-1,1,-1,1,2,0,60.49
2022-05-27 13:30:00-04:00,ITB,2,-1,1,-1,1,2,0,60.52
2022-05-27 14:30:00-04:00,ITB,2,-1,1,1,1,4,1,60.67
2022-05-27 15:30:00-04:00,ITB,2,-1,1,0,1,3,1,60.97
2022-05-31 09:30:00-04:00,ITB,2,-1,1,-1,1,2,-1,60.12
2022-05-31 10:30:00-04:00,ITB,2,-1,1,-1,-1,0,0,59.88
2022-05-31 11:30:00-04:00,ITB,2,-1,-1,-1,-1,-2,0,60.12
2022-05-31 12:30:00-04:00,ITB,2,-1,0,-1,-1,-1,0,60.0
2022-05-31 13:30:00-04:00,ITB,2,-1,-1,-1,-1,-2,0,60.48
2022-05-31 14:30:00-04:00,ITB,2,-1,-1,1,-1,0,0,60.36
2022-05-31 15:30:00-04:00,ITB,2,-1,-1,0,-1,-1,0,60.34
2022-06-01 09:30:00-04:00,ITB,2,-1,-1,0,-1,-1,0,59.59
