Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,IWM,2,0,0,0,0,2,1,188.79
2022-05-03 15:30:00-04:00,IWM,2,0,0,0,0,2,1,188.49
2022-05-04 09:30:00-04:00,IWM,2,0,1,1,-1,3,1,186.81
2022-05-04 10:30:00-04:00,IWM,-2,0,1,-1,-1,-3,-1,186.59
2022-05-04 11:30:00-04:00,IWM,2,0,1,0,-1,2,0,187.71
2022-05-04 12:30:00-04:00,IWM,2,0,1,0,-1,2,1,187.54
2022-05-04 13:30:00-04:00,IWM,2,0,1,-1,-1,1,-1,188.12
2022-05-04 14:30:00-04:00,IWM,2,0,1,1,1,5,1,192.88
2022-05-04 15:30:00-04:00,IWM,2,0,-1,0,0,1,-1,193.65
2022-05-05 09:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,187.78
2022-05-05 10:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,185.75
2022-05-05 11:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,185.27
2022-05-05 12:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,185.74
2022-05-05 13:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,184.33
2022-05-05 14:30:00-04:00,IWM,-2,0,1,-1,1,-1,0,183.63
2022-05-05 15:30:00-04:00,IWM,-2,0,-1,1,1,-1,0,185.73
2022-05-06 09:30:00-04:00,IWM,-2,0,1,0,1,0,0,182.72
2022-05-06 10:30:00-04:00,IWM,-2,0,1,0,1,0,0,184.39
2022-05-06 11:30:00-04:00,IWM,-2,0,1,0,1,0,0,183.62
2022-05-06 12:30:00-04:00,IWM,-2,0,-1,0,1,-2,-1,183.6
2022-05-06 13:30:00-04:00,IWM,-2,0,1,-1,1,-1,-1,181.79
2022-05-06 14:30:00-04:00,IWM,-2,0,1,1,1,1,1,181.02
2022-05-06 15:30:00-04:00,IWM,-2,0,-1,0,-1,-4,-1,182.6
2022-05-09 09:30:00-04:00,IWM,-2,0,-1,-1,0,-4,-1,177.83
2022-05-09 10:30:00-04:00,IWM,-2,0,-1,-1,0,-4,-1,176.16
2022-05-09 11:30:00-04:00,IWM,-2,0,-1,-1,0,-4,-1,177.96
