Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-29 10:30:00-04:00,IYT,2,0,-1,-1,-1,-1,-1,62.03
2022-04-29 11:30:00-04:00,IYT,-2,0,-1,-1,-1,-5,-1,61.64
2022-04-29 12:30:00-04:00,IYT,-2,0,1,-1,-1,-3,-1,61.64
2022-04-29 13:30:00-04:00,IYT,-2,0,0,-1,-1,-4,-1,61.47
2022-04-29 14:30:00-04:00,IYT,-2,0,0,-1,-1,-4,-1,61.12
2022-04-29 15:30:00-04:00,IYT,-2,0,0,-1,-1,-4,-1,60.78
2022-05-02 09:30:00-04:00,IYT,-2,0,1,-1,-1,-3,-1,60.85
2022-05-02 10:30:00-04:00,IYT,-2,0,1,-1,-1,-3,1,60.18
2022-05-02 11:30:00-04:00,IYT,-2,0,1,-1,-1,-3,0,60.42
2022-05-02 12:30:00-04:00,IYT,-2,0,1,-1,-1,-3,0,59.74
2022-05-02 13:30:00-04:00,IYT,-2,0,-1,-1,-1,-5,-1,59.41
2022-05-02 14:30:00-04:00,IYT,2,0,0,-1,1,2,1,60.12
2022-05-02 15:30:00-04:00,IYT,2,0,-1,-1,1,1,1,60.5
2022-05-03 09:30:00-04:00,IYT,2,0,-1,1,1,3,1,60.41
2022-05-03 10:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.76
2022-05-03 11:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.55
2022-05-03 12:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.74
2022-05-03 13:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.49
2022-05-03 14:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.78
2022-05-03 15:30:00-04:00,IYT,2,0,-1,0,1,2,1,60.73
2022-05-04 09:30:00-04:00,IYT,2,0,-1,1,1,3,1,60.6
2022-05-04 10:30:00-04:00,IYT,2,0,-1,1,1,3,1,60.44
2022-05-04 11:30:00-04:00,IYT,2,0,-1,-1,1,1,1,60.72
2022-05-04 12:30:00-04:00,IYT,2,0,1,0,1,4,1,60.36
2022-05-04 13:30:00-04:00,IYT,2,0,-1,0,-1,0,-1,60.73
2022-05-04 14:30:00-04:00,IYT,2,0,1,0,-1,2,0,61.79
2022-05-04 15:30:00-04:00,IYT,2,0,-1,0,-1,0,0,62.01
2022-05-05 09:30:00-04:00,IYT,-2,0,-1,0,-1,-4,0,60.86
2022-05-05 10:30:00-04:00,IYT,-2,0,-1,0,-1,-4,-1,60.26
2022-05-05 11:30:00-04:00,IYT,-2,0,-1,1,-1,-3,-1,60.24
2022-05-05 12:30:00-04:00,IYT,-2,0,-1,1,1,-1,1,60.53
2022-05-05 13:30:00-04:00,IYT,-2,0,-1,1,0,-2,0,60.3
2022-05-05 14:30:00-04:00,IYT,-2,0,-1,1,0,-2,0,59.9
2022-05-05 15:30:00-04:00,IYT,-2,0,-1,1,0,-2,0,60.33
2022-05-06 09:30:00-04:00,IYT,-2,0,1,1,1,1,0,59.4
2022-05-06 10:30:00-04:00,IYT,-2,0,0,1,1,0,0,59.99
2022-05-06 11:30:00-04:00,IYT,-2,0,0,-1,1,-2,0,59.82
2022-05-06 12:30:00-04:00,IYT,-2,0,0,1,1,0,0,59.89
2022-05-06 13:30:00-04:00,IYT,-2,1,1,1,-1,0,0,59.43
2022-05-06 14:30:00-04:00,IYT,-2,1,1,1,0,1,0,59.28
2022-05-06 15:30:00-04:00,IYT,-2,1,-1,1,0,-1,0,59.72
2022-05-09 09:30:00-04:00,IYT,-2,1,1,1,0,1,0,58.58
2022-05-09 10:30:00-04:00,IYT,-2,1,-1,1,1,0,0,58.19
2022-05-09 11:30:00-04:00,IYT,-2,1,0,-1,1,-1,0,58.74
2022-05-09 12:30:00-04:00,IYT,-2,1,0,1,1,1,0,58.58
2022-05-09 13:30:00-04:00,IYT,-2,1,0,1,1,1,0,58.47
2022-05-09 14:30:00-04:00,IYT,-2,1,0,1,1,1,0,58.23
2022-05-09 15:30:00-04:00,IYT,-2,1,0,-1,1,-1,0,57.9
2022-05-10 09:30:00-04:00,IYT,-2,1,-1,-1,1,-2,0,57.92
2022-05-10 10:30:00-04:00,IYT,-2,1,-1,-1,1,-2,0,57.38
2022-05-10 11:30:00-04:00,IYT,-2,1,1,1,1,2,0,57.44
2022-05-10 12:30:00-04:00,IYT,-2,1,0,0,1,0,0,57.63
2022-05-10 13:30:00-04:00,IYT,-2,1,-1,1,1,0,0,58.0
2022-05-10 14:30:00-04:00,IYT,-2,1,-1,1,1,0,0,58.08
2022-05-10 15:30:00-04:00,IYT,-2,1,-1,1,1,0,0,57.95
2022-05-11 09:30:00-04:00,IYT,2,1,1,1,1,6,1,58.77
2022-05-11 10:30:00-04:00,IYT,2,1,0,-1,1,3,-1,58.23
2022-05-11 11:30:00-04:00,IYT,-2,1,0,-1,1,-1,0,57.63
2022-05-11 12:30:00-04:00,IYT,-2,1,0,-1,1,-1,0,57.3
2022-05-11 13:30:00-04:00,IYT,-2,1,0,-1,1,-1,0,57.52
2022-05-11 14:30:00-04:00,IYT,-2,1,0,1,1,1,0,57.45
2022-05-11 15:30:00-04:00,IYT,-2,1,0,0,1,0,0,57.08
2022-05-12 09:30:00-04:00,IYT,-2,1,0,0,1,0,0,57.2
2022-05-12 10:30:00-04:00,IYT,-2,1,0,0,1,0,0,57.09
2022-05-12 11:30:00-04:00,IYT,-2,1,0,0,1,0,0,56.84
2022-05-12 12:30:00-04:00,IYT,-2,1,1,0,1,1,0,56.82
2022-05-12 13:30:00-04:00,IYT,-2,1,1,0,1,1,0,56.19
2022-05-12 14:30:00-04:00,IYT,-2,-1,1,0,-1,-3,-1,56.56
2022-05-12 15:30:00-04:00,IYT,2,-1,1,0,-1,1,1,57.2
2022-05-13 09:30:00-04:00,IYT,2,-1,1,0,-1,1,0,58.43
2022-05-13 10:30:00-04:00,IYT,2,-1,1,0,-1,1,0,58.52
2022-05-13 11:30:00-04:00,IYT,2,-1,1,0,-1,1,0,58.72
2022-05-13 12:30:00-04:00,IYT,2,-1,1,1,-1,2,0,58.57
2022-05-13 13:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,57.99
2022-05-13 14:30:00-04:00,IYT,2,-1,1,0,-1,1,0,58.53
2022-05-13 15:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,58.26
2022-05-16 09:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,58.35
2022-05-16 10:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,57.87
2022-05-16 11:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,58.08
2022-05-16 12:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,58.31
2022-05-16 13:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,58.39
2022-05-16 14:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,57.97
2022-05-16 15:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,57.79
2022-05-17 09:30:00-04:00,IYT,2,-1,-1,1,-1,0,0,58.99
2022-05-17 10:30:00-04:00,IYT,2,-1,0,0,-1,0,0,58.99
2022-05-17 11:30:00-04:00,IYT,2,-1,1,0,-1,1,0,59.18
2022-05-17 12:30:00-04:00,IYT,2,-1,1,1,-1,2,0,59.24
2022-05-17 13:30:00-04:00,IYT,2,-1,1,1,1,4,0,59.26
2022-05-17 14:30:00-04:00,IYT,2,-1,-1,1,0,1,0,59.71
2022-05-17 15:30:00-04:00,IYT,2,-1,-1,1,0,1,0,59.62
2022-05-18 09:30:00-04:00,IYT,-2,-1,-1,-1,1,-4,-1,57.75
2022-05-18 10:30:00-04:00,IYT,-2,-1,1,0,1,-1,1,57.21
2022-05-18 11:30:00-04:00,IYT,-2,-1,1,0,1,-1,0,56.71
2022-05-18 12:30:00-04:00,IYT,-2,-1,1,0,-1,-3,-1,56.51
2022-05-18 13:30:00-04:00,IYT,-2,-1,1,0,0,-2,-1,56.56
2022-05-18 14:30:00-04:00,IYT,-2,1,1,0,0,0,1,56.25
2022-05-18 15:30:00-04:00,IYT,-2,1,1,0,0,0,0,56.26
2022-05-19 09:30:00-04:00,IYT,-2,1,-1,-1,0,-3,-1,55.13
2022-05-19 10:30:00-04:00,IYT,-2,1,0,-1,0,-2,-1,54.82
2022-05-19 11:30:00-04:00,IYT,-2,1,1,-1,0,-1,1,55.45
2022-05-19 12:30:00-04:00,IYT,-2,1,1,-1,0,-1,0,55.56
2022-05-19 13:30:00-04:00,IYT,-2,-1,1,-1,0,-3,-1,55.74
2022-05-19 14:30:00-04:00,IYT,-2,-1,1,1,0,-1,1,55.36
2022-05-19 15:30:00-04:00,IYT,-2,-1,1,0,0,-2,0,55.16
2022-05-20 09:30:00-04:00,IYT,-2,-1,1,0,1,-1,0,55.47
2022-05-20 10:30:00-04:00,IYT,-2,1,1,1,1,2,0,54.6
2022-05-20 11:30:00-04:00,IYT,-2,1,1,1,1,2,0,54.56
2022-05-20 12:30:00-04:00,IYT,-2,1,1,1,1,2,0,54.03
2022-05-20 13:30:00-04:00,IYT,-2,1,1,1,1,2,0,54.28
2022-05-20 14:30:00-04:00,IYT,-2,1,1,1,1,2,0,54.63
2022-05-20 15:30:00-04:00,IYT,-2,1,1,1,1,2,0,55.28
2022-05-23 09:30:00-04:00,IYT,2,1,1,1,1,6,1,55.83
2022-05-23 10:30:00-04:00,IYT,2,1,1,1,1,6,1,56.06
2022-05-23 11:30:00-04:00,IYT,2,1,1,1,1,6,1,56.04
2022-05-23 12:30:00-04:00,IYT,2,1,1,1,1,6,1,55.93
2022-05-23 13:30:00-04:00,IYT,2,1,1,1,-1,4,1,56.2
2022-05-23 14:30:00-04:00,IYT,2,1,1,1,0,5,1,56.17
2022-05-23 15:30:00-04:00,IYT,2,1,1,1,0,5,1,56.24
2022-05-24 09:30:00-04:00,IYT,-2,1,1,1,0,1,-1,54.73
2022-05-24 10:30:00-04:00,IYT,-2,1,1,-1,-1,-2,0,54.67
2022-05-24 11:30:00-04:00,IYT,-2,-1,1,1,-1,-2,-1,54.93
2022-05-24 12:30:00-04:00,IYT,-2,-1,1,1,-1,-2,-1,54.8
2022-05-24 13:30:00-04:00,IYT,-2,-1,1,1,-1,-2,-1,54.99
2022-05-24 14:30:00-04:00,IYT,-2,-1,1,1,-1,-2,-1,55.04
2022-05-24 15:30:00-04:00,IYT,-2,-1,1,-1,-1,-4,-1,55.15
2022-05-25 09:30:00-04:00,IYT,2,-1,1,-1,-1,0,1,55.65
2022-05-25 10:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,55.83
2022-05-25 11:30:00-04:00,IYT,2,-1,1,-1,-1,0,0,55.44
2022-05-25 12:30:00-04:00,IYT,2,1,1,-1,-1,2,0,55.52
2022-05-25 13:30:00-04:00,IYT,2,1,1,1,-1,4,0,55.64
2022-05-25 14:30:00-04:00,IYT,2,-1,1,0,-1,1,0,55.96
2022-05-25 15:30:00-04:00,IYT,2,-1,1,0,-1,1,0,55.79
2022-05-26 09:30:00-04:00,IYT,2,-1,1,0,-1,1,0,57.27
2022-05-26 10:30:00-04:00,IYT,2,-1,1,0,1,3,0,57.45
2022-05-26 11:30:00-04:00,IYT,2,-1,1,-1,1,2,0,57.62
2022-05-26 12:30:00-04:00,IYT,2,-1,1,-1,1,2,0,57.53
2022-05-26 13:30:00-04:00,IYT,2,-1,1,-1,1,2,0,57.6
2022-05-26 14:30:00-04:00,IYT,2,-1,1,1,1,4,0,57.51
