Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,KBE,2,0,0,0,0,2,1,51.69
2022-04-20 15:30:00-04:00,KBE,2,0,0,0,0,2,1,51.46
2022-04-21 09:30:00-04:00,KBE,2,0,1,1,1,5,1,51.94
2022-04-21 10:30:00-04:00,KBE,2,0,1,-1,1,3,-1,51.48
2022-04-21 11:30:00-04:00,KBE,-2,0,1,-1,1,-1,-1,51.09
2022-04-21 12:30:00-04:00,KBE,-2,0,1,-1,1,-1,-1,51.08
2022-04-21 13:30:00-04:00,KBE,-2,0,-1,-1,1,-3,-1,50.79
2022-04-21 14:30:00-04:00,KBE,-2,0,-1,-1,1,-3,-1,50.65
2022-04-21 15:30:00-04:00,KBE,-2,0,-1,-1,-1,-5,-1,50.55
2022-04-22 09:30:00-04:00,KBE,-2,0,-1,-1,0,-4,-1,50.23
2022-04-22 10:30:00-04:00,KBE,-2,0,-1,-1,0,-4,-1,50.04
2022-04-22 11:30:00-04:00,KBE,-2,0,-1,1,0,-2,-1,49.88
2022-04-22 12:30:00-04:00,KBE,-2,0,-1,0,0,-3,-1,49.86
2022-04-22 13:30:00-04:00,KBE,-2,0,-1,0,1,-2,1,49.67
2022-04-22 14:30:00-04:00,KBE,-2,0,-1,0,1,-2,0,49.62
2022-04-22 15:30:00-04:00,KBE,-2,0,-1,0,1,-2,0,49.33
2022-04-25 09:30:00-04:00,KBE,-2,0,-1,0,1,-2,0,48.35
2022-04-25 10:30:00-04:00,KBE,-2,0,-1,0,1,-2,0,48.32
2022-04-25 11:30:00-04:00,KBE,-2,0,1,1,1,1,0,48.78
2022-04-25 12:30:00-04:00,KBE,-2,0,1,1,1,1,0,48.99
2022-04-25 13:30:00-04:00,KBE,-2,0,1,1,1,1,0,49.22
2022-04-25 14:30:00-04:00,KBE,-2,0,1,1,1,1,0,49.35
2022-04-25 15:30:00-04:00,KBE,2,0,1,-1,1,3,0,49.4
2022-04-26 09:30:00-04:00,KBE,-2,0,1,0,1,0,0,48.95
2022-04-26 10:30:00-04:00,KBE,-2,0,1,0,1,0,0,48.42
2022-04-26 11:30:00-04:00,KBE,-2,0,1,-1,-1,-3,0,48.5
2022-04-26 12:30:00-04:00,KBE,-2,0,1,-1,0,-2,0,48.08
2022-04-26 13:30:00-04:00,KBE,-2,0,1,-1,0,-2,0,48.4
2022-04-26 14:30:00-04:00,KBE,-2,0,1,-1,0,-2,0,48.1
2022-04-26 15:30:00-04:00,KBE,-2,0,1,-1,0,-2,0,47.89
2022-04-27 09:30:00-04:00,KBE,-2,0,1,-1,-1,-3,-1,47.7
2022-04-27 10:30:00-04:00,KBE,-2,0,-1,-1,-1,-5,-1,48.1
2022-04-27 11:30:00-04:00,KBE,-2,0,0,1,-1,-2,-1,48.27
2022-04-27 12:30:00-04:00,KBE,-2,0,0,0,-1,-3,-1,48.06
2022-04-27 13:30:00-04:00,KBE,-2,0,0,0,-1,-3,-1,48.18
2022-04-27 14:30:00-04:00,KBE,-2,0,0,0,-1,-3,-1,47.91
2022-04-27 15:30:00-04:00,KBE,-2,0,0,0,-1,-3,-1,47.87
2022-04-28 09:30:00-04:00,KBE,-2,0,0,1,-1,-2,1,47.76
2022-04-28 10:30:00-04:00,KBE,-2,-1,0,1,-1,-3,-1,47.83
2022-04-28 11:30:00-04:00,KBE,-2,-1,0,1,-1,-3,-1,48.08
2022-04-28 12:30:00-04:00,KBE,-2,-1,-1,-1,-1,-6,-1,48.54
2022-04-28 13:30:00-04:00,KBE,-2,-1,1,0,-1,-3,-1,48.43
