Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-05 15:30:00-04:00,META,-2,0,0,0,0,-2,-1,208.38
2022-05-06 09:30:00-04:00,META,-2,0,-1,-1,1,-3,-1,207.65
2022-05-06 10:30:00-04:00,META,-2,0,-1,-1,1,-3,-1,208.05
2022-05-06 11:30:00-04:00,META,-2,0,-1,-1,1,-3,-1,207.4
2022-05-06 12:30:00-04:00,META,-2,0,-1,1,1,-1,1,207.6
2022-05-06 13:30:00-04:00,META,-2,0,-1,1,1,-1,0,205.09
2022-05-06 14:30:00-04:00,META,-2,0,-1,1,1,-1,0,203.35
2022-05-06 15:30:00-04:00,META,-2,0,1,1,1,1,1,203.76
2022-05-09 09:30:00-04:00,META,-2,0,0,1,1,0,1,198.6
2022-05-09 10:30:00-04:00,META,-2,0,0,1,1,0,1,197.2
2022-05-09 11:30:00-04:00,META,-2,0,1,-1,1,-1,-1,200.29
2022-05-09 12:30:00-04:00,META,-2,0,1,1,1,1,1,199.84
2022-05-09 13:30:00-04:00,META,-2,0,1,1,1,1,1,198.25
2022-05-09 14:30:00-04:00,META,-2,0,1,1,1,1,1,197.66
2022-05-09 15:30:00-04:00,META,-2,0,1,-1,1,-1,-1,196.21
2022-05-10 09:30:00-04:00,META,-2,0,1,0,1,0,0,199.89
2022-05-10 10:30:00-04:00,META,-2,0,1,0,1,0,0,195.46
2022-05-10 11:30:00-04:00,META,-2,0,-1,0,1,-2,0,196.52
2022-05-10 12:30:00-04:00,META,-2,0,0,1,1,0,0,198.23
2022-05-10 13:30:00-04:00,META,-2,0,0,1,1,0,0,200.41
2022-05-10 14:30:00-04:00,META,-2,0,1,1,1,1,1,198.92
2022-05-10 15:30:00-04:00,META,-2,0,1,1,1,1,1,197.57
2022-05-11 09:30:00-04:00,META,-2,0,1,-1,1,-1,-1,197.84
2022-05-11 10:30:00-04:00,META,-2,0,1,-1,1,-1,0,195.65
2022-05-11 11:30:00-04:00,META,-2,0,1,-1,1,-1,0,192.79
2022-05-11 12:30:00-04:00,META,-2,0,1,-1,1,-1,0,189.64
2022-05-11 13:30:00-04:00,META,-2,0,1,-1,1,-1,0,191.17
2022-05-11 14:30:00-04:00,META,-2,0,1,-1,-1,-3,-1,190.22
