Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-04 14:30:00-04:00,MSFT,0,0,1,1,1,3,1,287.97
2022-05-04 15:30:00-04:00,MSFT,2,0,1,0,1,4,1,290.03
2022-05-05 09:30:00-04:00,MSFT,-2,0,1,-1,1,-1,-1,278.33
2022-05-05 10:30:00-04:00,MSFT,-2,0,1,-1,1,-1,0,277.04
2022-05-05 11:30:00-04:00,MSFT,-2,0,1,-1,1,-1,-1,277.68
2022-05-05 12:30:00-04:00,MSFT,-2,0,1,-1,1,-1,-1,276.81
2022-05-05 13:30:00-04:00,MSFT,-2,0,1,1,1,1,1,275.47
2022-05-05 14:30:00-04:00,MSFT,-2,0,1,0,1,0,0,274.76
2022-05-05 15:30:00-04:00,MSFT,-2,0,-1,0,1,-2,-1,277.52
2022-05-06 09:30:00-04:00,MSFT,-2,0,-1,1,1,-1,-1,274.11
2022-05-06 10:30:00-04:00,MSFT,2,0,-1,1,1,3,1,278.75
2022-05-06 11:30:00-04:00,MSFT,2,0,-1,1,1,3,1,276.91
2022-05-06 12:30:00-04:00,MSFT,2,0,-1,1,1,3,1,276.72
2022-05-06 13:30:00-04:00,MSFT,-2,0,-1,1,1,-1,-1,274.11
2022-05-06 14:30:00-04:00,MSFT,-2,0,1,1,-1,-1,-1,272.6
2022-05-06 15:30:00-04:00,MSFT,-2,0,0,1,0,-1,-1,274.73
2022-05-09 09:30:00-04:00,MSFT,-2,0,-1,-1,-1,-5,-1,266.14
2022-05-09 10:30:00-04:00,MSFT,-2,0,-1,0,-1,-4,-1,265.8
2022-05-09 11:30:00-04:00,MSFT,-2,0,1,0,-1,-2,1,268.09
2022-05-09 12:30:00-04:00,MSFT,-2,0,0,0,-1,-3,-1,267.15
2022-05-09 13:30:00-04:00,MSFT,-2,0,0,-1,-1,-4,-1,265.55
2022-05-09 14:30:00-04:00,MSFT,-2,0,1,-1,1,-1,1,265.16
2022-05-09 15:30:00-04:00,MSFT,-2,0,1,-1,1,-1,0,264.59
2022-05-10 09:30:00-04:00,MSFT,-2,0,1,1,1,1,0,271.05
2022-05-10 10:30:00-04:00,MSFT,-2,0,1,0,1,0,0,266.79
2022-05-10 11:30:00-04:00,MSFT,-2,0,1,1,1,1,0,268.0
2022-05-10 12:30:00-04:00,MSFT,-2,0,1,1,1,1,0,269.7
2022-05-10 13:30:00-04:00,MSFT,2,0,1,1,1,5,1,271.63
2022-05-10 14:30:00-04:00,MSFT,2,0,1,1,1,5,1,270.4
2022-05-10 15:30:00-04:00,MSFT,-2,0,1,1,1,1,-1,269.45
2022-05-11 09:30:00-04:00,MSFT,-2,0,1,-1,1,-1,0,267.42
2022-05-11 10:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,266.16
2022-05-11 11:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,264.36
2022-05-11 12:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,263.31
2022-05-11 13:30:00-04:00,MSFT,-2,1,1,-1,-1,-2,0,262.58
2022-05-11 14:30:00-04:00,MSFT,-2,1,1,-1,0,-1,0,261.24
2022-05-11 15:30:00-04:00,MSFT,-2,1,1,-1,0,-1,0,260.66
2022-05-12 09:30:00-04:00,MSFT,-2,1,1,-1,0,-1,0,257.13
2022-05-12 10:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,259.01
2022-05-12 11:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,254.83
2022-05-12 12:30:00-04:00,MSFT,-2,1,-1,-1,-1,-4,-1,253.1
2022-05-12 13:30:00-04:00,MSFT,-2,-1,-1,-1,-1,-6,-1,250.98
2022-05-12 14:30:00-04:00,MSFT,-2,-1,1,-1,-1,-4,-1,252.47
2022-05-12 15:30:00-04:00,MSFT,2,-1,1,-1,-1,0,1,255.37
2022-05-13 09:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,261.28
2022-05-13 10:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,261.23
2022-05-13 11:30:00-04:00,MSFT,2,-1,1,0,-1,1,0,261.81
2022-05-13 12:30:00-04:00,MSFT,2,-1,1,0,-1,1,0,260.52
2022-05-13 13:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,258.38
2022-05-13 14:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,261.53
2022-05-13 15:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,261.11
2022-05-16 09:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,258.6
2022-05-16 10:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,258.54
2022-05-16 11:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,260.05
2022-05-16 12:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,262.39
2022-05-16 13:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,265.16
2022-05-16 14:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,262.27
2022-05-16 15:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,261.54
2022-05-17 09:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,264.36
2022-05-17 10:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,264.69
2022-05-17 11:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,265.3
2022-05-17 12:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,264.72
2022-05-17 13:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,263.52
2022-05-17 14:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,266.63
2022-05-17 15:30:00-04:00,MSFT,2,-1,1,0,-1,1,0,266.85
2022-05-18 09:30:00-04:00,MSFT,-2,-1,1,0,-1,-3,0,260.64
2022-05-18 10:30:00-04:00,MSFT,-2,-1,1,0,1,-1,0,257.43
2022-05-18 11:30:00-04:00,MSFT,-2,-1,1,-1,1,-2,0,257.15
2022-05-18 12:30:00-04:00,MSFT,-2,-1,-1,1,1,-2,0,256.47
2022-05-18 13:30:00-04:00,MSFT,-2,-1,-1,0,1,-3,0,255.61
2022-05-18 14:30:00-04:00,MSFT,-2,-1,-1,0,1,-3,0,253.99
2022-05-18 15:30:00-04:00,MSFT,-2,-1,-1,0,1,-3,0,254.14
2022-05-19 09:30:00-04:00,MSFT,-2,-1,-1,0,1,-3,0,254.22
2022-05-19 10:30:00-04:00,MSFT,-2,-1,-1,0,1,-3,0,255.28
2022-05-19 11:30:00-04:00,MSFT,-2,-1,-1,1,1,-2,0,256.36
2022-05-19 12:30:00-04:00,MSFT,-2,-1,-1,-1,1,-4,0,252.85
2022-05-19 13:30:00-04:00,MSFT,-2,-1,-1,-1,1,-4,0,253.87
2022-05-19 14:30:00-04:00,MSFT,-2,-1,1,-1,1,-2,0,253.36
2022-05-19 15:30:00-04:00,MSFT,-2,-1,1,1,1,0,0,253.13
2022-05-20 09:30:00-04:00,MSFT,2,-1,1,1,1,4,1,256.52
2022-05-20 10:30:00-04:00,MSFT,2,-1,-1,1,1,2,1,252.98
2022-05-20 11:30:00-04:00,MSFT,-2,-1,-1,1,1,-2,-1,250.83
2022-05-20 12:30:00-04:00,MSFT,-2,-1,-1,1,1,-2,0,248.15
2022-05-20 13:30:00-04:00,MSFT,-2,1,1,1,-1,0,0,248.45
2022-05-20 14:30:00-04:00,MSFT,-2,1,0,-1,0,-2,0,248.93
2022-05-20 15:30:00-04:00,MSFT,2,1,0,-1,1,3,0,252.58
2022-05-23 09:30:00-04:00,MSFT,2,1,0,1,-1,3,1,257.66
2022-05-23 10:30:00-04:00,MSFT,2,-1,0,0,-1,0,-1,259.17
2022-05-23 11:30:00-04:00,MSFT,2,-1,0,1,1,3,1,260.91
2022-05-23 12:30:00-04:00,MSFT,2,-1,0,1,1,3,1,259.58
2022-05-23 13:30:00-04:00,MSFT,2,-1,0,1,-1,1,-1,260.29
2022-05-23 14:30:00-04:00,MSFT,2,-1,0,1,-1,1,0,259.48
2022-05-23 15:30:00-04:00,MSFT,2,-1,0,1,-1,1,0,260.65
2022-05-24 09:30:00-04:00,MSFT,-2,1,0,1,-1,-1,0,254.89
2022-05-24 10:30:00-04:00,MSFT,-2,1,0,1,-1,-1,0,255.75
2022-05-24 11:30:00-04:00,MSFT,-2,1,0,1,-1,-1,0,258.1
2022-05-24 12:30:00-04:00,MSFT,-2,1,-1,1,-1,-2,0,257.27
2022-05-24 13:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,258.3
2022-05-24 14:30:00-04:00,MSFT,2,-1,1,1,-1,2,1,259.4
2022-05-24 15:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,259.81
2022-05-25 09:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,260.15
2022-05-25 10:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,259.3
2022-05-25 11:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,258.99
2022-05-25 12:30:00-04:00,MSFT,2,1,1,-1,-1,2,0,259.57
2022-05-25 13:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,262.78
2022-05-25 14:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,263.27
2022-05-25 15:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,262.66
2022-05-26 09:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,265.03
2022-05-26 10:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,264.7
2022-05-26 11:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,265.95
2022-05-26 12:30:00-04:00,MSFT,2,-1,1,-1,1,2,0,266.06
2022-05-26 13:30:00-04:00,MSFT,2,-1,1,-1,1,2,0,266.3
2022-05-26 14:30:00-04:00,MSFT,2,-1,1,-1,1,2,0,265.33
2022-05-26 15:30:00-04:00,MSFT,2,-1,1,-1,1,2,0,265.86
2022-05-27 09:30:00-04:00,MSFT,2,1,1,1,1,6,1,271.78
2022-05-27 10:30:00-04:00,MSFT,2,1,-1,1,1,4,1,271.61
2022-05-27 11:30:00-04:00,MSFT,2,1,0,1,1,5,1,271.78
2022-05-27 12:30:00-04:00,MSFT,2,1,0,1,1,5,1,271.37
2022-05-27 13:30:00-04:00,MSFT,2,1,0,1,1,5,1,270.81
2022-05-27 14:30:00-04:00,MSFT,2,1,0,1,1,5,1,272.13
2022-05-27 15:30:00-04:00,MSFT,2,1,0,1,1,5,1,273.24
2022-05-31 09:30:00-04:00,MSFT,2,1,0,-1,1,3,1,270.58
2022-05-31 10:30:00-04:00,MSFT,2,1,-1,0,1,3,-1,270.61
2022-05-31 11:30:00-04:00,MSFT,2,1,-1,0,-1,1,0,272.77
2022-05-31 12:30:00-04:00,MSFT,2,1,1,0,0,4,0,271.91
2022-05-31 13:30:00-04:00,MSFT,2,1,1,0,0,4,1,273.21
2022-05-31 14:30:00-04:00,MSFT,2,1,1,0,-1,3,-1,273.57
2022-05-31 15:30:00-04:00,MSFT,2,1,1,0,-1,3,0,271.96
2022-06-01 09:30:00-04:00,MSFT,-2,1,1,1,-1,0,0,272.46
2022-06-01 10:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,271.9
2022-06-01 11:30:00-04:00,MSFT,-2,-1,0,1,-1,-3,-1,270.62
2022-06-01 12:30:00-04:00,MSFT,-2,-1,0,1,-1,-3,-1,270.86
2022-06-01 13:30:00-04:00,MSFT,-2,-1,0,1,-1,-3,-1,273.71
2022-06-01 14:30:00-04:00,MSFT,-2,1,0,1,-1,-1,-1,273.78
2022-06-01 15:30:00-04:00,MSFT,-2,1,0,1,-1,-1,1,272.35
2022-06-02 09:30:00-04:00,MSFT,-2,-1,1,-1,-1,-4,-1,265.12
2022-06-02 10:30:00-04:00,MSFT,-2,-1,1,-1,-1,-4,-1,267.73
2022-06-02 11:30:00-04:00,MSFT,2,-1,1,-1,-1,0,1,269.62
2022-06-02 12:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,271.29
2022-06-02 13:30:00-04:00,MSFT,2,-1,-1,-1,-1,-2,0,272.7
2022-06-02 14:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,273.01
2022-06-02 15:30:00-04:00,MSFT,2,-1,-1,0,-1,-1,0,274.62
2022-06-03 09:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,271.98
2022-06-03 10:30:00-04:00,MSFT,2,-1,1,1,-1,2,0,268.82
2022-06-03 11:30:00-04:00,MSFT,-2,-1,0,1,-1,-3,-1,269.74
2022-06-03 12:30:00-04:00,MSFT,-2,-1,0,-1,-1,-5,-1,269.85
2022-06-03 13:30:00-04:00,MSFT,2,-1,0,0,-1,0,1,270.71
2022-06-03 14:30:00-04:00,MSFT,-2,-1,0,0,-1,-4,-1,269.39
2022-06-03 15:30:00-04:00,MSFT,-2,-1,0,0,-1,-4,-1,270.05
2022-06-06 09:30:00-04:00,MSFT,2,-1,0,1,-1,1,1,273.17
2022-06-06 10:30:00-04:00,MSFT,2,-1,0,1,-1,1,0,270.5
2022-06-06 11:30:00-04:00,MSFT,-2,-1,0,1,-1,-3,0,268.69
2022-06-06 12:30:00-04:00,MSFT,-2,-1,1,-1,-1,-4,-1,268.8
2022-06-06 13:30:00-04:00,MSFT,-2,-1,1,1,-1,-2,-1,268.8
2022-06-06 14:30:00-04:00,MSFT,-2,-1,1,1,-1,-2,1,267.79
2022-06-06 15:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,268.75
2022-06-07 09:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,269.68
2022-06-07 10:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,270.46
2022-06-07 11:30:00-04:00,MSFT,-2,-1,-1,1,-1,-4,-1,269.82
2022-06-07 12:30:00-04:00,MSFT,2,-1,-1,1,-1,0,1,271.01
2022-06-07 13:30:00-04:00,MSFT,2,-1,-1,1,-1,0,0,271.91
2022-06-07 14:30:00-04:00,MSFT,2,-1,1,-1,-1,0,0,272.12
2022-06-07 15:30:00-04:00,MSFT,2,-1,0,0,-1,0,0,272.5
2022-06-08 09:30:00-04:00,MSFT,2,-1,0,1,1,3,1,272.13
2022-06-08 10:30:00-04:00,MSFT,2,-1,0,1,1,3,1,272.38
2022-06-08 11:30:00-04:00,MSFT,2,-1,0,1,1,3,1,271.84
2022-06-08 12:30:00-04:00,MSFT,2,-1,1,-1,1,2,1,270.67
2022-06-08 13:30:00-04:00,MSFT,2,-1,1,1,1,4,1,269.91
2022-06-08 14:30:00-04:00,MSFT,2,1,1,-1,1,4,1,271.07
2022-06-08 15:30:00-04:00,MSFT,2,1,1,1,1,6,1,270.46
2022-06-09 09:30:00-04:00,MSFT,2,-1,-1,1,1,2,1,272.26
2022-06-09 10:30:00-04:00,MSFT,-2,-1,0,1,1,-1,-1,270.88
2022-06-09 11:30:00-04:00,MSFT,2,1,0,1,1,5,1,271.21
2022-06-09 12:30:00-04:00,MSFT,-2,1,0,1,1,1,-1,270.69
2022-06-09 13:30:00-04:00,MSFT,-2,1,-1,1,1,0,0,270.04
2022-06-09 14:30:00-04:00,MSFT,-2,1,-1,1,1,0,0,266.91
2022-06-09 15:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,264.7
2022-06-10 09:30:00-04:00,MSFT,-2,1,1,-1,1,0,0,254.43
2022-06-10 10:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,0,254.84
2022-06-10 11:30:00-04:00,MSFT,-2,1,0,-1,1,-1,0,254.69
2022-06-10 12:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,0,254.79
2022-06-10 13:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,0,255.06
2022-06-10 14:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,0,255.98
2022-06-10 15:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,0,252.9
2022-06-13 09:30:00-04:00,MSFT,-2,1,1,1,1,2,0,247.96
2022-06-13 10:30:00-04:00,MSFT,-2,1,1,0,1,1,0,245.74
2022-06-13 11:30:00-04:00,MSFT,-2,1,1,0,1,1,0,246.21
2022-06-13 12:30:00-04:00,MSFT,-2,1,-1,0,1,-1,0,244.64
2022-06-13 13:30:00-04:00,MSFT,-2,1,0,-1,1,-1,0,244.33
2022-06-13 14:30:00-04:00,MSFT,-2,1,0,-1,1,-1,0,241.87
2022-06-13 15:30:00-04:00,MSFT,-2,1,-1,-1,1,-2,-1,242.33
2022-06-14 09:30:00-04:00,MSFT,-2,1,1,-1,1,0,1,242.16
2022-06-14 10:30:00-04:00,MSFT,-2,-1,0,-1,1,-3,-1,242.73
2022-06-14 11:30:00-04:00,MSFT,-2,-1,0,1,1,-1,1,243.46
2022-06-14 12:30:00-04:00,MSFT,-2,-1,0,0,1,-2,-1,244.7
2022-06-14 13:30:00-04:00,MSFT,-2,-1,0,1,1,-1,1,244.09
2022-06-14 14:30:00-04:00,MSFT,-2,-1,0,1,1,-1,0,243.65
2022-06-14 15:30:00-04:00,MSFT,-2,-1,-1,1,1,-2,-1,244.57
2022-06-15 09:30:00-04:00,MSFT,-2,-1,1,1,1,0,1,249.09
2022-06-15 10:30:00-04:00,MSFT,2,-1,0,1,1,3,0,248.86
2022-06-15 11:30:00-04:00,MSFT,2,-1,-1,1,1,2,0,250.22
2022-06-15 12:30:00-04:00,MSFT,2,-1,-1,1,1,2,0,250.04
2022-06-15 13:30:00-04:00,MSFT,2,-1,-1,1,1,2,0,248.4
