Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,NVDA,2,0,0,0,0,2,1,195.83
2022-05-03 15:30:00-04:00,NVDA,2,0,0,0,0,2,1,196.11
2022-05-04 09:30:00-04:00,NVDA,-2,0,1,0,-1,-2,-1,190.21
2022-05-04 10:30:00-04:00,NVDA,-2,0,1,-1,-1,-3,-1,188.7
2022-05-04 11:30:00-04:00,NVDA,-2,0,1,-1,-1,-3,-1,192.37
2022-05-04 12:30:00-04:00,NVDA,-2,0,1,-1,-1,-3,-1,192.23
2022-05-04 13:30:00-04:00,NVDA,-2,0,1,-1,-1,-3,-1,192.94
2022-05-04 14:30:00-04:00,NVDA,2,0,1,1,-1,3,1,202.48
2022-05-04 15:30:00-04:00,NVDA,2,0,1,0,1,4,1,203.43
2022-05-05 09:30:00-04:00,NVDA,-2,0,1,0,0,-1,-1,190.25
2022-05-05 10:30:00-04:00,NVDA,-2,0,1,-1,1,-1,0,188.54
2022-05-05 11:30:00-04:00,NVDA,-2,0,1,-1,1,-1,0,190.12
2022-05-05 12:30:00-04:00,NVDA,-2,0,-1,-1,1,-3,-1,190.43
2022-05-05 13:30:00-04:00,NVDA,-2,0,1,-1,1,-1,-1,186.09
2022-05-05 14:30:00-04:00,NVDA,-2,0,1,-1,1,-1,1,185.35
2022-05-05 15:30:00-04:00,NVDA,-2,0,-1,-1,1,-3,-1,188.48
2022-05-06 09:30:00-04:00,NVDA,-2,0,-1,-1,1,-3,-1,187.13
2022-05-06 10:30:00-04:00,NVDA,2,0,-1,1,1,3,1,193.29
2022-05-06 11:30:00-04:00,NVDA,2,0,-1,1,1,3,1,189.91
2022-05-06 12:30:00-04:00,NVDA,2,0,-1,1,1,3,1,189.12
2022-05-06 13:30:00-04:00,NVDA,2,0,-1,1,1,3,1,186.4
2022-05-06 14:30:00-04:00,NVDA,-2,0,-1,-1,1,-3,-1,184.83
2022-05-06 15:30:00-04:00,NVDA,-2,0,1,0,1,0,0,186.78
2022-05-09 09:30:00-04:00,NVDA,-2,0,0,0,1,-1,0,175.18
2022-05-09 10:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,172.9
2022-05-09 11:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,175.63
2022-05-09 12:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,172.9
2022-05-09 13:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,170.01
2022-05-09 14:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,170.05
2022-05-09 15:30:00-04:00,NVDA,-2,0,0,-1,1,-2,-1,169.6
