Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-21 15:30:00-04:00,QQQ,-2,0,0,0,0,-2,-1,334.16
2022-04-22 09:30:00-04:00,QQQ,-2,0,-1,1,1,-1,1,331.01
2022-04-22 10:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,331.65
2022-04-22 11:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,329.19
2022-04-22 12:30:00-04:00,QQQ,-2,0,-1,-1,1,-3,-1,328.26
2022-04-22 13:30:00-04:00,QQQ,-2,0,-1,0,1,-2,1,327.47
2022-04-22 14:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,327.27
2022-04-22 15:30:00-04:00,QQQ,-2,0,-1,-1,1,-3,-1,325.35
2022-04-25 09:30:00-04:00,QQQ,-2,0,-1,1,1,-1,1,326.16
2022-04-25 10:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,324.22
2022-04-25 11:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,324.97
2022-04-25 12:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,325.96
2022-04-25 13:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,327.48
2022-04-25 14:30:00-04:00,QQQ,-2,0,-1,-1,1,-3,-1,328.28
2022-04-25 15:30:00-04:00,QQQ,2,0,-1,0,1,2,1,329.64
2022-04-26 09:30:00-04:00,QQQ,-2,0,-1,-1,1,-3,-1,321.87
2022-04-26 10:30:00-04:00,QQQ,-2,0,1,-1,1,-1,1,320.21
2022-04-26 11:30:00-04:00,QQQ,-2,0,0,-1,1,-2,-1,321.74
2022-04-26 12:30:00-04:00,QQQ,-2,0,0,-1,-1,-4,-1,319.36
2022-04-26 13:30:00-04:00,QQQ,-2,0,0,-1,1,-2,-1,320.84
2022-04-26 14:30:00-04:00,QQQ,-2,0,0,-1,-1,-4,-1,318.54
2022-04-26 15:30:00-04:00,QQQ,-2,0,0,-1,0,-3,-1,316.89
2022-04-27 09:30:00-04:00,QQQ,-2,0,0,-1,1,-2,1,315.77
2022-04-27 10:30:00-04:00,QQQ,-2,0,0,-1,1,-2,0,319.29
2022-04-27 11:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,321.8
2022-04-27 12:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,320.73
2022-04-27 13:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,319.4
2022-04-27 14:30:00-04:00,QQQ,-2,0,-1,-1,1,-3,0,317.36
2022-04-27 15:30:00-04:00,QQQ,-2,0,-1,0,1,-2,0,316.75
2022-04-28 09:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,318.3
2022-04-28 10:30:00-04:00,QQQ,-2,0,-1,1,1,-1,0,320.99
2022-04-28 11:30:00-04:00,QQQ,2,0,1,1,1,5,1,322.88
2022-04-28 12:30:00-04:00,QQQ,2,0,0,1,1,4,1,326.6
2022-04-28 13:30:00-04:00,QQQ,2,0,0,1,-1,2,-1,327.89
2022-04-28 14:30:00-04:00,QQQ,2,0,0,1,-1,2,0,328.97
2022-04-28 15:30:00-04:00,QQQ,2,0,-1,1,-1,1,0,327.93
2022-04-29 09:30:00-04:00,QQQ,-2,0,1,1,-1,-1,0,322.29
2022-04-29 10:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,0,321.62
2022-04-29 11:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,-1,319.57
2022-04-29 12:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,-1,319.17
2022-04-29 13:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,-1,317.15
2022-04-29 14:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,-1,315.14
2022-04-29 15:30:00-04:00,QQQ,-2,1,1,-1,-1,-2,-1,313.24
2022-05-02 09:30:00-04:00,QQQ,2,1,1,-1,-1,2,1,316.3
2022-05-02 10:30:00-04:00,QQQ,2,1,-1,-1,-1,0,0,313.51
2022-05-02 11:30:00-04:00,QQQ,2,1,0,1,-1,3,0,314.66
2022-05-02 12:30:00-04:00,QQQ,-2,1,0,0,-1,-2,0,311.76
2022-05-02 13:30:00-04:00,QQQ,-2,1,0,0,-1,-2,0,310.52
2022-05-02 14:30:00-04:00,QQQ,2,1,0,0,-1,2,0,315.94
