Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-22 14:30:00-04:00,SOXX,-2,0,0,0,0,-2,-1,137.31
2022-04-22 15:30:00-04:00,SOXX,-2,0,0,0,0,-2,-1,136.66
2022-04-25 09:30:00-04:00,SOXX,-2,0,-1,1,1,-1,1,137.77
2022-04-25 10:30:00-04:00,SOXX,-2,0,-1,1,1,-1,0,136.84
2022-04-25 11:30:00-04:00,SOXX,-2,0,1,1,1,1,1,137.16
2022-04-25 12:30:00-04:00,SOXX,-2,0,1,1,1,1,1,137.24
2022-04-25 13:30:00-04:00,SOXX,-2,0,1,-1,1,-1,-1,137.84
2022-04-25 14:30:00-04:00,SOXX,-2,0,1,0,1,0,0,138.09
2022-04-25 15:30:00-04:00,SOXX,2,0,1,0,1,4,1,139.08
2022-04-26 09:30:00-04:00,SOXX,-2,0,1,-1,1,-1,-1,135.04
2022-04-26 10:30:00-04:00,SOXX,-2,0,1,-1,1,-1,-1,134.25
2022-04-26 11:30:00-04:00,SOXX,-2,0,1,-1,1,-1,-1,135.35
2022-04-26 12:30:00-04:00,SOXX,-2,0,1,-1,1,-1,-1,134.14
2022-04-26 13:30:00-04:00,SOXX,-2,0,-1,-1,-1,-5,-1,135.22
2022-04-26 14:30:00-04:00,SOXX,-2,0,0,-1,0,-3,-1,133.74
2022-04-26 15:30:00-04:00,SOXX,-2,0,0,-1,0,-3,-1,132.88
2022-04-27 09:30:00-04:00,SOXX,-2,0,1,-1,1,-1,1,131.88
2022-04-27 10:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,0,132.62
2022-04-27 11:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,-1,133.98
2022-04-27 12:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,-1,133.59
2022-04-27 13:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,-1,133.62
2022-04-27 14:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,-1,132.5
2022-04-27 15:30:00-04:00,SOXX,-2,0,-1,-1,1,-3,-1,132.15
