Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,SPY,2,0,0,0,0,2,1,445.38
2022-04-20 15:30:00-04:00,SPY,2,0,0,0,0,2,1,444.66
2022-04-21 09:30:00-04:00,SPY,2,0,-1,-1,1,1,-1,448.69
2022-04-21 10:30:00-04:00,SPY,2,0,-1,1,1,3,1,446.69
2022-04-21 11:30:00-04:00,SPY,-2,0,-1,0,1,-2,-1,443.63
2022-04-21 12:30:00-04:00,SPY,-2,0,1,0,1,0,0,443.27
2022-04-21 13:30:00-04:00,SPY,-2,0,1,0,1,0,0,440.71
2022-04-21 14:30:00-04:00,SPY,-2,0,1,1,-1,-1,0,439.49
2022-04-21 15:30:00-04:00,SPY,-2,0,1,-1,1,-1,-1,438.16
2022-04-22 09:30:00-04:00,SPY,-2,0,1,1,1,1,1,432.94
2022-04-22 10:30:00-04:00,SPY,-2,0,-1,1,-1,-3,-1,432.71
2022-04-22 11:30:00-04:00,SPY,-2,0,-1,1,1,-1,1,430.9
2022-04-22 12:30:00-04:00,SPY,-2,0,-1,1,1,-1,0,430.07
2022-04-22 13:30:00-04:00,SPY,-2,0,1,1,1,1,0,428.9
2022-04-22 14:30:00-04:00,SPY,-2,0,0,1,1,0,0,428.56
2022-04-22 15:30:00-04:00,SPY,-2,0,0,1,1,0,0,426.07
2022-04-25 09:30:00-04:00,SPY,-2,0,0,1,1,0,0,422.66
2022-04-25 10:30:00-04:00,SPY,-2,0,0,1,1,0,0,420.74
2022-04-25 11:30:00-04:00,SPY,-2,0,0,-1,1,-2,0,421.68
2022-04-25 12:30:00-04:00,SPY,-2,0,0,0,1,-1,0,422.99
2022-04-25 13:30:00-04:00,SPY,-2,0,0,0,1,-1,0,425.56
2022-04-25 14:30:00-04:00,SPY,2,0,1,0,1,4,1,427.2
2022-04-25 15:30:00-04:00,SPY,2,0,1,0,1,4,1,428.5
2022-04-26 09:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,422.46
2022-04-26 10:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,420.84
2022-04-26 11:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,421.99
2022-04-26 12:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,419.19
2022-04-26 13:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,420.58
2022-04-26 14:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,417.96
2022-04-26 15:30:00-04:00,SPY,-2,0,1,-1,-1,-3,-1,416.12
2022-04-27 09:30:00-04:00,SPY,-2,0,1,1,1,1,1,415.94
2022-04-27 10:30:00-04:00,SPY,-2,0,-1,1,0,-2,-1,419.8
2022-04-27 11:30:00-04:00,SPY,-2,0,0,1,0,-1,1,422.11
2022-04-27 12:30:00-04:00,SPY,-2,0,-1,1,0,-2,-1,421.53
2022-04-27 13:30:00-04:00,SPY,-2,0,-1,1,1,-1,1,420.37
2022-04-27 14:30:00-04:00,SPY,-2,0,-1,1,1,-1,0,418.27
2022-04-27 15:30:00-04:00,SPY,-2,0,-1,-1,1,-3,-1,417.26
2022-04-28 09:30:00-04:00,SPY,-2,0,-1,1,1,-1,-1,418.48
2022-04-28 10:30:00-04:00,SPY,-2,0,-1,-1,1,-3,-1,420.74
2022-04-28 11:30:00-04:00,SPY,-2,0,-1,0,-1,-4,-1,423.21
2022-04-28 12:30:00-04:00,SPY,2,0,-1,0,-1,0,1,426.86
2022-04-28 13:30:00-04:00,SPY,2,0,-1,0,1,2,0,427.54
2022-04-28 14:30:00-04:00,SPY,2,0,-1,0,-1,0,0,428.77
2022-04-28 15:30:00-04:00,SPY,2,0,-1,-1,-1,-1,0,427.79
2022-04-29 09:30:00-04:00,SPY,2,0,1,-1,1,3,0,421.18
2022-04-29 10:30:00-04:00,SPY,2,0,1,-1,-1,1,0,420.94
2022-04-29 11:30:00-04:00,SPY,2,0,1,-1,-1,1,0,418.83
2022-04-29 12:30:00-04:00,SPY,2,0,1,-1,-1,1,0,418.64
2022-04-29 13:30:00-04:00,SPY,2,0,1,-1,-1,1,0,416.74
2022-04-29 14:30:00-04:00,SPY,-2,0,1,-1,-1,-3,0,414.07
2022-04-29 15:30:00-04:00,SPY,-2,0,-1,-1,-1,-5,-1,412.05
2022-05-02 09:30:00-04:00,SPY,2,0,-1,-1,-1,-1,1,414.46
2022-05-02 10:30:00-04:00,SPY,-2,0,1,-1,-1,-3,0,410.57
2022-05-02 11:30:00-04:00,SPY,2,0,-1,-1,-1,-1,0,411.51
