Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-10 14:30:00-04:00,TLT,2,0,0,0,0,2,1,116.0
2022-05-10 15:30:00-04:00,TLT,2,0,0,0,0,2,1,115.78
2022-05-11 09:30:00-04:00,TLT,-2,0,-1,-1,-1,-5,-1,114.86
2022-05-11 10:30:00-04:00,TLT,2,0,-1,-1,-1,-1,0,116.5
2022-05-11 11:30:00-04:00,TLT,2,0,-1,-1,-1,-1,0,116.85
2022-05-11 12:30:00-04:00,TLT,2,0,-1,1,-1,1,1,117.37
2022-05-11 13:30:00-04:00,TLT,2,0,-1,0,-1,0,-1,117.36
2022-05-11 14:30:00-04:00,TLT,2,0,1,-1,-1,1,1,117.46
2022-05-11 15:30:00-04:00,TLT,2,0,0,-1,-1,0,-1,117.9
2022-05-12 09:30:00-04:00,TLT,2,0,1,-1,-1,1,1,117.88
2022-05-12 10:30:00-04:00,TLT,2,0,1,-1,-1,1,1,118.38
2022-05-12 11:30:00-04:00,TLT,2,0,1,-1,-1,1,1,118.24
2022-05-12 12:30:00-04:00,TLT,2,0,1,-1,-1,1,1,118.45
2022-05-12 13:30:00-04:00,TLT,2,0,1,-1,-1,1,1,118.4
2022-05-12 14:30:00-04:00,TLT,2,0,1,-1,-1,1,1,118.2
2022-05-12 15:30:00-04:00,TLT,2,0,1,-1,-1,1,1,117.74
2022-05-13 09:30:00-04:00,TLT,-2,0,1,1,-1,-1,-1,116.54
2022-05-13 10:30:00-04:00,TLT,-2,0,1,1,-1,-1,0,116.76
2022-05-13 11:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,116.4
2022-05-13 12:30:00-04:00,TLT,-2,0,1,1,1,1,0,116.1
2022-05-13 13:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.29
2022-05-13 14:30:00-04:00,TLT,-2,0,1,1,1,1,1,115.92
2022-05-13 15:30:00-04:00,TLT,-2,0,1,1,1,1,1,115.94
2022-05-16 09:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.28
2022-05-16 10:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.6
2022-05-16 11:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.68
2022-05-16 12:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.4
2022-05-16 13:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.18
2022-05-16 14:30:00-04:00,TLT,-2,0,1,1,1,1,1,116.17
2022-05-16 15:30:00-04:00,TLT,-2,0,1,1,1,1,1,115.87
2022-05-17 09:30:00-04:00,TLT,-2,0,-1,1,-1,-3,-1,115.0
2022-05-17 10:30:00-04:00,TLT,-2,0,-1,1,0,-2,0,114.84
2022-05-17 11:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,114.93
2022-05-17 12:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,114.96
2022-05-17 13:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,114.98
2022-05-17 14:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,114.57
2022-05-17 15:30:00-04:00,TLT,-2,0,-1,1,-1,-3,0,114.46
2022-05-18 09:30:00-04:00,TLT,-2,0,1,1,-1,-1,0,115.47
2022-05-18 10:30:00-04:00,TLT,2,0,1,-1,1,3,1,115.95
2022-05-18 11:30:00-04:00,TLT,2,0,1,-1,0,2,1,116.02
2022-05-18 12:30:00-04:00,TLT,2,-1,1,-1,0,1,1,116.49
2022-05-18 13:30:00-04:00,TLT,2,-1,1,-1,0,1,1,116.68
2022-05-18 14:30:00-04:00,TLT,2,-1,1,-1,0,1,-1,116.96
2022-05-18 15:30:00-04:00,TLT,2,1,1,-1,1,4,1,116.92
2022-05-19 09:30:00-04:00,TLT,2,1,1,-1,-1,2,1,117.87
2022-05-19 10:30:00-04:00,TLT,2,1,1,-1,1,4,1,118.17
2022-05-19 11:30:00-04:00,TLT,2,1,1,-1,1,4,1,117.53
2022-05-19 12:30:00-04:00,TLT,-2,1,1,-1,1,0,-1,117.42
2022-05-19 13:30:00-04:00,TLT,-2,1,1,-1,1,0,0,117.21
2022-05-19 14:30:00-04:00,TLT,-2,1,1,-1,1,0,0,117.32
2022-05-19 15:30:00-04:00,TLT,-2,1,1,-1,1,0,0,117.16
2022-05-20 09:30:00-04:00,TLT,-2,1,1,-1,1,0,0,117.62
2022-05-20 10:30:00-04:00,TLT,2,-1,1,-1,1,2,0,118.23
2022-05-20 11:30:00-04:00,TLT,2,-1,-1,-1,1,0,0,118.53
2022-05-20 12:30:00-04:00,TLT,2,-1,0,-1,1,1,0,118.72
2022-05-20 13:30:00-04:00,TLT,2,1,0,-1,-1,1,0,118.59
2022-05-20 14:30:00-04:00,TLT,2,1,0,-1,1,3,1,118.66
2022-05-20 15:30:00-04:00,TLT,2,1,0,-1,-1,1,-1,118.55
2022-05-23 09:30:00-04:00,TLT,2,1,0,-1,0,2,0,117.92
2022-05-23 10:30:00-04:00,TLT,-2,1,1,1,1,2,0,117.04
2022-05-23 11:30:00-04:00,TLT,-2,1,1,1,1,2,0,117.09
2022-05-23 12:30:00-04:00,TLT,-2,1,1,1,1,2,0,117.14
2022-05-23 13:30:00-04:00,TLT,-2,1,1,1,1,2,0,116.75
2022-05-23 14:30:00-04:00,TLT,-2,-1,1,1,1,0,0,116.65
2022-05-23 15:30:00-04:00,TLT,-2,-1,1,1,-1,-2,0,116.59
2022-05-24 09:30:00-04:00,TLT,2,-1,1,1,0,3,0,119.21
2022-05-24 10:30:00-04:00,TLT,2,-1,1,-1,0,1,0,119.37
2022-05-24 11:30:00-04:00,TLT,2,-1,1,0,0,2,0,118.96
2022-05-24 12:30:00-04:00,TLT,2,-1,-1,0,0,0,0,118.99
2022-05-24 13:30:00-04:00,TLT,2,-1,-1,0,0,0,0,118.92
2022-05-24 14:30:00-04:00,TLT,2,-1,1,0,0,2,0,118.87
2022-05-24 15:30:00-04:00,TLT,2,1,1,0,1,5,1,118.93
2022-05-25 09:30:00-04:00,TLT,2,1,1,0,1,5,1,118.66
2022-05-25 10:30:00-04:00,TLT,2,1,1,1,1,6,1,119.39
2022-05-25 11:30:00-04:00,TLT,2,1,1,1,1,6,1,119.1
2022-05-25 12:30:00-04:00,TLT,2,1,1,1,1,6,1,119.12
2022-05-25 13:30:00-04:00,TLT,2,1,-1,1,1,4,1,119.25
2022-05-25 14:30:00-04:00,TLT,2,1,-1,1,1,4,1,119.27
2022-05-25 15:30:00-04:00,TLT,2,-1,-1,1,1,2,-1,119.32
2022-05-26 09:30:00-04:00,TLT,-2,-1,-1,1,1,-2,-1,118.86
2022-05-26 10:30:00-04:00,TLT,-2,-1,-1,1,1,-2,-1,118.05
2022-05-26 11:30:00-04:00,TLT,-2,-1,-1,1,1,-2,-1,118.18
2022-05-26 12:30:00-04:00,TLT,2,-1,-1,1,1,2,1,118.65
2022-05-26 13:30:00-04:00,TLT,2,-1,-1,1,1,2,0,118.46
