Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-28 14:30:00-04:00,TSLA,2,0,0,0,0,2,0,293.92
2022-04-28 15:30:00-04:00,TSLA,2,0,0,0,0,2,1,292.5
2022-04-29 09:30:00-04:00,TSLA,2,0,0,1,0,3,1,305.74
2022-04-29 10:30:00-04:00,TSLA,2,0,0,1,0,3,1,302.17
2022-04-29 11:30:00-04:00,TSLA,2,0,-1,1,0,2,1,301.9
2022-04-29 12:30:00-04:00,TSLA,2,0,-1,1,0,2,1,300.43
2022-04-29 13:30:00-04:00,TSLA,-2,0,-1,1,0,-2,-1,294.83
2022-04-29 14:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,294.02
2022-04-29 15:30:00-04:00,TSLA,-2,0,-1,1,1,-1,1,290.53
2022-05-02 09:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,295.53
2022-05-02 10:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,292.2
2022-05-02 11:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,291.87
2022-05-02 12:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,287.52
2022-05-02 13:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,288.62
2022-05-02 14:30:00-04:00,TSLA,-2,0,-1,1,-1,-3,-1,296.3
2022-05-02 15:30:00-04:00,TSLA,2,0,-1,-1,-1,-1,-1,300.98
2022-05-03 09:30:00-04:00,TSLA,2,0,1,-1,-1,1,1,304.08
2022-05-03 10:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,304.3
2022-05-03 11:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,302.41
2022-05-03 12:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,304.6
2022-05-03 13:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,301.53
2022-05-03 14:30:00-04:00,TSLA,2,0,1,1,-1,3,1,302.04
2022-05-03 15:30:00-04:00,TSLA,2,0,1,0,-1,2,1,303.1
2022-05-04 09:30:00-04:00,TSLA,2,0,1,-1,-1,1,-1,297.67
2022-05-04 10:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,296.97
2022-05-04 11:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,302.18
2022-05-04 12:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,304.23
2022-05-04 13:30:00-04:00,TSLA,2,0,1,-1,-1,1,0,304.02
2022-05-04 14:30:00-04:00,TSLA,2,0,-1,-1,-1,-1,0,313.0
2022-05-04 15:30:00-04:00,TSLA,2,0,-1,-1,1,1,0,317.71
2022-05-05 09:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,300.17
2022-05-05 10:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,296.21
2022-05-05 11:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,294.55
2022-05-05 12:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,293.4
2022-05-05 13:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,290.89
2022-05-05 14:30:00-04:00,TSLA,-2,0,-1,-1,1,-3,-1,286.64
2022-05-05 15:30:00-04:00,TSLA,-2,0,1,-1,1,-1,-1,291.09
2022-05-06 09:30:00-04:00,TSLA,-2,0,1,1,1,1,1,289.5
2022-05-06 10:30:00-04:00,TSLA,-2,-1,1,1,1,0,0,295.22
2022-05-06 11:30:00-04:00,TSLA,-2,-1,1,-1,1,-2,0,291.42
2022-05-06 12:30:00-04:00,TSLA,-2,-1,1,-1,1,-2,-1,290.22
2022-05-06 13:30:00-04:00,TSLA,-2,-1,1,-1,1,-2,-1,287.37
2022-05-06 14:30:00-04:00,TSLA,-2,1,1,-1,1,0,1,286.33
2022-05-06 15:30:00-04:00,TSLA,-2,1,1,-1,1,0,0,288.56
2022-05-09 09:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,0,271.12
2022-05-09 10:30:00-04:00,TSLA,-2,1,0,-1,1,-1,0,268.5
2022-05-09 11:30:00-04:00,TSLA,-2,1,0,-1,1,-1,0,272.62
2022-05-09 12:30:00-04:00,TSLA,-2,1,0,-1,1,-1,0,269.51
2022-05-09 13:30:00-04:00,TSLA,-2,1,0,-1,1,-1,0,266.19
2022-05-09 14:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,264.71
2022-05-09 15:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,262.45
2022-05-10 09:30:00-04:00,TSLA,-2,-1,1,-1,1,-2,-1,268.67
2022-05-10 10:30:00-04:00,TSLA,-2,1,0,-1,1,-1,1,261.36
2022-05-10 11:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,263.17
2022-05-10 12:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,265.75
2022-05-10 13:30:00-04:00,TSLA,-2,1,-1,1,1,0,1,268.26
2022-05-10 14:30:00-04:00,TSLA,-2,1,-1,1,1,0,0,265.93
2022-05-10 15:30:00-04:00,TSLA,-2,1,-1,1,1,0,0,266.68
2022-05-11 09:30:00-04:00,TSLA,-2,1,-1,1,1,0,0,266.5
2022-05-11 10:30:00-04:00,TSLA,-2,1,1,-1,1,0,0,261.57
2022-05-11 11:30:00-04:00,TSLA,-2,1,0,-1,-1,-3,-1,258.52
2022-05-11 12:30:00-04:00,TSLA,-2,-1,0,-1,0,-4,-1,251.69
2022-05-11 13:30:00-04:00,TSLA,-2,-1,0,-1,0,-4,-1,249.19
2022-05-11 14:30:00-04:00,TSLA,-2,-1,0,-1,0,-4,-1,246.0
2022-05-11 15:30:00-04:00,TSLA,-2,-1,0,-1,1,-3,-1,244.81
2022-05-12 09:30:00-04:00,TSLA,-2,-1,0,-1,1,-3,-1,247.69
2022-05-12 10:30:00-04:00,TSLA,-2,-1,0,-1,1,-3,-1,248.17
2022-05-12 11:30:00-04:00,TSLA,-2,-1,0,-1,1,-3,-1,242.24
2022-05-12 12:30:00-04:00,TSLA,-2,-1,0,-1,1,-3,-1,242.56
2022-05-12 13:30:00-04:00,TSLA,-2,1,0,-1,1,-1,1,239.06
2022-05-12 14:30:00-04:00,TSLA,2,1,0,-1,-1,1,1,240.34
2022-05-12 15:30:00-04:00,TSLA,2,1,-1,-1,-1,0,1,242.67
2022-05-13 09:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,256.14
2022-05-13 10:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,256.58
2022-05-13 11:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,260.67
2022-05-13 12:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,258.72
2022-05-13 13:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,253.45
2022-05-13 14:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,258.04
2022-05-13 15:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,256.56
2022-05-16 09:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,254.99
2022-05-16 10:30:00-04:00,TSLA,-2,1,-1,1,-1,-2,-1,245.35
2022-05-16 11:30:00-04:00,TSLA,-2,1,1,-1,-1,-2,0,245.18
2022-05-16 12:30:00-04:00,TSLA,-2,1,1,0,-1,-1,0,242.8
2022-05-16 13:30:00-04:00,TSLA,-2,1,1,0,-1,-1,0,245.66
2022-05-16 14:30:00-04:00,TSLA,-2,1,-1,0,-1,-3,0,242.0
2022-05-16 15:30:00-04:00,TSLA,-2,1,-1,0,-1,-3,-1,241.42
2022-05-17 09:30:00-04:00,TSLA,-2,1,-1,0,-1,-3,-1,245.66
2022-05-17 10:30:00-04:00,TSLA,2,1,-1,0,-1,1,1,248.74
2022-05-17 11:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,251.5
2022-05-17 12:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,252.21
2022-05-17 13:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,249.41
2022-05-17 14:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,252.63
2022-05-17 15:30:00-04:00,TSLA,2,1,-1,1,-1,2,1,253.96
2022-05-18 09:30:00-04:00,TSLA,2,1,1,1,-1,4,1,250.62
2022-05-18 10:30:00-04:00,TSLA,2,1,0,1,1,5,1,245.19
2022-05-18 11:30:00-04:00,TSLA,-2,1,0,1,1,1,-1,238.43
2022-05-18 12:30:00-04:00,TSLA,-2,1,1,1,1,2,0,235.77
2022-05-18 13:30:00-04:00,TSLA,-2,1,1,1,1,2,0,235.65
2022-05-18 14:30:00-04:00,TSLA,-2,1,1,-1,1,0,0,234.57
2022-05-18 15:30:00-04:00,TSLA,-2,1,1,0,1,1,0,236.58
2022-05-19 09:30:00-04:00,TSLA,-2,1,-1,0,1,-1,0,234.89
2022-05-19 10:30:00-04:00,TSLA,-2,1,0,0,1,0,0,239.59
2022-05-19 11:30:00-04:00,TSLA,-2,1,-1,0,1,-1,0,240.98
2022-05-19 12:30:00-04:00,TSLA,-2,1,-1,0,1,-1,0,235.9
2022-05-19 13:30:00-04:00,TSLA,-2,1,-1,0,1,-1,0,237.91
2022-05-19 14:30:00-04:00,TSLA,-2,1,1,0,1,1,0,236.67
2022-05-19 15:30:00-04:00,TSLA,-2,1,0,0,1,0,0,236.56
2022-05-20 09:30:00-04:00,TSLA,-2,1,0,-1,1,-1,0,229.76
2022-05-20 10:30:00-04:00,TSLA,-2,-1,1,-1,1,-2,-1,222.51
2022-05-20 11:30:00-04:00,TSLA,-2,-1,-1,-1,1,-4,-1,217.8
2022-05-20 12:30:00-04:00,TSLA,-2,-1,-1,-1,1,-4,-1,211.3
2022-05-20 13:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,213.96
2022-05-20 14:30:00-04:00,TSLA,-2,1,-1,-1,1,-2,-1,216.2
2022-05-20 15:30:00-04:00,TSLA,2,1,-1,-1,1,2,1,221.3
2022-05-23 09:30:00-04:00,TSLA,2,1,-1,-1,1,2,0,221.15
2022-05-23 10:30:00-04:00,TSLA,2,1,-1,-1,1,2,0,220.83
