Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,USO,-2,0,0,0,0,-2,-1,76.65
2022-05-03 15:30:00-04:00,USO,-2,0,0,0,0,-2,-1,76.67
2022-05-04 09:30:00-04:00,USO,2,0,0,0,1,3,1,79.06
2022-05-04 10:30:00-04:00,USO,2,0,-1,1,1,3,1,78.93
2022-05-04 11:30:00-04:00,USO,2,0,-1,1,1,3,1,79.28
2022-05-04 12:30:00-04:00,USO,2,0,-1,1,1,3,1,80.02
2022-05-04 13:30:00-04:00,USO,2,0,-1,1,1,3,1,80.25
2022-05-04 14:30:00-04:00,USO,2,0,-1,1,1,3,1,80.23
2022-05-04 15:30:00-04:00,USO,2,0,-1,1,1,3,1,80.22
2022-05-05 09:30:00-04:00,USO,2,0,-1,1,1,3,1,81.28
2022-05-05 10:30:00-04:00,USO,-2,0,-1,1,1,-1,-1,80.67
2022-05-05 11:30:00-04:00,USO,-2,0,-1,1,1,-1,0,79.71
2022-05-05 12:30:00-04:00,USO,-2,0,-1,1,1,-1,-1,80.18
2022-05-05 13:30:00-04:00,USO,-2,0,-1,1,1,-1,-1,80.48
2022-05-05 14:30:00-04:00,USO,-2,0,-1,1,-1,-3,-1,80.37
2022-05-05 15:30:00-04:00,USO,-2,0,-1,-1,0,-4,-1,80.44
2022-05-06 09:30:00-04:00,USO,-2,0,-1,1,0,-2,-1,81.26
2022-05-06 10:30:00-04:00,USO,2,0,-1,-1,-1,-1,1,82.15
2022-05-06 11:30:00-04:00,USO,2,0,-1,0,-1,0,0,82.09
2022-05-06 12:30:00-04:00,USO,2,0,1,0,-1,2,0,81.53
2022-05-06 13:30:00-04:00,USO,2,0,1,-1,-1,1,0,81.78
2022-05-06 14:30:00-04:00,USO,2,0,1,-1,-1,1,0,81.98
2022-05-06 15:30:00-04:00,USO,2,0,1,-1,-1,1,0,82.15
2022-05-09 09:30:00-04:00,USO,-2,0,1,-1,-1,-3,0,78.66
2022-05-09 10:30:00-04:00,USO,-2,0,1,1,-1,-1,0,77.23
2022-05-09 11:30:00-04:00,USO,-2,0,1,1,-1,-1,0,78.0
2022-05-09 12:30:00-04:00,USO,-2,0,-1,1,1,-1,0,77.09
2022-05-09 13:30:00-04:00,USO,-2,0,-1,1,1,-1,0,77.02
2022-05-09 14:30:00-04:00,USO,-2,0,-1,1,1,-1,0,76.54
2022-05-09 15:30:00-04:00,USO,-2,0,-1,1,1,-1,0,76.53
2022-05-10 09:30:00-04:00,USO,-2,0,-1,1,1,-1,0,77.05
