Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,UUP,-2,0,0,0,0,-2,-1,26.83
2022-04-20 15:30:00-04:00,UUP,-2,0,0,0,0,-2,-1,26.82
2022-04-21 09:30:00-04:00,UUP,-2,0,-1,1,-1,-3,-1,26.81
2022-04-21 10:30:00-04:00,UUP,-2,0,-1,1,-1,-3,-1,26.84
2022-04-21 11:30:00-04:00,UUP,2,0,-1,1,-1,1,1,26.9
2022-04-21 12:30:00-04:00,UUP,2,0,-1,1,-1,1,1,26.86
2022-04-21 13:30:00-04:00,UUP,2,0,1,1,-1,3,1,26.89
2022-04-21 14:30:00-04:00,UUP,2,0,0,1,-1,2,1,26.9
2022-04-21 15:30:00-04:00,UUP,2,0,1,-1,-1,1,-1,26.89
2022-04-22 09:30:00-04:00,UUP,2,0,1,0,-1,2,1,27.0
2022-04-22 10:30:00-04:00,UUP,2,0,1,-1,-1,1,-1,27.06
2022-04-22 11:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.09
2022-04-22 12:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.06
2022-04-22 13:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.03
2022-04-22 14:30:00-04:00,UUP,-2,0,1,-1,-1,-3,-1,27.03
2022-04-22 15:30:00-04:00,UUP,2,0,1,-1,-1,1,1,27.04
2022-04-25 09:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.18
2022-04-25 10:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.2
2022-04-25 11:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.2
2022-04-25 12:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.19
2022-04-25 13:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.19
2022-04-25 14:30:00-04:00,UUP,2,0,1,-1,-1,1,0,27.18
2022-04-25 15:30:00-04:00,UUP,2,0,-1,1,-1,1,0,27.19
2022-04-26 09:30:00-04:00,UUP,2,0,0,0,-1,1,0,27.27
2022-04-26 10:30:00-04:00,UUP,2,0,0,0,-1,1,0,27.31
2022-04-26 11:30:00-04:00,UUP,2,0,0,0,-1,1,0,27.31
2022-04-26 12:30:00-04:00,UUP,2,0,0,0,-1,1,0,27.33
2022-04-26 13:30:00-04:00,UUP,2,0,0,0,-1,1,0,27.34
