Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 15:30:00-04:00,VXX,-2,0,0,0,0,-2,-1,107.6
2022-05-04 09:30:00-04:00,VXX,-2,0,-1,1,1,-1,1,105.72
2022-05-04 10:30:00-04:00,VXX,-2,0,-1,1,1,-1,0,105.36
2022-05-04 11:30:00-04:00,VXX,-2,0,-1,1,1,-1,0,105.2
2022-05-04 12:30:00-04:00,VXX,-2,0,-1,1,1,-1,0,104.84
2022-05-04 13:30:00-04:00,VXX,-2,0,-1,1,1,-1,0,102.92
2022-05-04 14:30:00-04:00,VXX,-2,0,-1,1,1,-1,0,99.72
2022-05-04 15:30:00-04:00,VXX,-2,0,-1,1,-1,-3,-1,99.6
2022-05-05 09:30:00-04:00,VXX,-2,0,1,1,0,0,1,103.76
2022-05-05 10:30:00-04:00,VXX,2,0,1,1,0,4,1,105.92
2022-05-05 11:30:00-04:00,VXX,2,0,1,-1,0,2,1,104.92
2022-05-05 12:30:00-04:00,VXX,2,0,1,-1,0,2,-1,104.8
2022-05-05 13:30:00-04:00,VXX,2,0,1,-1,0,2,0,106.67
2022-05-05 14:30:00-04:00,VXX,2,0,1,-1,0,2,0,109.74
2022-05-05 15:30:00-04:00,VXX,2,0,1,-1,0,2,0,109.23
2022-05-06 09:30:00-04:00,VXX,2,0,1,-1,0,2,0,108.6
2022-05-06 10:30:00-04:00,VXX,2,0,1,-1,0,2,0,107.12
2022-05-06 11:30:00-04:00,VXX,2,0,1,-1,0,2,0,109.16
2022-05-06 12:30:00-04:00,VXX,2,0,1,-1,0,2,0,108.0
2022-05-06 13:30:00-04:00,VXX,2,0,1,-1,1,3,1,110.04
2022-05-06 14:30:00-04:00,VXX,2,0,1,-1,1,3,1,111.0
2022-05-06 15:30:00-04:00,VXX,2,0,1,-1,1,3,1,108.0
2022-05-09 09:30:00-04:00,VXX,2,0,1,-1,-1,1,-1,113.66
2022-05-09 10:30:00-04:00,VXX,2,0,1,-1,0,2,0,113.84
2022-05-09 11:30:00-04:00,VXX,-2,0,1,-1,-1,-3,-1,109.72
2022-05-09 12:30:00-04:00,VXX,-2,0,1,-1,-1,-3,-1,111.36
2022-05-09 13:30:00-04:00,VXX,2,0,1,-1,-1,1,1,113.08
2022-05-09 14:30:00-04:00,VXX,-2,0,1,-1,-1,-3,-1,111.96
2022-05-09 15:30:00-04:00,VXX,2,0,1,-1,-1,1,1,112.48
2022-05-10 09:30:00-04:00,VXX,-2,0,1,1,-1,-1,0,109.13
2022-05-10 10:30:00-04:00,VXX,-2,0,1,0,-1,-2,-1,111.0
2022-05-10 11:30:00-04:00,VXX,2,0,1,-1,-1,1,1,112.24
2022-05-10 12:30:00-04:00,VXX,2,0,1,-1,-1,1,0,109.98
2022-05-10 13:30:00-04:00,VXX,2,0,1,-1,-1,1,0,109.64
2022-05-10 14:30:00-04:00,VXX,2,0,1,-1,-1,1,0,109.52
2022-05-10 15:30:00-04:00,VXX,-2,0,1,-1,1,-1,0,108.2
2022-05-11 09:30:00-04:00,VXX,-2,0,1,1,0,0,0,105.32
2022-05-11 10:30:00-04:00,VXX,-2,-1,1,1,0,-1,0,105.2
2022-05-11 11:30:00-04:00,VXX,-2,-1,1,1,1,0,0,107.12
2022-05-11 12:30:00-04:00,VXX,-2,-1,-1,1,1,-2,-1,109.03
2022-05-11 13:30:00-04:00,VXX,-2,-1,-1,-1,1,-4,-1,108.48
2022-05-11 14:30:00-04:00,VXX,-2,-1,-1,0,1,-3,-1,107.72
2022-05-11 15:30:00-04:00,VXX,-2,-1,-1,0,1,-3,-1,109.12
2022-05-12 09:30:00-04:00,VXX,2,-1,1,0,1,3,1,108.88
2022-05-12 10:30:00-04:00,VXX,-2,-1,1,0,1,-1,0,107.64
2022-05-12 11:30:00-04:00,VXX,2,-1,1,0,1,3,0,109.61
2022-05-12 12:30:00-04:00,VXX,2,-1,1,0,1,3,1,110.56
2022-05-12 13:30:00-04:00,VXX,2,-1,-1,0,1,1,-1,111.0
2022-05-12 14:30:00-04:00,VXX,2,-1,-1,1,1,2,0,110.88
2022-05-12 15:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,107.8
2022-05-13 09:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,103.6
2022-05-13 10:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,103.96
2022-05-13 11:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,104.09
2022-05-13 12:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,104.18
2022-05-13 13:30:00-04:00,VXX,-2,-1,1,1,1,0,0,104.44
2022-05-13 14:30:00-04:00,VXX,-2,-1,0,1,1,-1,0,103.64
2022-05-13 15:30:00-04:00,VXX,-2,-1,1,1,1,0,0,103.88
2022-05-16 09:30:00-04:00,VXX,-2,-1,1,1,-1,-2,0,101.12
2022-05-16 10:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,100.52
2022-05-16 11:30:00-04:00,VXX,-2,-1,0,1,-1,-3,-1,99.04
2022-05-16 12:30:00-04:00,VXX,-2,-1,0,1,-1,-3,-1,99.08
2022-05-16 13:30:00-04:00,VXX,-2,-1,0,-1,-1,-5,-1,98.56
2022-05-16 14:30:00-04:00,VXX,-2,-1,0,-1,-1,-5,-1,98.84
2022-05-16 15:30:00-04:00,VXX,-2,-1,0,-1,-1,-5,-1,98.12
2022-05-17 09:30:00-04:00,VXX,-2,-1,0,-1,-1,-5,-1,98.52
2022-05-17 10:30:00-04:00,VXX,-2,-1,-1,-1,-1,-6,-1,97.84
2022-05-17 11:30:00-04:00,VXX,-2,-1,-1,-1,-1,-6,-1,97.6
2022-05-17 12:30:00-04:00,VXX,-2,-1,-1,-1,-1,-6,-1,97.12
2022-05-17 13:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,97.8
2022-05-17 14:30:00-04:00,VXX,-2,-1,-1,0,-1,-5,-1,97.44
2022-05-17 15:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,98.84
2022-05-18 09:30:00-04:00,VXX,-2,1,-1,-1,-1,-4,-1,98.73
2022-05-18 10:30:00-04:00,VXX,2,1,-1,-1,-1,0,1,101.0
2022-05-18 11:30:00-04:00,VXX,2,1,-1,-1,-1,0,0,101.56
2022-05-18 12:30:00-04:00,VXX,2,1,-1,-1,-1,0,0,101.44
2022-05-18 13:30:00-04:00,VXX,2,1,-1,-1,-1,0,0,101.55
2022-05-18 14:30:00-04:00,VXX,2,-1,-1,-1,-1,-2,0,105.44
2022-05-18 15:30:00-04:00,VXX,2,-1,1,-1,1,2,1,104.6
2022-05-19 09:30:00-04:00,VXX,2,-1,1,-1,0,1,1,105.88
2022-05-19 10:30:00-04:00,VXX,2,-1,1,-1,1,2,1,105.0
2022-05-19 11:30:00-04:00,VXX,2,-1,1,-1,-1,0,-1,104.12
2022-05-19 12:30:00-04:00,VXX,2,-1,1,-1,1,2,1,103.04
2022-05-19 13:30:00-04:00,VXX,2,-1,1,-1,1,2,1,102.28
2022-05-19 14:30:00-04:00,VXX,2,-1,1,-1,-1,0,-1,103.08
2022-05-19 15:30:00-04:00,VXX,2,-1,1,-1,0,1,1,101.4
2022-05-20 09:30:00-04:00,VXX,2,1,-1,1,1,4,1,99.84
2022-05-20 10:30:00-04:00,VXX,2,1,1,0,1,5,1,101.76
2022-05-20 11:30:00-04:00,VXX,2,1,1,-1,1,4,1,103.68
2022-05-20 12:30:00-04:00,VXX,2,-1,1,-1,1,2,1,105.92
2022-05-20 13:30:00-04:00,VXX,2,-1,1,-1,1,2,-1,105.12
2022-05-20 14:30:00-04:00,VXX,2,-1,1,-1,1,2,0,102.52
2022-05-20 15:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,100.0
2022-05-23 09:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,100.4
2022-05-23 10:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,99.96
2022-05-23 11:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,100.04
2022-05-23 12:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,95.89
2022-05-23 13:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,93.68
2022-05-23 14:30:00-04:00,VXX,-2,-1,1,1,1,0,0,95.92
2022-05-23 15:30:00-04:00,VXX,-2,-1,0,1,1,-1,0,96.24
2022-05-24 09:30:00-04:00,VXX,2,-1,0,1,1,3,0,98.28
2022-05-24 10:30:00-04:00,VXX,2,-1,0,1,1,3,1,98.44
2022-05-24 11:30:00-04:00,VXX,2,-1,1,1,1,4,1,96.84
2022-05-24 12:30:00-04:00,VXX,2,-1,1,1,1,4,1,97.68
2022-05-24 13:30:00-04:00,VXX,2,-1,1,1,1,4,1,97.64
2022-05-24 14:30:00-04:00,VXX,2,-1,1,1,1,4,1,98.04
2022-05-24 15:30:00-04:00,VXX,2,-1,1,1,1,4,1,96.12
2022-05-25 09:30:00-04:00,VXX,-2,-1,1,1,1,0,-1,95.72
2022-05-25 10:30:00-04:00,VXX,-2,-1,1,1,1,0,0,96.0
2022-05-25 11:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,96.42
2022-05-25 12:30:00-04:00,VXX,-2,-1,0,1,1,-1,0,95.44
2022-05-25 13:30:00-04:00,VXX,-2,-1,0,1,-1,-3,-1,93.36
2022-05-25 14:30:00-04:00,VXX,-2,-1,0,1,0,-2,-1,93.56
2022-05-25 15:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,93.44
2022-05-26 09:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,92.39
2022-05-26 10:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,92.4
2022-05-26 11:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,92.16
2022-05-26 12:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,91.84
2022-05-26 13:30:00-04:00,VXX,-2,1,1,1,-1,0,1,92.32
2022-05-26 14:30:00-04:00,VXX,-2,1,0,1,-1,-1,0,92.52
2022-05-26 15:30:00-04:00,VXX,-2,1,1,-1,-1,-2,-1,92.92
2022-05-27 09:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,89.92
2022-05-27 10:30:00-04:00,VXX,-2,1,0,1,-1,-1,-1,89.76
2022-05-27 11:30:00-04:00,VXX,-2,1,-1,1,-1,-2,-1,89.02
2022-05-27 12:30:00-04:00,VXX,-2,1,-1,-1,-1,-4,-1,89.96
2022-05-27 13:30:00-04:00,VXX,-2,1,1,-1,-1,-2,-1,90.02
2022-05-27 14:30:00-04:00,VXX,-2,1,1,-1,-1,-2,-1,90.04
2022-05-27 15:30:00-04:00,VXX,-2,1,1,-1,-1,-2,-1,89.6
2022-05-31 09:30:00-04:00,VXX,-2,1,1,-1,-1,-2,-1,90.8
2022-05-31 10:30:00-04:00,VXX,-2,1,1,-1,1,0,1,91.08
2022-05-31 11:30:00-04:00,VXX,-2,1,1,-1,1,0,0,89.4
2022-05-31 12:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,89.76
2022-05-31 13:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,88.88
2022-05-31 14:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,89.48
2022-05-31 15:30:00-04:00,VXX,2,-1,1,-1,1,2,0,90.2
2022-06-01 09:30:00-04:00,VXX,2,-1,1,-1,1,2,0,90.6
2022-06-01 10:30:00-04:00,VXX,2,-1,1,-1,1,2,0,91.36
2022-06-01 11:30:00-04:00,VXX,2,-1,1,-1,1,2,0,92.28
2022-06-01 12:30:00-04:00,VXX,-2,-1,-1,-1,1,-4,-1,90.6
2022-06-01 13:30:00-04:00,VXX,-2,-1,-1,-1,1,-4,-1,89.4
2022-06-01 14:30:00-04:00,VXX,-2,-1,-1,-1,1,-4,-1,89.32
2022-06-01 15:30:00-04:00,VXX,-2,-1,-1,-1,1,-4,-1,88.32
2022-06-02 09:30:00-04:00,VXX,2,-1,-1,-1,1,0,1,89.24
2022-06-02 10:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,87.94
2022-06-02 11:30:00-04:00,VXX,-2,-1,-1,0,1,-3,-1,87.08
2022-06-02 12:30:00-04:00,VXX,-2,-1,-1,0,-1,-5,-1,87.62
2022-06-02 13:30:00-04:00,VXX,2,-1,-1,0,1,1,1,88.56
2022-06-02 14:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,87.52
2022-06-02 15:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,87.2
2022-06-03 09:30:00-04:00,VXX,2,-1,-1,1,1,2,1,88.22
2022-06-03 10:30:00-04:00,VXX,2,-1,1,-1,1,2,1,90.42
2022-06-03 11:30:00-04:00,VXX,2,-1,1,0,1,3,1,89.84
2022-06-03 12:30:00-04:00,VXX,2,-1,1,-1,1,2,1,90.2
2022-06-03 13:30:00-04:00,VXX,-2,-1,1,-1,1,-2,-1,88.48
2022-06-03 14:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,88.2
2022-06-03 15:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,87.56
2022-06-06 09:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,87.04
2022-06-06 10:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,87.84
2022-06-06 11:30:00-04:00,VXX,2,-1,1,-1,1,2,0,88.92
2022-06-06 12:30:00-04:00,VXX,-2,-1,1,-1,1,-2,0,88.16
2022-06-06 13:30:00-04:00,VXX,2,-1,1,-1,1,2,0,89.08
2022-06-06 14:30:00-04:00,VXX,2,-1,1,-1,1,2,1,88.76
2022-06-06 15:30:00-04:00,VXX,-2,-1,1,1,1,0,-1,87.2
2022-06-07 09:30:00-04:00,VXX,-2,-1,-1,1,1,-2,0,87.88
2022-06-07 10:30:00-04:00,VXX,-2,-1,0,1,1,-1,0,88.16
2022-06-07 11:30:00-04:00,VXX,2,-1,0,1,1,3,1,88.48
2022-06-07 12:30:00-04:00,VXX,-2,-1,0,1,1,-1,-1,87.76
2022-06-07 13:30:00-04:00,VXX,-2,-1,0,1,-1,-3,0,87.76
2022-06-07 14:30:00-04:00,VXX,-2,-1,-1,1,0,-3,0,87.6
2022-06-07 15:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,86.6
2022-06-08 09:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,86.66
2022-06-08 10:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,86.1
2022-06-08 11:30:00-04:00,VXX,-2,-1,-1,1,-1,-4,-1,86.2
2022-06-08 12:30:00-04:00,VXX,-2,-1,1,1,-1,-2,1,86.48
2022-06-08 13:30:00-04:00,VXX,2,-1,0,-1,-1,-1,0,87.32
2022-06-08 14:30:00-04:00,VXX,-2,1,1,1,-1,0,0,86.08
2022-06-08 15:30:00-04:00,VXX,2,1,1,-1,-1,2,1,87.16
2022-06-09 09:30:00-04:00,VXX,2,1,1,-1,1,4,1,86.45
2022-06-09 10:30:00-04:00,VXX,2,1,1,-1,0,3,1,87.56
2022-06-09 11:30:00-04:00,VXX,2,-1,1,-1,0,1,-1,87.0
2022-06-09 12:30:00-04:00,VXX,2,-1,1,-1,1,2,1,87.12
2022-06-09 13:30:00-04:00,VXX,2,-1,1,-1,1,2,1,87.08
2022-06-09 14:30:00-04:00,VXX,2,-1,1,-1,1,2,1,87.96
2022-06-09 15:30:00-04:00,VXX,2,-1,1,-1,1,2,1,92.52
2022-06-10 09:30:00-04:00,VXX,2,-1,1,-1,-1,0,-1,94.32
2022-06-10 10:30:00-04:00,VXX,2,-1,1,-1,-1,0,0,95.84
2022-06-10 11:30:00-04:00,VXX,2,-1,1,-1,-1,0,0,94.92
2022-06-10 12:30:00-04:00,VXX,2,-1,1,-1,-1,0,0,94.6
2022-06-10 13:30:00-04:00,VXX,2,-1,1,-1,-1,0,0,93.84
2022-06-10 14:30:00-04:00,VXX,-2,-1,1,-1,-1,-4,-1,92.44
