Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,XBI,2,0,0,0,0,2,1,77.04
2022-05-03 15:30:00-04:00,XBI,2,0,0,0,0,2,1,76.77
2022-05-04 09:30:00-04:00,XBI,-2,0,-1,0,-1,-4,-1,73.79
2022-05-04 10:30:00-04:00,XBI,-2,0,-1,0,-1,-4,-1,74.41
2022-05-04 11:30:00-04:00,XBI,-2,0,-1,-1,-1,-5,-1,75.02
2022-05-04 12:30:00-04:00,XBI,-2,0,-1,1,-1,-3,-1,75.14
2022-05-04 13:30:00-04:00,XBI,-2,0,-1,-1,-1,-5,-1,74.9
2022-05-04 14:30:00-04:00,XBI,2,0,-1,1,-1,1,1,78.31
2022-05-04 15:30:00-04:00,XBI,2,0,-1,0,-1,0,0,78.58
2022-05-05 09:30:00-04:00,XBI,-2,0,-1,1,1,-1,0,75.88
2022-05-05 10:30:00-04:00,XBI,-2,0,-1,-1,1,-3,0,75.42
2022-05-05 11:30:00-04:00,XBI,-2,0,-1,0,1,-2,0,74.8
2022-05-05 12:30:00-04:00,XBI,-2,0,-1,0,1,-2,0,74.39
2022-05-05 13:30:00-04:00,XBI,-2,0,-1,0,1,-2,0,73.76
2022-05-05 14:30:00-04:00,XBI,-2,0,-1,-1,1,-3,0,72.58
2022-05-05 15:30:00-04:00,XBI,-2,0,-1,-1,1,-3,0,73.86
2022-05-06 09:30:00-04:00,XBI,-2,0,-1,-1,1,-3,0,71.34
2022-05-06 10:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,71.79
2022-05-06 11:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,71.13
2022-05-06 12:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,70.63
2022-05-06 13:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,70.07
2022-05-06 14:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,69.87
2022-05-06 15:30:00-04:00,XBI,-2,0,-1,-1,1,-3,0,70.14
2022-05-09 09:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,67.19
2022-05-09 10:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,66.16
2022-05-09 11:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,66.61
2022-05-09 12:30:00-04:00,XBI,-2,0,1,-1,1,-1,0,65.37
2022-05-09 13:30:00-04:00,XBI,-2,0,1,-1,-1,-3,0,64.64
2022-05-09 14:30:00-04:00,XBI,-2,0,1,-1,0,-2,0,64.78
2022-05-09 15:30:00-04:00,XBI,-2,0,1,-1,-1,-3,0,64.33
2022-05-10 09:30:00-04:00,XBI,-2,0,1,1,-1,-1,0,67.49
2022-05-10 10:30:00-04:00,XBI,-2,0,-1,1,-1,-3,0,65.59
2022-05-10 11:30:00-04:00,XBI,-2,0,-1,1,1,-1,0,66.13
2022-05-10 12:30:00-04:00,XBI,-2,0,-1,1,0,-2,0,67.49
2022-05-10 13:30:00-04:00,XBI,-2,0,-1,1,1,-1,0,67.71
2022-05-10 14:30:00-04:00,XBI,2,0,1,1,1,5,1,68.05
2022-05-10 15:30:00-04:00,XBI,-2,0,0,1,1,0,-1,67.6
2022-05-11 09:30:00-04:00,XBI,-2,0,0,1,1,0,0,66.97
2022-05-11 10:30:00-04:00,XBI,-2,1,0,1,1,1,0,66.22
2022-05-11 11:30:00-04:00,XBI,-2,1,1,1,1,2,0,65.5
2022-05-11 12:30:00-04:00,XBI,-2,1,1,1,1,2,0,64.02
2022-05-11 13:30:00-04:00,XBI,-2,-1,1,-1,1,-2,0,63.5
2022-05-11 14:30:00-04:00,XBI,-2,-1,1,0,1,-1,0,62.88
2022-05-11 15:30:00-04:00,XBI,-2,-1,1,0,1,-1,0,62.77
2022-05-12 09:30:00-04:00,XBI,-2,-1,1,0,-1,-3,0,65.3
2022-05-12 10:30:00-04:00,XBI,-2,-1,-1,1,0,-3,-1,65.17
2022-05-12 11:30:00-04:00,XBI,-2,-1,-1,1,0,-3,-1,64.26
2022-05-12 12:30:00-04:00,XBI,-2,-1,-1,1,1,-2,-1,64.04
2022-05-12 13:30:00-04:00,XBI,-2,1,-1,1,1,0,1,63.98
2022-05-12 14:30:00-04:00,XBI,2,1,-1,1,1,4,0,63.88
2022-05-12 15:30:00-04:00,XBI,2,1,-1,1,-1,2,0,64.94
2022-05-13 09:30:00-04:00,XBI,2,1,1,1,-1,4,1,67.78
2022-05-13 10:30:00-04:00,XBI,2,1,0,1,-1,3,1,68.55
2022-05-13 11:30:00-04:00,XBI,2,1,0,1,-1,3,1,69.17
2022-05-13 12:30:00-04:00,XBI,2,1,0,1,-1,3,1,68.75
2022-05-13 13:30:00-04:00,XBI,2,1,1,1,-1,4,1,67.66
2022-05-13 14:30:00-04:00,XBI,2,1,1,1,-1,4,1,69.0
2022-05-13 15:30:00-04:00,XBI,2,1,1,1,-1,4,1,68.62
2022-05-16 09:30:00-04:00,XBI,2,1,1,-1,-1,2,-1,70.42
2022-05-16 10:30:00-04:00,XBI,2,1,1,0,-1,3,0,69.46
2022-05-16 11:30:00-04:00,XBI,2,1,1,-1,-1,2,0,69.23
2022-05-16 12:30:00-04:00,XBI,2,1,1,-1,-1,2,0,69.27
2022-05-16 13:30:00-04:00,XBI,2,1,-1,-1,-1,0,0,69.42
2022-05-16 14:30:00-04:00,XBI,2,1,-1,-1,-1,0,0,68.96
2022-05-16 15:30:00-04:00,XBI,2,1,-1,-1,-1,0,0,68.47
2022-05-17 09:30:00-04:00,XBI,2,1,-1,-1,-1,0,0,69.96
2022-05-17 10:30:00-04:00,XBI,2,1,-1,-1,-1,0,0,70.49
2022-05-17 11:30:00-04:00,XBI,2,1,-1,-1,1,2,0,70.86
2022-05-17 12:30:00-04:00,XBI,2,1,-1,-1,1,2,0,71.06
2022-05-17 13:30:00-04:00,XBI,2,1,-1,-1,1,2,0,70.71
2022-05-17 14:30:00-04:00,XBI,2,1,1,-1,1,4,1,71.3
2022-05-17 15:30:00-04:00,XBI,2,1,0,1,1,5,1,71.48
2022-05-18 09:30:00-04:00,XBI,2,1,-1,-1,1,2,-1,69.67
2022-05-18 10:30:00-04:00,XBI,2,1,-1,-1,1,2,0,69.01
2022-05-18 11:30:00-04:00,XBI,-2,1,-1,1,1,0,0,68.64
2022-05-18 12:30:00-04:00,XBI,-2,1,-1,0,1,-1,0,68.42
2022-05-18 13:30:00-04:00,XBI,-2,1,-1,-1,1,-2,-1,67.88
2022-05-18 14:30:00-04:00,XBI,-2,1,-1,-1,1,-2,-1,67.61
2022-05-18 15:30:00-04:00,XBI,-2,1,-1,-1,-1,-4,-1,67.9
2022-05-19 09:30:00-04:00,XBI,-2,1,-1,-1,0,-3,-1,68.07
2022-05-19 10:30:00-04:00,XBI,-2,1,-1,1,0,-1,1,69.07
2022-05-19 11:30:00-04:00,XBI,-2,-1,-1,0,-1,-5,-1,69.17
2022-05-19 12:30:00-04:00,XBI,2,-1,1,0,-1,1,1,69.17
2022-05-19 13:30:00-04:00,XBI,2,-1,0,0,-1,0,0,69.66
2022-05-19 14:30:00-04:00,XBI,-2,-1,0,-1,-1,-5,-1,69.01
2022-05-19 15:30:00-04:00,XBI,-2,-1,1,-1,-1,-4,-1,69.4
2022-05-20 09:30:00-04:00,XBI,2,-1,1,1,-1,2,1,70.58
2022-05-20 10:30:00-04:00,XBI,-2,-1,1,0,-1,-3,0,68.97
2022-05-20 11:30:00-04:00,XBI,-2,-1,1,-1,-1,-4,-1,68.39
2022-05-20 12:30:00-04:00,XBI,-2,-1,1,-1,-1,-4,-1,67.07
2022-05-20 13:30:00-04:00,XBI,-2,-1,1,-1,-1,-4,-1,67.89
2022-05-20 14:30:00-04:00,XBI,-2,-1,-1,-1,-1,-6,-1,69.29
2022-05-20 15:30:00-04:00,XBI,2,-1,1,-1,1,2,1,70.41
2022-05-23 09:30:00-04:00,XBI,2,1,1,-1,0,3,0,70.27
2022-05-23 10:30:00-04:00,XBI,2,-1,1,-1,0,1,0,70.08
2022-05-23 11:30:00-04:00,XBI,2,-1,1,-1,1,2,0,70.66
2022-05-23 12:30:00-04:00,XBI,2,-1,1,-1,1,2,0,70.23
2022-05-23 13:30:00-04:00,XBI,2,-1,1,-1,1,2,0,70.68
2022-05-23 14:30:00-04:00,XBI,2,1,1,-1,1,4,1,69.97
2022-05-23 15:30:00-04:00,XBI,2,1,1,-1,1,4,1,70.12
2022-05-24 09:30:00-04:00,XBI,-2,1,1,-1,1,0,-1,67.97
2022-05-24 10:30:00-04:00,XBI,-2,1,1,1,1,2,0,67.79
2022-05-24 11:30:00-04:00,XBI,-2,1,1,0,1,1,0,68.06
2022-05-24 12:30:00-04:00,XBI,-2,1,1,0,1,1,0,67.74
2022-05-24 13:30:00-04:00,XBI,-2,1,1,0,1,1,0,67.95
2022-05-24 14:30:00-04:00,XBI,-2,1,1,0,-1,-1,0,67.05
2022-05-24 15:30:00-04:00,XBI,-2,-1,-1,0,0,-4,0,67.47
2022-05-25 09:30:00-04:00,XBI,-2,-1,-1,1,-1,-4,-1,68.32
2022-05-25 10:30:00-04:00,XBI,-2,-1,-1,1,-1,-4,-1,66.68
2022-05-25 11:30:00-04:00,XBI,-2,-1,1,1,-1,-2,1,66.46
2022-05-25 12:30:00-04:00,XBI,-2,-1,0,1,-1,-3,0,66.79
2022-05-25 13:30:00-04:00,XBI,-2,-1,-1,1,-1,-4,-1,67.16
2022-05-25 14:30:00-04:00,XBI,2,1,-1,1,-1,2,1,67.77
2022-05-25 15:30:00-04:00,XBI,2,1,-1,1,-1,2,0,67.69
2022-05-26 09:30:00-04:00,XBI,2,1,-1,1,-1,2,1,69.01
2022-05-26 10:30:00-04:00,XBI,2,1,-1,1,-1,2,1,68.96
2022-05-26 11:30:00-04:00,XBI,2,1,-1,1,-1,2,1,69.25
2022-05-26 12:30:00-04:00,XBI,2,1,-1,1,-1,2,1,68.9
2022-05-26 13:30:00-04:00,XBI,2,1,-1,1,-1,2,1,69.08
2022-05-26 14:30:00-04:00,XBI,2,1,-1,1,-1,2,1,68.72
2022-05-26 15:30:00-04:00,XBI,2,-1,-1,1,-1,0,-1,68.47
2022-05-27 09:30:00-04:00,XBI,2,1,-1,1,-1,2,1,69.62
2022-05-27 10:30:00-04:00,XBI,2,1,-1,-1,-1,0,-1,69.99
2022-05-27 11:30:00-04:00,XBI,-2,1,-1,0,-1,-3,0,69.58
2022-05-27 12:30:00-04:00,XBI,2,1,-1,-1,1,2,0,70.31
2022-05-27 13:30:00-04:00,XBI,2,1,-1,-1,1,2,1,70.57
2022-05-27 14:30:00-04:00,XBI,2,1,1,-1,1,4,1,70.86
2022-05-27 15:30:00-04:00,XBI,2,1,1,-1,1,4,1,71.09
2022-05-31 09:30:00-04:00,XBI,2,1,1,-1,1,4,1,69.31
2022-05-31 10:30:00-04:00,XBI,-2,1,1,-1,1,0,-1,69.37
2022-05-31 11:30:00-04:00,XBI,-2,1,-1,-1,1,-2,0,69.93
2022-05-31 12:30:00-04:00,XBI,-2,-1,0,-1,1,-3,0,69.22
2022-05-31 13:30:00-04:00,XBI,-2,-1,1,-1,1,-2,0,68.8
2022-05-31 14:30:00-04:00,XBI,-2,-1,1,-1,1,-2,0,68.64
2022-05-31 15:30:00-04:00,XBI,-2,-1,1,-1,1,-2,0,68.8
2022-06-01 09:30:00-04:00,XBI,-2,-1,1,1,1,0,0,68.36
2022-06-01 10:30:00-04:00,XBI,-2,1,1,1,1,2,0,67.31
2022-06-01 11:30:00-04:00,XBI,-2,1,1,1,1,2,0,66.57
2022-06-01 12:30:00-04:00,XBI,-2,1,1,-1,1,0,0,66.95
2022-06-01 13:30:00-04:00,XBI,2,1,1,-1,-1,2,0,67.68
2022-06-01 14:30:00-04:00,XBI,2,-1,-1,1,1,2,0,68.31
2022-06-01 15:30:00-04:00,XBI,2,-1,0,1,-1,1,0,67.54
2022-06-02 09:30:00-04:00,XBI,-2,-1,0,1,0,-2,0,66.96
2022-06-02 10:30:00-04:00,XBI,2,-1,0,1,-1,1,0,67.94
2022-06-02 11:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,68.69
2022-06-02 12:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,68.51
2022-06-02 13:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,68.89
2022-06-02 14:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,68.3
2022-06-02 15:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,68.73
2022-06-03 09:30:00-04:00,XBI,2,-1,-1,1,-1,0,0,71.33
2022-06-03 10:30:00-04:00,XBI,-2,-1,-1,1,-1,-4,-1,70.0
2022-06-03 11:30:00-04:00,XBI,2,1,-1,1,-1,2,1,70.28
2022-06-03 12:30:00-04:00,XBI,2,1,-1,1,-1,2,0,70.91
2022-06-03 13:30:00-04:00,XBI,2,1,-1,1,-1,2,0,71.0
2022-06-03 14:30:00-04:00,XBI,2,1,-1,1,-1,2,0,70.74
2022-06-03 15:30:00-04:00,XBI,2,1,-1,1,-1,2,0,71.22
2022-06-06 09:30:00-04:00,XBI,-2,1,-1,1,-1,-2,0,70.51
2022-06-06 10:30:00-04:00,XBI,-2,1,1,1,-1,0,0,69.87
2022-06-06 11:30:00-04:00,XBI,-2,1,0,-1,-1,-3,-1,68.89
2022-06-06 12:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,69.19
2022-06-06 13:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,69.41
2022-06-06 14:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,68.77
2022-06-06 15:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,69.19
2022-06-07 09:30:00-04:00,XBI,-2,1,-1,-1,-1,-4,-1,71.0
2022-06-07 10:30:00-04:00,XBI,-2,1,0,1,1,1,1,71.16
2022-06-07 11:30:00-04:00,XBI,-2,1,0,0,-1,-2,0,71.22
2022-06-07 12:30:00-04:00,XBI,2,1,0,0,-1,2,0,71.3
2022-06-07 13:30:00-04:00,XBI,2,1,0,0,-1,2,0,71.71
2022-06-07 14:30:00-04:00,XBI,2,1,0,0,-1,2,1,72.21
2022-06-07 15:30:00-04:00,XBI,2,1,0,0,1,4,1,72.6
2022-06-08 09:30:00-04:00,XBI,2,1,-1,0,0,2,1,73.38
2022-06-08 10:30:00-04:00,XBI,2,1,-1,1,0,3,1,74.53
2022-06-08 11:30:00-04:00,XBI,2,1,1,1,0,5,1,74.16
2022-06-08 12:30:00-04:00,XBI,2,1,0,1,1,5,1,73.37
2022-06-08 13:30:00-04:00,XBI,2,1,0,1,1,5,1,72.75
2022-06-08 14:30:00-04:00,XBI,2,1,0,-1,1,3,1,73.07
2022-06-08 15:30:00-04:00,XBI,2,1,1,0,-1,3,1,73.21
2022-06-09 09:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,72.46
2022-06-09 10:30:00-04:00,XBI,-2,1,1,-1,-1,-2,0,71.49
2022-06-09 11:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,71.63
2022-06-09 12:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,71.58
2022-06-09 13:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,71.31
2022-06-09 14:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,70.7
2022-06-09 15:30:00-04:00,XBI,-2,1,1,-1,-1,-2,-1,70.36
2022-06-10 09:30:00-04:00,XBI,-2,1,-1,-1,-1,-4,-1,67.49
2022-06-10 10:30:00-04:00,XBI,-2,1,-1,1,1,0,1,67.35
2022-06-10 11:30:00-04:00,XBI,-2,1,-1,0,1,-1,0,66.79
2022-06-10 12:30:00-04:00,XBI,-2,1,1,0,1,1,0,66.76
2022-06-10 13:30:00-04:00,XBI,-2,1,1,0,1,1,0,66.77
2022-06-10 14:30:00-04:00,XBI,-2,1,1,0,1,1,0,67.61
2022-06-10 15:30:00-04:00,XBI,-2,1,-1,1,1,0,0,67.02
2022-06-13 09:30:00-04:00,XBI,-2,1,-1,-1,1,-2,0,63.26
2022-06-13 10:30:00-04:00,XBI,-2,1,-1,-1,1,-2,0,63.14
2022-06-13 11:30:00-04:00,XBI,-2,1,-1,-1,1,-2,-1,63.52
2022-06-13 12:30:00-04:00,XBI,-2,1,-1,-1,1,-2,-1,63.15
2022-06-13 13:30:00-04:00,XBI,-2,-1,1,-1,1,-2,-1,63.81
2022-06-13 14:30:00-04:00,XBI,-2,-1,-1,-1,1,-4,-1,62.98
2022-06-13 15:30:00-04:00,XBI,-2,-1,1,-1,1,-2,-1,63.32
2022-06-14 09:30:00-04:00,XBI,-2,-1,1,-1,1,-2,-1,62.29
2022-06-14 10:30:00-04:00,XBI,-2,-1,1,-1,1,-2,-1,63.37
2022-06-14 11:30:00-04:00,XBI,-2,-1,1,-1,1,-2,-1,63.17
