Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-22 11:30:00-04:00,XHB,0,0,-1,1,-1,-1,0,61.97
2022-04-22 12:30:00-04:00,XHB,0,0,-1,1,1,1,0,61.8
2022-04-22 13:30:00-04:00,XHB,0,0,-1,-1,-1,-3,-1,61.56
2022-04-22 14:30:00-04:00,XHB,0,0,-1,0,1,0,1,61.56
2022-04-22 15:30:00-04:00,XHB,-2,0,-1,0,1,-2,-1,61.35
2022-04-25 09:30:00-04:00,XHB,-2,0,-1,0,1,-2,-1,60.58
2022-04-25 10:30:00-04:00,XHB,-2,0,-1,1,1,-1,1,61.04
2022-04-25 11:30:00-04:00,XHB,2,0,-1,1,1,3,1,61.73
2022-04-25 12:30:00-04:00,XHB,2,0,-1,1,1,3,1,62.03
2022-04-25 13:30:00-04:00,XHB,2,0,1,1,1,5,1,62.45
2022-04-25 14:30:00-04:00,XHB,2,0,0,1,1,4,1,62.76
2022-04-25 15:30:00-04:00,XHB,2,0,1,1,1,5,1,62.97
2022-04-26 09:30:00-04:00,XHB,2,0,-1,1,-1,1,-1,62.81
2022-04-26 10:30:00-04:00,XHB,2,0,0,-1,0,1,0,61.83
2022-04-26 11:30:00-04:00,XHB,2,0,0,0,-1,1,0,62.19
2022-04-26 12:30:00-04:00,XHB,2,0,1,0,-1,2,0,61.88
2022-04-26 13:30:00-04:00,XHB,2,0,-1,1,-1,1,0,62.36
2022-04-26 14:30:00-04:00,XHB,2,0,0,1,1,4,1,61.8
2022-04-26 15:30:00-04:00,XHB,2,0,0,-1,0,1,-1,61.46
2022-04-27 09:30:00-04:00,XHB,-2,0,1,-1,0,-2,0,60.91
2022-04-27 10:30:00-04:00,XHB,-2,0,1,-1,0,-2,-1,61.4
2022-04-27 11:30:00-04:00,XHB,2,0,1,-1,0,2,1,62.09
2022-04-27 12:30:00-04:00,XHB,2,0,1,-1,0,2,0,61.82
2022-04-27 13:30:00-04:00,XHB,2,0,1,-1,0,2,0,61.88
2022-04-27 14:30:00-04:00,XHB,-2,0,1,-1,0,-2,0,61.44
2022-04-27 15:30:00-04:00,XHB,-2,0,1,-1,0,-2,-1,61.34
2022-04-28 09:30:00-04:00,XHB,-2,0,1,-1,0,-2,-1,60.72
2022-04-28 10:30:00-04:00,XHB,-2,0,1,-1,-1,-3,-1,61.55
2022-04-28 11:30:00-04:00,XHB,2,0,-1,-1,-1,-1,-1,61.93
2022-04-28 12:30:00-04:00,XHB,2,0,0,-1,-1,0,1,62.75
2022-04-28 13:30:00-04:00,XHB,2,0,-1,-1,-1,-1,0,63.04
2022-04-28 14:30:00-04:00,XHB,2,0,-1,1,-1,1,0,63.33
2022-04-28 15:30:00-04:00,XHB,2,0,-1,0,-1,0,0,63.12
2022-04-29 09:30:00-04:00,XHB,2,0,-1,-1,-1,-1,0,62.77
2022-04-29 10:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.88
2022-04-29 11:30:00-04:00,XHB,-2,1,-1,-1,-1,-4,-1,62.31
2022-04-29 12:30:00-04:00,XHB,-2,1,1,-1,-1,-2,-1,62.4
2022-04-29 13:30:00-04:00,XHB,-2,1,0,-1,-1,-3,-1,62.13
2022-04-29 14:30:00-04:00,XHB,-2,1,0,-1,-1,-3,-1,61.67
2022-04-29 15:30:00-04:00,XHB,-2,1,0,-1,-1,-3,-1,61.33
2022-05-02 09:30:00-04:00,XHB,-2,-1,0,-1,-1,-5,-1,62.22
2022-05-02 10:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,61.61
2022-05-02 11:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,61.85
2022-05-02 12:30:00-04:00,XHB,-2,-1,-1,1,-1,-4,-1,61.47
2022-05-02 13:30:00-04:00,XHB,-2,-1,0,0,1,-2,-1,61.07
2022-05-02 14:30:00-04:00,XHB,-2,-1,0,1,1,-1,1,62.1
2022-05-02 15:30:00-04:00,XHB,-2,-1,0,1,1,-1,0,62.63
2022-05-03 09:30:00-04:00,XHB,2,-1,0,1,1,3,0,62.86
2022-05-03 10:30:00-04:00,XHB,2,-1,0,1,1,3,1,63.19
2022-05-03 11:30:00-04:00,XHB,2,-1,0,1,1,3,1,63.22
2022-05-03 12:30:00-04:00,XHB,2,-1,0,1,1,3,1,63.37
2022-05-03 13:30:00-04:00,XHB,2,-1,0,-1,-1,-1,-1,62.93
2022-05-03 14:30:00-04:00,XHB,2,-1,1,0,0,2,0,63.4
2022-05-03 15:30:00-04:00,XHB,2,-1,1,0,0,2,1,63.33
2022-05-04 09:30:00-04:00,XHB,2,-1,1,-1,0,1,-1,62.79
2022-05-04 10:30:00-04:00,XHB,-2,-1,1,-1,0,-3,0,62.52
2022-05-04 11:30:00-04:00,XHB,-2,-1,1,-1,0,-3,0,62.77
2022-05-04 12:30:00-04:00,XHB,-2,-1,1,-1,0,-3,0,62.51
2022-05-04 13:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,62.79
2022-05-04 14:30:00-04:00,XHB,2,1,1,-1,-1,2,1,65.01
2022-05-04 15:30:00-04:00,XHB,2,-1,1,1,1,4,1,65.46
2022-05-05 09:30:00-04:00,XHB,-2,-1,-1,0,0,-4,-1,63.19
2022-05-05 10:30:00-04:00,XHB,-2,-1,0,0,1,-2,0,62.55
2022-05-05 11:30:00-04:00,XHB,-2,-1,0,0,1,-2,0,62.47
2022-05-05 12:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,62.74
2022-05-05 13:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,61.94
2022-05-05 14:30:00-04:00,XHB,-2,-1,1,1,1,0,0,61.64
2022-05-05 15:30:00-04:00,XHB,-2,-1,0,1,1,-1,0,62.29
2022-05-06 09:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.67
2022-05-06 10:30:00-04:00,XHB,-2,-1,1,0,1,-1,0,61.59
2022-05-06 11:30:00-04:00,XHB,-2,-1,1,0,1,-1,0,61.4
2022-05-06 12:30:00-04:00,XHB,-2,-1,-1,0,1,-3,0,61.53
2022-05-06 13:30:00-04:00,XHB,-2,-1,-1,0,1,-3,-1,60.98
2022-05-06 14:30:00-04:00,XHB,-2,-1,-1,1,1,-2,1,60.87
2022-05-06 15:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,61.37
2022-05-09 09:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,61.45
2022-05-09 10:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,61.01
2022-05-09 11:30:00-04:00,XHB,-2,-1,-1,1,-1,-4,-1,61.53
2022-05-09 12:30:00-04:00,XHB,-2,-1,-1,1,0,-3,-1,61.21
2022-05-09 13:30:00-04:00,XHB,-2,-1,-1,1,0,-3,-1,61.28
2022-05-09 14:30:00-04:00,XHB,-2,-1,-1,1,0,-3,-1,61.42
2022-05-09 15:30:00-04:00,XHB,-2,-1,1,1,0,-1,1,61.09
2022-05-10 09:30:00-04:00,XHB,-2,-1,0,1,0,-2,0,61.11
2022-05-10 10:30:00-04:00,XHB,-2,-1,0,1,0,-2,0,60.08
2022-05-10 11:30:00-04:00,XHB,-2,-1,0,-1,1,-3,-1,59.76
2022-05-10 12:30:00-04:00,XHB,-2,-1,1,0,1,-1,1,60.18
2022-05-10 13:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.71
2022-05-10 14:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.33
2022-05-10 15:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.23
2022-05-11 09:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.66
2022-05-11 10:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,60.26
2022-05-11 11:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,59.35
2022-05-11 12:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,58.52
2022-05-11 13:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,58.76
2022-05-11 14:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,58.65
2022-05-11 15:30:00-04:00,XHB,-2,-1,1,-1,1,-2,0,58.11
2022-05-12 09:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,59.75
2022-05-12 10:30:00-04:00,XHB,2,-1,-1,1,1,2,0,60.09
2022-05-12 11:30:00-04:00,XHB,2,-1,-1,1,1,2,0,59.72
2022-05-12 12:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,59.56
2022-05-12 13:30:00-04:00,XHB,2,1,-1,1,-1,2,1,58.83
2022-05-12 14:30:00-04:00,XHB,2,1,-1,1,1,4,1,59.53
2022-05-12 15:30:00-04:00,XHB,2,1,-1,1,-1,2,1,60.15
2022-05-13 09:30:00-04:00,XHB,2,1,-1,1,-1,2,1,61.5
2022-05-13 10:30:00-04:00,XHB,2,1,-1,1,-1,2,1,61.61
2022-05-13 11:30:00-04:00,XHB,2,1,-1,1,-1,2,1,61.63
2022-05-13 12:30:00-04:00,XHB,2,1,-1,-1,-1,0,-1,61.25
2022-05-13 13:30:00-04:00,XHB,2,1,-1,0,-1,1,0,60.71
2022-05-13 14:30:00-04:00,XHB,2,1,-1,0,-1,1,0,61.51
2022-05-13 15:30:00-04:00,XHB,2,1,1,-1,-1,2,0,61.3
2022-05-16 09:30:00-04:00,XHB,2,1,1,-1,-1,2,0,60.63
2022-05-16 10:30:00-04:00,XHB,-2,1,-1,-1,-1,-4,-1,60.18
2022-05-16 11:30:00-04:00,XHB,-2,1,-1,-1,-1,-4,-1,60.51
2022-05-16 12:30:00-04:00,XHB,2,1,-1,-1,-1,0,1,61.08
2022-05-16 13:30:00-04:00,XHB,2,1,1,-1,-1,2,0,61.12
2022-05-16 14:30:00-04:00,XHB,2,1,1,-1,-1,2,0,60.69
2022-05-16 15:30:00-04:00,XHB,2,1,1,-1,-1,2,0,60.69
2022-05-17 09:30:00-04:00,XHB,2,1,1,-1,-1,2,0,60.88
2022-05-17 10:30:00-04:00,XHB,2,1,1,-1,-1,2,0,61.28
2022-05-17 11:30:00-04:00,XHB,2,1,1,-1,1,4,1,61.97
2022-05-17 12:30:00-04:00,XHB,2,1,1,1,1,6,1,62.07
2022-05-17 13:30:00-04:00,XHB,2,1,1,0,1,5,1,61.77
2022-05-17 14:30:00-04:00,XHB,2,1,1,0,1,5,1,62.31
2022-05-17 15:30:00-04:00,XHB,2,1,1,1,1,6,1,62.33
2022-05-18 09:30:00-04:00,XHB,-2,1,1,-1,1,0,-1,60.26
2022-05-18 10:30:00-04:00,XHB,-2,1,1,0,1,1,0,59.51
2022-05-18 11:30:00-04:00,XHB,-2,1,1,0,1,1,0,59.15
2022-05-18 12:30:00-04:00,XHB,-2,1,-1,0,1,-1,0,59.11
2022-05-18 13:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,58.86
2022-05-18 14:30:00-04:00,XHB,-2,1,1,0,0,0,1,58.66
2022-05-18 15:30:00-04:00,XHB,-2,1,1,0,0,0,0,58.91
2022-05-19 09:30:00-04:00,XHB,-2,1,-1,1,0,-1,0,59.53
2022-05-19 10:30:00-04:00,XHB,-2,1,-1,1,0,-1,0,59.38
2022-05-19 11:30:00-04:00,XHB,-2,1,-1,1,0,-1,0,59.67
2022-05-19 12:30:00-04:00,XHB,-2,1,-1,1,0,-1,0,59.69
2022-05-19 13:30:00-04:00,XHB,-2,1,1,1,0,1,0,60.06
2022-05-19 14:30:00-04:00,XHB,-2,1,1,1,1,2,0,59.58
2022-05-19 15:30:00-04:00,XHB,-2,1,1,1,1,2,0,59.31
2022-05-20 09:30:00-04:00,XHB,-2,1,1,1,1,2,0,58.94
2022-05-20 10:30:00-04:00,XHB,-2,1,1,-1,1,0,0,58.17
2022-05-20 11:30:00-04:00,XHB,-2,1,1,0,1,1,0,57.89
2022-05-20 12:30:00-04:00,XHB,-2,1,-1,0,1,-1,0,57.46
2022-05-20 13:30:00-04:00,XHB,-2,1,0,0,1,0,0,57.89
2022-05-20 14:30:00-04:00,XHB,-2,1,0,0,1,0,0,58.49
2022-05-20 15:30:00-04:00,XHB,2,1,0,0,1,4,0,59.12
2022-05-23 09:30:00-04:00,XHB,2,1,0,0,1,4,1,58.86
2022-05-23 10:30:00-04:00,XHB,2,1,0,0,1,4,1,59.31
2022-05-23 11:30:00-04:00,XHB,2,-1,0,0,1,2,-1,59.19
2022-05-23 12:30:00-04:00,XHB,2,1,0,0,-1,2,0,59.09
2022-05-23 13:30:00-04:00,XHB,2,1,0,-1,-1,1,0,59.36
2022-05-23 14:30:00-04:00,XHB,2,-1,0,-1,-1,-1,0,59.08
2022-05-23 15:30:00-04:00,XHB,2,-1,0,-1,-1,-1,0,59.15
2022-05-24 09:30:00-04:00,XHB,-2,1,0,-1,1,-1,0,57.0
2022-05-24 10:30:00-04:00,XHB,-2,1,1,-1,-1,-2,-1,56.84
2022-05-24 11:30:00-04:00,XHB,-2,1,1,-1,-1,-2,-1,57.31
2022-05-24 12:30:00-04:00,XHB,-2,1,1,-1,-1,-2,-1,57.13
2022-05-24 13:30:00-04:00,XHB,-2,1,1,1,-1,0,1,57.35
2022-05-24 14:30:00-04:00,XHB,-2,-1,-1,0,-1,-5,-1,57.56
2022-05-24 15:30:00-04:00,XHB,-2,-1,0,0,-1,-4,-1,57.59
2022-05-25 09:30:00-04:00,XHB,2,-1,0,1,-1,1,1,59.27
2022-05-25 10:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,59.4
2022-05-25 11:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,58.93
2022-05-25 12:30:00-04:00,XHB,2,1,-1,1,-1,2,0,59.04
2022-05-25 13:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,59.35
2022-05-25 14:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,59.73
2022-05-25 15:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,59.62
2022-05-26 09:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,61.62
2022-05-26 10:30:00-04:00,XHB,2,-1,-1,1,1,2,0,61.63
2022-05-26 11:30:00-04:00,XHB,2,-1,-1,1,1,2,1,61.92
2022-05-26 12:30:00-04:00,XHB,2,-1,-1,-1,1,0,-1,61.9
2022-05-26 13:30:00-04:00,XHB,2,-1,-1,0,1,1,0,62.03
2022-05-26 14:30:00-04:00,XHB,2,-1,-1,0,1,1,0,61.82
2022-05-26 15:30:00-04:00,XHB,2,-1,-1,0,1,1,0,61.98
2022-05-27 09:30:00-04:00,XHB,2,-1,-1,1,1,2,0,62.55
2022-05-27 10:30:00-04:00,XHB,2,1,-1,-1,1,2,1,62.62
2022-05-27 11:30:00-04:00,XHB,2,1,-1,0,1,3,1,62.87
2022-05-27 12:30:00-04:00,XHB,2,1,-1,0,1,3,1,62.77
2022-05-27 13:30:00-04:00,XHB,2,1,-1,0,1,3,1,62.76
2022-05-27 14:30:00-04:00,XHB,2,1,-1,0,1,3,1,62.94
2022-05-27 15:30:00-04:00,XHB,2,1,-1,0,1,3,1,63.23
2022-05-31 09:30:00-04:00,XHB,2,1,-1,-1,1,2,1,62.23
2022-05-31 10:30:00-04:00,XHB,2,1,-1,-1,1,2,1,62.06
2022-05-31 11:30:00-04:00,XHB,2,1,-1,-1,-1,0,-1,62.33
2022-05-31 12:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.28
2022-05-31 13:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.74
2022-05-31 14:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.5
2022-05-31 15:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.41
2022-06-01 09:30:00-04:00,XHB,2,1,-1,1,-1,2,1,61.66
2022-06-01 10:30:00-04:00,XHB,2,1,-1,0,-1,1,1,61.62
2022-06-01 11:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,61.5
2022-06-01 12:30:00-04:00,XHB,2,1,-1,0,-1,1,0,61.78
2022-06-01 13:30:00-04:00,XHB,2,1,-1,0,-1,1,0,62.14
2022-06-01 14:30:00-04:00,XHB,2,1,-1,0,-1,1,0,62.06
2022-06-01 15:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,61.74
2022-06-02 09:30:00-04:00,XHB,2,1,-1,1,-1,2,1,62.18
2022-06-02 10:30:00-04:00,XHB,2,1,-1,1,-1,2,1,62.45
2022-06-02 11:30:00-04:00,XHB,2,1,1,-1,1,4,1,62.54
2022-06-02 12:30:00-04:00,XHB,2,1,1,-1,-1,2,1,62.73
2022-06-02 13:30:00-04:00,XHB,2,1,1,-1,-1,2,-1,62.88
2022-06-02 14:30:00-04:00,XHB,2,1,1,-1,-1,2,0,62.85
2022-06-02 15:30:00-04:00,XHB,2,1,1,-1,-1,2,0,63.2
2022-06-03 09:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.91
2022-06-03 10:30:00-04:00,XHB,-2,1,0,1,-1,-1,0,62.5
2022-06-03 11:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,62.57
2022-06-03 12:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,62.75
2022-06-03 13:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,62.82
2022-06-03 14:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,62.61
2022-06-03 15:30:00-04:00,XHB,-2,1,-1,0,-1,-3,-1,62.6
2022-06-06 09:30:00-04:00,XHB,2,1,-1,0,-1,1,1,63.21
2022-06-06 10:30:00-04:00,XHB,2,1,-1,1,-1,2,0,62.9
2022-06-06 11:30:00-04:00,XHB,2,1,-1,1,-1,2,0,62.98
2022-06-06 12:30:00-04:00,XHB,2,1,-1,1,-1,2,0,63.13
2022-06-06 13:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,62.83
2022-06-06 14:30:00-04:00,XHB,2,-1,-1,1,-1,0,0,62.91
2022-06-06 15:30:00-04:00,XHB,2,-1,1,1,-1,2,0,62.91
2022-06-07 09:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,62.37
2022-06-07 10:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,62.43
2022-06-07 11:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,62.13
2022-06-07 12:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,62.56
2022-06-07 13:30:00-04:00,XHB,2,-1,1,-1,-1,0,1,62.72
2022-06-07 14:30:00-04:00,XHB,2,1,-1,-1,-1,0,0,62.96
2022-06-07 15:30:00-04:00,XHB,2,1,0,-1,-1,1,0,63.16
2022-06-08 09:30:00-04:00,XHB,-2,-1,0,-1,1,-3,0,62.37
2022-06-08 10:30:00-04:00,XHB,-2,-1,1,-1,0,-3,-1,62.62
2022-06-08 11:30:00-04:00,XHB,-2,-1,1,-1,1,-2,-1,62.28
2022-06-08 12:30:00-04:00,XHB,-2,-1,1,-1,-1,-4,-1,61.93
2022-06-08 13:30:00-04:00,XHB,-2,-1,1,-1,1,-2,-1,61.94
2022-06-08 14:30:00-04:00,XHB,-2,1,-1,1,-1,-2,-1,62.14
2022-06-08 15:30:00-04:00,XHB,-2,1,0,1,1,1,1,61.91
2022-06-09 09:30:00-04:00,XHB,-2,1,-1,1,-1,-2,0,62.43
2022-06-09 10:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,62.28
2022-06-09 11:30:00-04:00,XHB,2,-1,-1,1,1,2,0,62.43
2022-06-09 12:30:00-04:00,XHB,2,-1,-1,1,1,2,0,62.42
2022-06-09 13:30:00-04:00,XHB,-2,-1,-1,1,1,-2,0,62.29
