Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,XLB,2,0,0,0,0,2,1,90.66
2022-04-20 15:30:00-04:00,XLB,2,0,0,0,0,2,1,90.57
2022-04-21 09:30:00-04:00,XLB,2,0,0,0,1,3,1,91.25
2022-04-21 10:30:00-04:00,XLB,-2,0,0,0,1,-1,-1,90.62
2022-04-21 11:30:00-04:00,XLB,-2,0,1,-1,1,-1,-1,89.82
2022-04-21 12:30:00-04:00,XLB,-2,0,1,1,1,1,1,89.8
2022-04-21 13:30:00-04:00,XLB,-2,0,1,0,1,0,0,89.34
2022-04-21 14:30:00-04:00,XLB,-2,0,1,0,1,0,0,89.33
2022-04-21 15:30:00-04:00,XLB,-2,0,-1,1,-1,-3,-1,89.05
2022-04-22 09:30:00-04:00,XLB,-2,0,0,1,1,0,1,87.69
2022-04-22 10:30:00-04:00,XLB,-2,0,-1,1,1,-1,0,86.95
2022-04-22 11:30:00-04:00,XLB,-2,0,-1,-1,1,-3,-1,86.7
2022-04-22 12:30:00-04:00,XLB,-2,0,-1,0,1,-2,-1,86.22
2022-04-22 13:30:00-04:00,XLB,-2,0,-1,0,-1,-4,-1,86.1
2022-04-22 14:30:00-04:00,XLB,-2,0,-1,0,0,-3,-1,85.99
2022-04-22 15:30:00-04:00,XLB,-2,0,-1,0,0,-3,-1,85.75
2022-04-25 09:30:00-04:00,XLB,-2,0,-1,0,0,-3,-1,84.14
2022-04-25 10:30:00-04:00,XLB,-2,0,-1,-1,1,-3,-1,83.77
2022-04-25 11:30:00-04:00,XLB,-2,0,-1,-1,1,-3,-1,83.75
2022-04-25 12:30:00-04:00,XLB,-2,0,-1,-1,1,-3,-1,84.27
2022-04-25 13:30:00-04:00,XLB,-2,0,1,-1,1,-1,1,85.04
2022-04-25 14:30:00-04:00,XLB,-2,0,1,-1,1,-1,0,85.48
2022-04-25 15:30:00-04:00,XLB,2,0,-1,-1,1,1,0,85.51
2022-04-26 09:30:00-04:00,XLB,2,0,-1,1,1,3,1,85.52
2022-04-26 10:30:00-04:00,XLB,-2,0,-1,1,1,-1,-1,85.03
2022-04-26 11:30:00-04:00,XLB,2,0,-1,1,1,3,1,85.38
2022-04-26 12:30:00-04:00,XLB,-2,0,-1,1,1,-1,-1,84.57
2022-04-26 13:30:00-04:00,XLB,-2,0,-1,1,1,-1,0,84.78
2022-04-26 14:30:00-04:00,XLB,-2,0,-1,1,1,-1,0,84.45
2022-04-26 15:30:00-04:00,XLB,-2,0,-1,1,1,-1,0,84.14
2022-04-27 09:30:00-04:00,XLB,-2,0,-1,1,1,-1,0,84.91
2022-04-27 10:30:00-04:00,XLB,2,0,-1,1,1,3,1,85.66
2022-04-27 11:30:00-04:00,XLB,2,0,-1,1,1,3,1,86.17
2022-04-27 12:30:00-04:00,XLB,2,0,-1,1,1,3,1,86.15
2022-04-27 13:30:00-04:00,XLB,2,0,-1,1,1,3,1,86.14
2022-04-27 14:30:00-04:00,XLB,2,0,-1,1,1,3,1,85.6
2022-04-27 15:30:00-04:00,XLB,2,0,-1,1,1,3,1,85.45
2022-04-28 09:30:00-04:00,XLB,-2,0,-1,-1,-1,-5,-1,84.68
2022-04-28 10:30:00-04:00,XLB,-2,-1,-1,-1,-1,-6,-1,85.22
2022-04-28 11:30:00-04:00,XLB,2,-1,-1,-1,-1,-2,1,85.95
2022-04-28 12:30:00-04:00,XLB,2,-1,-1,-1,-1,-2,0,86.67
2022-04-28 13:30:00-04:00,XLB,2,-1,-1,-1,-1,-2,0,86.66
2022-04-28 14:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,86.94
2022-04-28 15:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,86.79
2022-04-29 09:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,86.55
2022-04-29 10:30:00-04:00,XLB,2,1,-1,1,-1,2,1,86.78
2022-04-29 11:30:00-04:00,XLB,2,1,-1,0,-1,1,1,86.28
2022-04-29 12:30:00-04:00,XLB,2,1,-1,0,-1,1,1,86.49
2022-04-29 13:30:00-04:00,XLB,2,1,-1,0,-1,1,1,86.1
2022-04-29 14:30:00-04:00,XLB,2,1,-1,-1,-1,0,-1,85.53
2022-04-29 15:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,85.04
2022-05-02 09:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,85.29
2022-05-02 10:30:00-04:00,XLB,-2,1,-1,-1,-1,-4,0,84.51
2022-05-02 11:30:00-04:00,XLB,-2,1,-1,-1,-1,-4,0,84.51
2022-05-02 12:30:00-04:00,XLB,-2,1,-1,-1,-1,-4,-1,84.18
2022-05-02 13:30:00-04:00,XLB,-2,1,1,-1,-1,-2,1,83.39
2022-05-02 14:30:00-04:00,XLB,2,1,-1,-1,-1,0,0,84.26
