Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-29 14:30:00-04:00,XLC,-2,0,0,0,0,-2,-1,59.55
2022-04-29 15:30:00-04:00,XLC,-2,0,0,0,0,-2,-1,59.08
2022-05-02 09:30:00-04:00,XLC,2,0,-1,1,0,2,1,60.49
2022-05-02 10:30:00-04:00,XLC,2,0,-1,1,-1,1,0,59.98
2022-05-02 11:30:00-04:00,XLC,2,0,1,1,-1,3,1,60.1
2022-05-02 12:30:00-04:00,XLC,-2,0,-1,1,-1,-3,-1,59.54
2022-05-02 13:30:00-04:00,XLC,-2,0,-1,1,-1,-3,-1,59.4
2022-05-02 14:30:00-04:00,XLC,2,0,-1,1,-1,1,1,60.31
2022-05-02 15:30:00-04:00,XLC,2,0,-1,1,-1,1,0,60.67
2022-05-03 09:30:00-04:00,XLC,2,0,-1,1,-1,1,0,60.52
2022-05-03 10:30:00-04:00,XLC,2,0,1,-1,-1,1,0,60.81
2022-05-03 11:30:00-04:00,XLC,2,0,0,0,-1,1,0,60.59
2022-05-03 12:30:00-04:00,XLC,2,0,1,0,-1,2,1,61.11
2022-05-03 13:30:00-04:00,XLC,2,0,1,-1,-1,1,-1,60.75
2022-05-03 14:30:00-04:00,XLC,2,0,-1,-1,-1,-1,0,60.99
2022-05-03 15:30:00-04:00,XLC,2,0,1,-1,1,3,1,60.84
2022-05-04 09:30:00-04:00,XLC,2,0,1,-1,0,2,1,60.24
2022-05-04 10:30:00-04:00,XLC,-2,0,1,-1,1,-1,-1,60.14
2022-05-04 11:30:00-04:00,XLC,2,0,1,-1,1,3,1,60.84
2022-05-04 12:30:00-04:00,XLC,2,0,-1,-1,1,1,-1,61.07
2022-05-04 13:30:00-04:00,XLC,2,0,0,-1,1,2,1,61.35
2022-05-04 14:30:00-04:00,XLC,2,0,1,-1,1,3,1,62.74
2022-05-04 15:30:00-04:00,XLC,2,0,1,-1,1,3,1,62.95
2022-05-05 09:30:00-04:00,XLC,-2,0,-1,-1,1,-3,-1,61.04
2022-05-05 10:30:00-04:00,XLC,-2,0,0,1,1,0,0,60.73
2022-05-05 11:30:00-04:00,XLC,-2,0,0,0,1,-1,0,60.65
2022-05-05 12:30:00-04:00,XLC,-2,0,0,0,1,-1,0,60.83
2022-05-05 13:30:00-04:00,XLC,-2,0,1,0,1,0,0,60.3
2022-05-05 14:30:00-04:00,XLC,-2,0,-1,0,1,-2,0,60.08
2022-05-05 15:30:00-04:00,XLC,-2,0,1,0,1,0,0,60.64
2022-05-06 09:30:00-04:00,XLC,-2,0,1,0,1,0,0,59.7
2022-05-06 10:30:00-04:00,XLC,-2,0,1,0,1,0,0,60.17
2022-05-06 11:30:00-04:00,XLC,-2,0,1,-1,1,-1,0,59.94
2022-05-06 12:30:00-04:00,XLC,-2,0,1,-1,1,-1,0,59.88
2022-05-06 13:30:00-04:00,XLC,-2,0,1,-1,1,-1,0,59.39
2022-05-06 14:30:00-04:00,XLC,-2,0,1,-1,1,-1,0,59.12
2022-05-06 15:30:00-04:00,XLC,-2,0,1,-1,1,-1,0,59.37
2022-05-09 09:30:00-04:00,XLC,-2,0,-1,-1,1,-3,-1,58.31
2022-05-09 10:30:00-04:00,XLC,-2,0,-1,-1,1,-3,-1,57.97
2022-05-09 11:30:00-04:00,XLC,-2,1,-1,-1,-1,-4,-1,58.59
2022-05-09 12:30:00-04:00,XLC,-2,1,-1,1,1,0,1,58.4
2022-05-09 13:30:00-04:00,XLC,-2,1,1,0,1,1,0,58.08
2022-05-09 14:30:00-04:00,XLC,-2,1,0,0,-1,-2,0,58.05
2022-05-09 15:30:00-04:00,XLC,-2,1,0,0,0,-1,0,57.84
2022-05-10 09:30:00-04:00,XLC,-2,1,0,1,0,0,0,58.73
2022-05-10 10:30:00-04:00,XLC,-2,1,0,1,0,0,0,57.82
2022-05-10 11:30:00-04:00,XLC,-2,1,0,1,0,0,0,57.79
2022-05-10 12:30:00-04:00,XLC,-2,1,0,1,0,0,0,58.15
2022-05-10 13:30:00-04:00,XLC,-2,1,0,1,0,0,0,58.47
2022-05-10 14:30:00-04:00,XLC,-2,1,1,1,1,2,1,58.24
2022-05-10 15:30:00-04:00,XLC,-2,1,1,1,1,2,1,58.07
2022-05-11 09:30:00-04:00,XLC,-2,1,1,-1,1,0,-1,58.76
2022-05-11 10:30:00-04:00,XLC,-2,1,1,0,1,1,0,58.43
2022-05-11 11:30:00-04:00,XLC,-2,1,1,-1,-1,-2,0,57.8
2022-05-11 12:30:00-04:00,XLC,-2,1,1,-1,1,0,0,57.4
2022-05-11 13:30:00-04:00,XLC,-2,1,1,-1,1,0,0,57.7
2022-05-11 14:30:00-04:00,XLC,-2,1,1,-1,-1,-2,0,57.41
2022-05-11 15:30:00-04:00,XLC,-2,1,1,-1,-1,-2,0,57.06
2022-05-12 09:30:00-04:00,XLC,-2,1,-1,1,1,0,0,57.63
2022-05-12 10:30:00-04:00,XLC,-2,1,0,0,1,0,0,57.92
2022-05-12 11:30:00-04:00,XLC,-2,1,0,0,1,0,0,57.52
2022-05-12 12:30:00-04:00,XLC,-2,1,-1,0,-1,-3,0,57.2
2022-05-12 13:30:00-04:00,XLC,-2,1,-1,1,0,-1,0,56.78
2022-05-12 14:30:00-04:00,XLC,2,1,-1,1,0,3,1,57.12
2022-05-12 15:30:00-04:00,XLC,2,1,-1,1,-1,2,1,57.68
2022-05-13 09:30:00-04:00,XLC,2,1,-1,-1,-1,0,-1,58.78
2022-05-13 10:30:00-04:00,XLC,2,1,-1,0,-1,1,0,58.93
2022-05-13 11:30:00-04:00,XLC,2,1,-1,0,-1,1,0,59.19
2022-05-13 12:30:00-04:00,XLC,2,1,-1,0,-1,1,0,59.06
2022-05-13 13:30:00-04:00,XLC,2,1,-1,-1,-1,0,0,58.53
2022-05-13 14:30:00-04:00,XLC,2,1,-1,-1,-1,0,0,59.1
2022-05-13 15:30:00-04:00,XLC,2,1,-1,-1,-1,0,0,59.03
2022-05-16 09:30:00-04:00,XLC,2,1,-1,-1,-1,0,0,59.23
2022-05-16 10:30:00-04:00,XLC,2,1,-1,-1,-1,0,0,58.75
2022-05-16 11:30:00-04:00,XLC,2,1,1,-1,-1,2,1,58.98
2022-05-16 12:30:00-04:00,XLC,2,1,0,1,-1,3,1,59.03
2022-05-16 13:30:00-04:00,XLC,2,1,0,-1,-1,1,1,59.16
2022-05-16 14:30:00-04:00,XLC,2,1,1,-1,-1,2,1,58.79
2022-05-16 15:30:00-04:00,XLC,2,-1,1,-1,-1,0,-1,58.64
2022-05-17 09:30:00-04:00,XLC,2,-1,1,-1,-1,0,0,59.35
2022-05-17 10:30:00-04:00,XLC,2,-1,1,-1,-1,0,0,59.53
2022-05-17 11:30:00-04:00,XLC,2,-1,1,-1,-1,0,0,59.71
2022-05-17 12:30:00-04:00,XLC,2,-1,-1,-1,1,0,0,59.71
2022-05-17 13:30:00-04:00,XLC,2,-1,0,-1,1,1,0,59.38
2022-05-17 14:30:00-04:00,XLC,2,-1,-1,-1,1,0,0,59.89
2022-05-17 15:30:00-04:00,XLC,2,-1,1,1,1,4,1,59.93
2022-05-18 09:30:00-04:00,XLC,2,-1,-1,0,1,1,-1,59.07
2022-05-18 10:30:00-04:00,XLC,-2,-1,-1,1,1,-2,0,58.62
2022-05-18 11:30:00-04:00,XLC,-2,-1,-1,1,1,-2,-1,58.53
2022-05-18 12:30:00-04:00,XLC,-2,-1,-1,1,1,-2,-1,58.4
2022-05-18 13:30:00-04:00,XLC,-2,-1,-1,1,-1,-4,-1,58.35
2022-05-18 14:30:00-04:00,XLC,-2,-1,-1,1,0,-3,-1,58.0
2022-05-18 15:30:00-04:00,XLC,-2,-1,1,1,0,-1,1,57.97
2022-05-19 09:30:00-04:00,XLC,-2,-1,0,1,0,-2,0,58.17
2022-05-19 10:30:00-04:00,XLC,-2,-1,0,1,0,-2,0,58.05
2022-05-19 11:30:00-04:00,XLC,-2,-1,0,1,0,-2,0,58.37
2022-05-19 12:30:00-04:00,XLC,-2,-1,1,-1,-1,-4,-1,57.98
2022-05-19 13:30:00-04:00,XLC,-2,-1,1,0,-1,-3,-1,58.13
2022-05-19 14:30:00-04:00,XLC,-2,-1,1,0,-1,-3,-1,57.93
2022-05-19 15:30:00-04:00,XLC,-2,-1,1,-1,-1,-4,-1,57.85
2022-05-20 09:30:00-04:00,XLC,-2,-1,-1,1,-1,-4,-1,58.56
2022-05-20 10:30:00-04:00,XLC,-2,-1,0,0,-1,-4,-1,57.71
2022-05-20 11:30:00-04:00,XLC,-2,-1,-1,1,-1,-4,-1,57.27
2022-05-20 12:30:00-04:00,XLC,-2,1,-1,1,1,0,1,56.66
2022-05-20 13:30:00-04:00,XLC,-2,1,-1,1,0,-1,0,56.99
2022-05-20 14:30:00-04:00,XLC,-2,1,1,-1,1,0,0,57.43
2022-05-20 15:30:00-04:00,XLC,2,1,0,0,1,4,1,58.02
2022-05-23 09:30:00-04:00,XLC,2,1,0,0,1,4,1,58.37
2022-05-23 10:30:00-04:00,XLC,2,-1,0,0,1,2,1,58.62
2022-05-23 11:30:00-04:00,XLC,2,-1,0,0,1,2,1,58.83
2022-05-23 12:30:00-04:00,XLC,2,1,0,0,1,4,1,58.61
2022-05-23 13:30:00-04:00,XLC,2,1,0,0,1,4,1,58.82
2022-05-23 14:30:00-04:00,XLC,2,1,0,0,1,4,1,58.78
2022-05-23 15:30:00-04:00,XLC,2,-1,0,-1,-1,-1,-1,58.9
2022-05-24 09:30:00-04:00,XLC,2,-1,1,-1,0,1,0,56.02
2022-05-24 10:30:00-04:00,XLC,-2,-1,1,-1,-1,-4,-1,56.2
2022-05-24 11:30:00-04:00,XLC,-2,1,1,-1,-1,-2,-1,56.46
2022-05-24 12:30:00-04:00,XLC,-2,1,1,-1,-1,-2,-1,56.37
