Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,XLI,2,0,0,0,0,2,1,102.17
2022-04-20 15:30:00-04:00,XLI,2,0,0,0,0,2,1,101.96
2022-04-21 09:30:00-04:00,XLI,2,0,1,-1,1,3,1,102.79
2022-04-21 10:30:00-04:00,XLI,2,0,-1,-1,1,1,-1,102.35
2022-04-21 11:30:00-04:00,XLI,-2,0,0,-1,1,-2,-1,101.62
2022-04-21 12:30:00-04:00,XLI,-2,0,1,1,-1,-1,-1,101.52
2022-04-21 13:30:00-04:00,XLI,-2,0,-1,0,0,-3,-1,101.26
2022-04-21 14:30:00-04:00,XLI,-2,0,1,1,0,0,1,101.18
2022-04-21 15:30:00-04:00,XLI,-2,0,-1,1,0,-2,-1,100.9
2022-04-22 09:30:00-04:00,XLI,-2,0,-1,1,0,-2,-1,99.82
2022-04-22 10:30:00-04:00,XLI,-2,0,-1,1,0,-2,-1,99.73
2022-04-22 11:30:00-04:00,XLI,-2,0,-1,1,0,-2,-1,99.83
2022-04-22 12:30:00-04:00,XLI,-2,0,-1,1,0,-2,-1,99.47
2022-04-22 13:30:00-04:00,XLI,-2,0,-1,1,1,-1,1,99.07
2022-04-22 14:30:00-04:00,XLI,-2,0,-1,1,1,-1,0,98.93
2022-04-22 15:30:00-04:00,XLI,-2,0,-1,1,1,-1,0,98.47
2022-04-25 09:30:00-04:00,XLI,-2,0,1,-1,1,-1,0,96.84
2022-04-25 10:30:00-04:00,XLI,-2,0,0,0,1,-1,0,96.68
2022-04-25 11:30:00-04:00,XLI,-2,0,0,-1,1,-2,-1,96.87
2022-04-25 12:30:00-04:00,XLI,-2,0,0,-1,1,-2,-1,97.14
2022-04-25 13:30:00-04:00,XLI,-2,0,1,-1,1,-1,1,97.68
2022-04-25 14:30:00-04:00,XLI,-2,0,1,-1,1,-1,0,98.16
2022-04-25 15:30:00-04:00,XLI,2,0,1,-1,1,3,1,98.45
2022-04-26 09:30:00-04:00,XLI,-2,0,1,1,1,1,-1,97.42
2022-04-26 10:30:00-04:00,XLI,-2,0,1,-1,-1,-3,-1,97.04
2022-04-26 11:30:00-04:00,XLI,-2,0,1,-1,0,-2,-1,97.18
2022-04-26 12:30:00-04:00,XLI,-2,0,1,-1,0,-2,-1,96.57
2022-04-26 13:30:00-04:00,XLI,-2,0,1,-1,0,-2,-1,97.17
2022-04-26 14:30:00-04:00,XLI,-2,0,1,1,1,1,1,96.67
2022-04-26 15:30:00-04:00,XLI,-2,0,-1,1,1,-1,0,96.25
2022-04-27 09:30:00-04:00,XLI,-2,0,0,1,1,0,0,96.06
2022-04-27 10:30:00-04:00,XLI,-2,0,0,1,1,0,0,96.87
2022-04-27 11:30:00-04:00,XLI,-2,0,0,1,1,0,0,97.32
2022-04-27 12:30:00-04:00,XLI,-2,0,-1,1,1,-1,0,97.17
2022-04-27 13:30:00-04:00,XLI,-2,0,-1,1,1,-1,0,97.11
2022-04-27 14:30:00-04:00,XLI,-2,0,-1,-1,1,-3,-1,96.75
2022-04-27 15:30:00-04:00,XLI,-2,0,-1,0,1,-2,-1,96.61
2022-04-28 09:30:00-04:00,XLI,-2,0,1,0,1,0,1,95.99
2022-04-28 10:30:00-04:00,XLI,-2,-1,0,-1,1,-3,-1,96.35
2022-04-28 11:30:00-04:00,XLI,-2,-1,0,-1,-1,-5,-1,96.92
2022-04-28 12:30:00-04:00,XLI,-2,-1,0,-1,0,-4,-1,97.6
2022-04-28 13:30:00-04:00,XLI,2,-1,0,-1,0,0,1,97.76
2022-04-28 14:30:00-04:00,XLI,2,1,0,-1,-1,1,0,97.88
2022-04-28 15:30:00-04:00,XLI,2,1,0,-1,-1,1,0,97.75
2022-04-29 09:30:00-04:00,XLI,2,1,0,-1,-1,1,0,96.99
2022-04-29 10:30:00-04:00,XLI,2,1,0,-1,-1,1,0,97.22
2022-04-29 11:30:00-04:00,XLI,2,1,1,1,-1,4,1,96.58
2022-04-29 12:30:00-04:00,XLI,2,1,1,0,-1,3,1,96.53
2022-04-29 13:30:00-04:00,XLI,2,1,1,0,-1,3,1,96.34
2022-04-29 14:30:00-04:00,XLI,-2,1,-1,1,-1,-2,-1,95.69
2022-04-29 15:30:00-04:00,XLI,-2,1,1,1,-1,0,0,95.14
2022-05-02 09:30:00-04:00,XLI,2,1,-1,1,-1,2,0,95.9
2022-05-02 10:30:00-04:00,XLI,2,1,0,1,-1,3,1,95.04
2022-05-02 11:30:00-04:00,XLI,2,1,0,1,-1,3,1,95.25
2022-05-02 12:30:00-04:00,XLI,-2,1,-1,1,-1,-2,-1,94.6
2022-05-02 13:30:00-04:00,XLI,-2,1,-1,1,-1,-2,0,93.84
2022-05-02 14:30:00-04:00,XLI,2,1,-1,1,-1,2,0,94.93
2022-05-02 15:30:00-04:00,XLI,2,1,1,-1,-1,2,0,95.36
2022-05-03 09:30:00-04:00,XLI,2,1,1,-1,1,4,1,95.9
2022-05-03 10:30:00-04:00,XLI,2,1,1,-1,0,3,1,96.38
2022-05-03 11:30:00-04:00,XLI,2,1,1,-1,1,4,1,96.1
2022-05-03 12:30:00-04:00,XLI,2,1,1,-1,1,4,1,96.16
2022-05-03 13:30:00-04:00,XLI,2,1,1,-1,1,4,1,95.65
2022-05-03 14:30:00-04:00,XLI,2,1,1,-1,-1,2,1,96.13
2022-05-03 15:30:00-04:00,XLI,2,1,1,-1,0,3,1,95.96
