Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-04 11:30:00-04:00,XLK,0,0,1,-1,0,0,1,143.82
2022-05-04 12:30:00-04:00,XLK,0,0,-1,-1,1,-1,-1,144.25
2022-05-04 13:30:00-04:00,XLK,2,0,1,-1,1,3,1,144.51
2022-05-04 14:30:00-04:00,XLK,2,0,1,-1,1,3,1,148.08
2022-05-04 15:30:00-04:00,XLK,2,0,1,1,1,5,1,148.94
2022-05-05 09:30:00-04:00,XLK,-2,0,1,-1,1,-1,-1,143.7
2022-05-05 10:30:00-04:00,XLK,-2,0,1,-1,1,-1,-1,142.64
2022-05-05 11:30:00-04:00,XLK,-2,0,1,-1,1,-1,-1,142.29
2022-05-05 12:30:00-04:00,XLK,-2,0,1,-1,1,-1,-1,142.12
2022-05-05 13:30:00-04:00,XLK,-2,0,1,-1,1,-1,-1,140.98
2022-05-05 14:30:00-04:00,XLK,-2,0,1,1,1,1,-1,140.21
2022-05-05 15:30:00-04:00,XLK,-2,0,1,0,1,0,-1,141.83
2022-05-06 09:30:00-04:00,XLK,-2,0,-1,0,1,-2,-1,140.44
2022-05-06 10:30:00-04:00,XLK,2,0,-1,1,1,3,1,142.41
2022-05-06 11:30:00-04:00,XLK,2,0,-1,1,1,3,0,141.49
2022-05-06 12:30:00-04:00,XLK,2,0,-1,1,1,3,0,141.51
2022-05-06 13:30:00-04:00,XLK,-2,0,-1,1,-1,-3,-1,140.08
2022-05-06 14:30:00-04:00,XLK,-2,0,-1,1,0,-2,-1,139.59
2022-05-06 15:30:00-04:00,XLK,-2,0,-1,1,0,-2,-1,140.58
2022-05-09 09:30:00-04:00,XLK,-2,0,-1,-1,-1,-5,-1,136.58
2022-05-09 10:30:00-04:00,XLK,-2,0,1,0,-1,-2,-1,135.6
2022-05-09 11:30:00-04:00,XLK,-2,0,0,0,1,-1,1,136.8
2022-05-09 12:30:00-04:00,XLK,-2,0,0,0,-1,-3,-1,136.26
2022-05-09 13:30:00-04:00,XLK,-2,0,0,0,-1,-3,-1,135.46
2022-05-09 14:30:00-04:00,XLK,-2,0,0,0,1,-1,1,135.53
2022-05-09 15:30:00-04:00,XLK,-2,0,0,0,0,-2,0,135.27
2022-05-10 09:30:00-04:00,XLK,-2,0,1,0,0,-1,0,137.75
2022-05-10 10:30:00-04:00,XLK,-2,0,1,1,0,0,0,135.79
2022-05-10 11:30:00-04:00,XLK,-2,0,1,1,0,0,0,135.99
2022-05-10 12:30:00-04:00,XLK,-2,0,1,1,0,0,0,137.13
2022-05-10 13:30:00-04:00,XLK,-2,0,1,1,0,0,0,138.24
2022-05-10 14:30:00-04:00,XLK,-2,0,1,1,1,1,0,137.91
2022-05-10 15:30:00-04:00,XLK,-2,0,1,1,1,1,0,137.16
2022-05-11 09:30:00-04:00,XLK,-2,0,1,-1,1,-1,0,137.25
2022-05-11 10:30:00-04:00,XLK,-2,0,1,-1,1,-1,0,136.51
2022-05-11 11:30:00-04:00,XLK,-2,0,1,-1,1,-1,0,135.58
2022-05-11 12:30:00-04:00,XLK,-2,-1,1,-1,1,-2,0,134.35
2022-05-11 13:30:00-04:00,XLK,-2,-1,1,-1,-1,-4,-1,133.94
2022-05-11 14:30:00-04:00,XLK,-2,-1,1,-1,0,-3,-1,133.21
