Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-29 14:30:00-04:00,XLP,-2,0,0,0,0,-2,-1,78.03
2022-04-29 15:30:00-04:00,XLP,-2,0,0,0,0,-2,-1,77.65
2022-05-02 09:30:00-04:00,XLP,-2,0,-1,-1,0,-4,-1,77.47
2022-05-02 10:30:00-04:00,XLP,-2,0,-1,1,0,-2,1,76.83
2022-05-02 11:30:00-04:00,XLP,-2,0,-1,-1,-1,-5,-1,76.6
2022-05-02 12:30:00-04:00,XLP,-2,0,1,-1,-1,-3,1,76.22
2022-05-02 13:30:00-04:00,XLP,-2,0,0,-1,1,-2,0,75.86
2022-05-02 14:30:00-04:00,XLP,-2,0,0,-1,1,-2,0,76.36
2022-05-02 15:30:00-04:00,XLP,2,0,-1,-1,1,1,1,76.66
2022-05-03 09:30:00-04:00,XLP,2,0,-1,-1,1,1,1,76.49
2022-05-03 10:30:00-04:00,XLP,2,0,1,-1,-1,1,1,76.91
2022-05-03 11:30:00-04:00,XLP,2,0,1,-1,0,2,1,76.64
2022-05-03 12:30:00-04:00,XLP,2,0,1,-1,0,2,1,76.6
2022-05-03 13:30:00-04:00,XLP,2,0,1,-1,0,2,1,76.14
2022-05-03 14:30:00-04:00,XLP,2,0,1,1,-1,3,1,76.24
2022-05-03 15:30:00-04:00,XLP,2,0,1,0,-1,2,1,76.41
2022-05-04 09:30:00-04:00,XLP,2,0,1,0,-1,2,1,76.79
2022-05-04 10:30:00-04:00,XLP,2,0,1,1,-1,3,1,76.9
2022-05-04 11:30:00-04:00,XLP,2,0,1,1,-1,3,1,76.97
2022-05-04 12:30:00-04:00,XLP,2,0,1,1,-1,3,1,76.88
2022-05-04 13:30:00-04:00,XLP,2,0,1,1,-1,3,1,77.27
2022-05-04 14:30:00-04:00,XLP,2,0,1,1,-1,3,1,78.02
2022-05-04 15:30:00-04:00,XLP,2,0,1,-1,-1,1,1,78.15
2022-05-05 09:30:00-04:00,XLP,2,0,1,0,-1,2,1,77.32
2022-05-05 10:30:00-04:00,XLP,-2,0,1,1,-1,-1,-1,77.0
2022-05-05 11:30:00-04:00,XLP,-2,0,1,1,-1,-1,0,76.89
2022-05-05 12:30:00-04:00,XLP,-2,0,1,1,-1,-1,0,76.98
2022-05-05 13:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.51
2022-05-05 14:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.24
2022-05-05 15:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.67
2022-05-06 09:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.63
2022-05-06 10:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.9
2022-05-06 11:30:00-04:00,XLP,-2,0,1,1,1,1,0,76.52
