Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-20 14:30:00-04:00,XLU,2,0,0,0,0,2,1,76.82
2022-04-20 15:30:00-04:00,XLU,2,0,0,0,0,2,1,76.76
2022-04-21 09:30:00-04:00,XLU,-2,0,1,-1,1,-1,-1,76.48
2022-04-21 10:30:00-04:00,XLU,-2,0,1,-1,1,-1,-1,76.31
2022-04-21 11:30:00-04:00,XLU,-2,0,1,-1,1,-1,-1,76.15
2022-04-21 12:30:00-04:00,XLU,-2,0,1,-1,-1,-3,-1,76.07
2022-04-21 13:30:00-04:00,XLU,-2,0,1,1,1,1,1,76.17
2022-04-21 14:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,75.99
2022-04-21 15:30:00-04:00,XLU,-2,0,0,1,1,0,0,75.49
2022-04-22 09:30:00-04:00,XLU,-2,0,0,1,1,0,0,75.17
2022-04-22 10:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,74.98
2022-04-22 11:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,75.05
2022-04-22 12:30:00-04:00,XLU,-2,0,1,1,1,1,0,75.07
2022-04-22 13:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,74.99
2022-04-22 14:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,74.85
2022-04-22 15:30:00-04:00,XLU,-2,0,1,1,1,1,0,74.28
2022-04-25 09:30:00-04:00,XLU,-2,0,0,1,1,0,0,73.07
2022-04-25 10:30:00-04:00,XLU,-2,0,0,-1,1,-2,0,72.94
2022-04-25 11:30:00-04:00,XLU,-2,0,0,0,1,-1,0,72.88
2022-04-25 12:30:00-04:00,XLU,-2,0,0,0,1,-1,0,72.69
2022-04-25 13:30:00-04:00,XLU,-2,0,-1,-1,1,-3,-1,73.35
2022-04-25 14:30:00-04:00,XLU,-2,0,1,-1,1,-1,1,73.69
2022-04-25 15:30:00-04:00,XLU,2,0,0,-1,1,2,1,73.76
2022-04-26 09:30:00-04:00,XLU,2,0,-1,1,1,3,1,73.73
2022-04-26 10:30:00-04:00,XLU,2,0,-1,1,1,3,1,74.19
2022-04-26 11:30:00-04:00,XLU,2,0,-1,1,1,3,1,74.02
2022-04-26 12:30:00-04:00,XLU,2,0,-1,1,1,3,1,73.6
2022-04-26 13:30:00-04:00,XLU,2,0,-1,1,1,3,1,73.56
2022-04-26 14:30:00-04:00,XLU,-2,0,-1,1,1,-1,-1,73.14
2022-04-26 15:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,72.97
2022-04-27 09:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,73.15
2022-04-27 10:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,73.4
2022-04-27 11:30:00-04:00,XLU,-2,0,-1,1,1,-1,0,73.5
2022-04-27 12:30:00-04:00,XLU,-2,0,-1,-1,1,-3,-1,73.56
2022-04-27 13:30:00-04:00,XLU,-2,0,-1,0,1,-2,-1,73.24
2022-04-27 14:30:00-04:00,XLU,-2,0,-1,0,1,-2,-1,72.96
2022-04-27 15:30:00-04:00,XLU,-2,0,1,-1,1,-1,1,72.64
2022-04-28 09:30:00-04:00,XLU,-2,0,1,-1,1,-1,0,73.2
2022-04-28 10:30:00-04:00,XLU,-2,-1,1,1,1,0,0,73.16
2022-04-28 11:30:00-04:00,XLU,2,1,1,0,-1,3,1,73.69
2022-04-28 12:30:00-04:00,XLU,2,1,1,-1,-1,2,1,73.45
2022-04-28 13:30:00-04:00,XLU,2,1,1,-1,-1,2,1,73.25
2022-04-28 14:30:00-04:00,XLU,2,1,1,-1,-1,2,1,73.5
2022-04-28 15:30:00-04:00,XLU,2,1,1,-1,-1,2,1,73.49
2022-04-29 09:30:00-04:00,XLU,-2,1,1,-1,-1,-2,-1,72.38
2022-04-29 10:30:00-04:00,XLU,-2,1,1,-1,-1,-2,-1,72.4
2022-04-29 11:30:00-04:00,XLU,-2,1,1,-1,-1,-2,-1,72.14
2022-04-29 12:30:00-04:00,XLU,-2,1,1,1,-1,0,1,72.08
2022-04-29 13:30:00-04:00,XLU,-2,1,1,0,-1,-1,0,72.02
2022-04-29 14:30:00-04:00,XLU,-2,1,1,0,-1,-1,0,71.65
2022-04-29 15:30:00-04:00,XLU,-2,1,-1,0,-1,-3,-1,71.28
2022-05-02 09:30:00-04:00,XLU,2,1,-1,1,-1,2,1,71.53
2022-05-02 10:30:00-04:00,XLU,-2,1,1,1,-1,0,0,70.86
2022-05-02 11:30:00-04:00,XLU,-2,1,1,1,-1,0,0,70.47
2022-05-02 12:30:00-04:00,XLU,-2,1,1,1,-1,0,0,70.26
2022-05-02 13:30:00-04:00,XLU,-2,1,1,1,-1,0,0,70.01
2022-05-02 14:30:00-04:00,XLU,2,1,1,1,-1,4,1,70.38
2022-05-02 15:30:00-04:00,XLU,2,1,1,-1,1,4,1,70.54
2022-05-03 09:30:00-04:00,XLU,2,1,1,0,0,4,1,71.15
2022-05-03 10:30:00-04:00,XLU,2,1,1,0,1,5,1,71.75
2022-05-03 11:30:00-04:00,XLU,2,1,1,0,1,5,1,71.55
2022-05-03 12:30:00-04:00,XLU,2,1,1,0,1,5,1,71.33
2022-05-03 13:30:00-04:00,XLU,-2,1,1,0,1,1,-1,70.76
2022-05-03 14:30:00-04:00,XLU,-2,1,1,-1,1,0,0,70.87
2022-05-03 15:30:00-04:00,XLU,-2,1,1,-1,1,0,0,70.79
2022-05-04 09:30:00-04:00,XLU,2,1,-1,1,-1,2,0,71.36
2022-05-04 10:30:00-04:00,XLU,2,1,0,1,1,5,1,71.52
2022-05-04 11:30:00-04:00,XLU,2,1,0,1,1,5,1,71.58
2022-05-04 12:30:00-04:00,XLU,2,1,0,1,-1,3,1,71.45
2022-05-04 13:30:00-04:00,XLU,2,1,0,1,0,4,1,71.75
2022-05-04 14:30:00-04:00,XLU,2,1,0,-1,0,2,-1,72.22
2022-05-04 15:30:00-04:00,XLU,2,1,0,0,-1,2,0,72.37
2022-05-05 09:30:00-04:00,XLU,2,1,0,0,1,4,1,72.07
2022-05-05 10:30:00-04:00,XLU,2,1,1,1,0,5,1,71.63
2022-05-05 11:30:00-04:00,XLU,-2,1,1,1,-1,0,-1,71.62
2022-05-05 12:30:00-04:00,XLU,2,1,1,1,1,6,1,71.96
2022-05-05 13:30:00-04:00,XLU,-2,1,1,1,1,2,-1,71.4
2022-05-05 14:30:00-04:00,XLU,-2,1,-1,1,1,0,0,71.11
2022-05-05 15:30:00-04:00,XLU,-2,-1,-1,1,1,-2,-1,71.67
2022-05-06 09:30:00-04:00,XLU,-2,-1,-1,1,1,-2,-1,71.66
2022-05-06 10:30:00-04:00,XLU,2,-1,-1,1,1,2,1,71.98
2022-05-06 11:30:00-04:00,XLU,2,-1,-1,1,-1,0,0,71.86
2022-05-06 12:30:00-04:00,XLU,2,-1,-1,1,-1,0,0,71.89
2022-05-06 13:30:00-04:00,XLU,2,-1,-1,1,-1,0,0,71.43
2022-05-06 14:30:00-04:00,XLU,2,-1,-1,1,-1,0,0,71.71
2022-05-06 15:30:00-04:00,XLU,2,-1,-1,-1,-1,-2,-1,72.21
2022-05-09 09:30:00-04:00,XLU,2,-1,-1,-1,-1,-2,-1,71.51
2022-05-09 10:30:00-04:00,XLU,2,-1,1,-1,-1,0,1,71.57
2022-05-09 11:30:00-04:00,XLU,2,-1,0,-1,-1,-1,-1,71.77
2022-05-09 12:30:00-04:00,XLU,2,-1,1,-1,-1,0,1,71.66
2022-05-09 13:30:00-04:00,XLU,2,-1,1,-1,-1,0,0,71.8
2022-05-09 14:30:00-04:00,XLU,2,-1,-1,-1,-1,-2,-1,71.97
2022-05-09 15:30:00-04:00,XLU,2,-1,0,-1,-1,-1,-1,71.67
2022-05-10 09:30:00-04:00,XLU,2,-1,0,-1,-1,-1,-1,71.98
2022-05-10 10:30:00-04:00,XLU,-2,-1,-1,-1,-1,-6,-1,71.09
2022-05-10 11:30:00-04:00,XLU,-2,-1,-1,-1,-1,-6,-1,70.33
2022-05-10 12:30:00-04:00,XLU,-2,1,-1,-1,-1,-4,-1,70.49
2022-05-10 13:30:00-04:00,XLU,-2,1,-1,1,1,0,1,70.68
2022-05-10 14:30:00-04:00,XLU,-2,1,1,0,1,1,0,70.52
2022-05-10 15:30:00-04:00,XLU,-2,1,-1,0,1,-1,0,70.78
2022-05-11 09:30:00-04:00,XLU,2,1,-1,1,1,4,0,71.68
2022-05-11 10:30:00-04:00,XLU,2,-1,-1,1,1,2,0,72.26
2022-05-11 11:30:00-04:00,XLU,-2,-1,-1,1,1,-2,0,71.89
2022-05-11 12:30:00-04:00,XLU,-2,-1,-1,1,1,-2,0,71.86
2022-05-11 13:30:00-04:00,XLU,2,-1,-1,1,1,2,0,72.07
2022-05-11 14:30:00-04:00,XLU,-2,1,-1,1,1,0,0,71.62
2022-05-11 15:30:00-04:00,XLU,-2,1,-1,1,1,0,0,71.33
2022-05-12 09:30:00-04:00,XLU,-2,1,1,1,1,2,0,70.79
2022-05-12 10:30:00-04:00,XLU,-2,1,0,-1,1,-1,0,70.51
2022-05-12 11:30:00-04:00,XLU,-2,1,1,0,1,1,0,70.16
