Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-02 14:30:00-04:00,XLV,2,0,0,0,0,2,0,129.13
2022-05-02 15:30:00-04:00,XLV,2,0,0,0,0,2,1,129.5
2022-05-03 09:30:00-04:00,XLV,2,0,-1,-1,-1,-1,-1,130.48
2022-05-03 10:30:00-04:00,XLV,2,0,-1,-1,-1,-1,0,130.93
2022-05-03 11:30:00-04:00,XLV,2,0,-1,-1,-1,-1,0,130.29
2022-05-03 12:30:00-04:00,XLV,2,0,-1,-1,-1,-1,0,130.15
2022-05-03 13:30:00-04:00,XLV,-2,0,-1,-1,-1,-5,-1,129.49
2022-05-03 14:30:00-04:00,XLV,2,0,-1,-1,-1,-1,1,130.07
2022-05-03 15:30:00-04:00,XLV,2,0,-1,-1,-1,-1,0,129.88
2022-05-04 09:30:00-04:00,XLV,-2,0,-1,-1,-1,-5,-1,129.28
2022-05-04 10:30:00-04:00,XLV,-2,0,-1,1,-1,-3,-1,129.65
2022-05-04 11:30:00-04:00,XLV,2,0,-1,0,-1,0,1,130.04
2022-05-04 12:30:00-04:00,XLV,2,0,-1,0,-1,0,0,130.22
2022-05-04 13:30:00-04:00,XLV,2,0,-1,1,-1,1,1,130.65
2022-05-04 14:30:00-04:00,XLV,2,0,-1,1,1,3,1,132.58
2022-05-04 15:30:00-04:00,XLV,2,0,-1,1,0,2,1,132.79
2022-05-05 09:30:00-04:00,XLV,2,0,-1,-1,0,0,-1,130.96
2022-05-05 10:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,130.12
2022-05-05 11:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,129.81
2022-05-05 12:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,130.18
2022-05-05 13:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,129.57
2022-05-05 14:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,129.15
2022-05-05 15:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,130.31
2022-05-06 09:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,128.95
2022-05-06 10:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,129.54
2022-05-06 11:30:00-04:00,XLV,-2,0,1,1,1,1,0,129.17
2022-05-06 12:30:00-04:00,XLV,-2,0,1,1,1,1,0,129.41
2022-05-06 13:30:00-04:00,XLV,-2,0,1,1,1,1,0,128.67
2022-05-06 14:30:00-04:00,XLV,-2,0,1,1,1,1,0,129.1
2022-05-06 15:30:00-04:00,XLV,-2,0,-1,1,1,-1,0,129.81
2022-05-09 09:30:00-04:00,XLV,-2,0,1,1,-1,-1,0,127.43
2022-05-09 10:30:00-04:00,XLV,-2,0,1,-1,1,-1,0,127.05
2022-05-09 11:30:00-04:00,XLV,-2,0,1,0,1,0,0,127.53
2022-05-09 12:30:00-04:00,XLV,-2,0,1,-1,1,-1,0,127.15
2022-05-09 13:30:00-04:00,XLV,-2,0,1,-1,1,-1,0,126.96
2022-05-09 14:30:00-04:00,XLV,-2,0,-1,-1,1,-3,0,126.75
2022-05-09 15:30:00-04:00,XLV,-2,0,0,-1,1,-2,0,126.48
2022-05-10 09:30:00-04:00,XLV,-2,0,0,1,1,0,0,127.53
2022-05-10 10:30:00-04:00,XLV,-2,0,0,1,1,0,0,126.41
2022-05-10 11:30:00-04:00,XLV,-2,0,0,1,1,0,0,126.07
2022-05-10 12:30:00-04:00,XLV,-2,0,0,1,1,0,0,126.66
2022-05-10 13:30:00-04:00,XLV,-2,1,0,1,1,1,0,126.91
2022-05-10 14:30:00-04:00,XLV,-2,1,0,1,1,1,0,126.84
2022-05-10 15:30:00-04:00,XLV,-2,1,-1,1,1,0,0,126.83
2022-05-11 09:30:00-04:00,XLV,2,-1,-1,-1,1,0,0,128.16
2022-05-11 10:30:00-04:00,XLV,2,-1,-1,0,1,1,0,128.46
2022-05-11 11:30:00-04:00,XLV,2,-1,-1,0,1,1,0,127.81
2022-05-11 12:30:00-04:00,XLV,2,1,1,0,1,5,1,127.01
2022-05-11 13:30:00-04:00,XLV,-2,1,0,-1,1,-1,-1,126.92
2022-05-11 14:30:00-04:00,XLV,-2,1,0,-1,1,-1,0,126.62
2022-05-11 15:30:00-04:00,XLV,-2,1,0,-1,1,-1,0,126.07
2022-05-12 09:30:00-04:00,XLV,-2,1,0,-1,-1,-3,-1,125.61
2022-05-12 10:30:00-04:00,XLV,-2,1,0,-1,1,-1,-1,125.86
2022-05-12 11:30:00-04:00,XLV,-2,1,1,-1,1,0,1,126.09
2022-05-12 12:30:00-04:00,XLV,-2,1,1,1,1,2,0,126.2
2022-05-12 13:30:00-04:00,XLV,-2,-1,1,0,1,-1,0,126.17
2022-05-12 14:30:00-04:00,XLV,2,-1,-1,0,-1,-1,0,126.06
2022-05-12 15:30:00-04:00,XLV,2,-1,-1,0,-1,-1,0,127.3
2022-05-13 09:30:00-04:00,XLV,2,-1,-1,-1,-1,-2,-1,128.71
2022-05-13 10:30:00-04:00,XLV,2,-1,-1,-1,-1,-2,-1,128.64
2022-05-13 11:30:00-04:00,XLV,2,-1,1,-1,-1,0,1,128.59
2022-05-13 12:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,128.53
2022-05-13 13:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,127.98
2022-05-13 14:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,128.94
2022-05-13 15:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,128.62
2022-05-16 09:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,129.62
2022-05-16 10:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,129.21
2022-05-16 11:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,129.28
2022-05-16 12:30:00-04:00,XLV,2,-1,1,1,-1,2,0,129.88
2022-05-16 13:30:00-04:00,XLV,2,-1,1,0,-1,1,0,130.34
2022-05-16 14:30:00-04:00,XLV,2,-1,1,0,-1,1,0,129.74
2022-05-16 15:30:00-04:00,XLV,2,-1,1,1,-1,2,0,129.6
2022-05-17 09:30:00-04:00,XLV,2,-1,1,-1,-1,0,0,130.62
2022-05-17 10:30:00-04:00,XLV,2,-1,-1,0,-1,-1,0,131.01
2022-05-17 11:30:00-04:00,XLV,2,-1,1,0,1,3,0,130.97
2022-05-17 12:30:00-04:00,XLV,2,-1,1,-1,1,2,0,131.17
2022-05-17 13:30:00-04:00,XLV,2,-1,-1,-1,1,0,0,130.63
2022-05-17 14:30:00-04:00,XLV,2,-1,0,-1,1,1,0,131.19
2022-05-17 15:30:00-04:00,XLV,2,-1,0,-1,1,1,0,131.36
2022-05-18 09:30:00-04:00,XLV,2,-1,1,-1,1,2,0,129.28
2022-05-18 10:30:00-04:00,XLV,-2,-1,1,1,1,0,0,129.04
2022-05-18 11:30:00-04:00,XLV,-2,-1,-1,1,1,-2,-1,129.14
2022-05-18 12:30:00-04:00,XLV,-2,-1,0,1,1,-1,-1,128.87
2022-05-18 13:30:00-04:00,XLV,-2,-1,0,1,1,-1,-1,128.75
2022-05-18 14:30:00-04:00,XLV,-2,1,-1,1,1,0,1,127.65
2022-05-18 15:30:00-04:00,XLV,-2,1,-1,1,1,0,0,128.04
2022-05-19 09:30:00-04:00,XLV,-2,1,-1,1,1,0,0,127.35
2022-05-19 10:30:00-04:00,XLV,-2,1,-1,1,1,0,0,127.2
2022-05-19 11:30:00-04:00,XLV,-2,1,1,1,-1,0,0,127.83
2022-05-19 12:30:00-04:00,XLV,-2,-1,0,1,-1,-3,-1,127.86
2022-05-19 13:30:00-04:00,XLV,-2,-1,0,1,-1,-3,-1,128.09
2022-05-19 14:30:00-04:00,XLV,-2,-1,0,1,-1,-3,-1,127.93
2022-05-19 15:30:00-04:00,XLV,-2,-1,0,1,1,-1,-1,128.19
2022-05-20 09:30:00-04:00,XLV,-2,-1,-1,1,0,-3,-1,129.17
2022-05-20 10:30:00-04:00,XLV,-2,-1,-1,1,0,-3,-1,128.18
2022-05-20 11:30:00-04:00,XLV,-2,-1,-1,1,-1,-4,-1,128.03
2022-05-20 12:30:00-04:00,XLV,-2,1,-1,1,-1,-2,-1,127.35
2022-05-20 13:30:00-04:00,XLV,-2,1,-1,1,-1,-2,1,127.74
2022-05-20 14:30:00-04:00,XLV,-2,-1,-1,1,-1,-4,-1,128.54
2022-05-20 15:30:00-04:00,XLV,2,1,1,1,-1,4,1,129.79
2022-05-23 09:30:00-04:00,XLV,2,1,1,1,-1,4,1,131.07
2022-05-23 10:30:00-04:00,XLV,2,1,1,-1,-1,2,1,131.16
2022-05-23 11:30:00-04:00,XLV,2,1,1,-1,-1,2,1,131.14
2022-05-23 12:30:00-04:00,XLV,2,1,1,-1,-1,2,1,130.78
2022-05-23 13:30:00-04:00,XLV,2,1,1,-1,-1,2,1,131.12
2022-05-23 14:30:00-04:00,XLV,2,1,1,-1,-1,2,1,130.74
2022-05-23 15:30:00-04:00,XLV,2,1,1,-1,-1,2,1,130.95
2022-05-24 09:30:00-04:00,XLV,2,1,1,-1,-1,2,1,130.5
2022-05-24 10:30:00-04:00,XLV,-2,-1,1,1,-1,-2,-1,130.02
2022-05-24 11:30:00-04:00,XLV,-2,-1,1,-1,-1,-4,-1,130.24
2022-05-24 12:30:00-04:00,XLV,-2,-1,1,-1,-1,-4,-1,130.21
2022-05-24 13:30:00-04:00,XLV,2,-1,1,-1,-1,0,1,130.76
2022-05-24 14:30:00-04:00,XLV,2,-1,1,-1,1,2,0,130.89
2022-05-24 15:30:00-04:00,XLV,2,-1,1,-1,0,1,0,131.31
2022-05-25 09:30:00-04:00,XLV,2,-1,1,-1,0,1,0,131.77
2022-05-25 10:30:00-04:00,XLV,2,-1,-1,-1,0,-1,0,131.43
2022-05-25 11:30:00-04:00,XLV,-2,-1,1,-1,0,-3,-1,130.51
2022-05-25 12:30:00-04:00,XLV,-2,-1,1,-1,0,-3,-1,130.55
2022-05-25 13:30:00-04:00,XLV,-2,-1,1,-1,0,-3,-1,130.95
2022-05-25 14:30:00-04:00,XLV,2,1,1,-1,0,3,1,131.44
2022-05-25 15:30:00-04:00,XLV,2,1,1,-1,0,3,1,131.29
2022-05-26 09:30:00-04:00,XLV,2,1,1,-1,0,3,1,131.8
2022-05-26 10:30:00-04:00,XLV,2,1,-1,-1,1,2,1,131.68
2022-05-26 11:30:00-04:00,XLV,2,1,0,-1,1,3,1,131.49
2022-05-26 12:30:00-04:00,XLV,2,1,0,-1,1,3,1,131.88
2022-05-26 13:30:00-04:00,XLV,2,1,0,-1,1,3,1,132.04
2022-05-26 14:30:00-04:00,XLV,2,1,1,-1,1,4,1,131.92
2022-05-26 15:30:00-04:00,XLV,2,1,1,-1,1,4,1,131.8
2022-05-27 09:30:00-04:00,XLV,2,1,1,1,1,6,1,132.92
2022-05-27 10:30:00-04:00,XLV,2,1,-1,1,1,4,1,132.96
2022-05-27 11:30:00-04:00,XLV,2,1,-1,1,1,4,1,133.0
2022-05-27 12:30:00-04:00,XLV,2,1,-1,1,1,4,1,133.3
2022-05-27 13:30:00-04:00,XLV,2,1,-1,-1,1,2,-1,132.98
2022-05-27 14:30:00-04:00,XLV,2,1,-1,0,1,3,0,133.63
2022-05-27 15:30:00-04:00,XLV,2,1,-1,0,1,3,0,134.03
2022-05-31 09:30:00-04:00,XLV,-2,-1,1,-1,1,-2,0,131.81
2022-05-31 10:30:00-04:00,XLV,-2,1,0,-1,1,-1,0,131.82
2022-05-31 11:30:00-04:00,XLV,-2,1,1,1,-1,0,0,132.32
2022-05-31 12:30:00-04:00,XLV,-2,1,1,-1,-1,-2,0,132.34
2022-05-31 13:30:00-04:00,XLV,-2,1,-1,-1,-1,-4,-1,132.63
