Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-05-03 14:30:00-04:00,XLY,2,0,0,0,0,2,1,164.58
2022-05-03 15:30:00-04:00,XLY,2,0,0,0,0,2,1,164.73
2022-05-04 09:30:00-04:00,XLY,-2,0,1,1,0,0,-1,163.0
2022-05-04 10:30:00-04:00,XLY,-2,0,1,1,-1,-1,-1,162.27
2022-05-04 11:30:00-04:00,XLY,-2,0,1,-1,-1,-3,-1,163.76
2022-05-04 12:30:00-04:00,XLY,-2,0,1,0,1,0,1,163.61
2022-05-04 13:30:00-04:00,XLY,2,0,1,-1,0,2,1,164.17
2022-05-04 14:30:00-04:00,XLY,2,0,-1,1,-1,1,1,168.58
2022-05-04 15:30:00-04:00,XLY,2,0,-1,1,-1,1,1,169.73
2022-05-05 09:30:00-04:00,XLY,-2,0,-1,-1,-1,-5,-1,162.83
2022-05-05 10:30:00-04:00,XLY,-2,0,-1,-1,1,-3,0,161.16
2022-05-05 11:30:00-04:00,XLY,-2,0,-1,-1,0,-4,-1,160.98
2022-05-05 12:30:00-04:00,XLY,-2,0,-1,-1,1,-3,1,161.16
2022-05-05 13:30:00-04:00,XLY,-2,0,1,-1,1,-1,0,159.4
2022-05-05 14:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,158.49
2022-05-05 15:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,160.34
2022-05-06 09:30:00-04:00,XLY,-2,0,0,1,1,0,0,157.7
2022-05-06 10:30:00-04:00,XLY,2,0,0,0,1,3,1,160.28
2022-05-06 11:30:00-04:00,XLY,2,0,0,0,1,3,1,159.13
2022-05-06 12:30:00-04:00,XLY,2,0,0,0,1,3,1,158.76
2022-05-06 13:30:00-04:00,XLY,-2,0,1,0,1,0,-1,157.35
2022-05-06 14:30:00-04:00,XLY,-2,0,1,0,1,0,0,157.06
2022-05-06 15:30:00-04:00,XLY,-2,0,-1,1,1,-1,0,158.19
2022-05-09 09:30:00-04:00,XLY,-2,0,-1,1,1,-1,0,154.17
2022-05-09 10:30:00-04:00,XLY,-2,0,1,-1,1,-1,0,152.98
2022-05-09 11:30:00-04:00,XLY,-2,0,0,0,1,-1,0,154.56
2022-05-09 12:30:00-04:00,XLY,-2,0,0,0,1,-1,0,153.34
2022-05-09 13:30:00-04:00,XLY,-2,0,0,0,1,-1,0,152.47
2022-05-09 14:30:00-04:00,XLY,-2,0,0,0,1,-1,0,152.17
2022-05-09 15:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,151.37
2022-05-10 09:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,152.53
2022-05-10 10:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,149.7
2022-05-10 11:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,149.57
2022-05-10 12:30:00-04:00,XLY,-2,0,0,-1,1,-2,0,150.66
2022-05-10 13:30:00-04:00,XLY,-2,0,0,1,1,0,0,151.74
2022-05-10 14:30:00-04:00,XLY,-2,0,0,0,1,-1,0,151.06
2022-05-10 15:30:00-04:00,XLY,-2,0,0,0,1,-1,0,150.89
2022-05-11 09:30:00-04:00,XLY,-2,0,0,0,1,-1,0,151.78
2022-05-11 10:30:00-04:00,XLY,-2,1,0,0,1,0,0,150.49
2022-05-11 11:30:00-04:00,XLY,-2,1,0,-1,1,-1,0,148.87
2022-05-11 12:30:00-04:00,XLY,-2,1,0,-1,1,-1,0,146.98
2022-05-11 13:30:00-04:00,XLY,-2,1,0,-1,1,-1,0,146.95
2022-05-11 14:30:00-04:00,XLY,-2,1,0,-1,1,-1,0,146.29
2022-05-11 15:30:00-04:00,XLY,-2,1,0,-1,1,-1,0,145.55
2022-05-12 09:30:00-04:00,XLY,-2,1,-1,1,1,0,0,147.42
2022-05-12 10:30:00-04:00,XLY,2,1,-1,1,1,4,1,148.48
2022-05-12 11:30:00-04:00,XLY,-2,1,-1,1,1,0,-1,146.63
2022-05-12 12:30:00-04:00,XLY,-2,1,-1,1,1,0,0,145.91
2022-05-12 13:30:00-04:00,XLY,2,-1,-1,1,1,2,0,144.49
2022-05-12 14:30:00-04:00,XLY,2,-1,-1,1,1,2,0,145.22
2022-05-12 15:30:00-04:00,XLY,2,-1,-1,1,1,2,0,146.6
2022-05-13 09:30:00-04:00,XLY,2,-1,-1,1,-1,0,0,151.74
2022-05-13 10:30:00-04:00,XLY,2,-1,-1,1,-1,0,0,152.07
2022-05-13 11:30:00-04:00,XLY,2,-1,-1,1,-1,0,0,152.49
2022-05-13 12:30:00-04:00,XLY,2,-1,-1,1,-1,0,0,152.04
2022-05-13 13:30:00-04:00,XLY,2,-1,1,1,-1,2,0,150.54
2022-05-13 14:30:00-04:00,XLY,2,-1,0,1,-1,1,0,152.62
2022-05-13 15:30:00-04:00,XLY,2,-1,1,1,-1,2,0,152.38
2022-05-16 09:30:00-04:00,XLY,2,-1,1,1,-1,2,0,151.6
2022-05-16 10:30:00-04:00,XLY,2,-1,1,-1,-1,0,0,149.19
2022-05-16 11:30:00-04:00,XLY,2,-1,1,-1,-1,0,0,149.5
2022-05-16 12:30:00-04:00,XLY,2,-1,1,-1,-1,0,0,149.84
2022-05-16 13:30:00-04:00,XLY,2,-1,1,-1,-1,0,0,150.59
