Datetime,symbol,signal_idx,signal_ci,signal_div,signal_ds,signal_cor,Multiplier,Signal,Price
2022-04-21 15:30:00-04:00,XRT,-2,0,0,0,0,-2,-1,76.01
2022-04-22 09:30:00-04:00,XRT,-2,0,-1,-1,-1,-5,-1,74.61
2022-04-22 10:30:00-04:00,XRT,-2,0,-1,-1,1,-3,1,74.1
2022-04-22 11:30:00-04:00,XRT,-2,0,-1,-1,1,-3,0,73.64
2022-04-22 12:30:00-04:00,XRT,-2,0,-1,-1,1,-3,0,73.46
2022-04-22 13:30:00-04:00,XRT,-2,0,-1,-1,1,-3,0,73.21
2022-04-22 14:30:00-04:00,XRT,-2,0,-1,-1,1,-3,0,73.26
2022-04-22 15:30:00-04:00,XRT,-2,0,-1,-1,1,-3,0,73.0
2022-04-25 09:30:00-04:00,XRT,-2,0,-1,1,1,-1,0,72.74
2022-04-25 10:30:00-04:00,XRT,-2,0,1,0,1,0,1,72.52
2022-04-25 11:30:00-04:00,XRT,-2,0,0,1,1,0,1,73.25
2022-04-25 12:30:00-04:00,XRT,-2,0,-1,1,1,-1,1,73.43
2022-04-25 13:30:00-04:00,XRT,-2,0,-1,1,1,-1,1,74.04
2022-04-25 14:30:00-04:00,XRT,2,0,-1,1,1,3,1,74.0
2022-04-25 15:30:00-04:00,XRT,2,0,1,1,1,5,1,74.17
2022-04-26 09:30:00-04:00,XRT,-2,0,0,-1,1,-2,-1,72.82
2022-04-26 10:30:00-04:00,XRT,-2,0,-1,0,1,-2,0,72.24
2022-04-26 11:30:00-04:00,XRT,-2,0,1,0,1,0,0,72.65
2022-04-26 12:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,71.94
2022-04-26 13:30:00-04:00,XRT,-2,0,0,1,1,0,0,72.54
2022-04-26 14:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,72.05
2022-04-26 15:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,71.66
2022-04-27 09:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,70.88
2022-04-27 10:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,71.64
2022-04-27 11:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,72.28
2022-04-27 12:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,71.78
2022-04-27 13:30:00-04:00,XRT,-2,0,0,-1,1,-2,0,72.13
2022-04-27 14:30:00-04:00,XRT,-2,0,0,1,1,0,0,71.58
2022-04-27 15:30:00-04:00,XRT,-2,0,0,1,1,0,0,71.41
2022-04-28 09:30:00-04:00,XRT,-2,0,1,-1,1,-1,0,70.53
2022-04-28 10:30:00-04:00,XRT,-2,0,1,-1,1,-1,0,70.99
2022-04-28 11:30:00-04:00,XRT,-2,0,1,-1,1,-1,0,71.44
2022-04-28 12:30:00-04:00,XRT,2,0,-1,1,1,3,0,72.63
2022-04-28 13:30:00-04:00,XRT,2,0,-1,0,-1,0,0,73.07
2022-04-28 14:30:00-04:00,XRT,2,0,-1,1,-1,1,0,73.3
2022-04-28 15:30:00-04:00,XRT,2,0,-1,1,-1,1,0,72.9
2022-04-29 09:30:00-04:00,XRT,-2,0,-1,1,-1,-3,0,71.81
2022-04-29 10:30:00-04:00,XRT,-2,1,1,-1,-1,-2,0,71.61
2022-04-29 11:30:00-04:00,XRT,-2,1,0,0,-1,-2,0,71.34
2022-04-29 12:30:00-04:00,XRT,-2,1,0,0,-1,-2,0,71.17
2022-04-29 13:30:00-04:00,XRT,-2,1,1,0,-1,-1,0,70.79
2022-04-29 14:30:00-04:00,XRT,-2,1,-1,0,-1,-3,-1,70.61
2022-04-29 15:30:00-04:00,XRT,-2,1,-1,0,-1,-3,-1,70.27
2022-05-02 09:30:00-04:00,XRT,2,1,-1,0,-1,1,1,71.57
2022-05-02 10:30:00-04:00,XRT,2,1,-1,1,-1,2,0,71.04
2022-05-02 11:30:00-04:00,XRT,2,1,-1,1,-1,2,0,71.39
2022-05-02 12:30:00-04:00,XRT,-2,1,-1,1,-1,-2,0,70.75
2022-05-02 13:30:00-04:00,XRT,-2,1,-1,1,-1,-2,-1,70.51
2022-05-02 14:30:00-04:00,XRT,2,1,-1,1,-1,2,1,71.77
2022-05-02 15:30:00-04:00,XRT,2,1,1,1,-1,4,0,72.35
2022-05-03 09:30:00-04:00,XRT,2,1,0,1,-1,3,0,72.36
2022-05-03 10:30:00-04:00,XRT,2,1,0,1,-1,3,0,72.72
2022-05-03 11:30:00-04:00,XRT,2,1,0,1,-1,3,0,72.46
2022-05-03 12:30:00-04:00,XRT,2,1,0,1,1,5,1,72.71
2022-05-03 13:30:00-04:00,XRT,2,1,0,-1,0,2,-1,72.23
2022-05-03 14:30:00-04:00,XRT,2,1,1,0,0,4,1,72.76
2022-05-03 15:30:00-04:00,XRT,2,1,1,-1,1,4,1,72.71
2022-05-04 09:30:00-04:00,XRT,2,1,1,-1,1,4,1,71.98
2022-05-04 10:30:00-04:00,XRT,-2,1,1,-1,1,0,-1,71.72
2022-05-04 11:30:00-04:00,XRT,2,1,1,-1,1,4,1,72.18
2022-05-04 12:30:00-04:00,XRT,-2,1,1,-1,1,0,-1,71.71
2022-05-04 13:30:00-04:00,XRT,-2,1,1,-1,1,0,0,71.98
2022-05-04 14:30:00-04:00,XRT,2,1,1,-1,1,4,0,74.19
2022-05-04 15:30:00-04:00,XRT,2,1,-1,-1,1,2,0,74.65
2022-05-05 09:30:00-04:00,XRT,-2,1,1,-1,1,0,0,71.09
2022-05-05 10:30:00-04:00,XRT,-2,1,1,-1,1,0,0,70.52
2022-05-05 11:30:00-04:00,XRT,-2,-1,1,-1,1,-2,-1,71.0
2022-05-05 12:30:00-04:00,XRT,-2,-1,1,-1,1,-2,-1,71.29
2022-05-05 13:30:00-04:00,XRT,-2,-1,1,1,1,0,1,70.54
2022-05-05 14:30:00-04:00,XRT,-2,-1,1,0,1,-1,0,70.25
2022-05-05 15:30:00-04:00,XRT,-2,-1,-1,1,1,-2,-1,71.19
2022-05-06 09:30:00-04:00,XRT,-2,-1,1,-1,1,-2,-1,69.4
2022-05-06 10:30:00-04:00,XRT,2,-1,1,0,1,3,1,70.48
2022-05-06 11:30:00-04:00,XRT,2,1,-1,0,1,3,0,70.43
2022-05-06 12:30:00-04:00,XRT,2,1,-1,1,1,4,1,70.39
2022-05-06 13:30:00-04:00,XRT,-2,1,-1,1,1,0,-1,69.53
2022-05-06 14:30:00-04:00,XRT,-2,1,1,1,1,2,0,68.94
2022-05-06 15:30:00-04:00,XRT,-2,1,0,-1,1,-1,0,69.45
2022-05-09 09:30:00-04:00,XRT,-2,1,-1,0,1,-1,0,68.21
2022-05-09 10:30:00-04:00,XRT,-2,1,-1,0,1,-1,0,67.41
2022-05-09 11:30:00-04:00,XRT,-2,1,1,0,1,1,0,68.29
2022-05-09 12:30:00-04:00,XRT,-2,1,0,-1,1,-1,0,67.67
